#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Feb  3 13:47:16 2016 -- reformated by PCGen PrettyLST v6.06.00
# COMMENT: Some non-defined weapons commented out; may be wrong names, may not exist
# COMMENT: Some may require a bestiary to be loaded

# COMMENT: TEMPBONUS doesn't seem to apply to equipment; at least, they don't seem to be showing up
# COMMENT:     in the temporary bonus tab

# COMMENT: It is not intuitive for the user to click on "Create Monster" in the Summary tab to
# COMMENT:     add <class>'s Kit items to the character

###Block: Adding types to some armors and weapons, so they can be identified
# COMMENT: There should be an easier way
# Equipment Name		Type
Leather.MOD			TYPE:LeatherArmor
#Gloom Blade.MOD	TYPE:Weapon Group Melee Light Piercing
#Tail Attachment (Spiked).MOD	TYPE:Weapon Group Melee Light Piercing
#Sea-Knife.MOD	TYPE:Weapon Group Melee Light Piercing
#Spirit Blade.MOD									TYPE:Weapon Group Melee Light Slashing
#Falcata.MOD										TYPE:Weapon Group Melee OneHanded Slashing
#Khopesh.MOD										TYPE:Weapon Group Melee OneHanded Slashing
#Sword (Temple).MOD								TYPE:Weapon Group Melee OneHanded Slashing
#Axe (Undercutting).MOD								TYPE:Weapon Group Melee OneHanded Slashing

# UC
Gladius.MOD										TYPE:Weapon Group Melee Light Piercing
Emei Piercer.MOD									TYPE:Weapon Group Melee Light Piercing
Fighting Fan.MOD									TYPE:Weapon Group Melee Light Piercing
Madu (Leather).MOD								TYPE:Weapon Group Melee Light Piercing
Madu (Steel).MOD									TYPE:Weapon Group Melee Light Piercing
Pata.MOD										TYPE:Weapon Group Melee Light Piercing
Quadrens.MOD									TYPE:Weapon Group Melee Light Piercing
Tekko-Kagi (Iron Claw).MOD							TYPE:Weapon Group Melee Light Piercing
Wakizashi.MOD									TYPE:Weapon Group Melee Light Piercing
Amentum (Javelin).MOD								TYPE:Weapon Group Melee OneHanded Piercing
Mere Club.MOD									TYPE:Weapon Group Melee OneHanded Piercing
Scizore.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Shotel.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Hooked Axe.MOD									TYPE:Weapon Group Melee OneHanded Slashing
Terbutje.MOD									TYPE:Weapon Group Melee OneHanded Slashing
Terbutje (Great).MOD								TYPE:Weapon Group Melee OneHanded Slashing
Urumi.MOD										TYPE:Weapon Group Melee OneHanded Slashing

# UE
Gladius.MOD										TYPE:Weapon Group Melee Light Piercing
Emei Piercer.MOD									TYPE:Weapon Group Melee Light Piercing
Fighting Fan.MOD									TYPE:Weapon Group Melee Light Piercing
Pata.MOD										TYPE:Weapon Group Melee Light Piercing
Quadrens.MOD									TYPE:Weapon Group Melee Light Piercing
Tekko-Kagi (Iron Claw).MOD							TYPE:Weapon Group Melee Light Piercing
Wakizashi.MOD									TYPE:Weapon Group Melee Light Piercing
Mere Club.MOD									TYPE:Weapon Group Melee OneHanded Piercing
Scizore.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Shotel.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Taiaha.MOD										TYPE:Weapon Group Melee OneHanded Piercing
Double Chicken Saber.MOD							TYPE:Weapon Group Melee OneHanded Slashing
Broadsword (Nine Ring).MOD							TYPE:Weapon Group Melee OneHanded Slashing
Terbutje.MOD									TYPE:Weapon Group Melee OneHanded Slashing
#Great Terbutje.MOD	TYPE:Weapon Group Melee OneHanded Slashing
Hooked Axe.MOD									TYPE:Weapon Group Melee OneHanded Slashing
Katana.MOD										TYPE:Weapon Group Melee OneHanded Slashing
#Rhoka Sword.MOD	TYPE:Weapon Group Melee OneHanded Slashing
#Sawtooth Sabre.MOD	TYPE:Weapon Group Melee OneHanded Slashing
#Temple Sword.MOD	TYPE:Weapon Group Melee OneHanded Slashing
Urumi.MOD										TYPE:Weapon Group Melee OneHanded Slashing
#Cursed Sword (-2).MOD	TYPE:Weapon Group Melee OneHanded Slashing
#Biting Battleaxe.MOD	TYPE:Weapon Group Melee OneHanded Slashing
#Demon Prince Armor Claw Attack.MOD	TYPE:Weapon Group Melee OneHanded Slashing

# UM
Scroll Blade.MOD									TYPE:Weapon Group Melee Light Piercing

# ARG
#Rending Claw Blades.MOD	TYPE:Weapon Group Melee Light Piercing
#Gloom Blade.MOD	TYPE:Weapon Group Melee Light Piercing
#Tail Attachment (Spiked).MOD	TYPE:Weapon Group Melee Light Piercing
#Sea-Knife.MOD	TYPE:Weapon Group Melee Light Piercing
#Waraxe (Dwarven Double).MOD	TYPE:Weapon Group Melee OneHanded Slashing
#Dogslicer.MOD	TYPE:Weapon Group Melee OneHanded Slashing

# B2
#Rhoka Sword.MOD	TYPE:Weapon Group Melee OneHanded Piercing

# B3
#Dagger (Chain).MOD	TYPE:Weapon Group Melee Light Piercing
#Binding Contract.MOD	TYPE:Weapon Group Melee OneHanded Slashing
#Shears.MOD	TYPE:Weapon Group Melee OneHanded Slashing

###--- New Items ---###

###--- Mundane Items ---###

###Block: Adventuring Gear
# Equipment Name			Type					Cost		Weight	Modifier										Source Page		Bonus to skill			Special Property																																			Temporary Bonus
Animal Call				TYPE:Goods.General		COST:0.1														SOURCEPAGE:p.202						SPROP:+2 on Survival to track specific animal type or get along in the wild
#	SELECT:1	CHOOSE:USERINPUT|TITLE=Type of Animal
Book Lariat				TYPE:Goods.Tools			COST:0.3	WT:0.5												SOURCEPAGE:p.202						SPROP:Attaches spellbook to wrist with 10 ft. cord
Book of Puzzles			TYPE:Goods.Tools.Book		COST:50	WT:1		EQMOD:Special Ability ~ Charged Item / 10 Maximum|CHARGES[10]	SOURCEPAGE:p.202						SPROP:Solve puzzle to roll twice on a single Disable Device, Knowledge, or Sense Motive check
Book of War Prayers		TYPE:Goods.Tools.Book		COST:50	WT:0.5												SOURCEPAGE:p.202						SPROP:With Charisma 13 or 1 rank in Perform (Oratory), read for 10 minutes to give +2 morale bonus on next save against fear in 24 hours
Braille Bracelet			TYPE:Goods.Bracer			COST:25														SOURCEPAGE:p.202						SPROP:Can convey messages by deciphering raised symbols on 10 beads
Calumet				TYPE:Goods.Tools			COST:20														SOURCEPAGE:p.203						SPROP:Communal smoking gives +1 circumstance on Diplomacy checks																											TEMPBONUS:PC|SKILL|Diplomacy|1|TYPE=Circumstance
Cheat Sheath			TYPE:Goods.Tools			COST:100	WT:2													SOURCEPAGE:p.203						SPROP:Gives +2 bonus on Spellcraft to learn a spell, prepare a spell from a borrowed spellbook, identify magic item properties, decipher scrolls
Cipher Rings			TYPE:Goods.Ring			COST:10														SOURCEPAGE:p.203						SPROP:Create or decode written message keyed to ring (DC 25 Linguistics without ring) [2 rings]
Cipher Ring (Extra)		TYPE:Goods.Ring			COST:4														SOURCEPAGE:p.203						SPROP:Create or decode written message keyed to ring (DC 25 Linguistics without ring)
Collapsible Trampoline		TYPE:Goods.Tools			COST:50	WT:10													SOURCEPAGE:p.203						SPROP:Requires 2 people; gives +5 bonus on Acrobatics (Jump); ignore first 10 feet of falling damage if landed on; 1 minute to set up															TEMPBONUS:ANYPC|SITUATION|Acrobatics=Jump|5
Cork Vest				TYPE:Goods.Shirt			COST:25	WT:1													SOURCEPAGE:p.203						SPROP:-2 penalty on Dexterity and Swim checks; only go underwater if Swim check failed by 10 or more; +4 to Swim to avoid damage from fatigue
Courtesan's Kit			TYPE:Goods.Tools			COST:10	WT:5													SOURCEPAGE:p.204						SPROP:Includes razor, scented oils and salves, frangrances, warming pot, variety of outfits, books of poetry, literature, plays
Fire Pump				TYPE:Goods.Tools			COST:200	WT:500	EQMOD:Special Ability ~ Charged Item / 10 Maximum|CHARGES[10]	SOURCEPAGE:p.204						SPROP:Kit for heavy wagon; DC 20 Strength check to spray water to extinguish 5 sq. ft. of nonmagical fire
Footprint Cast			TYPE:Goods.Tools			COST:2	WT:1													SOURCEPAGE:p.204						SPROP:Preserve a set of footprints to examine later. It takes 1 minute for cast to set and dry so that they can be examined later with no penalry due to time or weather.
Grappler's Grease			TYPE:Goods.Tools.Consumable	COST:5	WT:0.5	EQMOD:Special Ability ~ Charged Item / 5 Maximum|CHARGES[5]		SOURCEPAGE:p.204						SPROP:Gain +4 to CMD against Grapple; 1 minute to apply, lasts 10 minutes																									TEMPBONUS:ANYPC|VAR|CMD_Grapple|4
Hand Rotary Quern			TYPE:Goods.Tools			COST:10	WT:20													SOURCEPAGE:p.204						SPROP:Grinds substances into powder
# TODO: Reduce range penalty by 2
Hunter's Sight			TYPE:Goods.Eyegear		COST:100														SOURCEPAGE:p.204	BONUS:SKILL|Perception|-2	SPROP:Reduce range penalty on attacks by 2; -2 to Perception
Marlinspike				TYPE:Goods.Tools			COST:0.8	WT:0.5												SOURCEPAGE:p.204						SPROP:Gain +2 bonus on Skill checks using rope.
Mobile Hospital			TYPE:Goods.Tools			COST:1000	WT:500												SOURCEPAGE:p.204						SPROP:Includes 2 large tents, 10 cots with bedrolls, sturdy table, chirurgeon's kit, 5 healer's kits; gain +2 on Heal for first aid, treat deadly wounds with one use of healer's kit, doubles long-term care recovery rate
Musk Kit				TYPE:Goods.Tools.Consumable	COST:25	WT:1		EQMOD:Special Ability ~ Charged Item / 12 Maximum|CHARGES[12]	SOURCEPAGE:p.205						SPROP:Put scents on objects; use 4 vials to attract 2d6 Tiny animals in 1 hour
Obals					TYPE:Goods.Tools			COST:12	WT:0.5												SOURCEPAGE:p.205						SPROP:Blessed coins to place on corpses; 12 obals
Portable Prison			TYPE:Goods.Tools			COST:200	WT:300												SOURCEPAGE:p.205						SPROP:Kit for wagon; metal bars with door; does not include lock
Roperunner				TYPE:Goods.Tools			COST:50	WT:3													SOURCEPAGE:p.205						SPROP:Allows sliding down rope, 60 ft./round
Scavenger Beetle Colony		TYPE:Goods.Tools.Consumable	COST:3	WT:1													SOURCEPAGE:p.205						SPROP:Break down dead corpse to bones in 1d4 days; needs 1/4 lb. meat per day
Sleeve Holster			TYPE:Goods.Tools			COST:100	WT:1													SOURCEPAGE:p.205						SPROP:Draw concealed hand crossbow or coat pistol as move action
Snuffbox (Tin)			TYPE:Goods.Tools			COST:5														SOURCEPAGE:p.205						SPROP:Holds snuff, powder, tobacco, etc.
Snuffbox (Wood)			TYPE:Goods.Tools			COST:5														SOURCEPAGE:p.205						SPROP:Holds snuff, powder, tobacco, etc.
Snuffbox (Bone)			TYPE:Goods.Tools			COST:25														SOURCEPAGE:p.205						SPROP:Holds snuff, powder, tobacco, etc.
Snuffbox (Tortoise Shell)	TYPE:Goods.Tools			COST:25														SOURCEPAGE:p.205						SPROP:Holds snuff, powder, tobacco, etc.
Snuffbox (Ivory)			TYPE:Goods.Tools			COST:300														SOURCEPAGE:p.205						SPROP:Holds snuff, powder, tobacco, etc.
Snuffbox (Precious Metal)	TYPE:Goods.Tools			COST:300														SOURCEPAGE:p.205						SPROP:Holds snuff, powder, tobacco, etc.
Sugar Glass Bottle		TYPE:Goods.Tools.Consumable	COST:1														SOURCEPAGE:p.206						SPROP:Looks like glass, but doesn't do damage; +2 bonus to Bluff and Perform involving creating seemingly realistic fights with bottles
Tome of Epics			TYPE:Goods.Tools.Book		COST:50	WT:3													SOURCEPAGE:p.206						SPROP:Gain +2 circumstasnce bonus on Perform (oratory, sing), and on Knowledge (nobility) pertaining to heroic lineages after consulting for 1 hour
Traveling Bee Hive		TYPE:Goods.Tools			COST:10	WT:10													SOURCEPAGE:p.206						SPROP:Holds bees; can harvest some honey without destroying hive
Traveling Garden			TYPE:Goods.Tools			COST:200	WT:500												SOURCEPAGE:p.206						SPROP:Kit for heavy wagon; includes boxes and pots for plants, space for a couple of animals and feed; functions as 5-daily-use healer's kit; +1 saves vs. disease for those who eat of its fresh fruits and vegetables


###Block: Alchemical Remedies
# Equipment Name		Type						Cost		Weight	Source Page		Special Property
Antiemetic Snuff		TYPE:Goods.Alchemical.Consumable	COST:50			SOURCEPAGE:p.206	SPROP:Gives second save against nausea
Blood-clotter Salve	TYPE:Goods.Alchemical.Consumable	COST:30			SOURCEPAGE:p.206	SPROP:Cures 1 damage, temporarily stops bleeding
Fortifying Brew		TYPE:Goods.Alchemical.Consumable	COST:20	WT:1		SOURCEPAGE:p.206	SPROP:Gain +2 morale bonus on saving throws against fear
Poison Ward Salve		TYPE:Goods.Alchemical.Consumable	COST:15			SOURCEPAGE:p.206	SPROP:Gives second save against contact poison
Rager's Aid			TYPE:Goods.Alchemical.Consumable	COST:25			SOURCEPAGE:p.207	SPROP:Ignore fatigue for 6 rounds; exhausted at end


###Block: Alchemical Tools
# Equipment Name			Type						Cost		Weight	Modifier										Source Page		Special Property															Temporary Bonus
Bloodvine Rope (50 ft)		TYPE:Goods.Alchemical.Consumable	COST:200	WT:5													SOURCEPAGE:p.207
Gravelly Tonic			TYPE:Goods.Alchemical.Consumable	COST:50														SOURCEPAGE:p.207	SPROP:+5 bonus on Intimidate													TEMPBONUS:ANYPC|SKILL|Intimidate|5|TYPE=Alchemical
Light Fire Ink (vial)		TYPE:Goods.Alchemical.Consumable	COST:40			EQMOD:Special Ability ~ Charged Item / 10 Maximum|CHARGES[10]	SOURCEPAGE:p.207	SPROP:Creates spontaneously combusting messages
Liquid Traction			TYPE:Goods.Alchemical.Consumable	COST:25	WT:1													SOURCEPAGE:p.207	SPROP:+2 bonus on Acrobatics to keep balance and CMD against bull rush						TEMPBONUS:ANYPC|VAR|CMD_BullRush|2|TYPE=Alchemical
Lozenge of the Songbird		TYPE:Goods.Alchemical.Consumable	COST:50														SOURCEPAGE:p.207	SPROP:+2 bonus on Perform (sing)												TEMPBONUS:ANYPC|SKILL|Perform (Sing)|2|TYPE=Alchemical
Masking Scent (animal)		TYPE:Goods.Alchemical.Consumable	COST:25														SOURCEPAGE:p.207	SPROP:Change your scent to a specific animal's
Masking Scent (humanoid)	TYPE:Goods.Alchemical.Consumable	COST:50														SOURCEPAGE:p.207	SPROP:Change your scent to a specific humanoid's
Masking Scent (magical beast)	TYPE:Goods.Alchemical.Consumable	COST:100														SOURCEPAGE:p.207	SPROP:Change your scent to a specific magical beast's
# COMMENT: Precise Perform type not enforced
Oil of the Masters		TYPE:Goods.Alchemical.Consumable	COST:50	WT:0.5												SOURCEPAGE:p.207	SPROP:+2 bonus on Perform checks with instrument									TEMPBONUS:ANYPC|SKILL|TYPE.Perform|2|TYPE=Alchemical
Pathstones				TYPE:Goods.Alchemical.Consumable	COST:50	WT:1													SOURCEPAGE:p.208	SPROP:Sheds very faint light
Reagent Paper			TYPE:Goods.Alchemical.Consumable	COST:1														SOURCEPAGE:p.208	SPROP:+2 bonus on Craft (alchemy) or Spellcraft to identify liquids
Tracker's Snuff			TYPE:Goods.Alchemical.Consumable	COST:200														SOURCEPAGE:p.208	SPROP:+2 bonus on Perception; take 1d2 Dexterity damage when it wears off					TEMPBONUS:ANYPC|SKILL|Perception|2|TYPE=Alchemical
Tracking Powder			TYPE:Goods.Alchemical.Consumable	COST:30			EQMOD:Special Ability ~ Charged Item / 10 Maximum|CHARGES[10]	SOURCEPAGE:p.208	SPROP:Reveals tracks; gives +10 on Survival tracks or allows tracking untrained using Perception
Vomit Capsule			TYPE:Goods.Alchemical.Consumable	COST:12														SOURCEPAGE:p.208
Woad Paint (1 block)		TYPE:Goods.Alchemical.Consumable	COST:60														SOURCEPAGE:p.208	SPROP:Can put material or somatic spell components on skin
Woad Painting Kit			TYPE:Goods.Alchemical			COST:300	WT:1													SOURCEPAGE:p.208	SPROP:Includes pallet and 5 small blocks of paint


###Block: Alchemical Weapons
# Equipment Name			Type						Cost		Weight	Source Page		Special Property
Dust Knuckles			TYPE:Goods.Alchemical			COST:25	WT:0.5	SOURCEPAGE:p.208	SPROP:Release vial contents when punching someone in the face
Dust Knuckle Vials (4 vials)	TYPE:Goods.Alchemical.Consumable	COST:5			SOURCEPAGE:p.208
Diamond Dust Vial			TYPE:Goods.Alchemical.Consumable	COST:25			SOURCEPAGE:p.208	SPROP:Target blinded for 1 round (DC 20 Reflex negates)
Holy Weapon Balm			TYPE:Goods.Alchemical.Consumable	COST:30	WT:0.5	SOURCEPAGE:p.209	SPROP:Coated weapon does +2d4 damage to undead, 1d4 damage next round (DC 10 Reflex negates); more easily affects incorporeal undead or evil outsiders


###--- Magic Items ---###

###Block: Specific Armor and Shields
# COMMENT: Add in natural attack block?
# Equipment Name			Required Armor Proficiency		Required Shield Proficiency		Type																	Cost		Weight	AC Penalty Check	Crit Mult	Crit Range	Damage	Modifier																		Wield Category	Maximum DEX Bonus	Size		Source Page		% of Spell Failure	Combat bonus			Weapon prop. bonus					Special Property
Clawhand Shield									PROFICIENCY:SHIELD|Shield (Heavy)	TYPE:Shield.Heavy.Standard.Close.Weapon.Resizable.Melee.ShieldBash.Nonmetal.Specific.Enhancement	COST:150	WT:8		ACCHECK:0		CRITMULT:x2	CRITRANGE:1	DAMAGE:1d4	EQMOD:Special Ability ~ Enhancement Cost|3858.Special Ability ~ +2 ~ Shield							WIELD:OneHanded				SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:0		BONUS:COMBAT|AC|2|TYPE=Shield	BONUS:WEAPON|TOHIT|4|PREWEAPONPROF:1,Shieldbash	SPROP:use claw attack when grappled, pinned, or swallowed whole (1d8+STR for medium character)
Full Plate of the Corpse	PROFICIENCY:ARMOR|Full Plate								TYPE:Armor.Heavy.ArmorProfHeavy.Suit.Specific.Enhancement								COST:1500	WT:50		ACCHECK:-5								EQMOD:Special Ability ~ Enhancement Cost|30000.Special Ability ~ +2 ~ Armor.Material ~ Steel							MAXDEX:1		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:35		BONUS:COMBAT|AC|9|TYPE=Armor									SPROP:wearer hidden from non-intelligent undead; intelligent undead can save (Will DC 14) to see wearer
Hero's Hauberk			PROFICIENCY:ARMOR|Chain Shirt								TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:100	WT:25		ACCHECK:-1								EQMOD:Material ~ Adamantine ~ Armor / Heavy.Special Ability ~ Enhancement Cost|500.Special Ability ~ +1 ~ Armor				MAXDEX:4		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:20		BONUS:COMBAT|AC|4|TYPE=Armor									SPROP:DR 1/- of armor stacks with wearer's DR; gain light fortification when raging or maintaining raging song; +1 luck bonus on all ability and skill checks, and the total penalties to attack rolls, ability and skill checks, and saving throws are reduced by 1, while maintaining bardic performance
# COMMENT: There may be a better way to do this than to explicitly list each terrain, especially if more ranger favored terrains are added
Stalking Armor (Cold)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in cold terrain
Stalking Armor (Desert)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in desert terrain
Stalking Armor (Forest)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in forest terrain
Stalking Armor (Jungle)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in jungle terrain
Stalking Armor (Mountain)	PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in mountain terrain
Stalking Armor (Plains)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in plains terrain
Stalking Armor (Swamp)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in swamp terrain
Stalking Armor (Underground)	PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in underground terrain
Stalking Armor (Urban)		PROFICIENCY:ARMOR|Studded Leather							TYPE:Armor.Light.ArmorProfLight.Suit.Specific.Enhancement								COST:25	WT:20		ACCHECK:0								EQMOD:Material ~ Leather|Material ~ Steel.Special Ability ~ Enhancement Cost|4400.Special Ability ~ +2 ~ Armor				MAXDEX:5		SIZE:M	SOURCEPAGE:p.211	SPELLFAILURE:15		BONUS:COMBAT|AC|3|TYPE=Armor									SPROP:+5 bonus on Stealth and Perception when in urban terrain
