#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: 21789 $ $Author: mjmeans $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
#SOURCELONG:Pathfinder Society Season 8 Chronicle Sheets	SOURCESHORT:PFSCS8	SOURCEWEB:http://www.mywebsite.com	SOURCEDATE:2016-08

# Ability Category			Visible		Editable?		Category of Object		Type of Object		Display where?													Display Location
ABILITYCATEGORY:Chronicle_S08-22	VISIBLE:QUALIFY	EDITABLE:YES	CATEGORY:Special Ability	TYPE:Chronicle_S08-22	DISPLAYNAME:PFS Scenario #8-22: Wrath of the Fleshwarped Queen					DISPLAYLOCATION:Chronicles
ABILITYCATEGORY:Chronicle_S08-23	VISIBLE:QUALIFY	EDITABLE:YES	CATEGORY:Special Ability	TYPE:Chronicle_S08-23	DISPLAYNAME:PFS Scenario #8-23: Graves of Crystalmaw Pass						DISPLAYLOCATION:Chronicles
ABILITYCATEGORY:Chronicle_S08-24	VISIBLE:QUALIFY	EDITABLE:YES	CATEGORY:Special Ability	TYPE:Chronicle_S08-24	DISPLAYNAME:PFS Scenario #8-24: Raid on the Cloudborne Keep						DISPLAYLOCATION:Chronicles
ABILITYCATEGORY:Chronicle_S08-25	VISIBLE:QUALIFY	EDITABLE:YES	CATEGORY:Special Ability	TYPE:Chronicle_S08-25	DISPLAYNAME:PFS Scenario #8-25: Unleashing the Untouchable						DISPLAYLOCATION:Chronicles
ABILITYCATEGORY:Chronicle_S08-99A	VISIBLE:QUALIFY	EDITABLE:YES	CATEGORY:Special Ability	TYPE:Chronicle_S08-99A	DISPLAYNAME:PFS Scenario #8-99A: The Solstice Scar, Version A					DISPLAYLOCATION:Chronicles
ABILITYCATEGORY:Chronicle_S08-99B	VISIBLE:QUALIFY	EDITABLE:YES	CATEGORY:Special Ability	TYPE:Chronicle_S08-99B	DISPLAYNAME:PFS Scenario #8-99B: The Solstice Scar, Version B					DISPLAYLOCATION:Chronicles
ABILITYCATEGORY:Chronicle_S08-99C	VISIBLE:QUALIFY	EDITABLE:YES	CATEGORY:Special Ability	TYPE:Chronicle_S08-99C	DISPLAYNAME:PFS Scenario #8-99C: The Solstice Scar, Version C					DISPLAYLOCATION:Chronicles

#
# DONE
#
