# CVS $Revision$ $Author$ -- Wed Feb  9 16:10:56 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
Make CSKILL ~ Escape Artist						CATEGORY:Internal		CSKILL:Escape Artist
Make CSKILL ~ Forgery							CATEGORY:Internal		CSKILL:Forgery
Make CSKILL ~ Gather Information					CATEGORY:Internal		CSKILL:Gather Information
Make CSKILL ~ Handle Animal						CATEGORY:Internal		CSKILL:Handle Animal
Make CSKILL ~ Heal							CATEGORY:Internal		CSKILL:Heal
Make CSKILL ~ Hide							CATEGORY:Internal		CSKILL:Hide
Make CSKILL ~ Innuendo							CATEGORY:Internal		CSKILL:Innuendo
Make CSKILL ~ Intimidate						CATEGORY:Internal		CSKILL:Intimidate
Make CSKILL ~ Intuit Direction					CATEGORY:Internal		CSKILL:Intuit Direction
Make CSKILL ~ Jump							CATEGORY:Internal		CSKILL:Jump
Make CSKILL ~ Knowledge (Arcana)					CATEGORY:Internal		CSKILL:Knowledge (Arcana)
Make CSKILL ~ Knowledge (Religion)					CATEGORY:Internal		CSKILL:Knowledge (Religion)
Make CSKILL ~ Knowledge (Nature)					CATEGORY:Internal		CSKILL:Knowledge (Nature)
Make CSKILL ~ Knowledge (Local)					CATEGORY:Internal		CSKILL:Knowledge (Local)
Make CSKILL ~ Knowledge (Architecture and Engineering)	CATEGORY:Internal		CSKILL:Knowledge (Architecture and Engineering)
Make CSKILL ~ Knowledge (Geography)					CATEGORY:Internal		CSKILL:Knowledge (Geography)
Make CSKILL ~ Knowledge (History)					CATEGORY:Internal		CSKILL:Knowledge (History)
Make CSKILL ~ Knowledge (Nobility and Royalty)			CATEGORY:Internal		CSKILL:Knowledge (Nobility and Royalty)
Make CSKILL ~ Knowledge (The Planes)				CATEGORY:Internal		CSKILL:Knowledge (The Planes)
Make CSKILL ~ Knowledge (Undead)					CATEGORY:Internal		CSKILL:Knowledge (Undead)
Make CSKILL ~ Knowledge (Underdark)					CATEGORY:Internal		CSKILL:Knowledge (Underdark)
Make CSKILL ~ Listen							CATEGORY:Internal		CSKILL:Listen
Make CSKILL ~ Move Silently						CATEGORY:Internal		CSKILL:Move Silently
Make CSKILL ~ Open Lock							CATEGORY:Internal		CSKILL:Open Lock
Make CSKILL ~ Perform							CATEGORY:Internal		CSKILL:Perform
Make CSKILL ~ Pick Pocket						CATEGORY:Internal		CSKILL:Pick Pocket
Make CSKILL ~ Profession (Apothecary)				CATEGORY:Internal		CSKILL:Profession (Apothecary)
Make CSKILL ~ Profession (Boater)					CATEGORY:Internal		CSKILL:Profession (Boater)
Make CSKILL ~ Profession (Bookkeeper)				CATEGORY:Internal		CSKILL:Profession (Bookkeeper)
Make CSKILL ~ Profession (Brewer)					CATEGORY:Internal		CSKILL:Profession (Brewer)
Make CSKILL ~ Profession (Cook)					CATEGORY:Internal		CSKILL:Profession (Cook)
Make CSKILL ~ Profession (Driver)					CATEGORY:Internal		CSKILL:Profession (Driver)
Make CSKILL ~ Profession (Farmer)					CATEGORY:Internal		CSKILL:Profession (Farmer)
Make CSKILL ~ Profession (Fisher)					CATEGORY:Internal		CSKILL:Profession (Fisher)
Make CSKILL ~ Profession (Guide)					CATEGORY:Internal		CSKILL:Profession (Guide)
Make CSKILL ~ Profession (Herbalist)				CATEGORY:Internal		CSKILL:Profession (Herbalist)
Make CSKILL ~ Profession (Herdsman)					CATEGORY:Internal		CSKILL:Profession (Herdsman)
Make CSKILL ~ Profession (Innkeeper)				CATEGORY:Internal		CSKILL:Profession (Innkeeper)
Make CSKILL ~ Profession (Lumberjack)				CATEGORY:Internal		CSKILL:Profession (Lumberjack)
Make CSKILL ~ Profession (Miller)					CATEGORY:Internal		CSKILL:Profession (Miller)
Make CSKILL ~ Profession (Miner)					CATEGORY:Internal		CSKILL:Profession (Miner)
Make CSKILL ~ Profession (Porter)					CATEGORY:Internal		CSKILL:Profession (Porter)
Make CSKILL ~ Profession (Rancher)					CATEGORY:Internal		CSKILL:Profession (Rancher)
Make CSKILL ~ Profession (Sailor)					CATEGORY:Internal		CSKILL:Profession (Sailor)
Make CSKILL ~ Profession (Scribe)					CATEGORY:Internal		CSKILL:Profession (Scribe)
Make CSKILL ~ Profession (Siege Engineer)				CATEGORY:Internal		CSKILL:Profession (Siege Engineer)
Make CSKILL ~ Profession (Stablehand)				CATEGORY:Internal		CSKILL:Profession (Stablehand)
Make CSKILL ~ Profession (Tanner)					CATEGORY:Internal		CSKILL:Profession (Tanner)
Make CSKILL ~ Profession (Teamster)					CATEGORY:Internal		CSKILL:Profession (Teamster)
Make CSKILL ~ Profession (Woodcutter)				CATEGORY:Internal		CSKILL:Profession (Woodcutter)
Make CSKILL ~ Read Lips							CATEGORY:Internal		CSKILL:Read Lips
Make CSKILL ~ Ride							CATEGORY:Internal		CSKILL:Ride
Make CSKILL ~ Scry							CATEGORY:Internal		CSKILL:Scry
Make CSKILL ~ Search							CATEGORY:Internal		CSKILL:Search
Make CSKILL ~ Sense Motive						CATEGORY:Internal		CSKILL:Sense Motive
Make CSKILL ~ Speak Language						CATEGORY:Internal		CSKILL:Speak Language
Make CSKILL ~ Spellcraft						CATEGORY:Internal		CSKILL:Spellcraft
Make CSKILL ~ Spot							CATEGORY:Internal		CSKILL:Spot
Make CSKILL ~ Swim							CATEGORY:Internal		CSKILL:Swim
Make CSKILL ~ Tumble							CATEGORY:Internal		CSKILL:Tumble
Make CSKILL ~ Use Magic Device					CATEGORY:Internal		CSKILL:Use Magic Device
Make CSKILL ~ Use Rope							CATEGORY:Internal		CSKILL:Use Rope
Make CSKILL ~ Wilderness Lore						CATEGORY:Internal		CSKILL:Wilderness Lore

Make CSKILL ~ Literacy							CATEGORY:Internal		CSKILL:Literacy

#Survival	CATEGORY:Internal	CSKILL:Survival






###Block: MM skills
# Skill Name			Key Stat	Untrained?		Exclusive?		Type					Source Page
# Ability Name					Category of Ability	Class Skill
Make CSKILL ~ Control Shape			CATEGORY:Internal		CSKILL:Control Shape
Make CSKILL ~ Craft (Metalworking)		CATEGORY:Internal		CSKILL:Craft (Metalworking)
Make CSKILL ~ Knowledge (Geology)		CATEGORY:Internal		CSKILL:Knowledge (Geology)
Make CSKILL ~ Knowledge (Minerals)		CATEGORY:Internal		CSKILL:Knowledge (Minerals)
Make CSKILL ~ Knowledge (Plane of Air)	CATEGORY:Internal		CSKILL:Knowledge (Plane of Air)
Make CSKILL ~ Knowledge (Plane of Water)	CATEGORY:Internal		CSKILL:Knowledge (Plane of Water)
Make CSKILL ~ Profession (Hunt)		CATEGORY:Internal		CSKILL:Profession (Hunt)




