# CVS $Revision$ $Author$ -- Wed Feb 15 13:58:48 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
Craft (Bowmaking).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Bowmaking)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Bowmaking)),Full Skill Buy (Craft (Bowmaking))
Craft (Blacksmithing).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Blacksmithing)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Blacksmithing)),Full Skill Buy (Craft (Blacksmithing))
Craft (Calligraphy).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Calligraphy)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Calligraphy)),Full Skill Buy (Craft (Calligraphy))
Craft (Carpentry).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Carpentry)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Carpentry)),Full Skill Buy (Craft (Carpentry))
Craft (Cobbling).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Cobbling)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Cobbling)),Full Skill Buy (Craft (Cobbling))
Craft (Gemcutting).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Gemcutting)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Gemcutting)),Full Skill Buy (Craft (Gemcutting))
Craft (Leatherworking).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Carpentry)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Carpentry)),Full Skill Buy (Craft (Carpentry))
Craft (Locksmithing).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Locksmithing)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Locksmithing)),Full Skill Buy (Craft (Locksmithing))
Craft (Painting).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Painting)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Painting)),Full Skill Buy (Craft (Painting))
Craft (Pottery).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Pottery)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Pottery)),Full Skill Buy (Craft (Pottery))
Craft (Sculpture).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Sculpture)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Sculpture)),Full Skill Buy (Craft (Sculpture))
Craft (Shipmaking).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Shipmaking)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Shipmaking)),Full Skill Buy (Craft (Shipmaking))
Craft (Stoneworking).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Stoneworking)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Stoneworking)),Full Skill Buy (Craft (Stoneworking))
Craft (Trapmaking).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Trapmaking)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Trapmaking)),Full Skill Buy (Craft (Trapmaking))
Craft (Weaponsmithing).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Weaponsmithing)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Weaponsmithing)),Full Skill Buy (Craft (Weaponsmithing))
Craft (Weaving).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Weaving)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Weaving)),Full Skill Buy (Craft (Weaving))
Craft (Untrained).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Untrained)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Untrained)),Full Skill Buy (Craft (Untrained))
Decipher Script.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Decipher Script|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Decipher Script),Full Skill Buy (Decipher Script)
Diplomacy.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Diplomacy|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Diplomacy),Full Skill Buy (Diplomacy)
Disable Device.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Disable Device|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Disable Device),Full Skill Buy (Disable Device)
Disguise.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Disguise|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Disguise),Full Skill Buy (Disguise)
Escape Artist.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Escape Artist|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Escape Artist),Full Skill Buy (Escape Artist)
Forgery.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Forgery|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Forgery),Full Skill Buy (Forgery)
Gather Information.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Gather Information|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Gather Information),Full Skill Buy (Gather Information)
Handle Animal.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Handle Animal|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Handle Animal),Full Skill Buy (Handle Animal)
Heal.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Heal|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Heal),Full Skill Buy (Heal)
Hide.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Hide|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Hide),Full Skill Buy (Hide)
Innuendo.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Innuendo|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Innuendo),Full Skill Buy (Innuendo)
Intimidate.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Intimidate|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Intimidate),Full Skill Buy (Intimidate)
Intuit Direction.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Intuit Direction|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Intuit Direction),Full Skill Buy (Intuit Direction)
Jump.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Jump|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Jump),Full Skill Buy (Jump)
Knowledge (Arcana).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Arcana)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Arcana)),Full Skill Buy (Knowledge (Arcana))
Knowledge (Religion).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Religion)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Religion)),Full Skill Buy (Knowledge (Religion))
Knowledge (Nature).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Nature)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Nature)),Full Skill Buy (Knowledge (Nature))
Knowledge (Local).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Local)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Local)),Full Skill Buy (Knowledge (Local))
Knowledge (Architecture and Engineering).MOD	TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Architecture and Engineering)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Architecture and Engineering)),Full Skill Buy (Knowledge (Architecture and Engineering))
Knowledge (Geography).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Geography)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Geography)),Full Skill Buy (Knowledge (Geography))
Knowledge (History).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (History)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (History)),Full Skill Buy (Knowledge (History))
Knowledge (Nobility and Royalty).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Nobility and Royalty)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Nobility and Royalty)),Full Skill Buy (Knowledge (Nobility and Royalty))
Knowledge (The Planes).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (The Planes)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (The Planes)),Full Skill Buy (Knowledge (The Planes))
Knowledge (Undead).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Undead)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Undead)),Full Skill Buy (Knowledge (Undead))
Knowledge (Underdark).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Underdark)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Underdark)),Full Skill Buy (Knowledge (Underdark))
Listen.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Listen|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Listen),Full Skill Buy (Listen)
Literacy.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Literacy|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Literacy),Full Skill Buy (Literacy)
Move Silently.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Move Silently|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Move Silently),Full Skill Buy (Move Silently)
Open Lock.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Open Lock|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Open Lock),Full Skill Buy (Open Lock)
Perform.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Perform),Full Skill Buy (Perform)
Pick Pocket.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Pick Pocket|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Pick Pocket),Full Skill Buy (Pick Pocket)
Profession (Apothecary).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Apothecary)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Apothecary)),Full Skill Buy (Profession (Apothecary))
Profession (Boater).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Boater)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Boater)),Full Skill Buy (Profession (Boater))
Profession (Bookkeeper).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Bookkeeper)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Bookkeeper)),Full Skill Buy (Profession (Bookkeeper))
Profession (Brewer).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Brewer)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Brewer)),Full Skill Buy (Profession (Brewer))
Profession (Cook).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Cook)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Cook)),Full Skill Buy (Profession (Cook))
Profession (Driver).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Driver)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Driver)),Full Skill Buy (Profession (Driver))
Profession (Farmer).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Farmer)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Farmer)),Full Skill Buy (Profession (Farmer))
Profession (Fisher).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Fisher)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Fisher)),Full Skill Buy (Profession (Fisher))
Profession (Guide).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Guide)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Guide)),Full Skill Buy (Profession (Guide))
Profession (Herbalist).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Herbalist)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Herbalist)),Full Skill Buy (Profession (Herbalist))
Profession (Herdsman).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Herdsman)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Herdsman)),Full Skill Buy (Profession (Herdsman))
Profession (Innkeeper).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Innkeeper)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Innkeeper)),Full Skill Buy (Profession (Innkeeper))
Profession (Lumberjack).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Lumberjack)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Lumberjack)),Full Skill Buy (Profession (Lumberjack))
Profession (Miller).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Miller)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Miller)),Full Skill Buy (Profession (Miller))
Profession (Miner).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Miner)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Miner)),Full Skill Buy (Profession (Miner))
Profession (Porter).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Porter)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Porter)),Full Skill Buy (Profession (Porter))
Profession (Rancher).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Rancher)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Rancher)),Full Skill Buy (Profession (Rancher))
Profession (Sailor).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Sailor)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Sailor)),Full Skill Buy (Profession (Sailor))
Profession (Scribe).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Scribe)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Scribe)),Full Skill Buy (Profession (Scribe))
Profession (Siege Engineer).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Siege Engineer)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Siege Engineer)),Full Skill Buy (Profession (Siege Engineer))
Profession (Stablehand).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Stablehand)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Stablehand)),Full Skill Buy (Profession (Stablehand))
Profession (Tanner).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Tanner)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Tanner)),Full Skill Buy (Profession (Tanner))
Profession (Teamster).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Teamster)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Teamster)),Full Skill Buy (Profession (Teamster))
Profession (Woodcutter).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Woodcutter)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Woodcutter)),Full Skill Buy (Profession (Woodcutter))
Read Lips.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Read Lips|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Read Lips),Full Skill Buy (Read Lips)
Ride.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Ride|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Ride),Full Skill Buy (Ride)
Scry.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Scry|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Scry),Full Skill Buy (Scry)
Search.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Search|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Search),Full Skill Buy (Search)
Sense Motive.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Sense Motive|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Sense Motive),Full Skill Buy (Sense Motive)
Speak Language.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Speak Language|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Speak Language),Full Skill Buy (Speak Language)
Spellcraft.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Spellcraft|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Spellcraft),Full Skill Buy (Spellcraft)
Spot.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Spot|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Spot),Full Skill Buy (Spot)
Swim.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Swim|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Swim),Full Skill Buy (Swim)
Tumble.MOD							TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Tumble|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Tumble),Full Skill Buy (Tumble)
Use Magic Device.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Use Magic Device|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Use Magic Device),Full Skill Buy (Use Magic Device)
Use Rope.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Use Rope|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Use Rope),Full Skill Buy (Use Rope)
Wilderness Lore.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Wilderness Lore|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Wilderness Lore),Full Skill Buy (Wilderness Lore)


###Block: MM skills
# Skill Name				Type					Ability																														Modify VAR
Control Shape.MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Control Shape|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Control Shape),Full Skill Buy (Control Shape)
Craft (Metalworking).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Metalworking)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Craft (Metalworking)),Full Skill Buy (Craft (Metalworking))
Knowledge (Geology).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Geology)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Geology)),Full Skill Buy (Knowledge (Geology))
Knowledge (Minerals).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Minerals)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Minerals)),Full Skill Buy (Knowledge (Minerals))
Knowledge (Plane of Air).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Plane of Air)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Plane of Air)),Full Skill Buy (Knowledge (Plane of Air))
Knowledge (Plane of Water).MOD	TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Plane of Water)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Knowledge (Plane of Water)),Full Skill Buy (Knowledge (Plane of Water))
Profession (Hunt).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Hunt)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Profession (Hunt)),Full Skill Buy (Profession (Hunt))

# Mystic Artist Sub Skill
Perform.MOD																																									BONUS:VAR|MysticArtist|skillinfo("TOTAL","Perform")|TYPE=PerformSkill|PREABILITY:1,CATEGORY=Special Ability,TYPE.MysticArtistDefault







