# CVS $Revision$ $Author$ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Necromancy	SOURCESHORT:Necromancy	SOURCEWEB:http://www.mongoosepublishing.com	SOURCEDATE:2003-09
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name			Classes of caster			School		Type		Components		Casting Time		Range			Item		Target Area or Effect							Duration						Save Info					Spell Resistance		Source Page		Description
Shadow Skin				CLASSES:Sorcerer,Wizard=8	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:1 hour/lvl				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.29	DESC:See text
Shrieking Missile			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:Missile touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.29	DESC:See Text
Skeletal Spikes			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.30	DESC:See Text
Skull Snare				CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 skull touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.30	DESC:See Text
Strike Barren			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Permanent				SAVEINFO:Will Negates			SPELLRES:Yes		SOURCEPAGE:p.31	DESC:See text
Threshold of Unlife		CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:30 Minutes	RANGE:100 feet	ITEM:Potion	TARGETAREA:100'								DURATION:Permanent (D)				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.31	DESC:See Text
Undead Conduit			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:1 undead creature						DURATION:1 minute/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.32	DESC:See text
Unfetter Undead			CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:50' radius							DURATION:1 day					SAVEINFO:Will Negates			SPELLRES:No			SOURCEPAGE:p.32	DESC:See text
Voice of Deathly Whispers	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 undead creature						DURATION:1 round/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.32	DESC:See text
Visage of the Dead		CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			SOURCEPAGE:p.32	DESC:See Text
Wall of Bone			CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:Bone wall whose area is up to one 5' square/lvl	DURATION:Instantaneous				SAVEINFO:See Text				SPELLRES:No			SOURCEPAGE:p.33	DESC:See text
Wound					CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:2 rounds/lvl				SAVEINFO:None				SPELLRES:Yes		SOURCEPAGE:p.33	DESC:See text
