# CVS $Revision$ $Author$ -- Tue Nov 11 14:25:56 2008 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Malhavoc Press - Book of Eldritch Might	SOURCESHORT:BoEM1	SOURCEWEB:http://www.montecook.com	SOURCEDATE:2001-12
#Spell names and other proper names from The Book of Eldritch Might are
#	©2001-2005 Monte J. Cook and are used here with his permission.
#Original entry by: Paul "Yes, that Paul" Grosse

#Scroll name
# Equipment Name					Type								Cost		Weight	Source Page
Scroll (Imbue Guardian)				TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.16
Scroll (Magma Burst)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:3825	WT:0.01	SOURCEPAGE:p.16
Scroll (Mantle of Egregious Might)		TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.16
Scroll (Mark of Air)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.17
Scroll (Mark of Death)				TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.17
Scroll (Mark of Earth)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.17
Scroll (Mark of Fire)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.17
Scroll (Mark of Frost)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.17
Scroll (Mark of Water)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.18
Scroll (Mass Fly (EMI))				TYPE:Magic.Scroll.Consumable.Arcane			COST:2275	WT:0.01	SOURCEPAGE:p.18
Scroll (Mental Alarm)				TYPE:Magic.Scroll.Consumable.Arcane			COST:12.5	WT:0.01	SOURCEPAGE:p.18
Scroll (Minor Ward)				TYPE:Magic.Scroll.Consumable.Arcane			COST:12.5	WT:0.01	SOURCEPAGE:p.18
Scroll (Precise Vision)				TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.20
Scroll (Primal Release)				TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.20
Scroll (Silent Sound)				TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.21
Scroll (Spelltrap)				TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.21
Scroll (Static Veil)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.21
Scroll (Teleport Block)				TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.21
Scroll (Teleport Coordinates Transfer)	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.21
Scroll (Teleport Redirect)			TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.22
Scroll (Teleport Tracer)			TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.22
Scroll (Thief Ward)				TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.22
Scroll (Tongue of Angels)			TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.22
Scroll (Tongue of Fiends)			TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.22
Scroll (Undaunted Fixture)			TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.22
Scroll (Zone of Speed)				TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.23
