# CVS $Revision$ $Author$ -- Tue Dec  9 22:07:56 2014 -- reformated by prettylst.pl v1.51 (build 25712)
#SOURCELONG:Pathfinder Society Field Guide		SOURCESHORT:PFSFG	SOURCEWEB:http://paizo.com/pathfinderSociety/scenarios/v5748btpy84k4	SOURCEDATE:2011-08
# Original Entry by: Mark Means

# Ability Category											Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object								Display Location
ABILITYCATEGORY:Skill Specialization								VISIBLE:QUALIFY	EDITABLE:YES								CATEGORY:Special Ability	TYPE:SkillSpecialization						DISPLAYLOCATION:Background

ABILITYCATEGORY:Skill Specialization (Knowledge (Local)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Local				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (Nature)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Nature				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (Nobility)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Nobility			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (Planes)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Planes				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Knowledge (Religion)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Knowledge_Religion			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Linguistics) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Linguistics				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perception) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perception					DISPLAYLOCATION:Background
#ABILITYCATEGORY:Skill Specialization (Perform) Choice					EDITABLE:YES	EDITPOOL:YES		FRACTIONALPOOL:NO		CATEGORY:Special Ability	VISIBLE:QUALIFY	DISPLAYLOCATION:Background	TYPE:SkillSpecialization_Perform
ABILITYCATEGORY:Skill Specialization (Perform (Act)) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_Act				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (Comedy)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_Comedy				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (Dance)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_Dance				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (Keyboard Instruments)) Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_KeyboardInstruments		DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (Oratory)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_Oratory				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (Percussion Instruments)) Choice	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_PercussionInstruments	DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (Sing)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_Sing				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (String Instruments)) Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_StringInstruments		DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Perform (Wind Instruments)) Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Perform_WindInstruments		DISPLAYLOCATION:Background
#ABILITYCATEGORY:Skill Specialization (Profession) Choice				EDITABLE:YES	EDITPOOL:YES		FRACTIONALPOOL:NO		CATEGORY:Special Ability	VISIBLE:QUALIFY	DISPLAYLOCATION:Background	TYPE:SkillSpecialization_Profession
ABILITYCATEGORY:Skill Specialization (Profession (Architect)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Architect			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Baker)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Baker				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Barrister)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Barrister			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Brewer)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Brewer			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Butcher)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Butcher			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Clerk)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Clerk				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Cook)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Cook				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Courtesan)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Courtesan			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Driver)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Driver			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Engineer)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Engineer			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Farmer)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Farmer			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Fisherman)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Fisherman			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Fortune-teller)) Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Fortuneteller		DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Gambler)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Gambler			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Gardener)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Gardener			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Herbalist)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Herbalist			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Innkeeper)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Innkeeper			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Librarian)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Librarian			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Merchant)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Merchant			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Midwife)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Midwife			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Miller)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Miller			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Miner)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Miner				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Porter)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Porter			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Sailor)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Sailor			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Scribe)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Scribe			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Shepherd)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Shepherd			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Soldier)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Soldier			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Soothsayer)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Soothsayer			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Stable Master)) Choice		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_StableMaster		DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Tanner)) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Tanner			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Trapper)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Trapper			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Profession (Woodcutter)) Choice			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Profession_Woodcutter			DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Ride) Choice						VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Ride						DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Sense Motive) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_SenseMotive				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Sleight of Hand) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_SleightOfHand				DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Spellcraft) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Spellcraft					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Stealth) Choice						VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Stealth					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Survival) Choice					VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Survival					DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Swim) Choice						VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_Swim						DISPLAYLOCATION:Background
ABILITYCATEGORY:Skill Specialization (Use Magic Device) Choice				VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SkillSpecialization_UseMagicDevice				DISPLAYLOCATION:Background

#
###END
#
