# CVS $Revision$ $Author$ -- Fri Jan 26 14:15:26 2007 -- reformated by prettylst.pl v1.36 (build 2045)
SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Necromancy	SOURCESHORT:Necromancy	SOURCEWEB:http://www.mongoosepublishing.com
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name			Classes of caster			School		Type		Components		Casting Time		Range			Item		Target Area or Effect							Duration						Save Info					Spell Resistance		Description		Source Page
Ghoulish Curse			CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Instantaneous				SAVEINFO:Fortitude Negates		SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.23
Graft Weapons			CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 or more Skeletons/Zombies touched			DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.24
Identify Undead			CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:60 feet	ITEM:Potion	TARGETAREA:Quarter circle emanating from caster			DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.25
Invigoration of Undeath		CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:30 feet	ITEM:Potion	TARGETAREA:Zombies in a 30' radius around caster		DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.25
Longevity				CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:Creature touched						DURATION:Instantaneous				SAVEINFO:Will Negates (Harmless)	SPELLRES:Yes (Harmless)	DESC:See text	SOURCEPAGE:p.25
Protection from Undead		CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:Creature Touched						DURATION:1 Minute/lvl				SAVEINFO:Will Negates (Harmless)	SPELLRES:No			DESC:See text	SOURCEPAGE:p.25
Raise City				CLASSES:Sorcerer,Wizard=9	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Day		RANGE:Special	ITEM:Potion	TARGETAREA:Ruined Settlement						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See Text	SOURCEPAGE:p.26
Raise Death Fleet			CLASSES:Sorcerer,Wizard=9	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Day		RANGE:Long		ITEM:Potion	TARGETAREA:1 or more sunken ships					DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See Text	SOURCEPAGE:p.26
Raise Death Hulk			CLASSES:Sorcerer,Wizard=7	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Long		ITEM:Potion	TARGETAREA:1 sunken ship						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See Text	SOURCEPAGE:p.27
Recall Spirit			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Hour		RANGE:Touch		ITEM:Potion	TARGETAREA:1 corpse							DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.28
Sensory Link			CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 undead creature						DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.28
Shadow Horror			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:Special					SAVEINFO:Will Negates (Special)	SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.28
Shadow Mastery			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:1 minute/lvl				SAVEINFO:Will Negates			SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.28
Shadow Skin				CLASSES:Sorcerer,Wizard=8	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:1 hour/lvl				SAVEINFO:None				SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.29
Shrieking Missile			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:Missile touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See Text	SOURCEPAGE:p.29
Skeletal Spikes			CLASSES:Sorcerer,Wizard=5	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			DESC:See Text	SOURCEPAGE:p.30
Skull Snare				CLASSES:Sorcerer,Wizard=0	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 skull touched						DURATION:Instantaneous				SAVEINFO:None				SPELLRES:No			DESC:See Text	SOURCEPAGE:p.30
Strike Barren			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 living creature						DURATION:Permanent				SAVEINFO:Will Negates			SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.31
Threshold of Unlife		CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:30 Minutes	RANGE:100 feet	ITEM:Potion	TARGETAREA:100'								DURATION:Permanent (D)				SAVEINFO:None				SPELLRES:Yes		DESC:See Text	SOURCEPAGE:p.31
Undead Conduit			CLASSES:Sorcerer,Wizard=3	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:1 undead creature						DURATION:1 minute/lvl				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.32
Unfetter Undead			CLASSES:Sorcerer,Wizard=6	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S		CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:50' radius							DURATION:1 day					SAVEINFO:Will Negates			SPELLRES:No			DESC:See text	SOURCEPAGE:p.32
Voice of Deathly Whispers	CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Touch		ITEM:Potion	TARGETAREA:1 undead creature						DURATION:1 round/lvl				SAVEINFO:None				SPELLRES:No			DESC:See text	SOURCEPAGE:p.32
Visage of the Dead		CLASSES:Sorcerer,Wizard=2	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Personal			TARGETAREA:Caster								DURATION:10 minutes/lvl				SAVEINFO:None				SPELLRES:No			DESC:See Text	SOURCEPAGE:p.32
Wall of Bone			CLASSES:Sorcerer,Wizard=4	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Medium	ITEM:Potion	TARGETAREA:Bone wall whose area is up to one 5' square/lvl	DURATION:Instantaneous				SAVEINFO:See Text				SPELLRES:No			DESC:See text	SOURCEPAGE:p.33
Wound					CLASSES:Sorcerer,Wizard=1	SCHOOL:Necromancy	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 Action		RANGE:Close		ITEM:Potion	TARGETAREA:1 creature							DURATION:2 rounds/lvl				SAVEINFO:None				SPELLRES:Yes		DESC:See text	SOURCEPAGE:p.33
