# CVS $Revision: $ $Author: $ -- Wed Dec 10 01:48:21 2014 -- reformated by prettylst.pl v1.51 (build 25712)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03
# Original Entry by:Stefan Radermacher

# Prestige Classes: Hellknight, Low Templar;

###Block: Cleric Domain Powers
# Ability Name		Unique Key								Category of Ability		Type								Define					Description																										Modify VAR									Allow Follower			Allowed Companions												Source Page		Aspects																				Description of the Benefits
#CATEGORY=Special Ability|Venomous Stare ~ Scalykind Domain				TYPE:PFSLegal
#CATEGORY=Special Ability|Serpent Companion ~ Scalykind Domain			TYPE:PFSLegal
#CATEGORY=Special Ability|Guarded Mind ~ Void Domain					TYPE:PFSLegal
#CATEGORY=Special Ability|Part the Veil ~ Void Domain					TYPE:PFSLegal
#CATEGORY=Special Ability|It Came From Beyond ~ Dark Tapestry Subdomain	TYPE:PFSLegal
#CATEGORY=Special Ability|Dragonbreath ~ Dragon Subdomain				TYPE:PFSLegal
#CATEGORY=Special Ability|The Stars Are Right ~ Stars Subdomain			TYPE:PFSLegal
#CATEGORY=Special Ability|Dinosaur Companion ~ Saurian Subdomain		TYPE:PFSLegal


###BLOCK: Harrower Abilities
# Ability Name							Type
CATEGORY=Special Ability|Ruthless ~ Low.MOD				TYPE:PFSLegal
CATEGORY=Special Ability|Parting Shot ~ Low.MOD				TYPE:PFSLegal
CATEGORY=Special Ability|Planar Cohort ~ Low.MOD			TYPE:PFSLegal

# Low Templar path choices
CATEGORY=Special Ability|Path of DarknessC ~ Low.MOD			TYPE:PFSLegal
CATEGORY=Special Ability|Path of DarknessE ~ Low.MOD			TYPE:PFSLegal
CATEGORY=Special Ability|Path of LightG ~ Low.MOD			TYPE:PFSLegal
CATEGORY=Special Ability|Path of LightL ~ Low.MOD			TYPE:PFSLegal
CATEGORY=Special Ability|DamnationC ~ Low.MOD				TYPE:PFSLegal
CATEGORY=Special Ability|DamnationE ~ Low.MOD				TYPE:PFSLegal
CATEGORY=Special Ability|RedemptionG ~ Low.MOD				TYPE:PFSLegal
CATEGORY=Special Ability|RedemptionL ~ Low.MOD				TYPE:PFSLegal

### BLOCK: Red Mantis Assassin
CATEGORY=Special Ability|RMA Weapon Proficiencies.MOD			TYPE:PFSNotLegal
CATEGORY=Special Ability|Armored Casting ~ RMA.MOD			TYPE:PFSNotLegal
CATEGORY=Special Ability|Sabre Fighting.MOD				TYPE:PFSNotLegal
CATEGORY=Special Ability|Prayer Attack.MOD				TYPE:PFSNotLegal
CATEGORY=Special Ability|Red Shroud.MOD					TYPE:PFSNotLegal
CATEGORY=Special Ability|Summon Mantis.MOD				TYPE:PFSNotLegal
CATEGORY=Special Ability|Resurrection Sense.MOD				TYPE:PFSNotLegal
CATEGORY=Special Ability|Mantis Form.MOD					TYPE:PFSNotLegal
CATEGORY=Special Ability|Blood Mantis Form.MOD				TYPE:PFSNotLegal
CATEGORY=Special Ability|Death Mantis Form.MOD				TYPE:PFSNotLegal
CATEGORY=Special Ability|Fading.MOD						TYPE:PFSNotLegal
CATEGORY=Special Ability|Mantis Doom.MOD					TYPE:PFSNotLegal
CATEGORY=Special Ability|RMA Bonus Spells.MOD				TYPE:PFSNotLegal

###BLOCK: Companion Ablities
# Ability Name								Type
CATEGORY=Special Ability|Companion Andoren Falconry.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Bonus to AC ~ AF.MOD			TYPE:PFSNotLegal
CATEGORY=Special Ability|Bonus to Attack ~ AF.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Bonus to Will Saves ~ AF.MOD		TYPE:PFSNotLegal


###BLOCK: Hermean Blood Abilities
# Ability Name								Type
CATEGORY=Special Ability|Hermean Blood ~ Strength.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Hermean Blood ~ Dexterity.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Hermean Blood ~ Intelligence.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Hermean Blood ~ Wisdom.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Hermean Blood ~ Charisma.MOD		TYPE:PFSNotLegal

###BLOCK: Noble Scion Abilities
# Ability Name								Type
CATEGORY=Special Ability|Scion of the Arts.MOD			TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore.MOD			TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Arcana.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Dungeoneering.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Engineering.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Geography.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ History.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Local.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Nature.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Nobility.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Planes.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Lore ~ Religion.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Magic.MOD			TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of Peace.MOD			TYPE:PFSNotLegal
CATEGORY=Special Ability|Scion of War.MOD				TYPE:PFSNotLegal

###BLOCK: Scholar Abilities
# Ability Name							Type
CATEGORY=Special Ability|Scholar ~ Arcana.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Dungeoneering.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Engineering.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Geography.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ History.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Local.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Nature.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Nobility.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Planes.MOD		TYPE:PFSNotLegal
CATEGORY=Special Ability|Scholar ~ Religion.MOD		TYPE:PFSNotLegal

###BLOCK: Totem Spirit Abilities
# Ability Name								Type
CATEGORY=Special Ability|Totem Spirit ~ Lyrune-Quah.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Totem Spirit ~ Shadde-Quah.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Totem Spirit ~ Shriikirri-Quah.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Totem Spirit ~ Shundar-Quah.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Totem Spirit ~ Sklar-Quah.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Totem Spirit ~ Skoan-Quah.MOD	TYPE:PFSNotLegal
CATEGORY=Special Ability|Totem Spirit ~ Tamiir-Quah.MOD	TYPE:PFSNotLegal

###BLOCK: Varisian Tattoo Abilities
# Ability Name								Type
CATEGORY=Special Ability|Varisian Tattoo ~ Avidais.MOD	TYPE:PFSLegal
CATEGORY=Special Ability|Varisian Tattoo ~ Idolis.MOD		TYPE:PFSLegal
CATEGORY=Special Ability|Varisian Tattoo ~ Carnasia.MOD	TYPE:PFSLegal
CATEGORY=Special Ability|Varisian Tattoo ~ Ragario.MOD	TYPE:PFSLegal
CATEGORY=Special Ability|Varisian Tattoo ~ Vangloris.MOD	TYPE:PFSLegal
CATEGORY=Special Ability|Varisian Tattoo ~ Voratalo.MOD	TYPE:PFSLegal
CATEGORY=Special Ability|Varisian Tattoo ~ Avaria.MOD		TYPE:PFSLegal
