# CVS $Revision$ $Author$ -- Thu Feb  5 15:53:35 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Dawnforge	SOURCESHORT:DF	SOURCEWEB:http://www.fantasyflightgames.com/dawnforge.html	SOURCEDATE:2003-10
# Original Entry by: Ratheof Blithwyn

###########################
##   Legendary Paths     ##
###########################

# Feat Name					Type				Visible	Required Stat	Required var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
# Ability Name				Category of Ability		Type				Visible		Required Stat	Required Var. value			Special ABility											Define					Stat bonus						Modify VAR					Source Page
Path of the Mighty 1st Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,STR=18							SAB:Path of the Mighty (1st Circle)|PREVAREQ:LegendaryPathMighty,1		DEFINE:LegendaryPathMighty|0		BONUS:STAT|STR|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathMighty|1	SOURCEPAGE:p84
Path of the Unyielding 2nd Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CON=20	PREVAREQ:LegendaryPathUnyielding,1	SAB:Path of the Unyielding (2nd Circle)|PREVAREQ:LegendaryPathUnyielding,2							BONUS:STAT|CON|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathUnyielding|1	SOURCEPAGE:p84
Path of the Unyielding 3rd Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CON=22	PREVAREQ:LegendaryPathUnyielding,2	SAB:Path of the Unyielding (3rd Circle)|PREVAREQ:LegendaryPathUnyielding,3							BONUS:STAT|CON|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathUnyielding|1	SOURCEPAGE:p84
Path of the Unyielding 4th Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CON=24	PREVAREQ:LegendaryPathUnyielding,3	SAB:Path of the Unyielding (4th Circle)|PREVAREQ:LegendaryPathUnyielding,4							BONUS:STAT|CON|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathUnyielding|1	SOURCEPAGE:p84
Path of the Unyielding 5th Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CON=26	PREVAREQ:LegendaryPathUnyielding,4	SAB:Path of the Unyielding (5th Circle)|PREVAREQ:LegendaryPathUnyielding,5							BONUS:STAT|CON|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathUnyielding|1	SOURCEPAGE:p84
Path of the Learned 1st Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,INT=18							SAB:Path of the Learned (1st Circle)|PREVAREQ:LegendaryPathLearned,1		DEFINE:LegendaryPathLearned|0		BONUS:STAT|INT|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathLearned|1	SOURCEPAGE:p84
Path of the Learned 2nd Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,INT=20	PREVAREQ:LegendaryPathLearned,1	SAB:Path of the Learned (2nd Circle)|PREVAREQ:LegendaryPathLearned,2								BONUS:STAT|INT|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathLearned|1	SOURCEPAGE:p84
Path of the Learned 3rd Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,INT=22	PREVAREQ:LegendaryPathLearned,2	SAB:Path of the Learned (3rd Circle)|PREVAREQ:LegendaryPathLearned,3								BONUS:STAT|INT|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathLearned|1	SOURCEPAGE:p84
Path of the Learned 4th Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,INT=24	PREVAREQ:LegendaryPathLearned,3	SAB:Path of the Learned (4th Circle)|PREVAREQ:LegendaryPathLearned,4								BONUS:STAT|INT|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathLearned|1	SOURCEPAGE:p84
Path of the Learned 5th Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,INT=26	PREVAREQ:LegendaryPathLearned,4	SAB:Path of the Learned (5th Circle)|PREVAREQ:LegendaryPathLearned,5								BONUS:STAT|INT|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathLearned|1	SOURCEPAGE:p84
Path of the Wise 1st Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,WIS=18							SAB:Path of the Wise (1st Circle)|PREVAREQ:LegendaryPathWise,1			DEFINE:LegendaryPathWise|0		BONUS:STAT|WIS|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathWise|1		SOURCEPAGE:p84
Path of the Wise 2nd Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,WIS=20	PREVAREQ:LegendaryPathWise,1		SAB:Path of the Wise (2nd Circle)|PREVAREQ:LegendaryPathWise,2									BONUS:STAT|WIS|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathWise|1		SOURCEPAGE:p84
Path of the Wise 3rd Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,WIS=22	PREVAREQ:LegendaryPathWise,2		SAB:Path of the Wise (3rd Circle)|PREVAREQ:LegendaryPathWise,3									BONUS:STAT|WIS|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathWise|1		SOURCEPAGE:p84
Path of the Wise 4th Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,WIS=24	PREVAREQ:LegendaryPathWise,3		SAB:Path of the Wise (4th Circle)|PREVAREQ:LegendaryPathWise,4									BONUS:STAT|WIS|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathWise|1		SOURCEPAGE:p84
Path of the Wise 5th Circle		CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,WIS=26	PREVAREQ:LegendaryPathWise,4		SAB:Path of the Wise (5th Circle)|PREVAREQ:LegendaryPathWise,5									BONUS:STAT|WIS|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathWise|1		SOURCEPAGE:p84
Path of the Persuasive 1st Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CHA=18							SAB:Path of the Persuasive (1st Circle)|PREVAREQ:LegendaryPathPersuasive,1	DEFINE:LegendaryPathPersuasive|0	BONUS:STAT|CHA|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathPersuasive|1	SOURCEPAGE:p84
Path of the Persuasive 2nd Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CHA=20	PREVAREQ:LegendaryPathPersuasive,1	SAB:Path of the Persuasive (2nd Circle)|PREVAREQ:LegendaryPathPersuasive,2							BONUS:STAT|CHA|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathPersuasive|1	SOURCEPAGE:p84
Path of the Persuasive 3rd Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CHA=22	PREVAREQ:LegendaryPathPersuasive,2	SAB:Path of the Persuasive (3rd Circle)|PREVAREQ:LegendaryPathPersuasive,3							BONUS:STAT|CHA|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathPersuasive|1	SOURCEPAGE:p84
Path of the Persuasive 4th Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CHA=24	PREVAREQ:LegendaryPathPersuasive,3	SAB:Path of the Persuasive (4th Circle)|PREVAREQ:LegendaryPathPersuasive,4							BONUS:STAT|CHA|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathPersuasive|1	SOURCEPAGE:p84
Path of the Persuasive 5th Circle	CATEGORY:Special Ability	TYPE:LegendaryPath	VISIBLE:DISPLAY	PRESTAT:1,CHA=26	PREVAREQ:LegendaryPathPersuasive,4	SAB:Path of the Persuasive (5th Circle)|PREVAREQ:LegendaryPathPersuasive,5							BONUS:STAT|CHA|1|TYPE=Legendary.STACK	BONUS:VAR|LegendaryPathPersuasive|1	SOURCEPAGE:p84



###########################
##   Legendary Abilites  ##
###########################

###Block:Generic legendary abilities
# Feat Name				Type					Visible	Prohibited Feat					Special ABility			Stat bonus					Source Page
# Ability Name			Category of Ability		Type					Visible		Restricted Ability								Var. Min. Value				Special ABility			Stat bonus					Source Page
Enhanced Strength I		CATEGORY:Special Ability	TYPE:LegendaryEnhancedSTR	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedSTR	PREVARGTEQ:LegendaryEnhanced,1	SAB:Enhanced Strength I		BONUS:STAT|STR|1|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Strength II		CATEGORY:Special Ability	TYPE:LegendaryEnhancedSTR	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedSTR	PREVARGTEQ:LegendaryEnhanced,2	SAB:Enhanced Strength II	BONUS:STAT|STR|2|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Strength III		CATEGORY:Special Ability	TYPE:LegendaryEnhancedSTR	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedSTR	PREVARGTEQ:LegendaryEnhanced,3	SAB:Enhanced Strength III	BONUS:STAT|STR|3|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Strength IV		CATEGORY:Special Ability	TYPE:LegendaryEnhancedSTR	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedSTR	PREVARGTEQ:LegendaryEnhanced,4	SAB:Enhanced Strength IV	BONUS:STAT|STR|4|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Strength V		CATEGORY:Special Ability	TYPE:LegendaryEnhancedSTR	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedSTR	PREVARGTEQ:LegendaryEnhanced,5	SAB:Enhanced Strength V		BONUS:STAT|STR|5|TYPE=Legendary	SOURCEPAGE:p52

Enhanced Dexterity I		CATEGORY:Special Ability	TYPE:LegendaryEnhancedDEX	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedDEX	PREVARGTEQ:LegendaryEnhanced,1	SAB:Enhanced Dexterity I	BONUS:STAT|DEX|1|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Dexterity II		CATEGORY:Special Ability	TYPE:LegendaryEnhancedDEX	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedDEX	PREVARGTEQ:LegendaryEnhanced,2	SAB:Enhanced Dexterity II	BONUS:STAT|DEX|2|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Dexterity III		CATEGORY:Special Ability	TYPE:LegendaryEnhancedDEX	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedDEX	PREVARGTEQ:LegendaryEnhanced,3	SAB:Enhanced Dexterity III	BONUS:STAT|DEX|3|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Dexterity IV		CATEGORY:Special Ability	TYPE:LegendaryEnhancedDEX	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedDEX	PREVARGTEQ:LegendaryEnhanced,4	SAB:Enhanced Dexterity IV	BONUS:STAT|DEX|4|TYPE=Legendary	SOURCEPAGE:p52
Enhanced Dexterity V		CATEGORY:Special Ability	TYPE:LegendaryEnhancedDEX	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedDEX	PREVARGTEQ:LegendaryEnhanced,5	SAB:Enhanced Dexterity V	BONUS:STAT|DEX|5|TYPE=Legendary	SOURCEPAGE:p52

Enhanced Constitution I		CATEGORY:Special Ability	TYPE:LegendaryEnhancedCON	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCON	PREVARGTEQ:LegendaryEnhanced,1	SAB:Enhanced Constitution I	BONUS:STAT|CON|1|TYPE=Legendary	SOURCEPAGE:p46
Enhanced Constitution II	CATEGORY:Special Ability	TYPE:LegendaryEnhancedCON	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCON	PREVARGTEQ:LegendaryEnhanced,2	SAB:Enhanced Constitution II	BONUS:STAT|CON|2|TYPE=Legendary	SOURCEPAGE:p46
Enhanced Constitution III	CATEGORY:Special Ability	TYPE:LegendaryEnhancedCON	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCON	PREVARGTEQ:LegendaryEnhanced,3	SAB:Enhanced Constitution III	BONUS:STAT|CON|3|TYPE=Legendary	SOURCEPAGE:p46
Enhanced Constitution IV	CATEGORY:Special Ability	TYPE:LegendaryEnhancedCON	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCON	PREVARGTEQ:LegendaryEnhanced,4	SAB:Enhanced Constitution IV	BONUS:STAT|CON|4|TYPE=Legendary	SOURCEPAGE:p46
Enhanced Constitution V		CATEGORY:Special Ability	TYPE:LegendaryEnhancedCON	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCON	PREVARGTEQ:LegendaryEnhanced,5	SAB:Enhanced Constitution V	BONUS:STAT|CON|5|TYPE=Legendary	SOURCEPAGE:p46

Enhanced Intelligence I		CATEGORY:Special Ability	TYPE:LegendaryEnhancedINT	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedINT	PREVARGTEQ:LegendaryEnhanced,1	SAB:Enhanced Intelligence I	BONUS:STAT|INT|1|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Intelligence II	CATEGORY:Special Ability	TYPE:LegendaryEnhancedINT	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedINT	PREVARGTEQ:LegendaryEnhanced,2	SAB:Enhanced Intelligence II	BONUS:STAT|INT|2|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Intelligence III	CATEGORY:Special Ability	TYPE:LegendaryEnhancedINT	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedINT	PREVARGTEQ:LegendaryEnhanced,3	SAB:Enhanced Intelligence III	BONUS:STAT|INT|3|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Intelligence IV	CATEGORY:Special Ability	TYPE:LegendaryEnhancedINT	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedINT	PREVARGTEQ:LegendaryEnhanced,4	SAB:Enhanced Intelligence IV	BONUS:STAT|INT|4|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Intelligence V		CATEGORY:Special Ability	TYPE:LegendaryEnhancedINT	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedINT	PREVARGTEQ:LegendaryEnhanced,5	SAB:Enhanced Intelligence V	BONUS:STAT|INT|5|TYPE=Legendary	SOURCEPAGE:p61

Enhanced Wisdom I			CATEGORY:Special Ability	TYPE:LegendaryEnhancedWIS	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedWIS	PREVARGTEQ:LegendaryEnhanced,1	SAB:Enhanced Wisdom I		BONUS:STAT|WIS|1|TYPE=Legendary	SOURCEPAGE:p54
Enhanced Wisdom II		CATEGORY:Special Ability	TYPE:LegendaryEnhancedWIS	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedWIS	PREVARGTEQ:LegendaryEnhanced,2	SAB:Enhanced Wisdom II		BONUS:STAT|WIS|2|TYPE=Legendary	SOURCEPAGE:p54
Enhanced Wisdom III		CATEGORY:Special Ability	TYPE:LegendaryEnhancedWIS	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedWIS	PREVARGTEQ:LegendaryEnhanced,3	SAB:Enhanced Wisdom III		BONUS:STAT|WIS|3|TYPE=Legendary	SOURCEPAGE:p54
Enhanced Wisdom IV		CATEGORY:Special Ability	TYPE:LegendaryEnhancedWIS	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedWIS	PREVARGTEQ:LegendaryEnhanced,4	SAB:Enhanced Wisdom IV		BONUS:STAT|WIS|4|TYPE=Legendary	SOURCEPAGE:p54
Enhanced Wisdom V			CATEGORY:Special Ability	TYPE:LegendaryEnhancedWIS	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedWIS	PREVARGTEQ:LegendaryEnhanced,5	SAB:Enhanced Wisdom V		BONUS:STAT|WIS|5|TYPE=Legendary	SOURCEPAGE:p54

Enhanced Charisma I		CATEGORY:Special Ability	TYPE:LegendaryEnhancedCHA	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCHA	PREVARGTEQ:LegendaryEnhanced,1	SAB:Enhanced Charisma I		BONUS:STAT|CHA|1|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Charisma II		CATEGORY:Special Ability	TYPE:LegendaryEnhancedCHA	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCHA	PREVARGTEQ:LegendaryEnhanced,2	SAB:Enhanced Charisma II	BONUS:STAT|CHA|2|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Charisma III		CATEGORY:Special Ability	TYPE:LegendaryEnhancedCHA	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCHA	PREVARGTEQ:LegendaryEnhanced,3	SAB:Enhanced Charisma III	BONUS:STAT|CHA|3|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Charisma IV		CATEGORY:Special Ability	TYPE:LegendaryEnhancedCHA	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCHA	PREVARGTEQ:LegendaryEnhanced,4	SAB:Enhanced Charisma IV	BONUS:STAT|CHA|4|TYPE=Legendary	SOURCEPAGE:p61
Enhanced Charisma V		CATEGORY:Special Ability	TYPE:LegendaryEnhancedCHA	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryEnhancedCHA	PREVARGTEQ:LegendaryEnhanced,5	SAB:Enhanced Charisma V		BONUS:STAT|CHA|5|TYPE=Legendary	SOURCEPAGE:p61



###Block:Dawn Archer legendary abilities
# Feat Name				Type								Visible	Required Class			Prohibited Feat						Special ABility					Multiple?	Selections	Choose														Source Page
# Ability Name			Category of Ability		Type								Visible		Restricted Ability									Required Class			Special ABility					Multiple?	Choose														Selections	Source Page
Second Nature Senses I		CATEGORY:Special Ability	TYPE:LegendarySecondNatureSenses.DawnArcherLPL1	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySecondNatureSenses	PRECLASS:1,Dawn Archer=1	SAB:Second-Nature Senses I (%CHOICE)	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Hide|Listen|Move Silently|Spot|Survival						SOURCEPAGE:p75
Second Nature Senses II		CATEGORY:Special Ability	TYPE:LegendarySecondNatureSenses.DawnArcherLPL2	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySecondNatureSenses	PRECLASS:1,Dawn Archer=2	SAB:Second-Nature Senses II (%CHOICE)	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Hide|Listen|Move Silently|Spot|Survival				SELECT:2	SOURCEPAGE:p75
Second Nature Senses III	CATEGORY:Special Ability	TYPE:LegendarySecondNatureSenses.DawnArcherLPL3	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySecondNatureSenses	PRECLASS:1,Dawn Archer=3	SAB:Second-Nature Senses III (%CHOICE)	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Hide|Listen|Move Silently|Spot|Survival				SELECT:3	SOURCEPAGE:p75
Second Nature Senses IV		CATEGORY:Special Ability	TYPE:LegendarySecondNatureSenses.DawnArcherLPL4	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySecondNatureSenses	PRECLASS:1,Dawn Archer=4	SAB:Second-Nature Senses IV (%CHOICE)	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Hide|Listen|Move Silently|Spot|Survival				SELECT:4	SOURCEPAGE:p75
Second Nature Senses V		CATEGORY:Special Ability	TYPE:LegendarySecondNatureSenses.DawnArcherLPL5	VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendarySecondNatureSenses	PRECLASS:1,Dawn Archer=5	SAB:Second-Nature Senses V (%CHOICE)	MULT:YES	CHOOSE:NUMCHOICES=1|STRING|Hide|Listen|Move Silently|Spot|Survival				SELECT:5	SOURCEPAGE:p75
Deadeye I				CATEGORY:Special Ability	TYPE:LegendaryDeadeye.DawnArcherLPL1		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDeadeye		PRECLASS:1,Dawn Archer=1	SAB:Deadeye I (+1)																							SOURCEPAGE:p75
Deadeye II				CATEGORY:Special Ability	TYPE:LegendaryDeadeye.DawnArcherLPL2		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDeadeye		PRECLASS:1,Dawn Archer=2	SAB:Deadeye II (+2)																							SOURCEPAGE:p75
Deadeye III				CATEGORY:Special Ability	TYPE:LegendaryDeadeye.DawnArcherLPL3		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDeadeye		PRECLASS:1,Dawn Archer=3	SAB:Deadeye III (+3)																							SOURCEPAGE:p75
Deadeye IV				CATEGORY:Special Ability	TYPE:LegendaryDeadeye.DawnArcherLPL4		VISIBLE:DISPLAY	!PREABILITY:1,CATEGORY=Special Ability,TYPE.LegendaryDeadeye		PRECLASS:1,Dawn Archer=4	SAB:Deadeye IV (+4)																							SOURCEPAGE:p75
