# Parsed from sources/srd52.pdf, page(s) 89-92.
# Requires srd52__datacontrols.lst for the Mastery fact.

Dart	KEY:Dart	PROFICIENCY:WEAPON|Dart	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Finesse.Piercing.Finesse.Thrown.Simple.Dart	COST:0.05	WT:0.25	CRITRANGE:1	DAMAGE:1d4	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	FACT:RangeLongMult|3	FACT:Mastery|Vex	SPROP:Finesse; Thrown (Range 20/60)
Light Crossbow	KEY:Light Crossbow	PROFICIENCY:WEAPON|Light Crossbow	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Simple.Light Crossbow	COST:25	WT:5	CRITRANGE:1	DAMAGE:1d8	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:80	FACT:ShortRange|80	FACT:LongRange|320	FACT:RangeLongMult|4	FACT:Ammunition|Bolt	FACT:Mastery|Slow	SPROP:Ammunition (Range 80/320; Bolt); Loading; Two-Handed
Shortbow	KEY:Shortbow	PROFICIENCY:WEAPON|Shortbow	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Simple.Shortbow	COST:25	WT:2	CRITRANGE:1	DAMAGE:1d6	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:80	FACT:ShortRange|80	FACT:LongRange|320	FACT:RangeLongMult|4	FACT:Ammunition|Arrow	FACT:Mastery|Vex	SPROP:Ammunition (Range 80/320; Arrow); Two-Handed
Sling	KEY:Sling	PROFICIENCY:WEAPON|Sling	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Bludgeoning.Simple.Sling	COST:0.1	WT:0	CRITRANGE:1	DAMAGE:1d4	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:30	FACT:ShortRange|30	FACT:LongRange|120	FACT:RangeLongMult|4	FACT:Ammunition|Bullet	FACT:Mastery|Slow	SPROP:Ammunition (Range 30/120; Bullet)
Battleaxe	KEY:Battleaxe	PROFICIENCY:WEAPON|Battleaxe	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Martial.Battleaxe	COST:10	WT:4	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	ALTDAMAGE:1d10	FACT:Mastery|Topple	SPROP:Versatile (1d10)
Flail	KEY:Flail	PROFICIENCY:WEAPON|Flail	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Martial.Flail	COST:10	WT:2	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Sap
Glaive	KEY:Glaive	PROFICIENCY:WEAPON|Glaive	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Heavy.Reach.Martial.Glaive	COST:20	WT:6	CRITRANGE:1	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Graze	SPROP:Heavy; Reach; Two-Handed
Greataxe	KEY:Greataxe	PROFICIENCY:WEAPON|Greataxe	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Heavy.Martial.Greataxe	COST:30	WT:7	CRITRANGE:1	DAMAGE:1d12	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Cleave	SPROP:Heavy; Two-Handed
Greatsword	KEY:Greatsword	PROFICIENCY:WEAPON|Greatsword	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Heavy.Martial.Greatsword	COST:50	WT:6	CRITRANGE:1	DAMAGE:2d6	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Graze	SPROP:Heavy; Two-Handed
Halberd	KEY:Halberd	PROFICIENCY:WEAPON|Halberd	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Heavy.Reach.Martial.Halberd	COST:20	WT:6	CRITRANGE:1	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Cleave	SPROP:Heavy; Reach; Two-Handed
Lance	KEY:Lance	PROFICIENCY:WEAPON|Lance	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Piercing.Heavy.Reach.Martial.Lance	COST:10	WT:6	CRITRANGE:1	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Topple	SPROP:Heavy; Reach; Two-Handed (unless mounted)
Longsword	KEY:Longsword	PROFICIENCY:WEAPON|Longsword	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Slashing.Martial.Longsword	COST:15	WT:3	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	ALTDAMAGE:1d10	FACT:Mastery|Sap	SPROP:Versatile (1d10)
Maul	KEY:Maul	PROFICIENCY:WEAPON|Maul	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Heavy.Martial.Maul	COST:10	WT:10	CRITRANGE:1	DAMAGE:2d6	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Topple	SPROP:Heavy; Two-Handed
Morningstar	KEY:Morningstar	PROFICIENCY:WEAPON|Morningstar	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Piercing.Martial.Morningstar	COST:15	WT:4	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Sap
Pike	KEY:Pike	PROFICIENCY:WEAPON|Pike	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Piercing.Heavy.Reach.Martial.Pike	COST:5	WT:18	CRITRANGE:1	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Push	SPROP:Heavy; Reach; Two-Handed
Rapier	KEY:Rapier	PROFICIENCY:WEAPON|Rapier	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Finesse.Piercing.Finesse.Martial.Rapier	COST:25	WT:2	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Vex	SPROP:Finesse
Scimitar	KEY:Scimitar	PROFICIENCY:WEAPON|Scimitar	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Finesse.Slashing.Finesse.Light.Martial.Scimitar	COST:25	WT:3	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Nick	SPROP:Finesse; Light
Shortsword	KEY:Shortsword	PROFICIENCY:WEAPON|Shortsword	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Finesse.Piercing.Finesse.Light.Martial.Shortsword	COST:10	WT:2	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Vex	SPROP:Finesse; Light
Trident	KEY:Trident	PROFICIENCY:WEAPON|Trident	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Piercing.Thrown.Ranged.Martial.Trident	COST:5	WT:4	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	ALTDAMAGE:1d10	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	FACT:RangeLongMult|3	FACT:Mastery|Topple	SPROP:Thrown (Range 20/60); Versatile (1d10)
Warhammer	KEY:Warhammer	PROFICIENCY:WEAPON|Warhammer	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Bludgeoning.Martial.Warhammer	COST:15	WT:5	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	ALTDAMAGE:1d10	FACT:Mastery|Push	SPROP:Versatile (1d10)
War Pick	KEY:War Pick	PROFICIENCY:WEAPON|War Pick	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Melee.Piercing.Martial.War Pick	COST:5	WT:2	CRITRANGE:1	DAMAGE:1d8	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	ALTDAMAGE:1d10	FACT:Mastery|Sap	SPROP:Versatile (1d10)
Whip	KEY:Whip	PROFICIENCY:WEAPON|Whip	TYPE:Weapon.Resizable.Melee.Manufactured.Weapon_Finesse.Slashing.Finesse.Reach.Martial.Whip	COST:2	WT:3	CRITRANGE:1	DAMAGE:1d4	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	FACT:Mastery|Slow	SPROP:Finesse; Reach
Blowgun	KEY:Blowgun	PROFICIENCY:WEAPON|Blowgun	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Martial.Blowgun	COST:10	WT:1	CRITRANGE:1	DAMAGE:1	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:25	FACT:ShortRange|25	FACT:LongRange|100	FACT:RangeLongMult|4	FACT:Ammunition|Needle	FACT:Mastery|Vex	SPROP:Ammunition (Range 25/100; Needle); Loading
Hand Crossbow	KEY:Hand Crossbow	PROFICIENCY:WEAPON|Hand Crossbow	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Light.Martial.Hand Crossbow	COST:75	WT:3	CRITRANGE:1	DAMAGE:1d6	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:30	FACT:ShortRange|30	FACT:LongRange|120	FACT:RangeLongMult|4	FACT:Ammunition|Bolt	FACT:Mastery|Vex	SPROP:Ammunition (Range 30/120; Bolt); Light; Loading
Heavy Crossbow	KEY:Heavy Crossbow	PROFICIENCY:WEAPON|Heavy Crossbow	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Heavy.Martial.Heavy Crossbow	COST:50	WT:18	CRITRANGE:1	DAMAGE:1d10	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:100	FACT:ShortRange|100	FACT:LongRange|400	FACT:RangeLongMult|4	FACT:Ammunition|Bolt	FACT:Mastery|Push	SPROP:Ammunition (Range 100/400; Bolt); Heavy; Loading; Two-Handed
Longbow	KEY:Longbow	PROFICIENCY:WEAPON|Longbow	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Heavy.Martial.Longbow	COST:50	WT:2	CRITRANGE:1	DAMAGE:1d8	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:150	FACT:ShortRange|150	FACT:LongRange|600	FACT:RangeLongMult|4	FACT:Ammunition|Arrow	FACT:Mastery|Slow	SPROP:Ammunition (Range 150/600; Arrow); Heavy; Two-Handed
Musket	KEY:Musket	PROFICIENCY:WEAPON|Musket	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Martial.Musket	COST:500	WT:10	CRITRANGE:1	DAMAGE:1d12	WIELD:TwoHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:40	FACT:ShortRange|40	FACT:LongRange|120	FACT:RangeLongMult|3	FACT:Ammunition|Bullet	FACT:Mastery|Slow	SPROP:Ammunition (Range 40/120; Bullet); Loading; Two-Handed
Pistol	KEY:Pistol	PROFICIENCY:WEAPON|Pistol	TYPE:Weapon.Resizable.Ranged.Manufactured.Weapon_Ranged.Piercing.Martial.Pistol	COST:250	WT:3	CRITRANGE:1	DAMAGE:1d10	WIELD:OneHanded	SIZE:M	SOURCEPAGE:SRD 5.2.1, p.91	RANGE:30	FACT:ShortRange|30	FACT:LongRange|90	FACT:RangeLongMult|3	FACT:Ammunition|Bullet	FACT:Mastery|Vex	SPROP:Ammunition (Range 30/90; Bullet); Loading
