# A creature's own attacks, as weapons. Kept out of the
# Purchase list by VISIBLE:EXPORT and given to the
# creature by AUTO:EQUIP.

Tentacle	KEY:Creature ~ Aboleth ~ Tentacle	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.258
Flame Whip	KEY:Creature ~ Balor ~ Flame Whip	TYPE:Weapon.Natural.Melee.Force	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|14	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.261
Lightning Blade	KEY:Creature ~ Balor ~ Lightning Blade	TYPE:Weapon.Natural.Melee.Force	DAMAGE:3d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|14	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.261
Scimitar	KEY:Creature ~ Bandit ~ Scimitar	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	SOURCEPAGE:SRD 5.2.1, p.261
Light Crossbow	KEY:Creature ~ Bandit ~ Light Crossbow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	RANGE:80	FACT:ShortRange|80	FACT:LongRange|320	SOURCEPAGE:SRD 5.2.1, p.261
Scimitar	KEY:Creature ~ Bandit Captain ~ Scimitar	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.261
Pistol	KEY:Creature ~ Bandit Captain ~ Pistol	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	RANGE:30	FACT:ShortRange|30	FACT:LongRange|90	SOURCEPAGE:SRD 5.2.1, p.261
Claws	KEY:Creature ~ Barbed Devil ~ Claws	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.262
Tail	KEY:Creature ~ Barbed Devil ~ Tail	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.262
Hurl Flame	KEY:Creature ~ Barbed Devil ~ Hurl Flame	TYPE:Weapon.Natural.Ranged.Fire	DAMAGE:5d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	SOURCEPAGE:SRD 5.2.1, p.262
Bite	KEY:Creature ~ Basilisk ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.262
Beard	KEY:Creature ~ Bearded Devil ~ Beard	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.262
Infernal Glaive	KEY:Creature ~ Bearded Devil ~ Infernal Glaive	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.262
Bite	KEY:Creature ~ Behir ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|10	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.263
Greataxe	KEY:Creature ~ Berserker ~ Greataxe	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.263
Rend	KEY:Creature ~ Black Dragon Wyrmling ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.263
Rend	KEY:Creature ~ Young Black Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.264
Rend	KEY:Creature ~ Adult Black Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|11	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.264
Rend	KEY:Creature ~ Ancient Black Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|15	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.265
Dissolving Pseudopod	KEY:Creature ~ Black Pudding ~ Dissolving Pseudopod	TYPE:Weapon.Natural.Melee.Acid	DAMAGE:4d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.265
Bite	KEY:Creature ~ Blink Dog ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.266
Rend	KEY:Creature ~ Blue Dragon Wyrmling ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.266
Rend	KEY:Creature ~ Young Blue Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.266
Rend	KEY:Creature ~ Adult Blue Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|12	BONUS:WEAPON|DAMAGE|7	SOURCEPAGE:SRD 5.2.1, p.266
Rend	KEY:Creature ~ Ancient Blue Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|16	BONUS:WEAPON|DAMAGE|9	SOURCEPAGE:SRD 5.2.1, p.267
Claw	KEY:Creature ~ Bone Devil ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.267
Infernal Sting	KEY:Creature ~ Bone Devil ~ Infernal Sting	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.267
Rend	KEY:Creature ~ Brass Dragon Wyrmling ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.268
Rend	KEY:Creature ~ Young Brass Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.268
Rend	KEY:Creature ~ Adult Brass Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|11	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.268
Rend	KEY:Creature ~ Ancient Brass Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|14	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.269
Rend	KEY:Creature ~ Bronze Dragon Wyrmling ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.269
Rend	KEY:Creature ~ Young Bronze Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.270
Rend	KEY:Creature ~ Adult Bronze Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|12	BONUS:WEAPON|DAMAGE|7	SOURCEPAGE:SRD 5.2.1, p.270
Rend	KEY:Creature ~ Ancient Bronze Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|16	BONUS:WEAPON|DAMAGE|9	SOURCEPAGE:SRD 5.2.1, p.271
Javelin	KEY:Creature ~ Bugbear Stalker ~ Javelin	TYPE:Weapon.Natural.Melee.Thrown.Ranged.Piercing	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	RANGE:30	FACT:ShortRange|30	FACT:LongRange|120	SOURCEPAGE:SRD 5.2.1, p.271
Morningstar	KEY:Creature ~ Bugbear Stalker ~ Morningstar	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.271
Grab	KEY:Creature ~ Bugbear Warrior ~ Grab	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.272
Light Hammer	KEY:Creature ~ Bugbear Warrior ~ Light Hammer	TYPE:Weapon.Natural.Melee.Thrown.Ranged.Bludgeoning	DAMAGE:3d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	RANGE:20	FACT:ShortRange|20	FACT:LongRange|60	SOURCEPAGE:SRD 5.2.1, p.272
Bite	KEY:Creature ~ Bulette ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.272
Pike	KEY:Creature ~ Centaur Trooper ~ Pike	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.272
Longbow	KEY:Creature ~ Centaur Trooper ~ Longbow	TYPE:Weapon.Natural.Ranged.Piercing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	RANGE:150	FACT:ShortRange|150	FACT:LongRange|600	SOURCEPAGE:SRD 5.2.1, p.272
Chain	KEY:Creature ~ Chain Devil ~ Chain	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.272
Bite	KEY:Creature ~ Chimera ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:2d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.273
Claw	KEY:Creature ~ Chimera ~ Claw	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.273
Ram	KEY:Creature ~ Chimera ~ Ram	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.273
Pincer	KEY:Creature ~ Chuul ~ Pincer	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.273
Slam	KEY:Creature ~ Clay Golem ~ Slam	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|9	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.274
Attach	KEY:Creature ~ Cloaker ~ Attach	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.274
Tail	KEY:Creature ~ Cloaker ~ Tail	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|6	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.274
Thunderous Mace	KEY:Creature ~ Cloud Giant ~ Thunderous Mace	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:3d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|12	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.275
Thundercloud	KEY:Creature ~ Cloud Giant ~ Thundercloud	TYPE:Weapon.Natural.Ranged.Thunder	DAMAGE:3d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|12	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.275
Petrifying Bite	KEY:Creature ~ Cockatrice ~ Petrifying Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	SOURCEPAGE:SRD 5.2.1, p.275
Club	KEY:Creature ~ Commoner ~ Club	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|2	SOURCEPAGE:SRD 5.2.1, p.275
Rend	KEY:Creature ~ Copper Dragon Wyrmling ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.275
Rend	KEY:Creature ~ Young Copper Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.276
Rend	KEY:Creature ~ Adult Copper Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|11	BONUS:WEAPON|DAMAGE|6	SOURCEPAGE:SRD 5.2.1, p.276
Rend	KEY:Creature ~ Ancient Copper Dragon ~ Rend	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:2d10	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|15	BONUS:WEAPON|DAMAGE|8	SOURCEPAGE:SRD 5.2.1, p.277
Bite	KEY:Creature ~ Couatl ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d12	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|7	BONUS:WEAPON|DAMAGE|5	SOURCEPAGE:SRD 5.2.1, p.277
Swarm of Grasping Hands	KEY:Creature ~ Swarm of Crawling Claws ~ Swarm of Grasping Hands	TYPE:Weapon.Natural.Melee.Necrotic	DAMAGE:4d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.278
Ritual Sickle	KEY:Creature ~ Cultist ~ Ritual Sickle	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|3	BONUS:WEAPON|DAMAGE|1	SOURCEPAGE:SRD 5.2.1, p.278
Pact Blade	KEY:Creature ~ Cultist Fanatic ~ Pact Blade	TYPE:Weapon.Natural.Melee.Slashing	DAMAGE:1d8	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.278
Crush	KEY:Creature ~ Darkmantle ~ Crush	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|5	BONUS:WEAPON|DAMAGE|3	SOURCEPAGE:SRD 5.2.1, p.278
Bite	KEY:Creature ~ Death Dog ~ Bite	TYPE:Weapon.Natural.Melee.Piercing	DAMAGE:1d4	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|4	BONUS:WEAPON|DAMAGE|2	SOURCEPAGE:SRD 5.2.1, p.279
Holy Mace	KEY:Creature ~ Deva ~ Holy Mace	TYPE:Weapon.Natural.Melee.Bludgeoning	DAMAGE:1d6	CRITRANGE:1	WIELD:OneHanded	SIZE:M	WT:0	COST:0	VISIBLE:EXPORT	BONUS:WEAPON|TOHIT|8	BONUS:WEAPON|DAMAGE|4	SOURCEPAGE:SRD 5.2.1, p.279
