SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Enchantment	SOURCESHORT:Enchantment	SOURCEWEB:http://mongoosepublishing.com	SOURCEDATE:2003-09
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name		Type		Classes of caster	School			Sub-School		Components		Casting Time	Range			Item		Target Area or Effect											Duration						Save Info					Spell Resistance	Source Page		Description
Enhance Bond		TYPE:Arcane	CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M, F	CASTTIME:1 action	RANGE:Unlimited	ITEM:Potion	TARGETAREA:Your Familiar										DURATION:1 hour					SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	SOURCEPAGE:p.31	DESC:Improves the bond with a familiar.
Favour's Focus I		TYPE:Arcane	CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.31	DESC:Caster receives a +1 favor bonus to spell DC vs target.
Favour's Focus II		TYPE:Arcane	CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.32	DESC:Caster receives a +2 favor bonus to spell DC vs target.
Favour's Focus III	TYPE:Arcane	CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.32	DESC:Caster receives a +3 favor bonus to spell DC vs target.
Favour's Focus IV		TYPE:Arcane	CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.32	DESC:Caster receives a +4 favor bonus to spell DC vs target.
Favour's Focus V		TYPE:Arcane	CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.32	DESC:Caster receives a +5 favor bonus to spell DC vs target.
Favour's Focus VI		TYPE:Arcane	CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.33	DESC:Caster receives a +6 favor bonus to spell DC vs target.
Favour's Focus VII	TYPE:Arcane	CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.33	DESC:Caster receives a +7 favor bonus to spell DC vs target.
Favour's Focus VIII	TYPE:Arcane	CLASSES:Wizard=8	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.34	DESC:Caster receives a +8 favor bonus to spell DC vs target.
Favour's Focus IX		TYPE:Arcane	CLASSES:Wizard=9	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.34	DESC:Caster receives a +9 favor bonus to spell DC vs target.
Fractured Unity		TYPE:Arcane	CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:All creatures within 50'									DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.34	DESC:Prevents anyone from thinking of others as allies.
Friendship			TYPE:Arcane	CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.35	DESC:Makes the friendship component of a charm spell perm.
Greater Daze		TYPE:Arcane	CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Person											DURATION:1 round					SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.35	DESC:As Daze without the hit dice or level limit.
Hatred's Puppet		TYPE:Arcane	CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.35	DESC:Target flies into a merderous rage.
Kenning the Heart		TYPE:Arcane	CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Creature											DURATION:Instantaneous				SAVEINFO:Will Negates [special]	SPELLRES:Yes	SOURCEPAGE:p.36	DESC:20 ft. burst or none.
Kenning the Mind		TYPE:Arcane	CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Creature											DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates [special]	SPELLRES:Yes	SOURCEPAGE:p.36	DESC:20 ft. burst or none.
Kenning the Soul		TYPE:Arcane	CLASSES:Wizard=9	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Creature											DURATION:Instantaneous				SAVEINFO:Special				SPELLRES:Special	SOURCEPAGE:p.36	DESC:20 ft. burst or none.
Lingering Daze		TYPE:Arcane	CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One humanoid of large size or smaller						DURATION:(CASTERLEVEL*10) minutes [D]	SAVEINFO:Will Partial			SPELLRES:Yes	SOURCEPAGE:p.37	DESC:As Daze without the hit dice or level limit.
Moment's Pause		TYPE:Arcane	CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, F	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:1 round					SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.37	DESC:As Hold Person.
Piercing Gaze		TYPE:Arcane	CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.38	DESC:Inflicts 5d4 points of normal or subdual damage.
Rapturous Touch		TYPE:Arcane	CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.38	DESC:1 point of wisdom damage per touch.
Seductive Smile		TYPE:Arcane	CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Personal			TARGETAREA:You												DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.38	DESC:Target has a -1/-2 to attacks, damage and saves.
Shattered Will		TYPE:Arcane	CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One living creature of large size or smaller					DURATION:Permanent [D]				SAVEINFO:Will Partial			SPELLRES:Yes	SOURCEPAGE:p.39	DESC:Target cannot resist the caster's enchantment spells.
Thrall's Understanding	TYPE:Arcane	CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, F	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Varies [D]				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.39	DESC:Allows caster to communicate with charmed creature.
Torment of Loss		TYPE:Arcane	CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Permanent [D]				SAVEINFO:None				SPELLRES:Yes	SOURCEPAGE:p.40	DESC:Creature dies or is shaken when charm spell ends.
Undying Loyalty		TYPE:Arcane	CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Instantaneous [D]			SAVEINFO:Will Negates			SPELLRES:Yes	SOURCEPAGE:p.40	DESC:If target becomes undead, it is subjest to his spells.
Wall of Distraction	TYPE:Arcane	CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Wall of light whose area is up to (CASTERLEVEL*5) ft. square			DURATION:Instantaneous				SAVEINFO:Will Partial			SPELLRES:Yes	SOURCEPAGE:p.41	DESC:-2 morale penalty to attacks, damage, skills, &amp; saves.
Wave of Hesitation	TYPE:Arcane	CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Cone												DURATION:Instantaneous				SAVEINFO:Will Partial			SPELLRES:Yes	SOURCEPAGE:p.41	DESC:Targets are stunned for 1d4 rounds [or as Daze].
