# CVS $Revision$ $Author$ -- Fri Jul 13 11:41:00 2007 -- reformated by prettylst.pl v1.38 (build 2949)
#SOURCELONG:Pulp Fantasy Roleplaying Game	SOURCESHORT:PulpFntasy	SOURCEWEB:http://battlefieldpress.com
#Original entry by: Eddy Anthony

# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI			Display where?
ABILITYCATEGORY:Outcast Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Outcast		PLURAL:Outcast Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Politician Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Politician		PLURAL:Politician Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Stage Magician Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Stage_Magician	PLURAL:Stage Magician Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:World Traveller Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:World_Traveller	PLURAL:World Traveller Feats	DISPLAYLOCATION:Feats

# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display where?
ABILITYCATEGORY:Heir's Wealth		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Heir's Wealth	TYPE:Heirs_Wealth		PLURAL:Heir's Wealth		DISPLAYLOCATION:Background

#
# End
#
