# CVS $Revision: $ $Author: $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
###Block: Combat Tricks
# Ability Name			Unique Key							Category of Ability		Type										Description																																																		Source Page
Redirected Shot			KEY:Combat Trick ~ Redirected Shot			CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Grit			DESC:By spending 4 stamina points, you can use this feat an additional time per round.																																					SOURCEPAGE:p.25
Savage Surge			KEY:Combat Trick ~ Savage Surge			CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Performance		DESC:You can spend stamina points instead of rounds of rage when using Savage Surge.																																					SOURCEPAGE:p.25
Spectacular Exit			KEY:Combat Trick ~ Spectacular Exit			CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Performance		DESC:When you use Spectacular Exit to withdraw without taking the -5 penalty on performance combat checks and you spend 5 stamina points, you don't need to succeed at an Acrobatics check in order to avoid the penalty.															SOURCEPAGE:p.25
Thrilling Vengeance		KEY:Combat Trick ~ Thrilling Vengeance		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Performance		DESC:You can spend 3 stamina points to increase the bonus on performance combat checks that you gain from Thrilling Vengeance by 2.																														SOURCEPAGE:p.25
Unblinking Flame Feint		KEY:Combat Trick ~ Unblinking Flame Feint		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Style			DESC:You can spend 2 stamina points instead of 1 ki point when using Unblinking Flame Feint.																																				SOURCEPAGE:p.25
Unblinking Flame Fist		KEY:Combat Trick ~ Unblinking Flame Fist		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Style			DESC:You can spend 2 stamina points instead of 1 ki point when using Unblinking Flame Fist.																																				SOURCEPAGE:p.25
Unfolding Wind Rush		KEY:Combat Trick ~ Unfolding Wind Rush		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Style			DESC:You can spend 2 stamina points instead of 1 ki point when using Unfolding Wind Rush.																																					SOURCEPAGE:p.25
Unfolding Wind Strike		KEY:Combat Trick ~ Unfolding Wind Strike		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Style			DESC:You can spend 2 stamina points instead of 1 ki point when using Unfolding Wind Strike.																																				SOURCEPAGE:p.25
Untwisting Iron Skin		KEY:Combat Trick ~ Untwisting Iron Skin		CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Style			DESC:You can spend 2 stamina points instead of 1 ki point when using Untwisting Iron Skin.																																				SOURCEPAGE:p.25
Untwisting Iron Strength	KEY:Combat Trick ~ Untwisting Iron Strength	CATEGORY:Special Ability	TYPE:Combat Trick.SpecialQuality.Combat.Style			DESC:You can spend 2 stamina points instead of 1 ki point when using Untwisting Iron Strength.																																				SOURCEPAGE:p.25
