#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: 20472 $ $Author: zaister $ -- Fri Jun 17 21:51:56 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Ultimate Campaign	SOURCESHORT:UCA	SOURCEWEB:http://paizo.com/products/btpy8x64?Pathfinder-Roleplaying-Game-Ultimate-Campaign	SOURCEDATE:2013-05
# ORIGINAL ENTRY: Stefan Radermacher
# ORIGINAL ENTRY DATE: 12 July 2013

###Block: Modify default ability
# Ability Name			Bonus Ability Pool
CATEGORY=Internal|Default.MOD	BONUS:ABILITYPOOL|Traits|1|PRECHARACTERTYPE:1,PC|PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback
#	MODIFY:ABILITYPOOL=Traits|SOLVE|value()+if(count("ABILITY","Special Ability","GROUP=Drawback"))>=1,1,0)

###Block: Drawbacks
# Ability Name	Unique Key				Category of Ability		Type			Multiple Requirements																			Description																																																																																															Cost		Source Page
Power-Hungry	KEY:Drawback ~ Power-Hungry	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREVAREQ:BypassDrawbackRestriction,1],[PREABILITY:1,CATEGORY=Special Ability,Drawback ~ Power-Hungry],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You're addicted to power. You take a -2 penalty on Will saving throws against charm and compulsion effects if the creature creating the effect promises wealth or power.																																																																				COST:0	SOURCEPAGE:p.65
Pride			KEY:Drawback ~ Pride		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREVAREQ:BypassDrawbackRestriction,1],[PREABILITY:1,CATEGORY=Special Ability,Drawback ~ Pride],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You can't abide challenges to your dignity, authority, or honor. When someone threatens, accuses, or challenges you, you take a -2 penalty on Diplomacy checks and Sense Motive checks involving that creature until the creature apologizes to you.																																																							COST:0	SOURCEPAGE:p.65
Provincial		KEY:Drawback ~ Provincial	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREVAREQ:BypassDrawbackRestriction,1],[PREABILITY:1,CATEGORY=Special Ability,Drawback ~ Provincial],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You have only one way of looking at things: the right way. You take a -2 penalty on Diplomacy checks and Sense Motive checks made against all creatures whose religion or alignment differs from your own.																																																														COST:0	SOURCEPAGE:p.65
Sentimental		KEY:Drawback ~ Sentimental	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREVAREQ:BypassDrawbackRestriction,1],[PREABILITY:1,CATEGORY=Special Ability,Drawback ~ Sentimental],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You are sentimental, and your thoughts often stray to the past at inappropriate times. You take a -2 penalty on Perception checks to avoid being surprised and on Reflex saving throws to avoid traps or hazards.																																																													COST:0	SOURCEPAGE:p.65
Vain			KEY:Drawback ~ Vain		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREVAREQ:BypassDrawbackRestriction,1],[PREABILITY:1,CATEGORY=Special Ability,Drawback ~ Vain],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You are sensitive about the way others perceive you. Whenever you fail an opposed Charisma-based check, you take a -2 penalty on all Charisma-based checks for the next 24 hours.																																																																		COST:0	SOURCEPAGE:p.65
Xenophobic		KEY:Drawback ~ Xenophobic	CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREVAREQ:BypassDrawbackRestriction,1],[PREABILITY:1,CATEGORY=Special Ability,Drawback ~ Xenophobic],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]	DESC:You have a hard time understanding and trusting those with unfamiliar ways and appearances. You take a -2 penalty on Diplomacy and Sense Motive checks made against creatures of a different race or from a different culture.																																																											COST:0	SOURCEPAGE:p.65
Zealous		KEY:Drawback ~ Zealous		CATEGORY:Special Ability	TYPE:Drawback	PREMULT:1,[PREVAREQ:BypassDrawbackRestriction,1],[PREABILITY:1,CATEGORY=Special Ability,Drawback ~ Zealous],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.Drawback]		DESC:You are fanatical in your beliefs, ruled by emotion over reason. When you attack a creature that you know worships a different religion than you do, you take a -5 penalty on the attack  roll and a +2 trait bonus on the damage roll with your first attack.																																																					COST:0	SOURCEPAGE:p.65

#
# End
#
