#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
SOURCELONG:Starfinder Core Rulebook	SOURCESHORT:SCR	SOURCEDATE:2017-09
# Original Entry by: Gwen T

###Magic Items###
# Equipment Name					Type								Contains					Cost		Weight	Requires Modification?	Source Page		Bonus Ability Pool				Caster level				Bonus to skill							Modify VAR			Quality and value														Special Property
Aeon Stone (Clear Spindle)			TYPE:Magic.Aeon.WornMagic										COST:245							SOURCEPAGE:p.222																											QUALITY:Level|1	QUALITY:Bulk|-
Aeon Stone (Dark Blue Rhomboid)		TYPE:Magic.Aeon.WornMagic										COST:18000							SOURCEPAGE:p.222														BONUS:SKILL|Perception,Sense Motive|2|TYPE=Insight					QUALITY:Level|10	QUALITY:Bulk|-
Aeon Stone (Iridescent Spindle)		TYPE:Magic.Aeon.WornMagic										COST:740							SOURCEPAGE:p.222																											QUALITY:Level|2	QUALITY:Bulk|-
Aeon Stone (Pearly White Spindle)		TYPE:Magic.Aeon.WornMagic										COST:25000							SOURCEPAGE:p.222								BONUS:CASTERLEVEL|TYPE.Spell|1														QUALITY:Level|11	QUALITY:Bulk|-
Spell Ampoule (Spider Climb)			TYPE:Magic.SpellAmpoule.Consumable									COST:700	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|6	QUALITY:Bulk|L
Spell Ampoule (Displacement)			TYPE:Magic.SpellAmpoule.Consumable									COST:3000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Bulk|L
Spell Ampoule (Flight (Level 3))		TYPE:Magic.SpellAmpoule.Consumable									COST:3000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Bulk|L
Spell Ampoule (Haste)				TYPE:Magic.SpellAmpoule.Consumable									COST:3000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Bulk|L
Spell Ampoule (Mystic Cure (Level 3))	TYPE:Magic.SpellAmpoule.Consumable									COST:3000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Bulk|L
Spell Ampoule (Nondetection)			TYPE:Magic.SpellAmpoule.Consumable									COST:3000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Bulk|L
Spell Ampoule (Remove Affliction)		TYPE:Magic.SpellAmpoule.Consumable									COST:3000	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|10	QUALITY:Bulk|L

###Spell Gems###
Spell Gem (Dancing Lights)			TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Daze)					TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Detect Affliction)			TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Detect Magic)			TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Energy Ray)				TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Fatigue)				TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Ghost Sound)				TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Grave Words)				TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Mending)				TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Psychokinetic Hand)		TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Stabilize)				TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Telekinetic Projectile)		TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Telepathic Message)		TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Token Spell)				TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Transfer Charge)			TYPE:Magic.SpellGem.Consumable									COST:50	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|1	QUALITY:Bulk|L
Spell Gem (Charm Person)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Command)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Comprehend Languages)		TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Confusion (Lesser))		TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Detect Radiation)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Detect Tech)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Detect Thoughts)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Disguise Self)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Erase)					TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Fear (Level 1))			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Flight (Level 1))			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Grease)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Hold Portal)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Holographic Image (Level 1))	TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Identify)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Jolting Surge)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Keen Senses)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Life Bubble)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Magic Missile)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Mind Link)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Mind Thrust (Level 1))		TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Mystic Cure (Level 1))		TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Overheat)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Reflecting Armor)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Remove Condition (Lesser))	TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Share Language)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Supercharge Weapon)		TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Unseen Servant)			TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Wisp Ally)				TYPE:Magic.SpellGem.Consumable									COST:140	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|2	QUALITY:Bulk|L
Spell Gem (Augury)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Caustic Conversion)		TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Command Undead)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Darkvision)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Daze Monster)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Fear (Level 2))			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Flight (Level 2))			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Fog Cloud)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Force Blast)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Hold Person)				TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Holographic Image (Level 2))	TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
Spell Gem (Hurl Forcedisk)			TYPE:Magic.SpellGem.Consumable									COST:450	WT:0.1					SOURCEPAGE:p.224																							BONUS:VAR|BulkLight|1	QUALITY:Level|5	QUALITY:Bulk|L
