# CVS $Revision$ $Author$ -- Mon Jan 17 06:06:23 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Core Rulebook	SOURCESHORT:PFCR	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy88yj	SOURCEDATE:2009-08
# Original Entry by: Stefan Radermacher

###Block: Poisons
# Equipment Name				Output Name		Type					Cost		Weight	Source Page		Special Property
Poison (Drow Poison)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:75	WT:0		SOURCEPAGE:p.559	SPROP:Injury; Fort DC 13; Freq 1 min (2); Effect unconciousness for 1 min/unconsciousness for 2d4 hours; Cure 1 save
Poison (Giant Wasp Poison)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:210	WT:0		SOURCEPAGE:p.559	SPROP:Injury; Fort DC 18; Freq 1 rnd (6); Effect 1d2 Dex dmg; Cure 1 save
Poison (Greenblood Oil)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0		SOURCEPAGE:p.559	SPROP:Injury; Fort DC 13; Freq 1 rnd (4); Effect 1 Con dmg; Cure 1 save
Poison (Hemlock)				OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:2500	WT:0		SOURCEPAGE:p.559	SPROP:Ingested; Fort DC 18; Onset 10 min; Freq 1 min (6); Effect 1d6 Dex dmg - suffocates when dex reduced to 0; Cure 2 consecutive save
Poison (Id Moss)				OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:125	WT:0		SOURCEPAGE:p.559	SPROP:Ingested; Fort DC 14; Onset 10 min; Freq 1 min (6); Effect 1d3 Int dmg; Cure 1 save
Poison (Insanity Mist)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1500	WT:0		SOURCEPAGE:p.560	SPROP:Inhaled; Fort DC 15; Freq 1 rnd (6); Effect 1d3 Wis dmg; Cure 1 save
Poison (King's Sleep)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:5000	WT:0		SOURCEPAGE:p.560	SPROP:Ingested; Fort DC 19; Onset 1 day; Freq 1 day; Effect 1 Con drain; Cure 2 consecutive saves
Poison (Large Scorpion Venom)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:200	WT:0		SOURCEPAGE:p.560	SPROP:Injury; Fort DC 17; Freq 1 rnd (6); Effect 1d2 Str dmg; Cure 1 save
Poison (Lich Dust)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:400	WT:0		SOURCEPAGE:p.560	SPROP:Ingested; Fort DC 17; Onset 10 min; Freq 1 min (6); Effect 1d3 Str dmg; Cure 2 consecutive saves
Poison (Malyass Root Paste)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:250	WT:0		SOURCEPAGE:p.560	SPROP:Contact; Fort DC 16; Onset 1 min; Freq 1 min (6); Effect 1d2 Dex dmg; Cure 1 save
Poison (Medium Spider Venom)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0		SOURCEPAGE:p.560	SPROP:Injury; Fort DC 14; Freq 1 rnd (4); Effect 1d2 Str dmg; Cure 1 save
Poison (Nightmare Vapor)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1800	WT:0		SOURCEPAGE:p.560	SPROP:Inhaled; Fort DC 20; Freq 1 rnd (6); Effect 1 Wis dmg confused for 1 rnd; Cure 2 consecutive saves
Poison (Nitharit)				OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:650	WT:0		SOURCEPAGE:p.560	SPROP:Contact; Fort DC 13; Onset 1 min; Freq 1 min (6); Effect 1d3 Con dmg; Cure 1 save
Poison (Oil of Taggit)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:90	WT:0		SOURCEPAGE:p.560	SPROP:Ingested; Fort DC 15; Onset 1 min; Effect unconsciousness for 1d3 hours; Cure 1 save
Poison (Purple Worm Poison)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:700	WT:0		SOURCEPAGE:p.560	SPROP:Injury; Fort DC 24; Freq 1 rnd (6); Effect 1d3 Str dmg; Cure 2 consecutive saves
Poison (Sassone Leaf Residue)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:300	WT:0		SOURCEPAGE:p.560	SPROP:Contact; Fort DC 16; Onset 1 min; Freq 1 min (6); Effect 2d12 hp dmg/1 Con dmg; Cure 1 save
Poison (Shadow Essence)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:250	WT:0		SOURCEPAGE:p.560	SPROP:Inhaled; Fort DC 17;  Freq 1 rnd (6); Effect 1 Str drain/1d2 Str dmg; Cure 1 save
Poison (Small Centipede Poison)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:90	WT:0		SOURCEPAGE:p.560	SPROP:Injury; Fort DC 11; Freq 1 rnd (4); Effect 1 Dex dmg; Cure 1 save
Poison (Striped Toadstool)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:180	WT:0		SOURCEPAGE:p.560	SPROP:Ingested; Fort DC 11; Onset 10 min; Freq 1 min (4); Effect 1d3 Wis dmg and 1 Int dmg; Cure 1 save
Poison (Tears of Death)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:6500	WT:0		SOURCEPAGE:p.560	SPROP:Contact; Fort DC 22; Onset: 1 min; Freq 1 min (6); Effect 1d6 Con dmg and paralyzed for 1 minute; Cure none
Poison (Terinav Root)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:400	WT:0		SOURCEPAGE:p.560	SPROP:Contact; Fort DC 16; Onset 1 min; Freq 1 min (6); Effect 1d3 Dex dmg; Cure 1 save
Poison (Ungol Dust)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1000	WT:0		SOURCEPAGE:p.560	SPROP:Inhaled; Fort DC 15; Freq 1 rnd (4); Effect 1 Cha drain/1d2 Cha dmg; Cure 1 save
Poison (Wolfsbane)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:500	WT:0		SOURCEPAGE:p.560	SPROP:Ingested; Fort DC 16; Onset 10 min; Freq 1 min (6); Effect 1d3 Con dmg; Cure 1 save
Poison (Wyvern Poison)			OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:3000	WT:0		SOURCEPAGE:p.560	SPROP:Injury; Fort DC 17; Freq 1 rnd (6); Effect 1d4 Con dmg; Cure 2 consecutive saves
