# CVS $Revision$ $Author$ -- Sun Apr 18 16:19:25 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Bastion Press - Into the Green	SOURCESHORT:ittg	SOURCEDATE:2003-01
#Original Entry: Andrew (LegacyKing) Maitland & Chris Chandler (Barak)


###Block: Mundane Items
# Equipment Name		Required Weapon Proficiency	Type						Cost		Weight	Critical Hit Multiplier	Damage	Source Page
Bison Chips								TYPE:Goods					COST:0.2									SOURCEPAGE:p.76
Cold Compress							TYPE:Goods					COST:35									SOURCEPAGE:p.76
Drunken Sloth Bile						TYPE:Goods					COST:10									SOURCEPAGE:p.76
Glow Rod								TYPE:Goods					COST:60									SOURCEPAGE:p.76
Juniper Oil								TYPE:Goods					COST:5									SOURCEPAGE:p.77
Kapok Jacket							TYPE:Goods					COST:40									SOURCEPAGE:p.77
Machete			PROFICIENCY:WEAPON|Machete	TYPE:Weapon.Melee.Simple.Slashing	COST:8	WT:1		CRITMULT:x3			DAMAGE:1d4	SOURCEPAGE:p.77
Walking Stick							TYPE:Goods					COST:0.2									SOURCEPAGE:p.77


###Block: Magic Items
# Equipment Name			Type						Cost		Source Page		Ability
Collar of Scent			TYPE:Magic.Amulet				COST:6000	SOURCEPAGE:p.77	ABILITY:Special Ability|AUTOMATIC|Scent
Horn of Steaming Mist		TYPE:Magic.Wondrous			COST:9000	SOURCEPAGE:p.77
Ring of Arboreal Mastery	TYPE:Magic.Ring				COST:57000	SOURCEPAGE:p.78
Rod of the Blightsower		TYPE:Magic.Rod				COST:53600	SOURCEPAGE:p.78
Rod of Ethereal Bones		TYPE:Magic.Rod				COST:120000	SOURCEPAGE:p.78
Rognak Helm				TYPE:Magic.Headgear.Helm		COST:78000	SOURCEPAGE:p.78
Smiling Mask			TYPE:Magic.Eyegear.Facewear.Mask	COST:24500	SOURCEPAGE:p.79
Sphere of Tireless Trivia	TYPE:Magic.Wondrous			COST:48500	SOURCEPAGE:p.79


###Block: Substances
# Equipment Name				Output Name		Type						Cost		Weight	Source Page		Special Property
Substance (Sunberry Paste)		OUTPUTNAME:[NAME]	TYPE:Goods.Consumable.Substance	COST:20	WT:0		SOURCEPAGE:p.91	SPROP:Herbalist (DC 20)
Substance (Witch Hazel Extract)	OUTPUTNAME:[NAME]	TYPE:Goods.Consumable.Substance	COST:50	WT:0		SOURCEPAGE:p.91	SPROP:Herbalist (DC 25)


###Block: Poisons
# Equipment Name		Output Name		Type					Cost		Weight	Source Page		Special Property
Poison (Asp Viper)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:1250	WT:0		SOURCEPAGE:p.91	SPROP:Injury DC 16, Init.:Paralysis, Sec.:2d6 Con
Poison (Baneberry)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:150	WT:0		SOURCEPAGE:p.91	SPROP:Ingested DC 13, Init.:Nausea, Sec.:Fatigue
Poison (Maakantu)		OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:3300	WT:0		SOURCEPAGE:p.91	SPROP:Injury DC 19, Init.:2d6 Con, Sec.:2d6 Con
Poison (Plain strider)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:375	WT:0		SOURCEPAGE:p.91	SPROP:Injury DC 12, Init.:1d4 Con, Sec.:1d4 Con
Poison (Speckled frog)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:100	WT:0		SOURCEPAGE:p.91	SPROP:Injury DC 13, Init.:2d6 damage, Sec.:2d6 damage
Poison (Spindleshank)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:500	WT:0		SOURCEPAGE:p.91	SPROP:Injury DC 20, Init.:Paralysis, Sec.:None
Poison (Tarantula)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:125	WT:0		SOURCEPAGE:p.91	SPROP:Injury DC 11, Init.:1d3 Dex, Sec.:1d3 Dex
Poison (Thornclaw)	OUTPUTNAME:[NAME]	TYPE:Goods.Poison.Consumable	COST:175	WT:0		SOURCEPAGE:p.91	SPROP:Injury DC 12, Init.:Paralysis, Sec.:None
