# CVS $Revision$ $Author$ -- Mon Sep 15 21:55:54 2014 -- reformated by prettylst.pl v1.51 (build 25129)
SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01
Animate Dead							CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Animate Dead (Sp)
Anyspeak								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Anyspeak (Sp)
Aquatic								CATEGORY:Special Ability	TYPE:SpecialQuality						SAB:Aquatic
Attach								CATEGORY:Special Ability	TYPE:TYPE:SpecialQuality.Extraordinary			SAB:Attach (Ex)
Attach Head								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Attach Head (Ex)
Audio/Visual Sensor						CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Audio/Visual Sensor
Aura of Menace							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Aura of Menace (Su)
Ballistic Path							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Ballistic Path (Ex)
Berserk								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Berserk (Ex)
Blind									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Blind (Ex)
Blood Drain								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Blood Drain (Ex)
Blood Drink								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Blood Drink (Ex)
Body Blindsight							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Body Blindsight (Ex)
Body Glow								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Body Glow (Su)
Body Thief								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Body Thief (Sp)
Boost Host								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Boost Host (Ex)
Burning Touch							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Burning Touch (Ex)
Camouflage								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Camouflage (Ex)
Call/Dismiss Weapon						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Call/Dismiss Weapon (Su)
Can't Run								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Can't Run (Ex)
Captivating Song							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Captivating Song (Su)
Cast Web								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Cast Web (Ex) 8/day maximum range 50'
Chain Reaction							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Chain Reaction (Su) ~ 400 points of damage to everything within 400 ft and 100 points of damage to everything within a mile, Ref save (DC %1) for half|10+(TL/2)+DEX
Charge								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Charge (Ex)
Chemical Healing							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Chemical Healing (Ex)
Children of the Night						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Children of the Night (Su)
Chosen Victim							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Chosen Victim (Ex)
Clawing Smoke							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Clawing Smoke (Su)
Cold Susceptibility						CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Cold Susceptibility
Constrict								CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Constrict (Ex)
Convert								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Convert (Ex)
Create Spawn							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Create Spawn (Su)
Creature Meld							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Creature Meld (Su)
Corrupt the Mind							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Corrupt the Mind (Su)
Corrupting Touch							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Corrupting Touch (Su)
Curse of Lycanthropy						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Curse of Lycanthropy (Su)
Dance of Ruin							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Dance of Ruin (Su)
Daylight Powerlessness						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Daylight Powerlessness (Ex)
Death Cloud								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Death Cloud (Ex)
Death Explosion							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Death Explosion (Su)
Death Gaze								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Death Gaze (Su)
Death Hunger							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Death Hunger (Ex)
Death Touch								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Death Touch (Su)
Death's Door							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Death's Door (Su)
Despair								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Despair (Su)
Detach Head								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Detach Head (Ex)
Detect Dreams							CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Detect Dreams (Sp)
Detonate								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Detonate (Ex)
Device Operation							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Device Operation (Ex)
Devour Dreams							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Devour Dreams (Su)
Dimension Door							CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Dimension Door (Sp)
Dimensional Jaunt							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Dimensional Jaunt (Su)
Disassemble Device						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Disassemble Device (Ex)
Disease								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Disease (Ex)
Disease Sense							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Disease Sense (Ex)
Disguise Self							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Disguise Self (Su)
Distraction								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Distraction (Ex)
Domination								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Domination (Su)
Double Damage against Objects					CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Double Damage against Objects (Ex)
Draining Touch							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Draining Touch (Su)
Easy Breathing							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Easy Breathing (Ex)
Eat Thoughts							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Eat Thoughts (Su)
Electric Shock							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Electric Shock (Ex)
Electrical Rejuvenation						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Electrical Rejuvenation (Ex)
Electronic Interface						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Electronic Interface (Ex)
Elven Blood								CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Elven Blood
Enchanting Music							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Enchanting Music (Su)
Energy Claw								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Energy Claw (Ex)
Energy Drain							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Energy Drain (Su)
Energy Form								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Energy Form (Ex)
Engulf								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Engulf (Ex)
Enslave								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Enslave (Su)
Expansion								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Expansion (Ex)
Extradimensional Storage					CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Extradimensional Storage (Su)
Eye Rays								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Eye Rays (Su)
Fascinate								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Fascinate (Sp)
Fast Healing							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fast Healing (Ex)|PREVAREQ:FastHealingRate,0	SAB:Fast Healing %1 (Ex)|FastHealingRate|PREVARGT:FastHealingRate,0								DEFINE:FastHealingRate|0
Fear Aura ~Su			OUTPUTNAME:Fear Aura	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Fear Aura (Su)
Fear of Daylight							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fear of Daylight (Ex)
Feline Aversion							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Feline Aversion (Ex)
Ferocity								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Ferocity (Ex)
Fey Rod								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Fey Rod (Sp)
Fiery Leap								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fiery Leap (Ex)
Find Target								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Find Target (Sp)
Fire Form								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fire Form (Ex)
Flame Shield							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Flame Shield (Su)
Flame Sword								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Flame Sword (Su)
Flashbacks								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Flashbacks (Ex)
Flesh Weakness							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Flesh Weakness (Ex)
Fling									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fling (Ex)
Fortification							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fortification (Ex)
Freeze								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Freeze (Ex)
Frightful Moan							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Frightful Moan (Su)
Frightful Presense						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Frightful Presense (Ex)
Fugue									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fugue (Ex)
Fuse									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Fuse (Ex)
Fuse ~Su				OUTPUTNAME:Fuse		CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Fuse (Su)
Garbage Growth							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Garbage Growth (Ex)
Gaseous								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Gaseous (Ex)
Gaseous Form							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Gaseous Form (Su)
Gear Grind								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Gear Grind (Ex)
Glide									CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Glide (Sp)
Greater Incarnation						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Greater Incarnation (Su)
Grind									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Grind (Ex)
Hardness								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Hardness (Ex)
Hazy Outline							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Hazy Outline (Su)
Heat									CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Heat (Su)
Heat Susceptibility						CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Heat Susceptibility
Hibernate								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Hibernate (Ex)
Hive Mind								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Hive Mind (Su)
Hold Breath								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Hold Breath (Ex)
Horrific Appearance						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Horrific Appearance (Su)
Host Protection							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Host Protection (Ex)
Hot Running								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Hot Running (Ex)
Human Host								CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Human Host
Ignite								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Ignite (Ex)
Immolation								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Immolation (Su)
Impale								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Impale (Ex)
Imprinsonment							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Imprinsonment (Ex)
Improved Grab							CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Improved Grab (Ex)
Improved Speed							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Improved Speed (Ex)
Improved Tracking							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Improved Tracking (Ex)
Indestructable Body						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Indestructable Body (Su)
Infestation								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Infestation (Ex)
Ink Cloud								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Ink Cloud (Ex)
Intoxicating Fruit						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Intoxicating Fruit (Ex)
Invisibility							CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Invisibility (Sp)
Invisibility ~Su			OUTPUTNAME:Invisibility	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Invisibility (Su)
Jet									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Jet (Ex)
Jury-Rigged Repair						CATEGORY:Special Ability	TYPE:SpecialQualitySAB:Keen Vision	DESC:Jury-Rigged Repair
Keen Scent								CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Keen Scent (Ex)
Keen Vision								CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Keen Vision
Light Blindness							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Light Blindness (Ex)
Light Sensitivity							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Light Sensitivity (Ex)
Liquefaction							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Liquefaction (Ex)
Liquefied Spew							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Liquefied Spew (Ex)
Locate Killer							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Locate Killer (Su)
Machine Possession						CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Machine Possession
Malleable Form							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Malleable Form (Ex)
Manipulator Arms							CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Manipulator Arms
Mechanical Healing						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Mechanical Healing (Ex)
Memory Loss								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Memory Loss (Su)
Mesmerizing Gaze							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Mesmerizing Gaze (Su)
Mimic									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Mimic (Ex)
Mimicry								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Mimicry (Ex)
Mind Feed								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Mind Feed (Ex)
Monstrous Spider Minions					CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Monstrous Spider Minions
Multiple Limbs							CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Multiple Limbs
Mummy Rot								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Mummy Rot (Su)
Mystic Aid								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Mystic Aid (Su)
Nannite Infection							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Nannite Infection (Ex)
Natural Cunning							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Natural Cunning (Ex)
Natural Invisibility						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Natural Invisibility (Su)
Necrotizing Touch							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Necrotizing Touch (Su)
Network Mind							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Network Mind (Ex)
No limbs								CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:No limbs
Orc blood								CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Orc blood
Paralysis								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Paralysis (Ex)
Peripheral Invisibility						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Peripheral Invisibility (Su)
Petrifying Gaze							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Petrifying gaze (Su)
Poison								CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Poison (Ex)
Poison Spray							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Poison Spray (Ex)
Polymorph								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Polymorph (Sp)
Pounce								CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Pounce (Ex)
Possession								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Possession (Su)
Prodigious Leap							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Prodigious Leap (Ex)
Radiation								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Radiation (Ex)
Rake									CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Rake (Ex)
Rat Empathy								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Rat Empathy (Ex)
Regeneration							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Regeneration (Ex)|PREVAREQ:RegenerationRate,0	SAB:Regeneration %1 (Ex)|RegenerationRate|PREVARGT:RegenerationRate,0								DEFINE:RegenerationRate|0
Rejuvenation							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Rejuvenation (Su)
Rend									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Rend (Ex)
Rending Claws							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Rending Claws (Ex)
Repairable								CATEGORY:Special Ability	TYPE:SpecialQuality.RobotTraits	DESC:Repairable
Revenant Regeneration						CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Revenant Regeneration (Ex)
Rupture								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Rupture (Ex)
Scent									CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Scent (Ex)
Selective Invisibility						CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Selective Invisibility (Su)
Self-Destruct							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Self-Destruct (Ex)
Sentience								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Sentience (Ex)
Shared Host								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Shared Host (Ex)
Sharp Implements							CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Sharp Implements
Shift Dimension							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Shift Dimension (Su)
Shock Touch								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Shock Touch (Ex)
Short Circuit							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Short Circuit (Su)
Siphon Fluids							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Siphon Fluids (Ex)
Skin Regrowth							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Skin Regrowth (Su)
Sleepless								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Sleepless (Ex)
Slow Fall								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Slow Fall (Ex)
Smash									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Smash (Ex)
Smite Fallen							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Smite Fallen (Ex)
Snatch Breath							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Snatch Breath (Su)
Spawn									CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Spawn (Su)
Spider Climb							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Spider Climb (Ex)
Spit Poison								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Spit Poison (Ex)
Split									CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Split (Ex)
Spores								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Spores (Ex)
Stability								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Stability (Ex)
Stampede								CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Stampede (Ex)
Stasis								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Stasis (Ex)
Steal Essence							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Steal Essence (Su)
Stealthy Pounce							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Stealthy Pounce (Ex)
Stench								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Stench (Ex)
Strands								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Strands (Ex)
Stunning Screech							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Stunning Screech (Su)
Swallow Whole							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Swallow Whole (Ex)
Summon Vrock							CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Summon Vrock (Sp)
Telekinesis								CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Telekinesis (Su)
Telepathy								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Telepathy (Ex)
Telepathy ~Su			OUTPUTNAME:Telepathy	CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Telepathy (Su)
Teleport								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Teleport (Sp)
Thrall								CATEGORY:Special Ability	TYPE:SpecialQuality.SpellLike		DESC:Thrall (Sp)
Tongues								CATEGORY:Special Ability	TYPE:SpecialQuality			DESC:Tongues
Toxic Fumes								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Toxic Fumes (Ex) - Fort save (DC %1) or take 1d4 points of Str damage|10+(TL/2)+CON
Trample								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Trample (Ex)
Tree Dependent							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Tree Dependent (Su)
Trip									CATEGORY:Special Ability	TYPE:Extraordinary			DESC:Trip (Ex)
Turn Resistance							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Turn Resistance (Ex)|PREVAREQ:TurnResistanceBonus,0	SAB:Turn Resistance %1 (Ex)|TurnResistanceBonus|PREVARGT:TurnResistanceBonus,0						DEFINE:TurnResistanceBonus|0
Unnatural Aura							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Unnatural Aura (Su)
Vacuum Survival							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Vacuum Survival (Ex)
Vessel of Flesh							CATEGORY:Special Ability	TYPE:SpecialQuality.Supernatural	DESC:Vessel of Flesh (Su)
Vulnerability							CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Vulnerability (Ex)
Wall Smash								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Wall Smash (Ex)
Wavesense								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Wavesense (Ex)
Weakness								CATEGORY:Special Ability	TYPE:SpecialQuality.Extraordinary	DESC:Weakness (Ex)
