
###Block: 
Weapon Trick			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.8	DESC:Choose one weapon trick option (one-handed weapon, polearm, ranged, two-handed weapon, two-weapon, or weapon and shield). You can perform weapon tricks in combat when armed appropriately for that option.	PRETEXT:Prerequisite: Base attack bonus +1.	PRETOTALAB:1	BENEFIT: You can use any weapon tricks relating to the chosen weapon option if you meet the trick's prerequisites and are proficient with any weapon or shield that you use as part of the trick. Special: You can gain Weapon Trick multiple times. Each time you take the feat, it applies to a new weapon trick option.
Divine Fighting Technique	TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.10	DESC:You have trained in the fighting technique of a deity.	PRETEXT:Prerequisite: Same alignment as chosen deity.	BENEFIT: Select a deity. You can use that deity's fighting technique and receive any benefit for which you qualify, as described in the Divine Fighting Techniques section below. Special: You can gain this feat multiple times. Each time you take this feat, it applies to a new deity's divine fighting technique.
Illusive Gnome Surprise		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.12	DESC:You can use gnome weapons in unusual ways.		PRETEXT:Prerequisites: Int 13, Combat Expertise, Gnome Weapon FocusARG, Illusive Gnome Style, Improved Feint.		BENEFIT:While using Illusive Gnome Style, you gain a +2 bonus on combat maneuver checks to perform dirty tricksAPG and on Bluff checks to feint. In addition, when you successfully use Bluff to feint against a foe, instead of denying that foe its Dexterity bonus to AC, you can treat one “gnome” weapon that you are wielding as if it had one of the following weapon special features: blockingUC, brace, disarm, distractingUC, performanceUC, sunder, or trip. This benefit applies only against that foe and lasts for a number of rounds equal to your Charisma modifier (minimum 1).
Orc Fury Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.13	DESC:You inspire great fear in your enemies.		PRETEXT:Prerequisites: Bullying BlowARG, Intimidating Prowess, Intimidate 3 ranks, weapon familiarity racial trait.		BENEFIT:While wielding a greataxe, a falchion, or any melee weapon that has “orc” in its name, you can use the Bullying Blow feat with the first attack of a full-attack action or as part of a standard action to make one or more attacks (such as with the Cleave feat).
Orc Rampage				TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.13	DESC:You effortlessly savage fearful enemies.		PRETEXT:Prerequisites: Bullying BlowARG, Intimidating Prowess, Orc Fury Style, Intimidate 5 ranks, weapon familiarity racial trait.		BENEFIT:While using Orc Fury Style, you gain a +1 bonus on attack rolls and damage rolls against shaken opponents, and you don't take an attack penalty when using the Bullying Blow feat.
Orc Snarl				TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.13	DESC:Your attacks leave your opponent quivering in fear.		PRETEXT:Prerequisites: Bullying BlowARG, Intimidating Prowess, Orc Fury Style, Orc Rampage, Intimidate 7 ranks, weapon familiarity racial trait.		BENEFIT:While using Orc Fury Style, you gain a +4 bonus on saving throws against effects created by shaken foes.
Slipslinger Bombardment		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.13	DESC:You can sling a rain of splash weapons at your enemies.		PRETEXT:Prerequisites: Quick Draw, Slipslinger Grenadier, Slipslinger Style, Throw Anything, Weapon Focus (sling) or weapon training (thrown) class feature, warslinger racial traitARG.		BENEFIT:You can use a sling to hurl alchemical splash weapons as ammunition with Slipslinger Grenadier during an attack action or a full-attack action, loading your sling with such weapons as a free action. Special: This feat can't be used with alchemists' bombs.
Slipslinger Grenadier		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.13	DESC:You can hurl splash weapons with your sling.		PRETEXT:Prerequisites: Slipslinger Style, Throw Anything, Weapon Focus (sling) or weapon training (thrown) class feature, warslinger racial traitARG.		BENEFIT:While using Slipslinger Style, as a standard action you can use a sling to hurl an alchemical splash weapon, treating it as a sling bullet for the purpose of drawing and loading it into your sling. Your sling deals its normal weapon damage, plus the loaded splash weapon's effect or damage. This extra damage is not multiplied on a critical hit. Special: This feat cannot be used with alchemists' bombs.
Slipslinger Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.13	DESC:You can fire all manner of slings and sling-like weapons.		PRETEXT:Prerequisites: Weapon Focus (sling) or weapon training (thrown) class feature, warslinger racial traitARG.		BENEFIT:You gain a +1 bonus on damage rolls made with all types of slings, and don't provoke attacks of opportunity when reloading a sling. In addition, you treat all ranged and thrown weapons that have “sling” in their name as if they were slings for all feats and class abilities that require such weapons, as well as the warslinger racial trait.

###Block: RANGED WEAPON STYLE FEATS	
Empty Quiver Flexibility	TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.14	DESC:You can apply your ranged fighting feats to melee attacks.		PRETEXT:Prerequisites: Empty Quiver Style, Rapid Shot, Stabbing ShotAPG, Weapon Focus with the chosen weapon.		BENEFIT:While using Empty Quiver Style, you can apply any feats and class abilities you possess that modify your ranged attack rolls and damage rolls with the chosen weapon to melee attack rolls and damage rolls made with that weapon. Additionally, you are considered to be threatening the area around you as if you were wielding a melee weapon.
Empty Quiver Flurry		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.14	DESC:You can use your ranged weapons to make melee attacks that keep foes at bay as you shoot them.		PRETEXT:Prerequisites: Empty Quiver Flexibility, Empty Quiver Style, Rapid Shot, Stabbing ShotAPG, Weapon Focus with the chosen weapon.		BENEFIT:While using Empty Quiver Style or Stabbing Shot to make melee attacks with a ranged weapon, if you successfully hit a foe, any ranged attacks you make with the same weapon until the beginning of your next turn do not provoke attacks of opportunity from that foe. Special: If you have the Rapid Reload feat in addition to this feat, your chosen weapon is a crossbow or firearm, that weapon is unloaded, and you successfully hit a foe in melee with it, you can automatically load it as a free action.
Empty Quiver Style		TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.14	DESC:You can fight in melee with your bow, crossbow, or firearm.		PRETEXT:Prerequisite: Weapon Focus with the chosen weapon.		BENEFIT:While using this style, you can make melee attacks with the chosen weapon as if it were a heavy mace (or a light mace for melee attack made with a hand crossbow or one-handed firearm), though you don't automatically threaten the area around you as if you were wielding a melee weapon. You can switch between melee and ranged attacks with this weapon without penalty, even during the same round. In addition, you ignore the elf prerequisite for the Stabbing Shot featAPG. If you have the Stabbing Shot feat, you can use it with a crossbow or firearm, substituting a loaded bolt or firearm ammunition for an arrow. Special: In addition to the chosen weapon, a character with this feat and the weapon training (bows, crossbows, or firearms) class feature can use Empty Quiver Style with any bow, crossbow, or firearm, respectively.
Overwatch Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.14	DESC:You have learned to wait until your ranged attacks have the greatest effect.		PRETEXT:Prerequisites: Precise Shot, Rapid Shot, Weapon Focus with the chosen weapon.		BENEFIT:While using this style, as a full-round action you can ready two ranged attacks with the chosen weapon, each with its own triggering event. You take a -2 penalty on attack rolls made with these readied actions. Special: A character with this feat and the weapon training (bows, crossbows, or firearms) class feature can use Overwatch Style with any bow, crossbow, or firearm, respectively, in addition to the chosen weapon.
# 
Overwatch Tactician		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.15	DESC:You quickly prepare to react to your enemies' actions.		PRETEXT:Prerequisites: Overwatch Style, Precise Shot, Rapid Shot, Weapon Focus with the chosen weapon.		BENEFIT:While using Overwatch Style, you can ready two ranged attacks as a standard action, rather than a fullround action.
Overwatch Vortex			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.15	DESC:You are ready to respond to many more of your foes' actions.		PRETEXT:Prerequisites: Overwatch Style, Overwatch Tactician, Precise Shot, Rapid Shot, Weapon Focus with the chosen weapon, base attack bonus +11.		BENEFIT:While using the Overwatch Style, as a fullround action you can ready up to four ranged attacks, each with its own triggering event. You take a -2 penalty on attack rolls made with these readied actions.
Startoss Comet			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.15	DESC:You can aim a thrown weapon so it strikes two foes.		PRETEXT:Prerequisites: Dex 13, Point-Blank Shot, Startoss Style, Weapon Focus with the chosen weapon.		BENEFIT:As a standard action, you can make a single ranged thrown weapon attack at your full attack bonus with the chosen weapon. If you hit, you deal damage normally and can make a second attack (at your full attack bonus) against a target within one range increment of the first. You determine cover for this attack from the f irst target's space instead of your space. You can make only one additional attack per round with this feat. If you have Vital Strike, Improved Vital Strike, or Greater Vital Strike, you can add the additional damage from those feats to the initial ranged attack (but not the second attack).
Startoss Shower			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.15	DESC:You can strike multiple opponents with thrown weapons.		PRETEXT:Prerequisites: Dex 13, Point-Blank Shot, Startoss Comet, Startoss Style, Weapon Focus with the chosen weapon, base attack bonus +4.		BENEFIT:When you hit an opponent while using the Startoss Comet feat, you can continue to make attacks against foes that are within one range increment of all previous opponents. You determine cover for each attack from the most recently hit foe's space instead of your space, and you cannot attack an individual foe more than once during this attack action. You can make a maximum number of attacks equal to 1 + 1 per 5 points of base attack bonus you possess. If you have Vital Strike, Improved Vital
Startoss Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.15	DESC:Your thrown weapons become more deadly.		PRETEXT:Prerequisites: Dex 13, Point-Blank Shot, Weapon Focus with the chosen weapon.		BENEFIT:Choose one weapon from the thrown fighter weapon group. While using this style and the chosen weapon, you gain a bonus on damage rolls made with the weapon equal to 2 + 2 per style feat you possess that lists Startoss Style as a prerequisite (maximum +6 damage). You cannot use this ability if you are carrying a weapon or a shield in your off hand (except for a buckler). Special: In addition to the chosen weapon, a character with this feat and the weapon training (thrown) class feature can use Startoss Style with any thrown weapons that she wields in one hand.

###Block: MELEE WEAPON STYLE FEATS	
Ascetic Form			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.16	DESC:You have mastered the ability to blend the use of arms with martial arts.	PRETEXT:Prerequisites: Ascetic Style; Weapon Focus with the chosen melee weapon; base attack bonus +5 or monk level 5th.	BENEFIT:You can use the chosen melee weapon with any class ability that can be used with an unarmed strike, such as an unchained monk's style strike ability. In addition, you are treated as a monk with a level equal to your character level for the purpose of determining the number of times per day that you can use feats with uses per day that depend upon your monk level, such as the Stunning Fist or Perfect Strike feats.
Ascetic Strike			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.16	DESC:Your weapon strikes deal more damage than usual.	PRETEXT:Prerequisites: Ascetic Form; Ascetic Style; Weapon Focus with the chosen weapon; base attack bonus +7 or monk level 7th.	BENEFIT:You can use the unarmed strike damage of a monk 4 levels lower than your character level (minimum 1st) instead of the base damage for the chosen weapon. Ascetic Strike functions in all other ways as the brawler's close weapon masteryACG class feature. In addition, you ignore the still mind class feature prerequisite for the Monastic LegacyUC feat.
Ascetic Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.16	DESC:You blend arms and martial arts, using weapons with the same ease as unarmed strikes.	PRETEXT:Prerequisites: Weapon Focus with the chosen melee weapon; base attack bonus +1 or monk level 1st.	BENEFIT:Choose one weapon from the monk fighter weapon group. While using this style and wielding the chosen weapon, you can apply the effects of feats that have Improved Unarmed Strike as a prerequisite, as well as effects that augment an unarmed strike, as if attacks with the weapon were unarmed attacks. Special: A 5th-level monk or character with the weapon training (monk) class feature can use Ascetic Style with any monk weapon, in addition to the chosen melee weapon.
Outslug Sprint			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.16	DESC:You can make quick, defensive movements.	PRETEXT:Prerequisites: Int 13; Combat Expertise or brawler's cunningACG class feature; Lunge; Outslug Style; Outslug Weave; Weapon Focus with the chosen weapon.	BENEFIT:While using Outslug Style, you can move an additional 5 feet when making a 5-foot step.
Outslug Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.16	DESC:You dart in and out of combat.	PRETEXT:Prerequisites: Int 13; Combat Expertise or brawler's cunningACG class feature; Weapon Focus with the chosen weapon.	BENEFIT:Choose one weapon from the close fighter weapon group. While using this style, when you take a 5-foot step, you gain a +1 dodge bonus to AC and a +1 bonus on weapon damage rolls with the chosen weapon until the beginning of your next turn. Special: In addition to the chosen weapon, a character with the weapon training (close) or the brawler's close weapon masteryACG class feature can use Outslug Style with any close weapon.
Outslug Weave			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.16	DESC:You land precise attacks from afar.	PRETEXT:Prerequisites: Int 13; Combat Expertise or brawler's cunningACG class feature; Lunge; Outslug Style; Weapon Focus with the chosen weapon.	BENEFIT:While using Outslug Style, you don't take a -2 penalty to your AC when using the Lunge feat. The bonuses to AC and on weapon damage rolls that you gain from Outslug Style increase to +2.
Smashing Crush			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.16	DESC:Your hammers strike objects with destructive force.	PRETEXT:Prerequisites: Str 13, Improved Sunder, Smashing Style, Weapon Focus with the chosen weapon.	BENEFIT:While using Smashing Style, if you successfully damage an object with the sunder combat maneuver, you reduce its hardness by 1. An object can't have its hardness reduced to less than 50% of its normal hardness, and its hardness is restored when the damage dealt by the sunder attack is repaired.
Smashing Dent			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:Your hammer strikes cause traumatic injuries.	PRETEXT:Prerequisites: Str 13, Improved Sunder, Smashing Crush, Smashing Style, Weapon Focus with the chosen weapon, base attack bonus +6.	BENEFIT:While using Smashing Style, each time you damage a suit of armor with a sunder combat maneuver, you reduce its armor bonus to its Armor Class by 1 and increase its armor check penalty by 1. Armor cannot have its armor bonus to AC reduced to less than 50% of its normal bonus or its armor check penalty more than doubled. These reductions and increases both end when the damage dealt by the sunder is repaired.
Smashing Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:Your hammer blows dent armor, hampering your opponent.	PRETEXT:Prerequisites: Str 13, Improved Sunder, Power Attack, Weapon Focus with the chosen weapon.	BENEFIT:Choose one weapon from the axes, hammers, or f lails fighter weapon group. While using this style, when you succeed at a sunder combat maneuver check against a suit of armor worn by an opponent, you can immediately attempt a bull rush or trip combat maneuver against that target with the same combat maneuver bonus. This maneuver does not provoke attacks of opportunity. Special: A character with the weapon training (axes, hammers, or f lails) class feature can use Smashing Style with any axe, f lail, or hammer, respectively, in addition to the chosen weapon.
Spear Dancing Reach		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:You can strike from afar with double weapons.		PRETEXT:Prerequisites: Dex 17, Spear Dancing Spiral, Spear Dancing Style, Two-Weapon Fighting, Weapon Finesse, Weapon Focus with the chosen weapon.		BENEFIT:While using Spear Dancing Style and making a full attack using the chosen weapon as a double weapon, you can grant the reach special weapon feature to one or both of the weapon's ends until the end of your turn as a swift action.
Spear Dancing Spiral		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:You wield spears with poise and grace.		PRETEXT:Prerequisites: Dex 15, Spear Dancing Style, Two- Weapon Fighting, Weapon Finesse, Weapon Focus with the chosen weapon.		BENEFIT:While using Spear Dancing Style, you gain the benefit of Weapon Finesse with the chosen weapon if it is appropriately sized for a creature of your size category. In addition, you can use any feat or ability that functions with a quarterstaff with your chosen weapon.
Spear Dancing Style		TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:You can use polearms and spears as double weapons.		PRETEXT:Prerequisites: Dex 13, Two-Weapon Fighting, Weapon Focus with the chosen weapon.		BENEFIT:Choose one weapon from the polearm or spear fighter weapon groups. While using this style, you grant the chosen weapon the double special weapon feature, using the weapon's normal statistics for its main-hand end and the statistics of a light mace for its off-hand end. A weapon wielded in this way loses the brace and reach special weapon features. Special: A character with the weapon training (polearms or spears) class feature can use Spear Dancing Style with any polearm or spear, respectively, in addition to the chosen weapon.
Swordplay Deflection		TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:You can deflect incoming attacks.		PRETEXT:Prerequisites: Combat Expertise, Improved Feint, Swordplay Style, Swordplay Upset, Weapon Focus with the chosen weapon, base attack bonus +7.	BENEFIT: While using Swordplay Style, when you make one or more melee attacks, you can forgo a single melee attack to prepare an action to disrupt an opponent's attack. This functions as a swashbuckler's opportune parry and riposteACG deed, except that if your result is greater than your opponent's, you gain a +4 shield bonus to your Armor Class against attacks made by your opponent until the start of your next turn instead of preventing the hit, and you cannot attempt to riposte. If you have the opportune parry and riposte deed, you gain this Armor Class bonus anytime you successfully parry an opponent's attack.
Swordplay Style			TYPE:Combat.Style	CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:Your defense relies on perfectly timed attacks.		PRETEXT:Prerequisites: Combat Expertise, Weapon Focus with the chosen weapon, base attack bonus +3.		BENEFIT:Choose one weapon from the heavy blades or light blades fighter weapon group. While using this style, wielding the chosen weapon, and fighting defensively or using either the total defense action or the Combat Expertise feat, you gain a +1 shield bonus to your Armor Class. In addition, you do not take the penalty on melee attacks from Combat Expertise on the first attack roll you make each turn. You still take the penalty on additional attacks, including attacks of opportunity. Special: A character with the swashbuckler weapon trainingACG or weapon training (heavy blades or light blades) class feature can use Swordplay Style with any light or one-handed piercing melee weapon, heavy blade, or light blade, respectively, in addition to the chosen weapon.
Swordplay Upset			TYPE:Combat		CATEGORY:FEAT	SOURCEPAGE:p.17	DESC:You catch opponents off guard with your attacks.		PRETEXT:Prerequisites: Combat Expertise, Improved Feint, Swordplay Style, Weapon Focus with the chosen weapon, base attack bonus +5.		BENEFIT:While using Swordplay Style, as an immediate action, you can attempt a feint against an opponent that makes a melee attack against you and misses.



###Block: 
Advanced Weapon Training	TYPE:Combat	CATEGORY:FEAT	SOURCEPAGE:p.19		DESC:You are specially trained to use your weapon skills in new ways.		PRETEXT:Prerequisites: Fighter level 5th, weapon training class feature.		BENEFIT:Select one advanced weapon training option, applying it to one fighter weapon group you have already selected with the weapon training class feature. Special: This feat can be taken more than once, but at most once per 5 fighter levels. Special: Fighters that have the weapon masterAPG archetype can select this feat beginning at 4th level. The benefits of a weapon master's advanced weapon training options apply only to his selected weapon rather than all weapons in the same fighter weapon group, and he can't select the weapon specialist advanced weapon training option. A weapon master can select this feat as a bonus feat; if he does so, it doesn't count for the purpose of the requirement that it can be taken at most once per 5 fighter levels.
Martial Focus			TYPE:Combat	CATEGORY:FEAT	SOURCEPAGE:p.20		DESC:You have honed your skills with a group of related weapons.		PRETEXT:Prerequisite: Base attack bonus +5.		BENEFIT:Choose one fighter weapon group. While wielding a weapon from this group with which you are proficient, you gain a +1 bonus on damage rolls. Special: The Martial Focus feat counts as the weapon training class feature with the chosen fighter weapon group for the purpose of weapon mastery feat prerequisites and what weapons you can use with weapon mastery feats.

###Block: Ranged Weapon Mastery Feats
Ace Disarm			TYPE:Targeting.Weapon Mastery	CATEGORY:FEAT	SOURCEPAGE:p.20		DESC:You catch objects with your ranged attacks and drag them along with you.		PRETEXT:Prerequisites: Dex 13, Deadly Aim, Ranged Disarm (Ranged Tactics Toolbox 8), base attack bonus +6, weapon training class feature with a ranged weapon.		BENEFIT:You don't take the -2 penalty for attempting disarm combat maneuver checks with a ranged weapon using Ranged Disarm, and you can attempt a stealAPG combat maneuver check instead of a disarm combat maneuver check when using Ranged Disarm. In addition, when you successfully disarm or steal an item from an opponent, that item is deposited in that opponent's square. For every 5 by which your attack exceeds the target's CMD, you can deposit the item 5 feet away from the target (to a maximum of the attack's maximum range or until your projectile strikes an object that it cannot penetrate). If you use this ability with a thrown weapon and have the Ricochet Toss feat, both the weapon and the item return to you.
Ace Trip			TYPE:Targeting.Weapon Mastery	CATEGORY:FEAT	SOURCEPAGE:p.20		DESC:You can trip f lying opponents with your ranged attacks.		PRETEXT:Prerequisites: Dex 13, Deadly Aim, Ranged Trip (Ranged Tactics Toolbox 9), base attack bonus +6, weapon training class feature with a ranged weapon.		BENEFIT:You don't take the -2 penalty for making trip attempts with a ranged weapon using Ranged Trip, and you can attempt special ranged trip combat maneuver checks against f lying creatures. If the combat maneuver succeeds, the target falls at a rate of up to 100 feet per round (assuming it is conscious and attempting to remain airborne; otherwise, it falls at a rate of 500 feet per round) until it hits the ground. Upon impact, it falls prone and takes falling damage (half the normal damage if it fell 100 feet per round; otherwise, normal damage for the distance fallen). A falling creature is considered entangled until it hits the ground, but it can attempt a Fly check at the start of its turn to stop falling before it hits the ground (DC = 15 + your base attack bonus); otherwise, it is unable to move (other than falling) but can act normally.
Burrowing Shot		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.21		DESC:You lodge your ranged weapons within your target's body.		PRETEXT:Prerequisites: Dex 13, Deadly Aim, base attack bonus +9, weapon training class feature with a ranged weapon.		BENEFIT:When you successfully hit a creature with a ranged attack, as a swift action, you can have the weapon (or its ammunition, for projectile weapons) lodge itself within the creature's body, causing the creature to take a -2 penalty on ability checks, attack rolls, saving throws, and skill checks as a result of the intense pain. Penalties from multiple lodged weapons do not stack. If the creature is a spellcaster, it gains a 25% spell failure chance with all spells it casts that include somatic components. This penalty can be removed with the treat deadly wounds use of the Heal skill or by removing the lodged weapon as a standard action, which ends the penalties and causes the creature to take an amount of damage equal to the weapon's base damage (without any bonuses).
Finesse Shot		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.21		DESC:You can use ranged attacks to perform actions that require finesse.		PRETEXT:Prerequisites: Marksman's Utility, base attack bonus +7, weapon training class feature with a ranged weapon.		BENEFIT:In addition to the options allowed by the utility shotUC gunslinger deed, you gain access to the following utility shots. Open/Close Object: You can use a ranged attack to open or close an object as a standard action. You make an attack roll against an unattended and unlocked door, window, or container within the first range increment of your weapon. Such an object has an AC equal to 3 + the object's size modifier (minimum +0) + its hardness. If you hit, the object opens if it is closed or closes if it is open. Otherwise, this ability functions as the open/close spell. Triggering Shot: You can use a ranged attack to trigger a trap. You make a ranged attack against a trap you are aware of that is within your weapon's first range increment. The trap's AC is equal to 10 + its Disable Device DC. If you hit, the trap automatically triggers as if its trigger condition had been met. Use Object: You can attempt to use a simple object by shooting it as a standard action. This ability functions as the scoot unattended object use of the utility shot deed, except you pull or push the object in such a way that it activates. For example, you can shoot an unattended lever, causing it to activate and lower a drawbridge.
Impressive Grit		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.21		DESC:Your mastery of ranged weapons allows you to perform impressive deeds.		PRETEXT:Prerequisites: Base attack bonus +11, weapon training class feature with a ranged weapon.		BENEFIT:Select one of the following gunslinger deedsUC: dead shot, startling shot, or targeting. You can perform the selected deed a number of times per day equal to your highest mental ability score modifier (Intelligence, Wisdom, or Charisma; minimum 1). You can use this deed with an appropriate ranged weapon. If you also have the selected deed as a class feature, reduce the number of grit points that you need to use it by 1, as per the Signature DeedUC feat. Special: You can select Impressive Grit up to three times. Each time you select it, choose a different gunslinger deed. A gunslingerUC can ignore the weapon training class feature prerequisite of Impressive Grit.
Liberating Shot		TYPE:Weapon Mastery		CATEGORY:FEAT	SOURCEPAGE:p.21		DESC:You can use ranged weapons to help grappled allies escape their captors' clutches.		PRETEXT:Prerequisites: Dex 13, Deadly Aim, base attack bonus +7, weapon training class feature with a ranged weapon.		BENEFIT:When you hit an opponent with a ranged attack as part of an attack action and that opponent is grappling an ally, your grappled ally can use your attack roll result in place of her combat maneuver check result, whichever is higher, to escape from the grapple during her next turn.
