# CVS $Revision$ $Author$ -- Sat Oct  2 19:33:06 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Advanced Player's Guide	SOURCESHORT:PFAPG	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8fo1	SOURCEDATE:2010-08
# Original Entry by: Stefan Radermacher & Andrew Maitland


###Block: Mods
# Feat Name					Type
Martial Weapon Proficiency.MOD	TYPE:MartialWeaponProficiency
Weapon Finesse.MOD			TYPE:ShadowBloodline

#Starsoul Bonus Feats: Skill Focus
Blind-Fight.MOD				TYPE:StarsoulBloodline
Craft Rod.MOD				TYPE:StarsoulBloodline
Dodge.MOD					TYPE:StarsoulBloodline
Endurance.MOD				TYPE:StarsoulBloodline
Improved Counterspell.MOD		TYPE:StarsoulBloodline
Improved Iron Will.MOD			TYPE:StarsoulBloodline
Iron Will.MOD				TYPE:StarsoulBloodline
Quicken Spell.MOD				TYPE:StarsoulBloodline
Toughness.MOD				TYPE:StarsoulBloodline

#Stormborn Bonus Feats: Skill Focus
Deadly Aim.MOD				TYPE:StormbornBloodline
Dodge.MOD					TYPE:StormbornBloodline
Enlarge Spell.MOD				TYPE:StormbornBloodline
Far Shot.MOD				TYPE:StormbornBloodline
Great Fortitude.MOD			TYPE:StormbornBloodline
Point-Blank Shot.MOD			TYPE:StormbornBloodline
Wind Stance.MOD				TYPE:StormbornBloodline

#Verdant Bonus Feats:
#Acrobatic Moves.MOD	TYPE:VerdantBloodline
#CLARIFY: New Feat?
Acrobatic Steps.MOD			TYPE:VerdantBloodline
Craft Staff.MOD				TYPE:VerdantBloodline
Endurance.MOD				TYPE:VerdantBloodline
Extend Spell.MOD				TYPE:VerdantBloodline
Fleet.MOD					TYPE:VerdantBloodline
Nimble Moves.MOD				TYPE:VerdantBloodline
Toughness.MOD				TYPE:VerdantBloodline

# Druid Shaman Bonus Feats:
# Druid Bear Shaman ~ Bonus Feat
Diehard.MOD					TYPE:DruidShamanBear
Endurance.MOD				TYPE:DruidShamanBear
Great Fortitude.MOD			TYPE:DruidShamanBear
Improved Great Fortitude.MOD		TYPE:DruidShamanBear
Toughness.MOD				TYPE:DruidShamanBear

#Druid Eagle Shaman ~ Bonus Feat	Skill Focus (Perception)
Flyby Attack.MOD				TYPE:DruidShamanEagle
Improved Lightning Reflexes.MOD	TYPE:DruidShamanEagle
Lightning Reflexes.MOD			TYPE:DruidShamanEagle
Wind Stance.MOD				TYPE:DruidShamanEagle

#Druid Lion Shaman ~ Bonus Feat	Skill Focus (Acrobatics)
Dodge.MOD					TYPE:DruidShamanLion
Lunge.MOD					TYPE:DruidShamanLion
Improved Iron Will.MOD			TYPE:DruidShamanLion
Iron Will.MOD				TYPE:DruidShamanLion

#Druid Serpent Shaman ~ Bonus Feat	Skill Focus (Bluff)
Combat Expertise.MOD			TYPE:DruidShamanSerpent
Improved Feint.MOD			TYPE:DruidShamanSerpent
Stealthy.MOD				TYPE:DruidShamanSerpent
Strike Back.MOD				TYPE:DruidShamanSerpent

#Druid Wolf Shaman ~ Bonus Feat	Skill Focus (Stealth)
Greater Trip.MOD				TYPE:DruidShamanWolf
Improved Trip.MOD				TYPE:DruidShamanWolf
Mobility.MOD				TYPE:DruidShamanWolf
Spring Attack.MOD				TYPE:DruidShamanWolf

# Cavalier Mounted Mastery
Mounted Combat.MOD			TYPE:MountedMastery
Ride-By Attack.MOD			TYPE:MountedMastery
Spirited Charge.MOD			TYPE:MountedMastery
Trample.MOD					TYPE:MountedMastery
Unseat.MOD					TYPE:MountedMastery


# Trait bonuses to Turn Undead and Command Undead
Command Undead.MOD	BONUS:VAR|CommandUndeadDC|1|PREABILITY:1,CATEGORY=Special Ability,Sacred Conduit ~ Trait
Turn Undead.MOD		BONUS:VAR|TurnUndeadDC|1|PREABILITY:1,CATEGORY=Special Ability,Sacred Conduit ~ Trait

#
# End
#
