# CVS $Revision$ $Author$ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)

# This doesn't take into account (Paladin) spells from other sources.  No way to 'Remove spells from a spell list'
# Spell Name				Classes of caster							Description
Fox's Cunning.MOD				CLASSES:Cleric (Cloistered Cleric)=2
#3rd-
Illusory Script.MOD			CLASSES:Cleric (Cloistered Cleric)=3
Secret Page.MOD				CLASSES:Cleric (Cloistered Cleric)=3
Tongues.MOD					CLASSES:Cleric (Cloistered Cleric)=3
#4th-
Detect Scrying.MOD			CLASSES:Cleric (Cloistered Cleric)=4
#6th-
Analyze Dweomer.MOD			CLASSES:Cleric (Cloistered Cleric)=6
#7th-
Sequester.MOD				CLASSES:Cleric (Cloistered Cleric)=7
#9th-
Vision.MOD					CLASSES:Cleric (Cloistered Cleric)=9


Alarm.MOD					CLASSES:Savage Bard=1
