#
# Current Ver: $Revision$
# Last Editor: $Author$
# Last Edited: $Date$
#
# Rules for migrating characters from old data to new.
#

# Examples
# SOURCE:JDTEST	NEWKEY:Paizo - Pathfinder Roleplaying Game Core Rulebook	MAXVER:6.0.0	MAXDEVVER:6.1.1
# EQUIPMENT:JDTEST	NEWKEY:Outfit (Explorer's)	MAXVER:6.0.01	MAXDEVVER:6.1.2
#EQUIPMENT:Kasari Gusoku		NEWKEY:Kusari Gusoku	MAXVER:6.1.8
#ABILITY:Archetype|Fighter Archetype ~ Aldori Sworldlord	NEWKEY:Fighter Archetype ~ Aldori Swordlord	MAXVER:6.00.01	MAXDEVVER:6.01.08

	
#ABILITY:Special Ability|Barbarian Fast Movement	NEWKEY:Barbarian ~ Fast Movement	MAXVER:6.4.0

#ABILITY:Special Ability|Barbarian DR	NEWKEY:Barbarian ~ Damage Reduction	MAXVER:6.4.0

#35e Game MODE




































### 6.0
EQUIPMENT:Ring (Universal Energy Resistance/Greater)		MAXVER:6.00.01	NEWKEY:Ring of Universal Energy Resistance (Greater)
EQUIPMENT:Ring (Epic Psionics V)					MAXVER:6.00.01	NEWKEY:Ring of Epic Psionics V
EQUIPMENT:Ring (Epic Psionics VI)					MAXVER:6.00.01	NEWKEY:Ring of Epic Psionics VI
EQUIPMENT:Ring (Epic Psionics VII)					MAXVER:6.00.01	NEWKEY:Ring of Epic Psionics VII
EQUIPMENT:Ring (Epic Psionics VIII)					MAXVER:6.00.01	NEWKEY:Ring of Epic Psionics VIII
EQUIPMENT:Ring (Epic Psionics IX)					MAXVER:6.00.01	NEWKEY:Ring of Epic Psionics IX
EQUIPMENT:Ring (Universal Energy Resistance/Minor)		MAXVER:6.00.01	NEWKEY:Ring of Universal Energy Resistance (Minor)
EQUIPMENT:Ring (Clumsiness)						MAXVER:6.00.01	NEWKEY:Ring of Clumsiness

# AEG - Evil
EQUIPMENT:Ring (Elements)						MAXVER:6.00.01	NEWKEY:Ring of Elements


#6.3
#Barbarian
ABILITY:Special Ability|Fast Movement		MAXVER:6.4.00	NEWKEY:Barbarian ~ Fast Movement				
ABILITY:Special Ability|Illiteracy			MAXVER:6.4.00	NEWKEY:Barbarian ~ Illiteracy				
ABILITY:Special Ability|Rage					MAXVER:6.4.00	NEWKEY:Barbarian ~ Rage					
ABILITY:Special Ability|Uncanny Dodge			MAXVER:6.4.00	NEWKEY:Barbarian ~ Uncanny Dodge				
ABILITY:Special Ability|Trap Sense				MAXVER:6.4.00	NEWKEY:Barbarian ~ Trap Sense				
ABILITY:Special Ability|Improved Uncanny Dodge		MAXVER:6.4.00	NEWKEY:Barbarian ~ Improved Uncanny Dodge		
ABILITY:Special Ability|Damage Reduction			MAXVER:6.4.00	NEWKEY:Barbarian ~ Damage Reduction			
ABILITY:Special Ability|Greater Rage			MAXVER:6.4.00	NEWKEY:Barbarian ~ Greater Rage				
ABILITY:Special Ability|Indomitable Will			MAXVER:6.4.00	NEWKEY:Barbarian ~ Indomitable Will			
ABILITY:Special Ability|Tireless Rage			MAXVER:6.4.00	NEWKEY:Barbarian ~ Tireless Rage				
ABILITY:Special Ability|Mighty Rage				MAXVER:6.4.00	NEWKEY:Barbarian ~ Mighty Rage				
ABILITY:Special Ability|Spells				MAXVER:6.4.00	NEWKEY:Bard ~ Spells					
ABILITY:Special Ability|Bardic Knowledge			MAXVER:6.4.00	NEWKEY:Bard ~ Bardic Knowledge			
ABILITY:Special Ability|Bardic Music			MAXVER:6.4.00	NEWKEY:Bard ~ Bardic Music				
ABILITY:Special Ability|Countersong				MAXVER:6.4.00	NEWKEY:Bardic Music ~ Countersong		
ABILITY:Special Ability|Fascinate				MAXVER:6.4.00	NEWKEY:Bardic Music ~ Fascinate			
ABILITY:Special Ability|Inspire Courage			MAXVER:6.4.00	NEWKEY:Bardic Music ~ Inspire Courage		
ABILITY:Special Ability|Inspire Competence		MAXVER:6.4.00	NEWKEY:Bardic Music ~ Inspire Competence	
ABILITY:Special Ability|Suggestion				MAXVER:6.4.00	NEWKEY:Bardic Music ~ Suggestion			
ABILITY:Special Ability|Inspire Greatness			MAXVER:6.4.00	NEWKEY:Bardic Music ~ Inspire Greatness	
ABILITY:Special Ability|Song of Freedom			MAXVER:6.4.00	NEWKEY:Bardic Music ~ Song of Freedom		
ABILITY:Special Ability|Inspire Heroics			MAXVER:6.4.00	NEWKEY:Bardic Music ~ Inspire Heroics		
ABILITY:Special Ability|Mass Suggestion			MAXVER:6.4.00	NEWKEY:Bardic Music ~ Mass Suggestion		
ABILITY:Special Ability|Weapon and Armor Proficiency			MAXVER:6.4.00	NEWKEY:Cleric ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Aura							MAXVER:6.4.00	NEWKEY:Cleric ~ Aura					
ABILITY:Special Ability|Spells						MAXVER:6.4.00	NEWKEY:Cleric ~ Spells				
ABILITY:Special Ability|Spontaneous Casting				MAXVER:6.4.00	NEWKEY:Cleric ~ Spontaneous Casting		
#ABILITY:Special Ability|Chaotic, Evil, Good, and Lawful Spells	MAXVER:6.4.00	NEWKEY:Cleric ~ Alignment Spells			
ABILITY:Special Ability|Turn or Rebuke Undead				MAXVER:6.4.00	NEWKEY:Cleric ~ Turn or Rebuke Undead		
ABILITY:Special Ability|Bonus Languages					MAXVER:6.4.00	NEWKEY:Cleric ~ Bonus Languages			
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Druid ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Spells				MAXVER:6.4.00	NEWKEY:Druid ~ Spells				
ABILITY:Special Ability|Spontaneous Casting		MAXVER:6.4.00	NEWKEY:Druid ~ Spontaneous Casting		
ABILITY:Special Ability|Bonus Languages			MAXVER:6.4.00	NEWKEY:Druid ~ Bonus Languages			
ABILITY:Special Ability|Animal Companion			MAXVER:6.4.00	NEWKEY:Druid ~ Animal Companion			
ABILITY:Special Ability|Nature Sense			MAXVER:6.4.00	NEWKEY:Druid ~ Nature Sense			
ABILITY:Special Ability|Wild Empathy			MAXVER:6.4.00	NEWKEY:Druid ~ Wild Empathy			
ABILITY:Special Ability|Woodland Stride			MAXVER:6.4.00	NEWKEY:Druid ~ Woodland Stride			
ABILITY:Special Ability|Trackless Step			MAXVER:6.4.00	NEWKEY:Druid ~ Trackless Step			
ABILITY:Special Ability|Resist Nature's Lure		MAXVER:6.4.00	NEWKEY:Druid ~ Resist Nature's Lure		
ABILITY:Special Ability|Wild Shape				MAXVER:6.4.00	NEWKEY:Druid ~ Wild Shape				
ABILITY:Special Ability|Venom Immunity			MAXVER:6.4.00	NEWKEY:Druid ~ Venom Immunity			
ABILITY:Special Ability|A Thousand Faces			MAXVER:6.4.00	NEWKEY:Druid ~ A Thousand Faces			
ABILITY:Special Ability|Timeless Body			MAXVER:6.4.00	NEWKEY:Druid ~ Timeless Body			
ABILITY:Special Ability|Link					MAXVER:6.4.00	NEWKEY:Animal Companion ~ Link			
ABILITY:Special Ability|Share Spells			MAXVER:6.4.00	NEWKEY:Animal Companion ~ Share Spells		
ABILITY:Special Ability|Evasion				MAXVER:6.4.00	NEWKEY:Animal Companion ~ Evasion		
ABILITY:Special Ability|Devotion				MAXVER:6.4.00	NEWKEY:Animal Companion ~ Devotion		
ABILITY:Special Ability|Multiattack				MAXVER:6.4.00	NEWKEY:Animal Companion ~ Multiattack		
ABILITY:Special Ability|Improved Evasion			MAXVER:6.4.00	NEWKEY:Animal Companion ~ Improved Evasion	
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Fighter ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Bonus Feats				MAXVER:6.4.00	NEWKEY:Fighter ~ Bonus Feats				
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Monk ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|AC Bonus				MAXVER:6.4.00	NEWKEY:Monk ~ AC Bonus				
ABILITY:Special Ability|Flurry of Blows			MAXVER:6.4.00	NEWKEY:Monk ~ Flurry of Blows			
ABILITY:Special Ability|Unarmed Strike			MAXVER:6.4.00	NEWKEY:Monk ~ Unarmed Strike			
ABILITY:Special Ability|Bonus Feat				MAXVER:6.4.00	NEWKEY:Monk ~ Bonus Feat				
ABILITY:Special Ability|Evasion				MAXVER:6.4.00	NEWKEY:Monk ~ Evasion				
ABILITY:Special Ability|Fast Movement			MAXVER:6.4.00	NEWKEY:Monk ~ Fast Movement			
ABILITY:Special Ability|Still Mind				MAXVER:6.4.00	NEWKEY:Monk ~ Still Mind				
ABILITY:Special Ability|Ki Strike				MAXVER:6.4.00	NEWKEY:Monk ~ Ki Strike				
ABILITY:Special Ability|Slow Fall				MAXVER:6.4.00	NEWKEY:Monk ~ Slow Fall				
ABILITY:Special Ability|Purity of Body			MAXVER:6.4.00	NEWKEY:Monk ~ Purity of Body			
ABILITY:Special Ability|Wholeness of Body			MAXVER:6.4.00	NEWKEY:Monk ~ Wholeness of Body			
ABILITY:Special Ability|Improved Evasion			MAXVER:6.4.00	NEWKEY:Monk ~ Improved Evasion			
ABILITY:Special Ability|Diamond Body			MAXVER:6.4.00	NEWKEY:Monk ~ Diamond Body				
ABILITY:Special Ability|Abundant Step			MAXVER:6.4.00	NEWKEY:Monk ~ Abundant Step			
ABILITY:Special Ability|Diamond Soul			MAXVER:6.4.00	NEWKEY:Monk ~ Diamond Soul				
ABILITY:Special Ability|Quivering Palm			MAXVER:6.4.00	NEWKEY:Monk ~ Quivering Palm			
ABILITY:Special Ability|Timeless Body			MAXVER:6.4.00	NEWKEY:Monk ~ Timeless Body			
ABILITY:Special Ability|Tongue of the Sun and Moon	MAXVER:6.4.00	NEWKEY:Monk ~ Tongue of the Sun and Moon	
ABILITY:Special Ability|Empty Body				MAXVER:6.4.00	NEWKEY:Monk ~ Empty Body				
ABILITY:Special Ability|Perfect Self			MAXVER:6.4.00	NEWKEY:Monk ~ Perfect Self				
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Paladin ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Aura of Good			MAXVER:6.4.00	NEWKEY:Paladin ~ Aura of Good				
ABILITY:Special Ability|Detect Evil				MAXVER:6.4.00	NEWKEY:Paladin ~ Detect Evil				
ABILITY:Special Ability|Smite Evil				MAXVER:6.4.00	NEWKEY:Paladin ~ Smite Evil				
ABILITY:Special Ability|Divine Grace			MAXVER:6.4.00	NEWKEY:Paladin ~ Divine Grace				
ABILITY:Special Ability|Lay on Hands			MAXVER:6.4.00	NEWKEY:Paladin ~ Lay on Hands				
ABILITY:Special Ability|Aura of Courage			MAXVER:6.4.00	NEWKEY:Paladin ~ Aura of Courage				
ABILITY:Special Ability|Divine Health			MAXVER:6.4.00	NEWKEY:Paladin ~ Divine Health				
# This ruins the Turn Undead Base Ability for Clerics!
#ABILITY:Special Ability|Turn Undead				MAXVER:6.4.00	NEWKEY:Paladin ~ Turn Undead				
ABILITY:Special Ability|Spells				MAXVER:6.4.00	NEWKEY:Paladin ~ Spells					
ABILITY:Special Ability|Special Mount			MAXVER:6.4.00	NEWKEY:Paladin ~ Special Mount				
ABILITY:Special Ability|Remove Disease			MAXVER:6.4.00	NEWKEY:Paladin ~ Remove Disease				
ABILITY:Special Ability|Code of Conduct			MAXVER:6.4.00	NEWKEY:Paladin ~ Code of Conduct				
ABILITY:Special Ability|Associates				MAXVER:6.4.00	NEWKEY:Paladin ~ Associates				
ABILITY:Special Ability|Empathic Link		MAXVER:6.4.00	NEWKEY:Special Mount ~ Empathic Link		
ABILITY:Special Ability|Improved Evasion		MAXVER:6.4.00	NEWKEY:Special Mount ~ Improved Evasion	
ABILITY:Special Ability|Share Spells		MAXVER:6.4.00	NEWKEY:Special Mount ~ Share Spells		
ABILITY:Special Ability|Share Saving Throws	MAXVER:6.4.00	NEWKEY:Special Mount ~ Share Saving Throws	
ABILITY:Special Ability|Improved Speed		MAXVER:6.4.00	NEWKEY:Special Mount ~ Improved Speed		
ABILITY:Special Ability|Command			MAXVER:6.4.00	NEWKEY:Special Mount ~ Command			
ABILITY:Special Ability|Spell Resistance		MAXVER:6.4.00	NEWKEY:Special Mount ~ Spell Resistance	
ABILITY:Special Ability|Weapon and Armor Proficiency	MAXVER:6.4.00	NEWKEY:Ranger ~ Weapon and Armor Proficiency	
ABILITY:Special Ability|Favored Enemy			MAXVER:6.4.00	NEWKEY:Ranger ~ Favored Enemy			
ABILITY:Special Ability|Track					MAXVER:6.4.00	NEWKEY:Ranger ~ Track				
ABILITY:Special Ability|Wild Empathy			MAXVER:6.4.00	NEWKEY:Ranger ~ Wild Empathy			
ABILITY:Special Ability|Combat Style			MAXVER:6.4.00	NEWKEY:Ranger ~ Combat Style			
ABILITY:Special Ability|Endurance				MAXVER:6.4.00	NEWKEY:Ranger ~ Endurance				
ABILITY:Special Ability|Animal Companion			MAXVER:6.4.00	NEWKEY:Ranger ~ Animal Companion			
ABILITY:Special Ability|Spells				MAXVER:6.4.00	NEWKEY:Ranger ~ Spells				
ABILITY:Special Ability|Improved Combat Style		MAXVER:6.4.00	NEWKEY:Ranger ~ Improved Combat Style		
ABILITY:Special Ability|Woodland Stride			MAXVER:6.4.00	NEWKEY:Ranger ~ Woodland Stride			
ABILITY:Special Ability|Swift Tracker			MAXVER:6.4.00	NEWKEY:Ranger ~ Swift Tracker			
ABILITY:Special Ability|Evasion				MAXVER:6.4.00	NEWKEY:Ranger ~ Evasion				
ABILITY:Special Ability|Combat Style Mastery		MAXVER:6.4.00	NEWKEY:Ranger ~ Combat Style Mastery		
ABILITY:Special Ability|Camouflage				MAXVER:6.4.00	NEWKEY:Ranger ~ Camouflage				
ABILITY:Special Ability|Hide in Plain Sight		MAXVER:6.4.00	NEWKEY:Ranger ~ Hide in Plain Sight		


ABILITY:Special Ability|Two Weapon Fighting Combat Style		MAXVER:6.4.00	NEWKEY:Combat Style ~ Two-Weapon Fighting	
ABILITY:Special Ability|Archery Combat Style				MAXVER:6.4.00	NEWKEY:Combat Style ~ Archery			



ABILITY:Special Ability|Aberration					MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Aberration			
ABILITY:Special Ability|Animal					MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Animal				
ABILITY:Special Ability|Construct					MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Construct				
ABILITY:Special Ability|Dragon					MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Dragon				
ABILITY:Special Ability|Elemental					MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Elemental				
ABILITY:Special Ability|Fey						MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Fey					
ABILITY:Special Ability|Giant						MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Giant				
ABILITY:Special Ability|Humanoid (Aquatic)			MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Aquatic)		
ABILITY:Special Ability|Humanoid (Dwarf)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Dwarf)		
ABILITY:Special Ability|Humanoid (Elf)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Elf)			
ABILITY:Special Ability|Humanoid (Goblinoid)			MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Goblinoid)		
ABILITY:Special Ability|Humanoid (Gnoll)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Gnoll)		
ABILITY:Special Ability|Humanoid (Gnome)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Gnome)		
ABILITY:Special Ability|Humanoid (Halfling)			MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Halfling)		
ABILITY:Special Ability|Humanoid (Human)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Human			
ABILITY:Special Ability|Humanoid (Orc)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Orc)			
ABILITY:Special Ability|Humanoid (Reptilian)			MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Humanoid (Reptilian)		
ABILITY:Special Ability|Magical Beast				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Magical Beast			
ABILITY:Special Ability|Monstrous Humanoid			MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Monstrous Humanoid		
ABILITY:Special Ability|Ooze						MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Ooze				
ABILITY:Special Ability|Outsider (Air)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Air)			
ABILITY:Special Ability|Outsider (Earth)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Earth)		
ABILITY:Special Ability|Outsider (Fire)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Fire)			
ABILITY:Special Ability|Outsider (Water)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Water)		
ABILITY:Special Ability|Outsider (Lawful)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Lawful)		
ABILITY:Special Ability|Outsider (Chaotic)			MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Chaotic)		
ABILITY:Special Ability|Outsider (Good)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Good)			
ABILITY:Special Ability|Outsider (Evil)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Evil)			
ABILITY:Special Ability|Outsider (Native)				MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Outsider (Native)		
ABILITY:Special Ability|Plant						MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Plant				
ABILITY:Special Ability|Undead					MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Undead				
ABILITY:Special Ability|Vermin					MAXVER:6.4.00	NEWKEY:Favored Enemy ~ Vermin				

ABILITY:Special Ability|Favored Bonus__Aberration				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Aberration		
ABILITY:Special Ability|Favored Bonus__Animal					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Animal			
ABILITY:Special Ability|Favored Bonus__Construct				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Construct			
ABILITY:Special Ability|Favored Bonus__Dragon					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Dragon			
ABILITY:Special Ability|Favored Bonus__Elemental				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Elemental			
ABILITY:Special Ability|Favored Bonus__Fey					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Fey				
ABILITY:Special Ability|Favored Bonus__Giant					MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Giant			
ABILITY:Special Ability|Favored Bonus__Humanoid_Aquatic			MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Aquatic)	
ABILITY:Special Ability|Favored Bonus__Humanoid_Dwarf				MAXVER:6.4.00	NEWKEY:Favored Enemy Bonus ~ Humanoid (Dwarf)	
