# CVS $Revision$ $Author$ -- Tue Aug 21 21:00:33 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:Fantasy Flight Games - Sorcery and Steam	SOURCESHORT:SAS	SOURCEWEB:http://www.fantasyflightgames.com/dd40.html
# Original Entry by: Eddy Anthony

# Firarms

# Small---------------------------------------------------------------------------------
# Equipment Name					Required Proficiency			Type														Contains					Cost		Weight	Critical Hit Multiplier	Critical Hit Range	Damage	Range		Size		Source Page
Percussion Cap Pistol (Revolver)		PROFICIENCY:Percussion Cap Pistol	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Pistol	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:500	WT:6		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:50	SIZE:M	SOURCEPAGE:p.150
Dwarven Tunnel Gun (Flintlock)		PROFICIENCY:Dwarven Tunnel Gun	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Musket	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:100	WT:6		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d8	RANGE:20	SIZE:M	SOURCEPAGE:p.150

# Large---------------------------------------------------------------------------------
Flintlock Musket					PROFICIENCY:Flintlock Musket		TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Musket	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:180	WT:15		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d8	RANGE:100	SIZE:L	SOURCEPAGE:p.150
Flintlock Musket (Double-Barrel)		PROFICIENCY:Flintlock Musket		TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Musket	CONTAINS:UNLIM|Bullet=2|Shot=2	COST:350	WT:18		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d8	RANGE:100	SIZE:L	SOURCEPAGE:p.150
Blunderbuss (Flintlock)				PROFICIENCY:Blunderbuss			TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Musket	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:100	WT:12		CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:15	SIZE:L	SOURCEPAGE:p.150
Percussion Cap Musket				PROFICIENCY:Percussion Cap Musket	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Musket	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:250	WT:12		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d10	RANGE:75	SIZE:L	SOURCEPAGE:p.150
Percussion Cap Musket (Double-Barrel)	PROFICIENCY:Percussion Cap Musket	TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Musket	CONTAINS:UNLIM|Bullet=2|Shot=2	COST:450	WT:15		CRITMULT:x3			CRITRANGE:1			DAMAGE:2d10	RANGE:75	SIZE:L	SOURCEPAGE:p.150
Steambow						PROFICIENCY:Steambow			TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile				CONTAINS:UNLIM|Bolt=50			COST:500	WT:100	CRITMULT:x3			CRITRANGE:1			DAMAGE:1d10	RANGE:40	SIZE:L	SOURCEPAGE:p.131
Ogre Gun (Matchlock)				PROFICIENCY:Ogre Gun			TYPE:Weapon.Exotic.Ranged.Piercing.Standard.Container.Projectile.Firearms.Musket	CONTAINS:UNLIM|Bullet=1|Shot=1	COST:400	WT:100	CRITMULT:x3			CRITRANGE:1			DAMAGE:2d12	RANGE:30	SIZE:L	SOURCEPAGE:p.150

#
# end
#
