# CVS $Revision: $ $Author: $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00

###Block: New Arrows
# Equipment Name		Type							Cost		Weight	Source Page		Special Property

###Block: - Mystical Meals
# Equipment Name			Type					Cost		Weight	Source Page		Special Property
Buttered Sparrowfish Fillet	TYPE:Mystical Meal.Magic	COST:900	WT:1		SOURCEPAGE:p.26	SPROP:Eating the magical fillet gives you a +10 competence bonus on Balance, Climb, and Swim checks for 1 hour.
Cheya Dumplings			TYPE:Mystical Meal.Magic	COST:300	WT:1		SOURCEPAGE:p.27	SPROP:A typical cheya dumpling gives you a +2 enhancement bonus to Constitution for 1 hour, though other varieties may enhance other ability scores.
Leap Cake				TYPE:Mystical Meal.Magic	COST:500	WT:1		SOURCEPAGE:p.27	SPROP:For the next 10 minutes, you gain a +20 bonus on Jump checks. If you deliberately jump down from a height and succeed at a DC 15 Jump check, you take falling damage as if the fall were 20 feet shorter than normal (rather than 10 feet shorter). If you fall, you may make a Jump check instead of a Tumble check to treat the fall as 10 feet shorter.
Newlife Soup			TYPE:Mystical Meal.Magic	COST:1500	WT:1		SOURCEPAGE:p.27	SPROP:If you die within 1 hour of eating a bowl of newlife soup, you rise on your next turn, alive as if someone had cast raise dead on you, except that you do not lose a level and you have half of your normal hit points. You are alive (not undead) for 10 minutes and can be healed normally but drop dead once those 10 minutes pass. Raise dead or similar spells cannot make your temporary life permanent; to bring you back from the dead, you must be allowed to die when the soup's power ends. Each meal of newlife soup can only bring you back from the dead once.
Snowberry Fire Peppers		TYPE:Mystical Meal.Magic	COST:600	WT:1		SOURCEPAGE:p.27	SPROP:You gain fire resistance 10 for 1 hour. Any time this effect negates 10 or more points of fire damage, you must attempt a Fortitude saving throw (DC 15 + fire damage taken) or be dazed for 1 round as the spices overwhelm your senses.
Sun-Dried Lantern Lemons	TYPE:Mystical Meal.Magic	COST:900	WT:1		SOURCEPAGE:p.27	SPROP:After eating a handful of sun-dried lantern lemons you glow as brightly as a daylight spell for 1 hour. The light shines out of your skin, and while you can cover yourself to block the light and reduce its effect to that of a light spell or even a candle, only magical darkness or complete enshrouding (such as wrapping yourself from head to toe in layers of cloth or leather) can fully block the light. Lesser forms of these treats exist that cause you to shine with a fainter light and for a shorter duration. Elven actors sometimes use these fainter variants in stage productions to represent angelic beings.
Waybread				TYPE:Mystical Meal.Magic	COST:50	WT:1		SOURCEPAGE:p.27	SPROP:One is enough to keep a belly full for an entire day and slakes thirst for that period as well.


###Block:
# Equipment Name		Product Identity?	Type					Weight	Source Page		Special Property
The Viridian Crown	NAMEISPI:YES	TYPE:Headgear.Helm.Magic	WT:3		SOURCEPAGE:p.31	SPROP:At will you may use detect poison, heal, light, or break enchantment as a standard action. Once per day you may use heroes' feast and resurrection. If you are the properly anointed ruler of the Kyonin elves, you gain a +2 enhancement bonus to Wisdom and Charisma. You may use scrying at will on any of your subjects (any elf who acknowledges your authority as the elven monarch). You and any subjects within 60 feet gain the benefits of a good hope spell at all times. Three times per day while within Kyonin you may create a guards and wards effect.
