# CVS $Revision$ $Author$ -- Sat Jan 24 17:11:54 2009 -- reformated by prettylst.pl v1.38 (build 8180)

###:Block: Universal Category
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Special Ability			VISIBLE:NO		EDITABLE:YES									CATEGORY:Special Ability
ABILITYCATEGORY:FEAT																			CATEGORY:FEAT


ABILITYCATEGORY:Deadly Aim Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT				ABILITYLIST:Deadly Aim	DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Subject Specialization		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO						CATEGORY:Special Ability	TYPE:SubjectSpecialization	PLURAL:Subject Specializations	DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Murmillo Sword Focus		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO						CATEGORY:Special Ability	ABILITYLIST:Murmillo Sword Focus			DISPLAYLOCATION:Class Abilities

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Turn Infernal				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TurnInfernal			PLURAL:Turn Infernal			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Turn Shadow				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TurnShadow			PLURAL:Turn Shadows			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Samnite Combat Style Mastery	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SamniteCSM			PLURAL:Samnite CSM			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Murmillo Combat Style Mastery	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:MurmilloCS			PLURAL:Murmillo CSM			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Emerald Proficiency			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:EmeraldProficiency		PLURAL:Emerald Proficiency		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Rank In Order				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:EmeraldProficiency		PLURAL:RankInOrder			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Inner Demon				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:InnerDemon			PLURAL:Inner Demon			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:First Symbiosis			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:InnerDemonFirst		PLURAL:First Symbiosis			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Second Symbiosis			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:InnerDemonSecond		PLURAL:Second Symbiosis			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Third Symbiosis			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:InnerDemonThird		PLURAL:Third Symbiosis			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Fourth Symbiosis			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:InnerDemonFourth		PLURAL:Fourth Symbiosis			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Blackchanter Skill Focus		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:BCSkillFocus			PLURAL:Blackchanter Skill Focus	DISPLAYLOCATION:Class Abilities


ABILITYCATEGORY:Weapon Master Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:WeaponMaster			PLURAL:Weapon Master			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Weapon Grand Master Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:WeaponGrdMaster		PLURAL:Weapon Grand Master		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Elorii Bloodline Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:EloriiBloodline		PLURAL:Elorii Bloodline			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Improved Bloodline Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:ImprovedBloodline		PLURAL:Improved Bloodline		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Heightened Bloodline Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:HeightenedBloodline	PLURAL:Heightened Bloodline		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Awakened Bloodline Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:AwakenedBloodline		PLURAL:Awakened Bloodline		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Legendary Bloodline Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:LegendaryBloodline		PLURAL:Legendary Bloodline		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Ascendant Bloodline Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:AscendantBloodline		PLURAL:Ascendent Bloodline		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Patrician Advantage Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:PatricianAdv			PLURAL:Patrician Advantage		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Spell Mastery Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:SpellMast			PLURAL:Spell Mastery			DISPLAYLOCATION:Feats
####### If anyone codes Legacy of Damnation, make one of the TYPEs for the feats included in this ability TaintedKeeper
ABILITYCATEGORY:Path of the Tainted Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:TaintedKeeper		PLURAL:Path of the Tainted		DISPLAYLOCATION:Feats


