# CVS $Revision$ $Author$ -- Fri Feb 15 12:12:54 2008 -- reformated by prettylst.pl v1.38 (build 4387)
SOURCELONG:Rise of the Runelords Player's Guide	SOURCESHORT:RRPG	SOURCEWEB:http://paizo.com/pathfinder/v5748btpy7xpx	SOURCEDATE:2007-08
# Original Entry by: Stefan Radermacher

# Deity Name	Product Identity?	Domains												Desciption of Deity/Title					Deity Weapon				ALIGN		PANTHEON		Source Page
Lamashtu		NAMEISPI:YES	DOMAINS:Chaos,Evil,Madness,Strength,Trickery|PREALIGN:NE,CN,CE			DESC:Goddess of madness, monsters, nightmares		DEITYWEAP:Falchion			ALIGN:CE	PANTHEON:Golarion	SOURCEPAGE:p.7
Nethys		NAMEISPI:YES	DOMAINS:Destruction,Knowledge,Magic,Protection,Rune|PREALIGN:LN,NG,TN,NE,CN	DESC:God of magic							DEITYWEAP:Quarterstaff			ALIGN:TN	PANTHEON:Golarion	SOURCEPAGE:p.7
Norgorber		NAMEISPI:YES	DOMAINS:Charm,Death,Evil,Knowledge,Trickery|PREALIGN:LE,NE,CE			DESC:God of greed, secrets, poison, murder		DEITYWEAP:Sword (Short)			ALIGN:NE	PANTHEON:Golarion	SOURCEPAGE:p.7
Pharasma		NAMEISPI:YES	DOMAINS:Death,Healing,Knowledge,Repose,Water|PREALIGN:LN,NG,TN,NE,CN		DESC:Goddess of fate, death, prophecy, birth		DEITYWEAP:Dagger				ALIGN:TN	PANTHEON:Golarion	SOURCEPAGE:p.7
Rovagug		NAMEISPI:YES	DOMAINS:Chaos,Evil,Destruction,Weather,War|PREALIGN:NE,CN,CE			DESC:God of wrath, disaster, destruction			DEITYWEAP:Greataxe			ALIGN:CE	PANTHEON:Golarion	SOURCEPAGE:p.7
Saranrae		NAMEISPI:YES	DOMAINS:Fire,Glory,Good,Healing,Sun|PREALIGN:LG,NG,CG					DESC:Goddess of the sun, redemption, honesty, healing	DEITYWEAP:Scimitar			ALIGN:NG	PANTHEON:Golarion	SOURCEPAGE:p.7
Shelyn		NAMEISPI:YES	DOMAINS:Air,Charm,Good,Luck,Protection|PREALIGN:LG,NG,CG				DESC:Goddess of beauty, art, love, music			DEITYWEAP:Glaive				ALIGN:NG	PANTHEON:Golarion	SOURCEPAGE:p.7
Torag			NAMEISPI:YES	DOMAINS:Artifice,Earth,Good,Law,Protection|PREALIGN:LG,LN,NG			DESC:God of the forge, protection, strategy		DEITYWEAP:Warhammer			ALIGN:LG	PANTHEON:Golarion	SOURCEPAGE:p.7
Urgathoa		NAMEISPI:YES	DOMAINS:Death,Evil,Magic,Strength,War|PREALIGN:LE,NE,CE				DESC:Goddess of gluttony, disease, undeath		DEITYWEAP:Scythe				ALIGN:NE	PANTHEON:Golarion	SOURCEPAGE:p.7
Zon-Kuthon		NAMEISPI:YES	DOMAINS:Darkness,Death,Destruction,Evil,Law|PREALIGN:LN,LE,NE			DESC:God of envy, pain, darkness, loss			DEITYWEAP:Chain (Spiked)		ALIGN:LE	PANTHEON:Golarion	SOURCEPAGE:p.7
