#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Pathfinder Player Companion: Dragon Empires Primer	SOURCESHORT:DEP	SOURCEWEB:http://paizo.com/products/btpy8pg0	SOURCEDATE:2012-01
# Original Entry by:Jonas Karlsson, Stefan Radermacher

###Block: Human Ethnicities
# Template Name			Product Identity?	Visible	Source Page		Auto Language		Subrace
Regional Affinity (Jinin)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.12	LANGBONUS:Elven,Samsaran,Tien													REGION:Jinin
Regional Affinity (Kaoling)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.13	LANGBONUS:Giant,Goblinoid													REGION:Kaoling
Regional Affinity (Kwanlai)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.13	LANGBONUS:Minkaian,Tengu,Tien													REGION:Kwanlai
Regional Affinity (Lingshen)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.14	LANGBONUS:Tien															REGION:Lingshen
Regional Affinity (Minata)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.14	LANGBONUS:Aquan,Minatan,Tien,Wayang												REGION:Minata
Regional Affinity (Minkai)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.15	LANGBONUS:Minkaian,Tien														REGION:Minkai
Regional Affinity (Nagajor)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.15	LANGBONUS:Nagaji,Tien														REGION:Nagajor
Regional Affinity (Po Li)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.16	LANGBONUS:Tien															REGION:Po Li
Regional Affinity (Quain)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.16	LANGBONUS:Tien															REGION:Quain
Regional Affinity (Shaguang)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.17	LANGBONUS:Auran,Hon-La														REGION:Shaguang
Regional Affinity (Shenmen)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.17	LANGBONUS:Aklo,Tien														REGION:Shenmen
Regional Affinity (Shokuro)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.18	LANGBONUS:Elven,Minkaian,Tien													REGION:Shokuro
Regional Affinity (Tianjing)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.18	LANGBONUS:Celestial,Tien													REGION:Tianjing
Regional Affinity (Valashmai Jungle)	NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.19	LANGBONUS:Abyssal,Catfolk,Draconic,Grippli,Infernal,Pidgin Tien							REGION:Valashmai Jungle
Regional Affinity (Wall of Heaven)		NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.19	LANGBONUS:Aklo,Hon-La,Senzar,Tien												REGION:Wall of Heaven
Regional Affinity (Wanshou)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.20	LANGBONUS:Aquan,Boggard,Minkaian,Tien											REGION:Wanshou
Regional Affinity (Xa Hoi)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.20	LANGBONUS:Draconic,Tien														REGION:Xa Hoi
Regional Affinity (Xidao)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.21	LANGBONUS:Aquan,Tien														REGION:Xidao
Regional Affinity (Zi Ha)			NAMEISPI:YES	VISIBLE:NO	SOURCEPAGE:p.21	LANGBONUS:Giant,Hon-La,Samsaran,Tien											REGION:Zi Ha

###Block: Languages
# Template Name		Visible	Bonus Languages
Bonus Language ~ Senzar	VISIBLE:NO	LANGBONUS:Senzar
Bonus Language ~ Wayang	VISIBLE:NO	LANGBONUS:Wayang

#
# End
#
