#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: 21469 $ $Author: amaitland $ -- Wed Feb  3 13:47:16 2016 -- reformated by PCGen PrettyLST v6.06.00

# ORIGINAL ENTRY: Andrew Maitland
# ORIGINAL ENTRY DATE: 08-2012 (August 8th)

###Block: Gunslinger

# Class Name	Hit Dice	Type			Max Level	Source Page		Define			Combat bonus																Save bonus																																		Modify VAR																																																																	FACT
CLASS:Gunslinger	HD:10		TYPE:Base.PC	MAXLEVEL:20	SOURCEPAGE:p.9	DEFINE:GunslingerLVL|0	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseAlternateBABProgression,0	BONUS:SAVE|BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3|PREVAREQ:UseAlternateSaveProgression,0	BONUS:SAVE|BASE.Reflex,BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2|PREVAREQ:UseAlternateSaveProgression,0	BONUS:VAR|ClassBABFull|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalBAB,1	BONUS:VAR|GunslingerLVL|CL	BONUS:VAR|ClassSaveGood_Fortitude|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalSave,1	BONUS:VAR|ClassSaveGood_Reflex|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalSave,1	BONUS:VAR|ClassSavePoor_Will|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalSave,1	FACT:ClassType|PC	FACT:Abb|Gun
# Class Name	Skill Pts/Lvl
# Class Name	Skill Pts/Lvl
CLASS:Ninja		STARTSKILLPTS:8
1	ABILITY:Class|AUTOMATIC|Ninja
###Block: Vars
4	BONUS:VAR|UncannyDodgeFlankingLevel|NinjaLVL|TYPE=EachClass.REPLACE
4	BONUS:VAR|UncannyDodgeLVL|NinjaLVL/4
8	BONUS:VAR|ImprovedUncannyDodgeFlankingLevel|NinjaLVL|TYPE=EachClass.REPLACE


###Block: Samurai

# Class Name	Hit Dice	Type				Max Level	Source Page		Define									Combat bonus																Save bonus																																		Modify VAR																																																																							FACT						Serves As
CLASS:Samurai	HD:10		TYPE:Base.PC.Cavalier	MAXLEVEL:20	SOURCEPAGE:p.9	DEFINE:FighterWeaponQualifyLVL|0	DEFINE:SamuraiLVL|0	BONUS:COMBAT|BASEAB|classlevel("APPLIEDAS=NONEPIC")|TYPE=Base.REPLACE|PREVAREQ:UseAlternateBABProgression,0	BONUS:SAVE|BASE.Reflex,BASE.Will|classlevel("APPLIEDAS=NONEPIC")/3|PREVAREQ:UseAlternateSaveProgression,0	BONUS:SAVE|BASE.Fortitude|classlevel("APPLIEDAS=NONEPIC")/2+2|PREVAREQ:UseAlternateSaveProgression,0	BONUS:VAR|ClassBABFull|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalBAB,1	BONUS:VAR|FighterWeaponQualifyLVL|CL	BONUS:VAR|SamuraiLVL|CL	BONUS:VAR|ClassSaveGood_Fortitude|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalSave,1	BONUS:VAR|ClassSaveGood_Reflex|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalSave,1	BONUS:VAR|ClassSavePoor_Will|classlevel("APPLIEDAS=NONEPIC")|PREVAREQ:UseFractionalSave,1	FACT:ClassType|PC	FACT:Abb|Sam	SERVESAS:CLASS|Cavalier	SERVESAS:CLASS|Cavalier
# Class Name	Multiple Requirements
CLASS:Samurai	PREMULT:1,[PRECLASS:1,Samurai=1],[!PRECLASS:1,TYPE.Cavalier=1]
# Class Name	Skill Pts/Lvl
CLASS:Samurai	STARTSKILLPTS:4
1	ABILITY:Class|AUTOMATIC|Samurai



###Block: Monk (for adjusting unarmed damage when a feat or something adjusts the effective monk level)
# level 1

# Class Name	Define								Modify VAR
CLASS:Monk.MOD	DEFINE:NonMonkLevels|0	DEFINE:MonkLevelsAdjusted|0	BONUS:VAR|NonMonkLevels|TL-classlevel("Monk")	BONUS:VAR|MonkLevelsAdjusted|classlevel("Monk")
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD01|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD01],[PREVAREQ:MonkLevelsAdjusted,1]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD02|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD02],[PREVAREQ:MonkLevelsAdjusted,2]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD03|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD03],[PREVAREQ:MonkLevelsAdjusted,3]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD04|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD04],[PREVAREQ:MonkLevelsAdjusted,4]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD05|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD05],[PREVAREQ:MonkLevelsAdjusted,5]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD06|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD06],[PREVAREQ:MonkLevelsAdjusted,6]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD07|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD07],[PREVAREQ:MonkLevelsAdjusted,7]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD08|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD08],[PREVAREQ:MonkLevelsAdjusted,8]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD09|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD09],[PREVAREQ:MonkLevelsAdjusted,9]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD10|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD10],[PREVAREQ:MonkLevelsAdjusted,10]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD11|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD11],[PREVAREQ:MonkLevelsAdjusted,11]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD12|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD12],[PREVAREQ:MonkLevelsAdjusted,12]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD13|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD13],[PREVAREQ:MonkLevelsAdjusted,13]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD14|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD14],[PREVAREQ:MonkLevelsAdjusted,14]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD15|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD15],[PREVAREQ:MonkLevelsAdjusted,15]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD16|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD16],[PREVAREQ:MonkLevelsAdjusted,16]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD17|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD17],[PREVAREQ:MonkLevelsAdjusted,17]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD18|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD18],[PREVAREQ:MonkLevelsAdjusted,18]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD19|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD19],[PREVAREQ:MonkLevelsAdjusted,19]
#CLASS:Monk.MOD		ABILITY:Special Ability|AUTOMATIC|MUD20|PREMULT:2,[!PREABILITY:1,CATEGORY=Special Ability,MUD20],[PREVAREQ:MonkLevelsAdjusted,20]



# Class Name	Multiple Requirements
CLASS:Rogue.MOD	PREMULT:1,[PRECLASS:1,Rogue=1],[!PRECLASS:1,TYPE.Rogue=1]

# Class Name		Multiple Requirements
CLASS:Cavalier.MOD	PREMULT:1,[PRECLASS:1,Cavalier=1],[!PRECLASS:1,TYPE.Cavalier=1]
