# CVS $Revision$ $Author$ -- Sat Sep  6 20:29:21 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647	SOURCEDATE:2005-01
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2011-01-01

#	ABILITY:Internal|VIRTUAL|Make CSKILL ~ x1|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(x1),Full Skill Buy(x1)

Alt Rule Skill ~ Local Knowledge.MOD	TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Local Knowledge|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Local Knowledge),Full Skill Buy (Alt Rule Skill ~ Local Knowledge)
Alt Rule Skill ~ Perception.MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Perception|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Perception),Full Skill Buy (Alt Rule Skill ~ Perception)
Alt Rule Skill ~ Perform.MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Perform|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Perform),Full Skill Buy (Alt Rule Skill ~ Perform)
Alt Rule Skill ~ Persuasion.MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Persuasion|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Persuasion),Full Skill Buy (Alt Rule Skill ~ Persuasion)
Alt Rule Skill ~ Religion.MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Religion|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Religion),Full Skill Buy (Alt Rule Skill ~ Religion)
Alt Rule Skill ~ Profession.MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Profession|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Profession),Full Skill Buy (Alt Rule Skill ~ Profession)
Alt Rule Skill ~ Scholar.MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Scholar|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Scholar),Full Skill Buy (Alt Rule Skill ~ Scholar)
Alt Rule Skill ~ Socialize.MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Socialize|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Socialize),Full Skill Buy (Alt Rule Skill ~ Socialize)
Alt Rule Skill ~ Stealth.MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Stealth|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Stealth),Full Skill Buy (Alt Rule Skill ~ Stealth)
Alt Rule Skill ~ Survival.MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Survival|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Survival),Full Skill Buy (Alt Rule Skill ~ Survival)
Alt Rule Skill ~ Thievery.MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Alt Rule Skill ~ Thievery|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy (Alt Rule Skill ~ Thievery),Full Skill Buy (Alt Rule Skill ~ Thievery)

