# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
#SOURCELONG:Blood of Fiends	SOURCESHORT:PFBOF	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2012-04
# ORIGINAL ENTRY: Stefan Radermacher
# ORIGINAL ENTRY DATE: 12 July 2013

# Ability Category			Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object		Display Location
ABILITYCATEGORY:Tiefling Subrace	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TieflingSubrace	DISPLAYLOCATION:Racial Abilities



###Block: Tiefling Race Traits
# Ability Category					Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:Oni Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:OniSpawnRaceTrait		PLURAL:Oni Spawn Race Traits		DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Qlippoth Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:QlippothSpawnRaceTrait	PLURAL:Qlippoth Spawn Race Traits	DISPLAYLOCATION:Race Abilities
ABILITYCATEGORY:Rakshasa Spawn Race Trait	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:RakshasaSpawnRaceTrait	PLURAL:Rakshasa Spawn Race Traits	DISPLAYLOCATION:Race Abilities

###Block: Class Bonus Feat Categories
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object	Type of Object		Specific choices list		Plural description for UI	Display Location
ABILITYCATEGORY:Daemon Bloodline Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:DaemonBloodline	ABILITYLIST:Skill Focus(Heal)	PLURAL:Daemon Bloodline Feats	DISPLAYLOCATION:Feats

#
# End
#
