# CVS $Revision: $ $Author: $ -- Fri Jul 12 13:36:10 2013 -- reformated by prettylst.pl v1.50 (build 20400)
SOURCELONG:Blood of Fiends	SOURCESHORT:BOF	SOURCEWEB:http://paizo.com/products/btpy8qzz?Pathfinder-Player-Companion-Blood-of-Fiends	SOURCEDATE:2012-04

# Ability Name								Type
CATEGORY=Internal|Tiefling Asura-Spawn Racial Trait Default.MOD					ABILITY:Asura Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Asura-Spawn Racial Trait Default.MOD					ABILITY:Asura Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Asura-Spawn Racial Trait Default.MOD					ABILITY:Asura Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Asura-Spawn Racial Trait Default.MOD					ABILITY:Asura Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Daemon-Spawn default abilities
# Ability Name									Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD								ABILITY:Internal|AUTOMATIC|Tiefling Daemon-Spawn Racial Trait Default|PRERACE:1,Tiefling (Daemon-Spawn)

Tiefling Daemon-Spawn Racial Trait Default				CATEGORY:Internal

CATEGORY=Internal|Tiefling Daemon-Spawn Racial Trait Default.MOD					ABILITY:Daemon Spawn Racial Trait|AUTOMATIC|Daemon-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Daemon-Spawn Racial Trait Default.MOD					ABILITY:Daemon Spawn Racial Trait|AUTOMATIC|Daemon-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Daemon-Spawn Racial Trait Default.MOD					ABILITY:Daemon Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Daemon-Spawn Racial Trait Default.MOD					ABILITY:Daemon Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Daemon-Spawn Racial Trait Default.MOD					ABILITY:Daemon Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Daemon-Spawn Racial Trait Default.MOD					ABILITY:Daemon Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Demodand-Spawn default abilities
# Ability Name										Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD									ABILITY:Internal|AUTOMATIC|Tiefling Demodand-Spawn Racial Trait Default|PRERACE:1,Tiefling (Demodand-Spawn)

Tiefling Demodand-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Demodand-Spawn Racial Trait Default.MOD					ABILITY:Demodand Spawn Racial Trait|AUTOMATIC|Demodand-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Demodand-Spawn Racial Trait Default.MOD					ABILITY:Demodand Spawn Racial Trait|AUTOMATIC|Demodand-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Demodand-Spawn Racial Trait Default.MOD					ABILITY:Demodand Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Demodand-Spawn Racial Trait Default.MOD					ABILITY:Demodand Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Demodand-Spawn Racial Trait Default.MOD					ABILITY:Demodand Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Demodand-Spawn Racial Trait Default.MOD					ABILITY:Demodand Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Demon-Spawn default abilities
# Ability Name									Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD								ABILITY:Internal|AUTOMATIC|Tiefling Demon-Spawn Racial Trait Default|PRERACE:1,Tiefling (Demon-Spawn)

Tiefling Demon-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Demon-Spawn Racial Trait Default.MOD					ABILITY:Demon Spawn Racial Trait|AUTOMATIC|Demon-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Demon-Spawn Racial Trait Default.MOD					ABILITY:Demon Spawn Racial Trait|AUTOMATIC|Demon-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Demon-Spawn Racial Trait Default.MOD					ABILITY:Demon Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Demon-Spawn Racial Trait Default.MOD					ABILITY:Demon Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Demon-Spawn Racial Trait Default.MOD					ABILITY:Demon Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Demon-Spawn Racial Trait Default.MOD					ABILITY:Demon Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Devil-Spawn default abilities
# Ability Name									Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD								ABILITY:Internal|AUTOMATIC|Tiefling Devil-Spawn Racial Trait Default|PRERACE:1,Tiefling (Devil-Spawn)

Tiefling Devil-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Devil-Spawn Racial Trait Default.MOD					ABILITY:Devil Spawn Racial Trait|AUTOMATIC|Devil-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Devil-Spawn Racial Trait Default.MOD					ABILITY:Devil Spawn Racial Trait|AUTOMATIC|Devil-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Devil-Spawn Racial Trait Default.MOD					ABILITY:Devil Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Devil-Spawn Racial Trait Default.MOD					ABILITY:Devil Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Devil-Spawn Racial Trait Default.MOD					ABILITY:Devil Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Devil-Spawn Racial Trait Default.MOD					ABILITY:Devil Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Div-Spawn default abilities
# Ability Name									Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD								ABILITY:Internal|AUTOMATIC|Tiefling Div-Spawn Racial Trait Default|PRERACE:1,Tiefling (Div-Spawn)

Tiefling Div-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Div-Spawn Racial Trait Default.MOD					ABILITY:Div Spawn Racial Trait|AUTOMATIC|Div-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Div-Spawn Racial Trait Default.MOD					ABILITY:Div Spawn Racial Trait|AUTOMATIC|Div-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Div-Spawn Racial Trait Default.MOD					ABILITY:Div Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Div-Spawn Racial Trait Default.MOD					ABILITY:Div Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Div-Spawn Racial Trait Default.MOD					ABILITY:Div Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Div-Spawn Racial Trait Default.MOD					ABILITY:Div Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Kyton-Spawn default abilities
# Ability Name									Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD								ABILITY:Internal|AUTOMATIC|Tiefling Kyton-Spawn Racial Trait Default|PRERACE:1,Tiefling (Kyton-Spawn)

Tiefling Kyton-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Kyton-Spawn Racial Trait Default.MOD					ABILITY:Kyton Spawn Racial Trait|AUTOMATIC|Kyton-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Kyton-Spawn Racial Trait Default.MOD					ABILITY:Kyton Spawn Racial Trait|AUTOMATIC|Kyton-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Kyton-Spawn Racial Trait Default.MOD					ABILITY:Kyton Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Kyton-Spawn Racial Trait Default.MOD					ABILITY:Kyton Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Kyton-Spawn Racial Trait Default.MOD					ABILITY:Kyton Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Kyton-Spawn Racial Trait Default.MOD					ABILITY:Kyton Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Oni-Spawn default abilities
# Ability Name									Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD								ABILITY:Internal|AUTOMATIC|Tiefling Oni-Spawn Racial Trait Default|PRERACE:1,Tiefling (Oni-Spawn)

Tiefling Oni-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Oni-Spawn Racial Trait Default.MOD					ABILITY:Oni Spawn Racial Trait|AUTOMATIC|Oni-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Oni-Spawn Racial Trait Default.MOD					ABILITY:Oni Spawn Racial Trait|AUTOMATIC|Oni-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Oni-Spawn Racial Trait Default.MOD					ABILITY:Oni Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Oni-Spawn Racial Trait Default.MOD					ABILITY:Oni Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Oni-Spawn Racial Trait Default.MOD					ABILITY:Oni Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Oni-Spawn Racial Trait Default.MOD					ABILITY:Oni Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Qlippoth-Spawn default abilities
# Ability Name										Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD									ABILITY:Internal|AUTOMATIC|Tiefling Qlippoth-Spawn Racial Trait Default|PRERACE:1,Tiefling (Qlippoth-Spawn)

Tiefling Qlippoth-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Qlippoth-Spawn Racial Trait Default.MOD					ABILITY:Qlippoth Spawn Racial Trait|AUTOMATIC|Qlippoth-SpawnSkilled ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Qlippoth-Spawn Racial Trait Default.MOD					ABILITY:Qlippoth Spawn Racial Trait|AUTOMATIC|Qlippoth-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Qlippoth-Spawn Racial Trait Default.MOD					ABILITY:Qlippoth Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Qlippoth-Spawn Racial Trait Default.MOD					ABILITY:Qlippoth Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Qlippoth-Spawn Racial Trait Default.MOD					ABILITY:Qlippoth Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Qlippoth-Spawn Racial Trait Default.MOD					ABILITY:Qlippoth Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage


###Block: Set up Tiefling Rakshasa-Spawn default abilities
# Ability Name										Category of Ability	Ability
CATEGORY=Internal|Select Racial Traits.MOD									ABILITY:Internal|AUTOMATIC|Tiefling Rakshasa-Spawn Racial Trait Default|PRERACE:1,Tiefling Rakshasa-Spawn

Tiefling Rakshasa-Spawn Racial Trait Default					CATEGORY:Internal

CATEGORY=Internal|Tiefling Rakshasa-Spawn Racial Trait Default.MOD					ABILITY:Rakshasa Spawn Racial Trait|AUTOMATIC|Rakshasa-SpawnSkilled ~ Tiefling|PREABILITY:1,CATEGORY=Special Ability,|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled
CATEGORY=Internal|Tiefling Rakshasa-Spawn Racial Trait Default.MOD					ABILITY:Rakshasa Spawn Racial Trait|AUTOMATIC|Rakshasa-SpawnSLA ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA

CATEGORY=Internal|Tiefling Rakshasa-Spawn Racial Trait Default.MOD					ABILITY:Rakshasa Spawn Racial Trait|AUTOMATIC|Darkvision ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingDarkvision
CATEGORY=Internal|Tiefling Rakshasa-Spawn Racial Trait Default.MOD					ABILITY:Rakshasa Spawn Racial Trait|AUTOMATIC|Fiendish Resistance ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishResistance
CATEGORY=Internal|Tiefling Rakshasa-Spawn Racial Trait Default.MOD					ABILITY:Rakshasa Spawn Racial Trait|AUTOMATIC|Fiendish Sorcery ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishSorcery
CATEGORY=Internal|Tiefling Rakshasa-Spawn Racial Trait Default.MOD					ABILITY:Rakshasa Spawn Racial Trait|AUTOMATIC|Fiendish Language ~ Tiefling|!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingFiendishLanguage

###Block: Spell-Like Ability
# Ability Name				Unique Key					Category of Ability		Type										Multiple Requirements																				Define						Innate Spells												Description																			Source Page
Asura-Spawn Spell-Like Ability	KEY:Asura-SpawnSLA ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.AsuraSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Asura-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingHideousLaughterTimes|1	SPELLS:Innate|TIMES=TieflingHideousLaughterTimes|CASTERLEVEL=TL|Hideous Laughter	DESC:Asura-Spawn tieflings can use hideous laughter %1/day as a spell-like ability.|TieflingHideousLaughterTimes		SOURCEPAGE:p.19
Daemon-Spawn Spell-Like Ability	KEY:Daemon-SpawnSLA ~ Tiefling	CATEGORY:Special Ability	TYPE:RacialTraits.DaemonSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Daemon-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingDeathKnellTimes|1		SPELLS:Innate|TIMES=TieflingDeathKnellTimes|CASTERLEVEL=TL|Death Knell			DESC:Daemon-Spawn tieflings can use death knell %1/day as a spell-like ability.|TieflingDeathKnellTimes			SOURCEPAGE:p.19
Demodand-Spawn Spell-Like Ability	KEY:Demodand-SpawnSLA ~ Tiefling	CATEGORY:Special Ability	TYPE:RacialTraits.DemodandSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Demodand-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingBearsEnduranceTimes|1	SPELLS:Innate|TIMES=TieflingBearsEnduranceTimes|CASTERLEVEL=TL|Bear's Endurance	DESC:Demodand-Spawn tieflings can use bear's endurance %1/day as a spell-like ability.|TieflingBearsEnduranceTimes	SOURCEPAGE:p.20
Demon-Spawn Spell-Like Ability	KEY:Demon-SpawnSLA ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.DemonSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Demon-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingShatterTimes|1			SPELLS:Innate|TIMES=TieflingShatterTimes|CASTERLEVEL=TL|Shatter				DESC:Demon-Spawn tieflings can use shatter %1/day as a spell-like ability.|TieflingShatterTimes					SOURCEPAGE:p.20
Devil-Spawn Spell-Like Ability	KEY:Devil-SpawnSLA ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.DevilSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Devil-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingPyrotechnicsTimes|1		SPELLS:Innate|TIMES=TieflingPyrotechnicsTimes|CASTERLEVEL=TL|Pyrotechnics		DESC:Devil-Spawn tieflings can use pyrotechnics %1/day as a spell-like ability.|TieflingPyrotechnicsTimes			SOURCEPAGE:p.21
Div-Spawn Spell-Like Ability		KEY:Div-SpawnSLA ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.DivSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Div-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]		DEFINE:TieflingMisdirectionTimes|1		SPELLS:Innate|TIMES=TieflingMisdirectionTimes|CASTERLEVEL=TL|Misdirection		DESC:Div-Spawn tieflings can use misdirection %1/day as a spell-like ability.|TieflingMisdirectionTimes			SOURCEPAGE:p.21
Kyton-Spawn Spell-Like Ability	KEY:Kyton-SpawnSLA ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.KytonSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Kyton-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingWebTimes|1			SPELLS:Innate|TIMES=TieflingWebTimes|CASTERLEVEL=TL|Web					DESC:Kyton-Spawn tieflings can use web %1/day as a spell-like ability.|TieflingWebTimes						SOURCEPAGE:p.22
Oni-Spawn Spell-Like Ability		KEY:Oni-SpawnSLA ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.OniSpawnRacialTrait		PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Oni-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]		DEFINE:TieflingAlterSelfTimes|1		SPELLS:Innate|TIMES=TieflingAlterSelfTimes|CASTERLEVEL=TL|Alter Self			DESC:Oni-Spawn tieflings can use alter self %1/day as a spell-like ability.|TieflingAlterSelfTimes				SOURCEPAGE:p.22
Qlippoth-Spawn Spell-Like Ability	KEY:Qlippoth-SpawnSLA ~ Tiefling	CATEGORY:Special Ability	TYPE:RacialTraits.QlippothSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Qlippoth-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingBlurTimes|1			SPELLS:Innate|TIMES=TieflingBlurTimes|CASTERLEVEL=TL|Blur					DESC:Qlippoth-Spawn tieflings can use blur %1/day as a spell-like ability.|TieflingBlurTimes					SOURCEPAGE:p.23
Rakshasa-Spawn Spell-Like Ability	KEY:Rakshasa-SpawnSLA ~ Tiefling	CATEGORY:Special Ability	TYPE:RacialTraits.RakshasaSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Rakshasa-SpawnSLA ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSLA]	DEFINE:TieflingDetectThoughtsTimes|1	SPELLS:Innate|TIMES=TieflingDetectThoughtsTimes|CASTERLEVEL=TL|Detect Thoughts	DESC:Rakshasa-Spawn tieflings can use detect thoughts %1/day as a spell-like ability.|TieflingDetectThoughtsTimes		SOURCEPAGE:p.23


###Block: Skilled Abiliy
# Ability Name		Unique Key						Category of Ability		Type										Multiple Requirements																						Description																Bonus to skill								Source Page
Asura-Spawn Skilled	KEY:Asura-SpawnSkilled ~ Tiefling		CATEGORY:Special Ability	TYPE:RacialTraits.AsuraSpawnRacialTrait	PREMULT:1,[PREABILITY:1,CATEGORY=Special Ability,Asura-SpawnSkilled ~ Tiefling],[!PREABILITY:1,CATEGORY=Special Ability,TYPE.TieflingSkilled]		DESC:Asura-Spawn tieflings have a +2 racial bonus on Appraise and Knowledge (local) checks.		BONUS:SKILL|Appraise,Knowledge (local)|2|TYPE=Racial		SOURCEPAGE:p.19
