# CVS $Revision$ $Author$ -- Fri May  7 14:06:38 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2011-01-01
#.MOD							TYPE:AdeptChoice.NormalSkill		ABILITY:Internal|VIRTUAL|Make CSKILL ~ x1|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(x1),Full Skill Buy(x1)

#Block: RSRD SKILLS
# Skill Name					Type					Ability																																	Bonus to skill
Craft (Calligraphy).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Calligraphy)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Calligraphy)),Full Skill Buy(Craft (Calligraphy))
Craft (Carpentry).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Carpentry)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Carpentry)),Full Skill Buy(Craft (Carpentry))
Craft (Cloth).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Cloth)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Cloth)),Full Skill Buy(Craft (Cloth))
Craft (Clothing).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Clothing)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Clothing)),Full Skill Buy(Craft (Clothing))
Craft (Gemcutting).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Gemcutting)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Gemcutting)),Full Skill Buy(Craft (Gemcutting))
Craft (Glass).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Glass)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Glass)),Full Skill Buy(Craft (Glass))
Craft (Jewelry).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Jewelry)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Jewelry)),Full Skill Buy(Craft (Jewelry))
Craft (Leather).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Leather)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Leather)),Full Skill Buy(Craft (Leather))
Craft (Locks).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Locks)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Locks)),Full Skill Buy(Craft (Locks))
Craft (Paintings).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Paintings)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Paintings)),Full Skill Buy(Craft (Paintings))
Craft (Pottery).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Pottery)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Pottery)),Full Skill Buy(Craft (Pottery))
Craft (Sculptures).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Sculptures)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Sculptures)),Full Skill Buy(Craft (Sculptures))
Craft (Ships).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Ships)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Ships)),Full Skill Buy(Craft (Ships))
Craft (Shoes).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Shoes)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Shoes)),Full Skill Buy(Craft (Shoes))
Craft (Stonemasonry).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Stonemasonry)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Stonemasonry)),Full Skill Buy(Craft (Stonemasonry))
Craft (Traps).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Traps)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Traps)),Full Skill Buy(Craft (Traps))
Craft (Weapons).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Craft (Weapons)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Craft (Weapons)),Full Skill Buy(Craft (Weapons))
Diplomacy.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Diplomacy|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Diplomacy),Full Skill Buy(Diplomacy)
Disable Device.MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Disable Device|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Disable Device),Full Skill Buy(Disable Device)
Disguise.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Disguise|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Disguise),Full Skill Buy(Disguise)
Escape Artist.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Escape Artist|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Escape Artist),Full Skill Buy(Escape Artist)
Fly.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Fly|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Fly),Full Skill Buy(Fly)
Handle Animal.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Handle Animal|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Handle Animal),Full Skill Buy(Handle Animal)
Heal.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Heal|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Heal),Full Skill Buy(Heal)
Intimidate.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Intimidate|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Intimidate),Full Skill Buy(Intimidate)
Knowledge (Arcana).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Arcana)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Arcana)),Full Skill Buy(Knowledge (Arcana))
Knowledge (Dungeoneering).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Dungeoneering)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Dungeoneering)),Full Skill Buy(Knowledge (Dungeoneering))
Knowledge (Engineering).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Engineering)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Engineering)),Full Skill Buy(Knowledge (Engineering))
Knowledge (Geography).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Geography)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Geography)),Full Skill Buy(Knowledge (Geography))
Knowledge (History).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (History)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (History)),Full Skill Buy(Knowledge (History))
Knowledge (Local).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Local)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Local)),Full Skill Buy(Knowledge (Local))
Knowledge (Nature).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Nature)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Nature)),Full Skill Buy(Knowledge (Nature))
Knowledge (Nobility).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Nobility)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Nobility)),Full Skill Buy(Knowledge (Nobility))
Knowledge (Planes).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Planes)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Planes)),Full Skill Buy(Knowledge (Planes))
Knowledge (Religion).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Knowledge (Religion)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Knowledge (Religion)),Full Skill Buy(Knowledge (Religion))
Linguistics.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Linguistics|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Linguistics),Full Skill Buy(Linguistics)
Perception.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perception|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perception),Full Skill Buy(Perception)
Perform (Act).MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Act)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Act)),Full Skill Buy(Perform (Act))
Perform (Comedy).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Comedy)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Comedy)),Full Skill Buy(Perform (Comedy))
Perform (Dance).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Dance)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Dance)),Full Skill Buy(Perform (Dance))
Perform (Keyboard Instruments).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Keyboard Instruments)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Keyboard Instruments)),Full Skill Buy(Perform (Keyboard Instruments))
Perform (Oratory).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Oratory)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Oratory)),Full Skill Buy(Perform (Oratory))
Perform (Percussion Instruments).MOD	TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Percussion Instruments)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Percussion Instruments)),Full Skill Buy(Perform (Percussion Instruments))
Perform (Sing).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Sing)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Sing)),Full Skill Buy(Perform (Sing))
Perform (String Instruments).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (String Instruments)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (String Instruments)),Full Skill Buy(Perform (String Instruments))
Perform (Wind Instruments).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Perform (Wind Instruments)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Perform (Wind Instruments)),Full Skill Buy(Perform (Wind Instruments))
Profession (Architect).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Architect)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Architect)),Full Skill Buy(Profession (Architect))
Profession (Baker).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Baker)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Baker)),Full Skill Buy(Profession (Baker))
Profession (Barrister).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Barrister)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Barrister)),Full Skill Buy(Profession (Barrister))
Profession (Brewer).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Brewer)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Brewer)),Full Skill Buy(Profession (Brewer))
Profession (Butcher).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Butcher)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Butcher)),Full Skill Buy(Profession (Butcher))
Profession (Clerk).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Clerk)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Clerk)),Full Skill Buy(Profession (Clerk))
Profession (Cook).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Cook)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Cook)),Full Skill Buy(Profession (Cook))
Profession (Courtesan).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Courtesan)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Courtesan)),Full Skill Buy(Profession (Courtesan))
Profession (Driver).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Driver)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Driver)),Full Skill Buy(Profession (Driver))
Profession (Engineer).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Engineer)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Engineer)),Full Skill Buy(Profession (Engineer))
Profession (Farmer).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Farmer)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Farmer)),Full Skill Buy(Profession (Farmer))
Profession (Fisherman).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Fisherman)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Fisherman)),Full Skill Buy(Profession (Fisherman))
Profession (Gambler).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Gambler)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Gambler)),Full Skill Buy(Profession (Gambler))
Profession (Gardener).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Gardener)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Gardener)),Full Skill Buy(Profession (Gardener))
Profession (Herbalist).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Herbalist)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Herbalist)),Full Skill Buy(Profession (Herbalist))
Profession (Innkeeper).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Innkeeper)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Innkeeper)),Full Skill Buy(Profession (Innkeeper))
Profession (Librarian).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Librarian)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Librarian)),Full Skill Buy(Profession (Librarian))
Profession (Merchant).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Merchant)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Merchant)),Full Skill Buy(Profession (Merchant))
Profession (Midwife).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Midwife)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Midwife)),Full Skill Buy(Profession (Midwife))
Profession (Miller).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Miller)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Miller)),Full Skill Buy(Profession (Miller))
Profession (Miner).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Miner)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Miner)),Full Skill Buy(Profession (Miner))
Profession (Porter).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Porter)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Porter)),Full Skill Buy(Profession (Porter))
Profession (Sailor).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Sailor)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Sailor)),Full Skill Buy(Profession (Sailor))
Profession (Scribe).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Scribe)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Scribe)),Full Skill Buy(Profession (Scribe))
Profession (Shepherd).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Shepherd)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Shepherd)),Full Skill Buy(Profession (Shepherd))
Profession (Soldier).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Soldier)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Soldier)),Full Skill Buy(Profession (Soldier))
Profession (Soothsayer).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Soothsayer)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Soothsayer)),Full Skill Buy(Profession (Soothsayer))
Profession (Stable Master).MOD		TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Stable Master)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Stable Master)),Full Skill Buy(Profession (Stable Master))
Profession (Tanner).MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Tanner)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Tanner)),Full Skill Buy(Profession (Tanner))
Profession (Trapper).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Trapper)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Trapper)),Full Skill Buy(Profession (Trapper))
Profession (Woodcutter).MOD			TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Profession (Woodcutter)|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Profession (Woodcutter)),Full Skill Buy(Profession (Woodcutter))
Ride.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Ride|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Ride),Full Skill Buy(Ride)
Sense Motive.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Sense Motive|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Sense Motive),Full Skill Buy(Sense Motive)
Sleight of Hand.MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Sleight of Hand|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Sleight of Hand),Full Skill Buy(Sleight of Hand)
Spellcraft.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Spellcraft|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Spellcraft),Full Skill Buy(Spellcraft)
Stealth.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Stealth|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Stealth),Full Skill Buy(Stealth)
Survival.MOD					TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Survival|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Survival),Full Skill Buy(Survival)
Swim.MOD						TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Swim|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Swim),Full Skill Buy(Swim)
Use Magic Device.MOD				TYPE:AdeptChoice.NormalSkill	ABILITY:Internal|VIRTUAL|Make CSKILL ~ Use Magic Device|PREABILITY:6,CATEGORY=Skill Buy,Adept Skill Buy(Use Magic Device),Full Skill Buy(Use Magic Device)

# Mystic Artist Sub skills
Perform (Act).MOD																																												BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Act)")|TYPE=PerformSkill
Perform (Comedy).MOD																																											BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Comedy)")|TYPE=PerformSkill
Perform (Dance).MOD																																											BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Dance)")|TYPE=PerformSkill
Perform (Keyboard Instruments).MOD																																									BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Keyboard Instruments)")|TYPE=PerformSkill
Perform (Oratory).MOD																																											BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Oratory)")|TYPE=PerformSkill
Perform (Percussion Instruments).MOD																																								BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Percussion Instruments)")|TYPE=PerformSkill
Perform (String Instruments).MOD																																									BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (String Instruments)")|TYPE=PerformSkill
Perform (Wind Instruments).MOD																																									BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Wind Instruments)")|TYPE=PerformSkill
Perform (Sing).MOD																																											BONUS:SKILL|Mystic Artist Skill|skillinfo("TOTAL","Perform (Sing)")|TYPE=PerformSkill
