# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)

#.MOD	PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30

# Skill Name		Type				Var. Max. Value												Define
Forgery.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Forgery"),MaxRankForgery					DEFINE:MaxRankForgery|var("MaxRank")-30
Gather Information.MOD	TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Gather Information"),MaxRankGather_Information	DEFINE:MaxRankGather_Information|var("MaxRank")-30
Handle Animal.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Handle Animal"),MaxRankHandle_Animal			DEFINE:MaxRankHandle_Animal|var("MaxRank")-30
Hide.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hide"),MaxRankHide						DEFINE:MaxRankHide|var("MaxRank")-30
Innuendo.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Innuendo"),MaxRankInnuendo				DEFINE:MaxRankInnuendo|var("MaxRank")-30
Jump.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Jump"),MaxRankJump						DEFINE:MaxRankJump|var("MaxRank")-30
Languages.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Languages"),MaxRankLanguages				DEFINE:MaxRankLanguages|var("MaxRank")-30
Listen.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Listen"),MaxRankListen					DEFINE:MaxRankListen|var("MaxRank")-30
Mechanics.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Mechanics"),MaxRankMechanics				DEFINE:MaxRankMechanics|var("MaxRank")-30
Move Silently.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Move Silently"),MaxRankMove_Silently			DEFINE:MaxRankMove_Silently|var("MaxRank")-30
Open Lock.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Open Lock"),MaxRankOpen_Lock				DEFINE:MaxRankOpen_Lock|var("MaxRank")-30
Perform.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Perform"),MaxRankPerform					DEFINE:MaxRankPerform|var("MaxRank")-30
Pilot.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Pilot"),MaxRankPilot					DEFINE:MaxRankPilot|var("MaxRank")-30
Read Lips.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Read Lips"),MaxRankRead_Lips				DEFINE:MaxRankRead_Lips|var("MaxRank")-30
Search.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Search"),MaxRankSearch					DEFINE:MaxRankSearch|var("MaxRank")-30
Sense Motive.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sense Motive"),MaxRankSense_Motive			DEFINE:MaxRankSense_Motive|var("MaxRank")-30
Sleight of Hand.MOD	TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sleight of Hand"),MaxRankSleight_of_Hand		DEFINE:MaxRankSleight_of_Hand|var("MaxRank")-30
Spot.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Spot"),MaxRankSpot						DEFINE:MaxRankSpot|var("MaxRank")-30
Surveillance.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Surveillance"),MaxRankSurveillance			DEFINE:MaxRankSurveillance|var("MaxRank")-30
Survival.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Survival"),MaxRankSurvival				DEFINE:MaxRankSurvival|var("MaxRank")-30
Swim.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Swim"),MaxRankSwim						DEFINE:MaxRankSwim|var("MaxRank")-30
Tumble.MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Tumble"),MaxRankTumble					DEFINE:MaxRankTumble|var("MaxRank")-30
Use Rope.MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Use Rope"),MaxRankUse_Rope				DEFINE:MaxRankUse_Rope|var("MaxRank")-30

###Block: Intimidate with 2
# Original
# Skill Name.MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30Key Stat.MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30Type.MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30Bonus to skill.MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30.MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30.MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30Source Page
#Intimidate.MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30

# Intimidate for STR and CHA
# Skill Name	Type				Var. Max. Value									Define
Intimidate.MOD	TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Intimidate"),MaxRankIntimidate	DEFINE:MaxRankIntimidate|var("MaxRank")-30

#Intimidate (Charisma).MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","Intimidate (Charisma)"),MaxRankIntimidate_Charisma	DEFINE:MaxRankIntimidate_Charisma|var("MaxRank")-30
#Intimidate (Strength).MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","Intimidate (Strength)"),MaxRankIntimidate_Strength	DEFINE:MaxRankIntimidate_Strength|var("MaxRank")-30

###Block: Multiple Entry Skills

# Skill Name					Type				Var. Max. Value																Define
Craft (Carpentry).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Craft (Carpentry)"),MaxRankCraft_Carpentry						DEFINE:MaxRankCraft_Carpentry|var("MaxRank")-30
Craft (Plumbing).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Craft (Plumbing)"),MaxRankCraft_Plumbing						DEFINE:MaxRankCraft_Plumbing|var("MaxRank")-30
Craft (Ceramics).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Craft (Ceramics)"),MaxRankCraft_Ceramics						DEFINE:MaxRankCraft_Ceramics|var("MaxRank")-30
Craft (Welding).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Craft (Welding)"),MaxRankCraft_Welding						DEFINE:MaxRankCraft_Welding|var("MaxRank")-30
Craft (Bookbinding).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Craft (Bookbinding)"),MaxRankCraft_Bookbinding					DEFINE:MaxRankCraft_Bookbinding|var("MaxRank")-30
Craft (Calligraphy).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Craft (Calligraphy)"),MaxRankCraft_Calligraphy					DEFINE:MaxRankCraft_Calligraphy|var("MaxRank")-30
Craft (Painting).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Craft (Painting)"),MaxRankCraft_Painting						DEFINE:MaxRankCraft_Painting|var("MaxRank")-30

#Hobby (Untrained).MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankXXX|var("MaxRank")-30

Hobby (Clubbing).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Clubbing)"),MaxRankHobby_Clubbing						DEFINE:MaxRankHobby_Clubbing|var("MaxRank")-30
Hobby (Creative Writing).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Creative Writing)"),MaxRankHobby_Creative_Writing			DEFINE:MaxRankHobby_Creative_Writing|var("MaxRank")-30
Hobby (Gambling).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Gambling)"),MaxRankHobby_Gambling						DEFINE:MaxRankHobby_Gambling|var("MaxRank")-30
Hobby (Gaming).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Gaming)"),MaxRankHobby_Gaming							DEFINE:MaxRankHobby_Gaming|var("MaxRank")-30
Hobby (Gardening).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Gardening)"),MaxRankHobby_Gardening						DEFINE:MaxRankHobby_Gardening|var("MaxRank")-30
Hobby (Internet Surfing).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Internet Surfing)"),MaxRankHobby_Internet_Surfing			DEFINE:MaxRankHobby_Internet_Surfing|var("MaxRank")-30
Hobby (Jogging).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Jogging)"),MaxRankHobby_Jogging						DEFINE:MaxRankHobby_Jogging|var("MaxRank")-30
Hobby (Puzzle Solving).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Puzzle Solving)"),MaxRankHobby_Puzzle_Solving				DEFINE:MaxRankHobby_Puzzle_Solving|var("MaxRank")-30
Hobby (Reading).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Reading)"),MaxRankHobby_Reading						DEFINE:MaxRankHobby_Reading|var("MaxRank")-30
Hobby (Shopping).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Shopping)"),MaxRankHobby_Shopping						DEFINE:MaxRankHobby_Shopping|var("MaxRank")-30
Hobby (Stamp Collecting).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Stamp Collecting)"),MaxRankHobby_Stamp_Collecting			DEFINE:MaxRankHobby_Stamp_Collecting|var("MaxRank")-30
Hobby (Socializing).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Socializing)"),MaxRankHobby_Socializing					DEFINE:MaxRankHobby_Socializing|var("MaxRank")-30
Hobby (Tinkering).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Tinkering)"),MaxRankHobby_Tinkering						DEFINE:MaxRankHobby_Tinkering|var("MaxRank")-30
Hobby (Travelling).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Hobby (Travelling)"),MaxRankHobby_Travelling					DEFINE:MaxRankHobby_Travelling|var("MaxRank")-30

Knowledge (Architecture).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Architecture)"),MaxRankKnowledge_Architecture			DEFINE:MaxRankKnowledge_Architecture|var("MaxRank")-30
Knowledge (Big Business).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Big Business)"),MaxRankKnowledge_Big_Business			DEFINE:MaxRankKnowledge_Big_Business|var("MaxRank")-30
Knowledge (Biology).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Biology)"),MaxRankKnowledge_Biology					DEFINE:MaxRankKnowledge_Biology|var("MaxRank")-30
Knowledge (Chaos Theory).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Chaos Theory)"),MaxRankKnowledge_Chaos_Theory			DEFINE:MaxRankKnowledge_Chaos_Theory|var("MaxRank")-30
Knowledge (Chemistry).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Chemistry)"),MaxRankKnowledge_Chemistry				DEFINE:MaxRankKnowledge_Chemistry|var("MaxRank")-30
Knowledge (Conspiracy Theory).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Conspiracy Theory)"),MaxRankKnowledge_Conspiracy_Theory		DEFINE:MaxRankKnowledge_Conspiracy_Theory|var("MaxRank")-30
Knowledge (Criminal Behavior).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Criminal Behavior)"),MaxRankKnowledge_Criminal_Behavior		DEFINE:MaxRankKnowledge_Criminal_Behavior|var("MaxRank")-30
Knowledge (Engineering).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Engineering)"),MaxRankKnowledge_Engineering				DEFINE:MaxRankKnowledge_Engineering|var("MaxRank")-30
Knowledge (English Literature).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (English Literature)"),MaxRankKnowledge_English_Literature	DEFINE:MaxRankKnowledge_English Literature|var("MaxRank")-30
Knowledge (Finance).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Finance)"),MaxRankKnowledge_Finance					DEFINE:MaxRankKnowledge_Finance|var("MaxRank")-30
Knowledge (Forensics).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Forensics)"),MaxRankKnowledge_Forensics				DEFINE:MaxRankKnowledge_Forensics|var("MaxRank")-30
Knowledge (Geography).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Geography)"),MaxRankKnowledge_Geography				DEFINE:MaxRankKnowledge_Geography|var("MaxRank")-30
Knowledge (History).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (History)"),MaxRankKnowledge_History					DEFINE:MaxRankKnowledge_History|var("MaxRank")-30
Knowledge (Idle Gossip).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Idle Gossip)"),MaxRankKnowledge_Idle_Gossip				DEFINE:MaxRankKnowledge_Idle_Gossip|var("MaxRank")-30
Knowledge (Local).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Local)"),MaxRankKnowledge_Local						DEFINE:MaxRankKnowledge_Local|var("MaxRank")-30
Knowledge (Munitions).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Munitions)"),MaxRankKnowledge_Munitions				DEFINE:MaxRankKnowledge_Munitions|var("MaxRank")-30
Knowledge (Nature).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Nature)"),MaxRankKnowledge_Nature					DEFINE:MaxRankKnowledge_Nature|var("MaxRank")-30
Knowledge (Occult Science).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Occult Science)"),MaxRankKnowledge_Occult_Science			DEFINE:MaxRankKnowledge_Occult_Science|var("MaxRank")-30
Knowledge (Physics).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Physics)"),MaxRankKnowledge_Physics					DEFINE:MaxRankKnowledge_Physics|var("MaxRank")-30
Knowledge (Political Science).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Political Science)"),MaxRankKnowledge_Political_Science		DEFINE:MaxRankKnowledge_Political_Science|var("MaxRank")-30
Knowledge (Religion).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Religion)"),MaxRankKnowledge_Religion					DEFINE:MaxRankKnowledge_Religion|var("MaxRank")-30
Knowledge (Spy Agencies).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Spy Agencies)"),MaxRankKnowledge_Spy_Agencies			DEFINE:MaxRankKnowledge_Spy_Agencies|var("MaxRank")-30
Knowledge (Underworld).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Underworld)"),MaxRankKnowledge_Underworld				DEFINE:MaxRankKnowledge_Underworld|var("MaxRank")-30
Knowledge (Vehicals).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Knowledge (Vehicals)"),MaxRankKnowledge_Vehicals					DEFINE:MaxRankKnowledge_Vehicals|var("MaxRank")-30

Profession (Computer Technicion).MOD	TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Computer Technicion)"),MaxRankProfession_Computer_Technicion	DEFINE:MaxRankProfession_Computer_Technicion|var("MaxRank")-30
Profession (Diplomat).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Diplomat)"),MaxRankProfession_Diplomat				DEFINE:MaxRankProfession_Diplomat|var("MaxRank")-30
Profession (Doctor).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Doctor)"),MaxRankProfession_Doctor					DEFINE:MaxRankProfession_Doctor|var("MaxRank")-30
Profession (Hunter).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Hunter)"),MaxRankProfession_Hunter					DEFINE:MaxRankProfession_Hunter|var("MaxRank")-30
Profession (Lawyer).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Lawyer)"),MaxRankProfession_Lawyer					DEFINE:MaxRankProfession_Lawyer|var("MaxRank")-30
Profession (Mechanic).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Mechanic)"),MaxRankProfession_Mechanic				DEFINE:MaxRankProfession_Mechanic|var("MaxRank")-30
Profession (Military Officer).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Military Officer)"),MaxRankProfession_Military_Officer		DEFINE:MaxRankProfession_Military_Officer|var("MaxRank")-30
Profession (Spy).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Spy)"),MaxRankProfession_Spy						DEFINE:MaxRankProfession_Spy|var("MaxRank")-30
Profession (Teacher).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Teacher)"),MaxRankProfession_Teacher					DEFINE:MaxRankProfession_Teacher|var("MaxRank")-30
Profession (Terrorist).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Terrorist)"),MaxRankProfession_Terrorist				DEFINE:MaxRankProfession_Terrorist|var("MaxRank")-30
Profession (Web Programmer).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Profession (Web Programmer)"),MaxRankProfession_Web_Programmer		DEFINE:MaxRankProfession_Web_Programmer|var("MaxRank")-30

#Sport (Untrained).MOD	TYPE:UnlockedPotential		PREVARLTEQ:skillinfo("TOTALRANK","XXX"),MaxRankXXX	DEFINE:MaxRankMaxRankXXX|var("MaxRank")-30

Sport (Baseball).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Baseball)"),MaxRankSport_Baseball						DEFINE:MaxRankSport_Baseball|var("MaxRank")-30
Sport (Basketball).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Basketball)"),MaxRankSport_Basketball					DEFINE:MaxRankSport_Basketball|var("MaxRank")-30
Sport (Football).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Football)"),MaxRankSport_Football						DEFINE:MaxRankSport_Football|var("MaxRank")-30
Sport (Soccer).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Soccer)"),MaxRankSport_Soccer							DEFINE:MaxRankSport_Soccer|var("MaxRank")-30
Sport (Hockey).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Hockey)"),MaxRankSport_Hockey							DEFINE:MaxRankSport_Hockey|var("MaxRank")-30
Sport (Jai-alai).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Jai-alai)"),MaxRankSport_Jai_alai						DEFINE:MaxRankSport_Jai_alai|var("MaxRank")-30
Sport (Boat Racing).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Boat Racing)"),MaxRankSport_Boat_Racing					DEFINE:MaxRankSport_Boat_Racing|var("MaxRank")-30
Sport (Drag Racing).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Drag Racing)"),MaxRankSport_Drag_Racing					DEFINE:MaxRankSport_Drag_Racing|var("MaxRank")-30
Sport (Horse Racing).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Horse Racing)"),MaxRankSport_Horse_Racing					DEFINE:MaxRankSport_Horse_Racing|var("MaxRank")-30
Sport (Plane Racing).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Plane Racing)"),MaxRankSport_Plane_Racing					DEFINE:MaxRankSport_Plane_Racing|var("MaxRank")-30
Sport (Stock Car Racing).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Stock Car Racing)"),MaxRankSport_Stock_Car_Racing			DEFINE:MaxRankSport_Stock_Car_Racing|var("MaxRank")-30
Sport (Rugby).MOD					TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Rugby)"),MaxRankSport_Rugby							DEFINE:MaxRankSport_Rugby|var("MaxRank")-30
Sport (Swimming).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Swimming)"),MaxRankSport_Swimming						DEFINE:MaxRankSport_Swimming|var("MaxRank")-30
Sport (Tennis).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Tennis)"),MaxRankSport_Tennis							DEFINE:MaxRankSport_Tennis|var("MaxRank")-30
Sport (Track and Field).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Sport (Track and Field)"),MaxRankSport_Track_and_Field				DEFINE:MaxRankSport_Track_and_Field|var("MaxRank")-30

# Backgrounds

Background (Amnesia).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Amnesia)"),MaxRankBackground_Amnesia					DEFINE:MaxRankBackground_Amnesia|var("MaxRank")-30
Background (Debt).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Debt)"),MaxRankBackground_Debt						DEFINE:MaxRankBackground_Debt|var("MaxRank")-30
Background (Defeated).MOD			TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Defeated)"),MaxRankBackground_Defeated				DEFINE:MaxRankBackground_Defeated|var("MaxRank")-30
Background (Fear).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Fear)"),MaxRankBackground_Fear						DEFINE:MaxRankBackground_Fear|var("MaxRank")-30
Background (Game Control Fiat).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Game Control Fiat)"),MaxRankBackground_Game_Control_Fiat	DEFINE:MaxRankBackground_Game_Control_Fiat|var("MaxRank")-30
Background (Hunted).MOD				TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Hunted)"),MaxRankBackground_Hunted					DEFINE:MaxRankBackground_Hunted|var("MaxRank")-30
Background (Long Term Mission).MOD		TYPE:UnlockedPotential	PREVARLTEQ:skillinfo("TOTALRANK","Background (Long Term Mission)"),MaxRankBackground_Long_Term_Mission	DEFINE:MaxRankBackground_Long_Term_Mission|var("MaxRank")-30
