# CVS $Revision$ $Author$ -- Wed Mar 12 00:21:47 2008 -- reformated by prettylst.pl v1.38 (build 5225)
SOURCELONG:Bastion Press - Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://www.bastionpress.com

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
Clear Skies			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Air		SAB:Capable spellcasting (electricity)	SAB:Crude spellcasting (acid)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Setting Sun		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Dusk		SAB:Capable spellcasting (cold)	SAB:Crude spellcasting (fire)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Earth
The Caverns			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Earth		SAB:Practiced spell	SAB:Amateur spell								DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Fertile Soil		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Earth		SAB:+1 to Fortitude saving throws	SAB:-1 to Reflex saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Mud				TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Earth		SAB:Effective Spellcasting (cold)	SAB:Ineffective Spellcasting (fire)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Ooze				TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Earth		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Stone				TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Earth		SAB:Capable spellcasting (acid)	SAB:Crude spellcasting (electricity)		DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Fire
Ash				TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Fire		SAB:Practiced spell (fire)	SAB:Amateur spell (cold)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Blaze			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Fire		SAB:+1 to Damage rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Firestorm		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Fire		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Flashfire		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Fire		SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Sparking Embers		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Fire		SAB:Spell resistant (fire)	SAB:Spell vulnerable (cold)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Lights
Brilliant Reflections	TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Lights		SAB:Spell Resistant (chaos)	SAB:Spell vulnerable (law)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Radiance			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Lights		SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Scintillating Light	TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Lights		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Scintillating Pools	TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Lights		SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Sun Beams			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Lights		SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Plant
The Ferns			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to Will saving throws	SAB:-1 to Reflex saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Flowers			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Plant		SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Grasses			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Mosses			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to Fortitude saving throws	SAB:-1 to AC 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Trees			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Plant		SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Predator
The Arachnid		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Predator	SAB:Practiced spell	SAB:Amateur spell								DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Canine			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Feline			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Raptor			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Serpent			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Predator	SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Prey
The Bovine			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Fish			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Pheasant		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Seal			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to AC 3x/day	SAB:-1 to Attack rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Stag			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Prey		SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Spring
Fertility			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Spring		SAB:+1 to AC 3x/day	SAB:-1 to Attack rolls 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Blooming Splendor		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Spring		SAB:Capable spellcasting (transmutation)	SAB:Crude spellcasting (conjuration)	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Sown Earth			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Spring		SAB:Spell resistant (acid)	SAB:Spell vulnerable (sonic)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Vernal Showers		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Spring		SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Spring's Triumph		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Spring		SAB:+1 to Fortitude saving throws	SAB:-1 to Reflex saving throws			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Summer
Blazing Sun			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Summer		SAB:Capable spellcasting (light)	SAB:Crude spellcasting (darkness)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Drought			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Summer		SAB:Spell resistant (acid)	SAB:Spell vulnerable (electricity)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Fiery Equinox		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Summer		SAB:Spell resistant (fire)	SAB:Spell vulnerable (water)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Mirage			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Summer		SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Summer's Fury		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Summer		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Water
The Lake			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Water		SAB:Capable spellcasting (cold)	SAB:Crude spellcasting (fire)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Ocean			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Water		SAB:Spell resistant (acid)	SAB:Spell vulnerable (sonic)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The River			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Water		SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Springs			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Water		SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Watery Depths		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Water		SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Winter
The Howling Winds		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Winter		SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day						DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Ice			TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Winter		SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Snowdrifts		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Winter		SAB:Spell resistant (electricity)	SAB:Spell vulnerable (sonic)				DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Stormy Skies		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Winter		SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)			DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Winter's Grip		TYPE:AspectOfNature	PRETEMPLATE:1,Aspect of the Winter		SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)					DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
