# CVS $Revision$ $Author$ -- Thu Apr 22 12:20:08 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Pathfinder Chronicles: Campaign Setting	SOURCESHORT:PFCS	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderChronicles/35E/v5748btpy84eo&source=search	SOURCEDATE:2008-08
Regional Affinity (Katapesh)		VISIBLE:NO	SOURCEPAGE:p.86	REGION:Katapesh
Regional Affinity (Kyonin)		VISIBLE:NO	SOURCEPAGE:p.88	REGION:Kyonin
Regional Affinity (Lastwall)		VISIBLE:NO	SOURCEPAGE:p.90	REGION:Lastwall
Regional Affinity (Linnorm Kings)	VISIBLE:NO	SOURCEPAGE:p.92	REGION:Lands of the Linnorm Kings
Regional Affinity (Mammoth Lords)	VISIBLE:NO	SOURCEPAGE:p.94	REGION:Realm of the Mammoth Lords
Regional Affinity (Mediogalti)	VISIBLE:NO	SOURCEPAGE:p.96	REGION:Mediogalti Island
Regional Affinity (Mendev)		VISIBLE:NO	SOURCEPAGE:p.98	REGION:Mendev
Regional Affinity (Molthune)		VISIBLE:NO	SOURCEPAGE:p.102	REGION:Molthune
Regional Affinity (Mwangi Expanse)	VISIBLE:NO	SOURCEPAGE:p.104	REGION:Mwangi Expanse
Regional Affinity (Nex)			VISIBLE:NO	SOURCEPAGE:p.108	REGION:Nex
Regional Affinity (Nidal)		VISIBLE:NO	SOURCEPAGE:p.110	REGION:Nidal
Regional Affinity (Nirmathas)		VISIBLE:NO	SOURCEPAGE:p.112	REGION:Nirmathas
Regional Affinity (Numeria)		VISIBLE:NO	SOURCEPAGE:p.114	REGION:Numeria
Regional Affinity (Osirion)		VISIBLE:NO	SOURCEPAGE:p.116	REGION:Osirion
Regional Affinity (Qadira)		VISIBLE:NO	SOURCEPAGE:p.120	REGION:Qadira
Regional Affinity (Rahadoum)		VISIBLE:NO	SOURCEPAGE:p.122	REGION:Rahadoum
Regional Affinity (Razmiran)		VISIBLE:NO	SOURCEPAGE:p.124	REGION:Razmiran
Regional Affinity (River Kingdoms)	VISIBLE:NO	SOURCEPAGE:p.126	REGION:The River Kingdoms
Regional Affinity (Sargava)		VISIBLE:NO	SOURCEPAGE:p.130	REGION:Sargava
Regional Affinity (Shackles)		VISIBLE:NO	SOURCEPAGE:p.132	REGION:The Shackles
Regional Affinity (Sodden Lands)	VISIBLE:NO	SOURCEPAGE:p.134	REGION:The Sodden Lands
Regional Affinity (Taldor)		VISIBLE:NO	SOURCEPAGE:p.136	REGION:Taldor
Regional Affinity (Thuvia)		VISIBLE:NO	SOURCEPAGE:p.138	REGION:Thuvia
Regional Affinity (Ustalav)		VISIBLE:NO	SOURCEPAGE:p.140	REGION:The Immortal Principality of Ustalav
Regional Affinity (Varisia)		VISIBLE:NO	SOURCEPAGE:p.144	REGION:Varisia
Regional Affinity (Worldwound)	VISIBLE:NO	SOURCEPAGE:p.148	REGION:The Worldwound

###Block: Shade of the Uskwood feat support
# Template Name			Visible	List of Class Spells by Level
Shade of the Uskwood Spells	VISIBLE:NO	SPELLLEVEL:CLASS|Druid=0|Disrupt Undead,Ray of Frost	SPELLLEVEL:CLASS|Druid=1|Ghost Sound,Touch of Fatigue	SPELLLEVEL:CLASS|Druid=2|Chill Touch,Spectral Hand	SPELLLEVEL:CLASS|Druid=3|Ghoul Touch,Invisibility	SPELLLEVEL:CLASS|Druid=4|Displacement,Ray of Exhaustion	SPELLLEVEL:CLASS|Druid=5|Animate Dead,Phantasmal Killer	SPELLLEVEL:CLASS|Druid=6|Nightmare,Waves of Fatigue	SPELLLEVEL:CLASS|Druid=7|Circle of Death,Shadow Walk	SPELLLEVEL:CLASS|Druid=8|Invisibility (Mass),Waves of Exhaustion	SPELLLEVEL:CLASS|Druid=9|Horrid Wilting,Weird

#
# End
#
