# CVS $Revision$ $Author$ -- Fri Nov 23 00:38:25 2007 -- reformated by prettylst.pl v1.38 (build 2788)
SOURCELONG:Bastion Press - Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://www.bastionpress.com

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template				Description		Stackable?	Multiple?	Cost		Source Page		SAB
The Rising Sun		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Capable spellcasting (fore)	SAB:-1 to Crude spellcasting (cold)
The Twilight		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dawn	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws

#Aspect of the Dusk
The Fleeting Rays		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dusk	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day
The Gloom			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dusk	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws
The Luminous Clouds	TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dusk	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to AC 3x/day	SAB:-1 to AC 3x/day
Retreating Luster		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dusk	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws
The Setting Sun		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Dusk	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39	SAB:Capable spellcasting (cold)	SAB:Crude spellcasting (fire)

#Aspect of the Earth
The Caverns			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Earth	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Practiced spell	SAB:Amateur spell
Fertile Soil		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Earth	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Fortitude saving throws	SAB:-1 to Reflex saving throws
Mud				TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Earth	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Effective Spellcasting (cold)	SAB:Ineffective Spellcasting (fire)
Ooze				TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Earth	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day
Stone				TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Earth	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Capable spellcasting (acid)	SAB:Crude spellcasting (electricity)

#Aspect of the Fire
Ash				TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Fire	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Practiced spell (fire)	SAB:Amateur spell (cold)
The Blaze			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Fire	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Damage rolls 3x/day	SAB:-1 to AC 3x/day
The Firestorm		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Fire	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day
The Flashfire		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Fire	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)
Sparking Embers		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Fire	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Spell resistant (fire)	SAB:Spell vulnerable (cold)

#Aspect of the Lights
Brilliant Reflections	TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Lights	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Spell Resistant (chaos)	SAB:Spell vulnerable (law)
Radiance			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Lights	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws
Scintillating Light	TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Lights	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws
Scintillating Pools	TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Lights	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Reflex saving throws	SAB:-1 to Fortitude saving throws
Sun Beams			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Lights	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)

#Aspect of the Plant
The Ferns			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Plant	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Will saving throws	SAB:-1 to Reflex saving throws
The Flowers			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Plant	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Capable spellcasting (fire)	SAB:Crude spellcasting (cold)
The Grasses			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Plant	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day
The Mosses			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Plant	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Fortitude saving throws	SAB:-1 to AC 3x/day
The Trees			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Plant	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day

#Aspect of the Predator
The Arachnid		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Predator	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:Practiced spell	SAB:Amateur spell
The Canine			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Predator	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day
The Feline			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Predator	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws
The Raptor			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Predator	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws
The Serpent			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Predator	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41	SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day

#Aspect of the Prey
The Bovine			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Prey	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Fortitude saving throws	SAB:-1 to Will saving throws
The Fish			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Prey	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to AC 3x/day	SAB:-1 to Damage rolls 3x/day
The Pheasant		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Prey	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws
The Seal			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Prey	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to AC 3x/day	SAB:-1 to Attack rolls 3x/day
The Stag			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Prey	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Damage rolls 3x/day	SAB:-1 to Attack rolls 3x/day

#Aspect of the Spring
Fertility			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Spring	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to AC 3x/day	SAB:-1 to Attack rolls 3x/day
Blooming Splendor		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Spring	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Capable spellcasting (transmutation)	SAB:Crude spellcasting (conjuration)
Sown Earth			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Spring	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (acid)	SAB:Spell vulnerable (sonic)
Vernal Showers		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Spring	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)
Spring's Triumph		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Spring	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Fortitude saving throws	SAB:-1 to Reflex saving throws

#Aspect of the Summer
Blazing Sun			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Summer	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Capable spellcasting (light)	SAB:Crude spellcasting (darkness)
Drought			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Summer	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (acid)	SAB:Spell vulnerable (electricity)
Fiery Equinox		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Summer	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (fire)	SAB:Spell vulnerable (water)
The Mirage			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Summer	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Reflex saving throws	SAB:-1 to Will saving throws
Summer's Fury		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Summer	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day

#Aspect of the Water
The Lake			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Water	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Capable spellcasting (cold)	SAB:Crude spellcasting (fire)
The Ocean			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Water	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (acid)	SAB:Spell vulnerable (sonic)
The River			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Water	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Attack rolls 3x/day	SAB:-1 to Damage rolls 3x/day
The Springs			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Water	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)
The Watery Depths		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Water	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)

#Aspect of the Winter
The Howling Winds		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Winter	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Attack rolls 3x/day	SAB:-1 to AC 3x/day
The Ice			TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Winter	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:+1 to Will saving throws	SAB:-1 to Fortitude saving throws
The Snowdrifts		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Winter	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (electricity)	SAB:Spell vulnerable (sonic)
Stormy Skies		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Winter	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Capable spellcasting (darkness)	SAB:Crude spellcasting (light)
Winter's Grip		TYPE:AspectOfNature	PRETEMPLATE:Aspect of the Winter	DESC:See text	STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42	SAB:Spell resistant (cold)	SAB:Spell vulnerable (fire)
