# CVS $Revision: 1.1 $ $Author: tir-gwaith $ -- Mon Nov 28 04:20:31 2005 -- reformated by prettylst.pl v1.35 (build 549)
SOURCELONG:Malhavoc Press - Book of Eldritch Might|SOURCESHORT:BoEM1|SOURCEWEB:http://www.montecook.com
#Spell names and other proper names from The Book of Eldritch Might are
#	©2001-2005 Monte J. Cook and are used here with his permission.
#Original entry by: Paul "Yes, that Paul" Grosse

#Scroll name			Type				Cost		Weight		Source Page
# Equipment Name					Type						Cost		Weight	Source Page
Scroll (Greater Mark of Earth)		TYPE:Magic.Scroll.Arcane.Divine	COST:700	WT:.01	SOURCEPAGE:p.14
Scroll (Greater Mark of Fire)			TYPE:Magic.Scroll.Arcane.Divine	COST:700	WT:.01	SOURCEPAGE:p.14
Scroll (Greater Mark of Frost)		TYPE:Magic.Scroll.Arcane.Divine	COST:700	WT:.01	SOURCEPAGE:p.15
Scroll (Greater Mark of Water)		TYPE:Magic.Scroll.Arcane.Divine	COST:700	WT:.01	SOURCEPAGE:p.15
Scroll (Greater Sleep)				TYPE:Magic.Scroll.Arcane		COST:375	WT:.01	SOURCEPAGE:p.15
Scroll (Guilt)					TYPE:Magic.Scroll.Arcane.Divine	COST:25	WT:.01	SOURCEPAGE:p.15
Scroll (Hidden Object)				TYPE:Magic.Scroll.Arcane		COST:700	WT:.01	SOURCEPAGE:p.15
Scroll (Icebolt)					TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.15
Scroll (Imbue Guardian)				TYPE:Magic.Scroll.Arcane		COST:3000	WT:.01	SOURCEPAGE:p.16
Scroll (Magma Burst)				TYPE:Magic.Scroll.Arcane.Divine	COST:3825	WT:.01	SOURCEPAGE:p.16
Scroll (Mantle of Egregious Might)		TYPE:Magic.Scroll.Arcane		COST:3000	WT:.01	SOURCEPAGE:p.16
Scroll (Mark of Air)				TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.17
Scroll (Mark of Death)				TYPE:Magic.Scroll.Arcane		COST:3000	WT:.01	SOURCEPAGE:p.17
Scroll (Mark of Earth)				TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.17
Scroll (Mark of Fire)				TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.17
Scroll (Mark of Frost)				TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.17
Scroll (Mark of Water)				TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.18
Scroll (Mass Fly (EMI))				TYPE:Magic.Scroll.Arcane		COST:2275	WT:.01	SOURCEPAGE:p.18
Scroll (Mental Alarm)				TYPE:Magic.Scroll.Arcane		COST:12.5	WT:.01	SOURCEPAGE:p.18
Scroll (Minor Ward)				TYPE:Magic.Scroll.Arcane		COST:12.5	WT:.01	SOURCEPAGE:p.18
Scroll (Precise Vision)				TYPE:Magic.Scroll.Arcane		COST:25	WT:.01	SOURCEPAGE:p.20
Scroll (Primal Release)				TYPE:Magic.Scroll.Arcane		COST:3000	WT:.01	SOURCEPAGE:p.20
Scroll (Silent Sound)				TYPE:Magic.Scroll.Arcane		COST:25	WT:.01	SOURCEPAGE:p.21
Scroll (Spelltrap)				TYPE:Magic.Scroll.Arcane		COST:700	WT:.01	SOURCEPAGE:p.21
Scroll (Static Veil)				TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.21
Scroll (Teleport Block)				TYPE:Magic.Scroll.Arcane		COST:1125	WT:.01	SOURCEPAGE:p.21
Scroll (Teleport Coordinates Transfer)	TYPE:Magic.Scroll.Arcane		COST:1650	WT:.01	SOURCEPAGE:p.21
Scroll (Teleport Redirect)			TYPE:Magic.Scroll.Arcane		COST:1125	WT:.01	SOURCEPAGE:p.22
Scroll (Teleport Tracer)			TYPE:Magic.Scroll.Arcane		COST:1650	WT:.01	SOURCEPAGE:p.22
Scroll (Thief Ward)				TYPE:Magic.Scroll.Arcane.Divine	COST:150	WT:.01	SOURCEPAGE:p.22
Scroll (Tongue of Angels)			TYPE:Magic.Scroll.Arcane.Divine	COST:12.5	WT:.01	SOURCEPAGE:p.22
Scroll (Tongue of Fiends)			TYPE:Magic.Scroll.Arcane.Divine	COST:12.5	WT:.01	SOURCEPAGE:p.22
Scroll (Undaunted Fixture)			TYPE:Magic.Scroll.Arcane		COST:150	WT:.01	SOURCEPAGE:p.22
Scroll (Zone of Speed)				TYPE:Magic.Scroll.Arcane		COST:700	WT:.01	SOURCEPAGE:p.23
