# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:d20 Weapons Locker	SOURCESHORT:d20WL	SOURCEWEB:http://www.wizards.com/d20modern	SOURCEDATE:2004-01
# Original Entry by: Terrence FitzSimons * 14 May 2006

# WEAPONCATEGORY:Simple
# WEAPONCATEGORY:PersonalFirearm
# WEAPONCATEGORY:Archaic
# WEAPONCATEGORY:Exotic
# WEAPONCATEGORY:ExoticFirearms
# WEAPONCATEGORY:Natural
# WEAPONCATEGORY:HMG
# WEAPONCATEGORY:RocketLauncher
# WEAPONCATEGORY:GrenadeLauncher
# WEAPONCATEGORY:Mecha
# WEAPONCATEGORY:Starship

# Exotic Firearms
# Weapon Name					Type				Nb Hands
Norinco Model 85 Bayonet Pistol		TYPE:ExoticFirearms
FN five-seveN w/Suppressor			TYPE:PersonalFirearm
FN Fourty-nine					TYPE:PersonalFirearm
Glock 17C						TYPE:PersonalFirearm
Glock 17L						TYPE:PersonalFirearm	HANDS:2
Glock 19						TYPE:PersonalFirearm
Glock 19C						TYPE:PersonalFirearm
Glock 21						TYPE:PersonalFirearm
Glock 22						TYPE:PersonalFirearm
Glock 23						TYPE:PersonalFirearm
Glock 24						TYPE:PersonalFirearm
Glock 25						TYPE:PersonalFirearm
Glock 26						TYPE:PersonalFirearm
Glock 27						TYPE:PersonalFirearm
Glock 28						TYPE:PersonalFirearm
Glock 29						TYPE:PersonalFirearm
Glock 30						TYPE:PersonalFirearm
Glock 31						TYPE:PersonalFirearm
Glock 32						TYPE:PersonalFirearm
Glock 33						TYPE:PersonalFirearm	HANDS:2
Glock 34						TYPE:PersonalFirearm	HANDS:2
Glock 35						TYPE:PersonalFirearm	HANDS:2
Glock 36						TYPE:PersonalFirearm
HK4							TYPE:PersonalFirearm
HK Mk 23 SOCOM					TYPE:PersonalFirearm	HANDS:2
HK P7							TYPE:PersonalFirearm
HK P8							TYPE:PersonalFirearm
HK P13						TYPE:PersonalFirearm
HK P95						TYPE:PersonalFirearm
HK P2000						TYPE:PersonalFirearm
HK USP						TYPE:PersonalFirearm
HK USP Compact					TYPE:PersonalFirearm
HK USP Match					TYPE:PersonalFirearm
HK USP Tactical					TYPE:PersonalFirearm
Hammerli 160					TYPE:PersonalFirearm	HANDS:2
Jericho 941						TYPE:PersonalFirearm
Jericho 941FB					TYPE:PersonalFirearm
Kareen Mark II					TYPE:PersonalFirearm
Kareen Mark II Compact				TYPE:PersonalFirearm
Kel Tec P-II					TYPE:PersonalFirearm
Korth Pistol					TYPE:PersonalFirearm
KSN Golan						TYPE:PersonalFirearm
Lei Mark II						TYPE:PersonalFirearm	HANDS:2
Llama M 82						TYPE:PersonalFirearm
Llama M 87						TYPE:PersonalFirearm	HANDS:2
M-43 Firestar					TYPE:PersonalFirearm
M-45 Firestar					TYPE:PersonalFirearm
M-243 Firestar					TYPE:PersonalFirearm
M-88							TYPE:PersonalFirearm
M-105 Compact					TYPE:PersonalFirearm
M-205 Ultrastar					TYPE:PersonalFirearm
MAS M50						TYPE:PersonalFirearm
Megastar						TYPE:PersonalFirearm
MR-443 Grach					TYPE:PersonalFirearm
MR-444 Baghira					TYPE:PersonalFirearm
MR-445 Varyag					TYPE:PersonalFirearm
MR-445S Compact					TYPE:PersonalFirearm
MR-446 Viking					TYPE:PersonalFirearm
Norinco Model 77B					TYPE:PersonalFirearm
Norinco Model 64 Silent Pistol		TYPE:PersonalFirearm
Norinco Model 67 Silent Pistol		TYPE:PersonalFirearm
Norinco Model 77					TYPE:PersonalFirearm
Norinco Model 84					TYPE:PersonalFirearm
OTs-21 Malysh					TYPE:PersonalFirearm
OTs-27 Berdysh					TYPE:PersonalFirearm
P-9 Gurza						TYPE:PersonalFirearm
P-96							TYPE:PersonalFirearm
P-96S							TYPE:PersonalFirearm
PM Makarov						TYPE:PersonalFirearm
PMM Makarov						TYPE:PersonalFirearm
PSM							TYPE:PersonalFirearm
PSS Vul						TYPE:PersonalFirearm
Reutech ADP Mk II					TYPE:PersonalFirearm
Romarm Model 92					TYPE:PersonalFirearm
Ruger Mark II Standard				TYPE:PersonalFirearm
Ruger Mark II Target				TYPE:PersonalFirearm	HANDS:2
Ruger Mark II Goverment				TYPE:PersonalFirearm	HANDS:2
Ruger Mark II Competition			TYPE:PersonalFirearm	HANDS:2
Ruger P89						TYPE:PersonalFirearm
Ruger KP93						TYPE:PersonalFirearm
Ruger KP94L						TYPE:PersonalFirearm
Ruger P95						TYPE:PersonalFirearm
Ruger P97						TYPE:PersonalFirearm
S and W Mark 22 Mod 0				TYPE:PersonalFirearm	HANDS:2
S and W Sigma SW9M				TYPE:PersonalFirearm
S and W Sigma SW9F				TYPE:PersonalFirearm
S and W Sigma SW40F				TYPE:PersonalFirearm
S and W 3900					TYPE:PersonalFirearm
S and W 3913LS					TYPE:PersonalFirearm
S and W 3953					TYPE:PersonalFirearm
S and W 4000					TYPE:PersonalFirearm
S and W 4013					TYPE:PersonalFirearm
S and W 4053					TYPE:PersonalFirearm
S and W 4044					TYPE:PersonalFirearm
S and W 4500					TYPE:PersonalFirearm
S and W 4536					TYPE:PersonalFirearm
S and W 5900					TYPE:PersonalFirearm
S and W 5946					TYPE:PersonalFirearm
SIG Sauer P220					TYPE:PersonalFirearm
SIG Sauer P225					TYPE:PersonalFirearm
SIG Sauer P226					TYPE:PersonalFirearm
SIG Sauer P228					TYPE:PersonalFirearm
SIG Sauer P229					TYPE:PersonalFirearm
SIG Sauer P230					TYPE:PersonalFirearm
SIG Sauer P232					TYPE:PersonalFirearm
SIG Sauer P239					TYPE:PersonalFirearm
sSIG Sauer P245					TYPE:PersonalFirearm
SIG Sauer Pro SP2340				TYPE:PersonalFirearm
SIG Sauer Pro SP2357				TYPE:PersonalFirearm
SIG Sauer Pro SP2009				TYPE:PersonalFirearm
SITES M9 Resolver					TYPE:PersonalFirearm
SITES M380 Resolver				TYPE:PersonalFirearm
SITES M40 Resolver				TYPE:PersonalFirearm
Sphinx 0.380 AT					TYPE:PersonalFirearm
Springfield Bureau Model FBI SWAT		TYPE:PersonalFirearm
Star M-30 Series					TYPE:PersonalFirearm
Star M-30P Series					TYPE:PersonalFirearm
Star M-30K Series					TYPE:PersonalFirearm
Star M-31 Series					TYPE:PersonalFirearm
Star M-31P Series					TYPE:PersonalFirearm
Star M-31K Series					TYPE:PersonalFirearm
Steyr GB						TYPE:PersonalFirearm
Steyr M9						TYPE:PersonalFirearm
Steyr M357						TYPE:PersonalFirearm
Steyr M40						TYPE:PersonalFirearm
TanFoglio Combat					TYPE:PersonalFirearm
TanFoglio Combat Compact			TYPE:PersonalFirearm
TanFoglio Combat L.				TYPE:PersonalFirearm
TanFoglio Force					TYPE:PersonalFirearm
TanFoglio Force Compact				TYPE:PersonalFirearm
Taurus PT111 Millennium				TYPE:PersonalFirearm
Taurus PT140 Millennium				TYPE:PersonalFirearm
Taurus PT145 Millennium				TYPE:PersonalFirearm
Tokagupt 58						TYPE:PersonalFirearm
Viktor CPI						TYPE:PersonalFirearm
Viktor SPI						TYPE:PersonalFirearm
Viktor SPI Officer's Pistol			TYPE:PersonalFirearm
Walther P5						TYPE:PersonalFirearm
Walther P1A1					TYPE:PersonalFirearm
Walther P5 Compact				TYPE:PersonalFirearm
Walther P88						TYPE:PersonalFirearm
Walther P88 Compact				TYPE:PersonalFirearm
Walther P22						TYPE:PersonalFirearm
Walther P99						TYPE:PersonalFirearm
Walther PP						TYPE:PersonalFirearm
ZML Mag 95						TYPE:PersonalFirearm
ZML Mag 98						TYPE:PersonalFirearm
ZML Mag 98C						TYPE:PersonalFirearm
ZML P-93						TYPE:PersonalFirearm
APS Stechkin					TYPE:PersonalFirearm	HANDS:2
Beretta Model 93R					TYPE:PersonalFirearm	HANDS:2
C2 75 Automatic					TYPE:PersonalFirearm
Glock 18C						TYPE:PersonalFirearm
HK VP70						TYPE:PersonalFirearm
Norinco Model 80					TYPE:PersonalFirearm
OTs-23 Drotik					TYPE:PersonalFirearm
OTs-33 Pernach					TYPE:PersonalFirearm	HANDS:2
Steyr SPP						TYPE:PersonalFirearm	HANDS:2
Voros Pistol					TYPE:PersonalFirearm	HANDS:2
AEK 906						TYPE:PersonalFirearm
AEK 906-1						TYPE:PersonalFirearm
Armenius Vindicator				TYPE:PersonalFirearm
Astra Model 960					TYPE:PersonalFirearm
Astra Police					TYPE:PersonalFirearm
Colt Anaconda					TYPE:PersonalFirearm	HANDS:2
Colt King Cobra					TYPE:PersonalFirearm	HANDS:2
Colt Mark III Series				TYPE:PersonalFirearm
Colt Mark V Series				TYPE:PersonalFirearm
DOG-1							TYPE:PersonalFirearm
Downsizer Mini Pistol				TYPE:PersonalFirearm
Knight Suppressed Revolver			TYPE:PersonalFirearm	HANDS:2
Korth Combat					TYPE:PersonalFirearm
MR73 Gendarmerie					TYPE:PersonalFirearm
OTs-01 Kobalt					TYPE:PersonalFirearm
OTs-01S Kobalt					TYPE:PersonalFirearm
OTs-20 Gnom						TYPE:PersonalFirearm	HANDS:2
R-92							TYPE:PersonalFirearm
R-92KS						TYPE:PersonalFirearm
Ruger GP100						TYPE:PersonalFirearm
Ruger SP101						TYPE:PersonalFirearm
Ruger Super Redhawk				TYPE:PersonalFirearm	HANDS:2
S and W Model 29					TYPE:PersonalFirearm	HANDS:2
S and W Model 629					TYPE:PersonalFirearm	HANDS:2
S and W Model 64					TYPE:PersonalFirearm
S and W Model 586					TYPE:PersonalFirearm
S and W Model 642					TYPE:PersonalFirearm
S4M							TYPE:PersonalFirearm
SCK M-60 New Nambu				TYPE:PersonalFirearm
SuperMag						TYPE:PersonalFirearm	HANDS:2
Taurus Model 65					TYPE:PersonalFirearm	HANDS:2
Taurus Model 66					TYPE:PersonalFirearm	HANDS:2
Taurus Model 850 CIA				TYPE:PersonalFirearm	HANDS:2
Taurus Raging Bull				TYPE:PersonalFirearm	HANDS:2
Taurus Raging Hornet				TYPE:PersonalFirearm	HANDS:2
Thompson Center Contender			TYPE:PersonalFirearm	HANDS:2
Udar 1						TYPE:PersonalFirearm
Udar 2						TYPE:PersonalFirearm
Yesaul						TYPE:PersonalFirearm	HANDS:2

# Rifles						Type				Nb Hands
A-91 Compact					TYPE:PersonalFirearm	HANDS:2
A-91M							TYPE:PersonalFirearm	HANDS:2
AK-47							TYPE:PersonalFirearm	HANDS:2
AKS-47						TYPE:PersonalFirearm	HANDS:2
AKM-47						TYPE:PersonalFirearm	HANDS:2
AKMS-47						TYPE:PersonalFirearm	HANDS:2
AK-74							TYPE:PersonalFirearm	HANDS:2
AKS-74						TYPE:PersonalFirearm	HANDS:2
AKS-74U						TYPE:PersonalFirearm	HANDS:2
AKS-74UB						TYPE:PersonalFirearm	HANDS:2
AK-101						TYPE:PersonalFirearm	HANDS:2
AK-102						TYPE:PersonalFirearm	HANDS:2
AK-103						TYPE:PersonalFirearm	HANDS:2
AK-104						TYPE:PersonalFirearm	HANDS:2
AK-105						TYPE:PersonalFirearm	HANDS:2
AK-107						TYPE:PersonalFirearm	HANDS:2
AK-108						TYPE:PersonalFirearm	HANDS:2
AN-94							TYPE:PersonalFirearm	HANDS:2
Alexander Arms Beowulf				TYPE:PersonalFirearm	HANDS:2
Alexander Arms Genghis				TYPE:PersonalFirearm	HANDS:2
AMD-65						TYPE:PersonalFirearm	HANDS:2
AMD-65RG						TYPE:PersonalFirearm	HANDS:2
AR-10							TYPE:PersonalFirearm	HANDS:2
Armalite AR-18					TYPE:PersonalFirearm	HANDS:2
AS Val						TYPE:PersonalFirearm	HANDS:2
Beretta AR70					TYPE:PersonalFirearm	HANDS:2
Beretta SC70					TYPE:PersonalFirearm	HANDS:2
Beretta SC70 Short				TYPE:PersonalFirearm	HANDS:2
Beretta AR70/90					TYPE:PersonalFirearm	HANDS:2
Beretta AR70/90B					TYPE:PersonalFirearm	HANDS:2
Beretta SC70/90					TYPE:PersonalFirearm	HANDS:2
Beretta SCS70/90					TYPE:PersonalFirearm	HANDS:2
Beretta SCP70/90					TYPE:PersonalFirearm	HANDS:2
Beretta BM59					TYPE:PersonalFirearm	HANDS:2
Beretta BM59 Ital TA				TYPE:PersonalFirearm	HANDS:2
Beryl 5.56mm Mod. 96				TYPE:PersonalFirearm	HANDS:2
Mini-Beryl 5.56mm Mod. 96			TYPE:PersonalFirearm	HANDS:2
BoFors AK5						TYPE:PersonalFirearm	HANDS:2
BoFors AK5B						TYPE:PersonalFirearm	HANDS:2
BoFors AK5D						TYPE:PersonalFirearm	HANDS:2
Bushmaster M175					TYPE:PersonalFirearm	HANDS:2
CETME Model 58					TYPE:PersonalFirearm	HANDS:2
CETME Model L					TYPE:PersonalFirearm	HANDS:2
CETME Model LC					TYPE:PersonalFirearm	HANDS:2
CZ 52							TYPE:PersonalFirearm	HANDS:2
CZ 52/57						TYPE:PersonalFirearm	HANDS:2
CZ 58P						TYPE:PersonalFirearm	HANDS:2
CZ 58V						TYPE:PersonalFirearm	HANDS:2
CZ 2000						TYPE:PersonalFirearm	HANDS:2
CZ 2000 Compact					TYPE:PersonalFirearm	HANDS:2
Daewoo K1A1 carbine				TYPE:PersonalFirearm	HANDS:2
Daewoo K1A1 sporting				TYPE:PersonalFirearm	HANDS:2
Daewoo K2						TYPE:PersonalFirearm	HANDS:2
DSA SA58						TYPE:PersonalFirearm	HANDS:2
DSA SA58 Civ					TYPE:PersonalFirearm	HANDS:2
DSA SA58 OSW					TYPE:PersonalFirearm	HANDS:2
EM2							TYPE:PersonalFirearm	HANDS:2
F2000							TYPE:PersonalFirearm	HANDS:2
FA-MAS G1						TYPE:PersonalFirearm	HANDS:2
FA-MAS G1B						TYPE:PersonalFirearm	HANDS:2
FA-MAS G2						TYPE:PersonalFirearm	HANDS:2
FA-MAS G2B						TYPE:PersonalFirearm	HANDS:2
FA-MAS G2 Commando				TYPE:PersonalFirearm	HANDS:2
FA-MAS G2 Civ					TYPE:PersonalFirearm	HANDS:2
FARA 83						TYPE:PersonalFirearm	HANDS:2
Floro International PDW				TYPE:PersonalFirearm	HANDS:2
FN CAL						TYPE:PersonalFirearm	HANDS:2
FN FAL						TYPE:PersonalFirearm	HANDS:2
FN FALS						TYPE:PersonalFirearm	HANDS:2
FN FAL Para						TYPE:PersonalFirearm	HANDS:2
FN FNC						TYPE:PersonalFirearm	HANDS:2
FN FNCC						TYPE:PersonalFirearm	HANDS:2
FN FNS						TYPE:PersonalFirearm	HANDS:2
Galil ARM						TYPE:PersonalFirearm	HANDS:2
Galil SAR						TYPE:PersonalFirearm	HANDS:2
Galil LMG						TYPE:PersonalFirearm	HANDS:2
Galil MAR						TYPE:PersonalFirearm	HANDS:2
HK G11						TYPE:PersonalFirearm	HANDS:2
HK G36						TYPE:PersonalFirearm	HANDS:2
HK G36C						TYPE:PersonalFirearm	HANDS:2
HK G36E						TYPE:PersonalFirearm	HANDS:2
HK G36K						TYPE:PersonalFirearm	HANDS:2
HK G3A3						TYPE:PersonalFirearm	HANDS:2
HK G3A4						TYPE:PersonalFirearm	HANDS:2
HK 33A3						TYPE:PersonalFirearm	HANDS:2
HK 33A3B						TYPE:PersonalFirearm	HANDS:2
HK 33A4						TYPE:PersonalFirearm	HANDS:2
HK 33A4B						TYPE:PersonalFirearm	HANDS:2
HK 33E						TYPE:PersonalFirearm	HANDS:2
HK 33EB						TYPE:PersonalFirearm	HANDS:2
HK 33K						TYPE:PersonalFirearm	HANDS:2
HK 33KB						TYPE:PersonalFirearm	HANDS:2
HK 53A3						TYPE:PersonalFirearm	HANDS:2
HK 53K						TYPE:PersonalFirearm	HANDS:2
HK 53Z						TYPE:PersonalFirearm	HANDS:2
HK G8							TYPE:PersonalFirearm	HANDS:2
HK G41						TYPE:PersonalFirearm	HANDS:2
Howa Type 64					TYPE:PersonalFirearm	HANDS:2
Howa Type 89					TYPE:PersonalFirearm	HANDS:2
Howa Type 89B					TYPE:PersonalFirearm	HANDS:2
Howa Type 89A					TYPE:PersonalFirearm	HANDS:2
Howa Type 89AB					TYPE:PersonalFirearm	HANDS:2
Imbel MD2						TYPE:PersonalFirearm	HANDS:2
Imbel MD3						TYPE:PersonalFirearm	HANDS:2
Imbel MD2A1						TYPE:PersonalFirearm	HANDS:2
Imbel MD3A1						TYPE:PersonalFirearm	HANDS:2
Imbel Model L					TYPE:PersonalFirearm	HANDS:2
Imbel Model LC					TYPE:PersonalFirearm	HANDS:2
INSAS A						TYPE:PersonalFirearm	HANDS:2
INSAS B						TYPE:PersonalFirearm	HANDS:2
K-3							TYPE:PersonalFirearm	HANDS:2
L1A1 SLR						TYPE:PersonalFirearm	HANDS:2
L85A1 IW						TYPE:PersonalFirearm	HANDS:2
L85A1 IWRW						TYPE:PersonalFirearm	HANDS:2
L85A1 CGP						TYPE:PersonalFirearm	HANDS:2
LAPA Modelle 03					TYPE:PersonalFirearm	HANDS:2
M1A							TYPE:PersonalFirearm	HANDS:2
M14							TYPE:PersonalFirearm	HANDS:2
M16							TYPE:PersonalFirearm	HANDS:2
M16A1							TYPE:PersonalFirearm	HANDS:2
M16A3							TYPE:PersonalFirearm	HANDS:2
M16A4							TYPE:PersonalFirearm	HANDS:2
CAR-15						TYPE:PersonalFirearm	HANDS:2
M4A1 Carbine					TYPE:PersonalFirearm	HANDS:2
Commando						TYPE:PersonalFirearm	HANDS:2
Carbon 15						TYPE:PersonalFirearm	HANDS:2
AR-15							TYPE:PersonalFirearm	HANDS:2
MAS49							TYPE:PersonalFirearm	HANDS:2
MAS49/56						TYPE:PersonalFirearm	HANDS:2
Norinco QBZ Type 95 Carbine			TYPE:PersonalFirearm	HANDS:2
Norinco QBZ Type 95 Rifle			TYPE:PersonalFirearm	HANDS:2
Norinco Type 97 Rifle				TYPE:PersonalFirearm	HANDS:2
Norinco Type 97 Carbine				TYPE:PersonalFirearm	HANDS:2
OTs-14-4A-01 Groza				TYPE:PersonalFirearm	HANDS:2
R4							TYPE:PersonalFirearm	HANDS:2
R4S							TYPE:PersonalFirearm	HANDS:2
R5							TYPE:PersonalFirearm	HANDS:2
R5S							TYPE:PersonalFirearm	HANDS:2
R6							TYPE:PersonalFirearm	HANDS:2
R6S							TYPE:PersonalFirearm	HANDS:2
Ruger AC-556					TYPE:PersonalFirearm	HANDS:2
Ruger Mini-14					TYPE:PersonalFirearm	HANDS:2
Ruger Mini-14/20GB				TYPE:PersonalFirearm	HANDS:2
Sako M90						TYPE:PersonalFirearm	HANDS:2
Sako M95						TYPE:PersonalFirearm	HANDS:2
SAR 21						TYPE:PersonalFirearm	HANDS:2
SAR 21 Sharp Shooter				TYPE:PersonalFirearm	HANDS:2
SAR 21 Modular					TYPE:PersonalFirearm	HANDS:2
SAR 80						TYPE:PersonalFirearm	HANDS:2
SAR 80FS						TYPE:PersonalFirearm	HANDS:2
SG510							TYPE:PersonalFirearm	HANDS:2
SIG 540						TYPE:PersonalFirearm	HANDS:2
SIG 540B						TYPE:PersonalFirearm	HANDS:2
SIG 542						TYPE:PersonalFirearm	HANDS:2
SIG 542B						TYPE:PersonalFirearm	HANDS:2
SIG 543						TYPE:PersonalFirearm	HANDS:2
SIG 543B						TYPE:PersonalFirearm	HANDS:2
SIG 550						TYPE:PersonalFirearm	HANDS:2
SIG 550B						TYPE:PersonalFirearm	HANDS:2
SIG 551						TYPE:PersonalFirearm	HANDS:2
SIG 551B						TYPE:PersonalFirearm	HANDS:2
SIG 552						TYPE:PersonalFirearm	HANDS:2
SA88							TYPE:PersonalFirearm	HANDS:2
SA88B							TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle					TYPE:PersonalFirearm	HANDS:2
Steyr AUG RifleB					TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle Civ				TYPE:PersonalFirearm	HANDS:2
Steyr AUG Carbine					TYPE:PersonalFirearm	HANDS:2
Steyr AUG CarbineB				TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle S					TYPE:PersonalFirearm	HANDS:2
Steyr AUG Rifle SB				TYPE:PersonalFirearm	HANDS:2
Stoner M63A1					TYPE:PersonalFirearm	HANDS:2
Stoner M96						TYPE:PersonalFirearm	HANDS:2
Tantal wz/88					TYPE:PersonalFirearm	HANDS:2
Onyx wz/89						TYPE:PersonalFirearm	HANDS:2
TAR-21 Tavor Series				TYPE:PersonalFirearm	HANDS:2
CTAR-21 Tavor Series				TYPE:PersonalFirearm	HANDS:2
MTAR-21 Tavor Series				TYPE:PersonalFirearm	HANDS:2
Type 86 Assault Rifle				TYPE:PersonalFirearm	HANDS:2
Valmet M76						TYPE:PersonalFirearm	HANDS:2
Valmet M82						TYPE:PersonalFirearm	HANDS:2
Vektor CR 21					TYPE:PersonalFirearm	HANDS:1
Vikhr SR-3						TYPE:PersonalFirearm	HANDS:2
Z-M LA 300						TYPE:PersonalFirearm	HANDS:2

# Mounted Shotgun					Type				Nb Hands
M16A1 w/Master Key S				TYPE:PersonalFirearm	HANDS:2
M16A1 w/Ciener Ultimate				TYPE:PersonalFirearm	HANDS:2
M16A2 w/Master Key S				TYPE:PersonalFirearm	HANDS:2
M16A2 w/Ciener Ultimate				TYPE:PersonalFirearm	HANDS:2
M16A3 w/Master Key S				TYPE:PersonalFirearm	HANDS:2
M16A3 w/Ciener Ultimate				TYPE:PersonalFirearm	HANDS:2
M16A4 w/Master Key S				TYPE:PersonalFirearm	HANDS:2
M16A4 w/Ciener Ultimate				TYPE:PersonalFirearm	HANDS:2

# Mounted Grenade Launchers			Type				Nb Hands
A-91 Cmpt w/GP-95 GL				TYPE:PersonalFirearm	HANDS:2
A-91M w/GP-97 GL					TYPE:PersonalFirearm	HANDS:2
AKS-74UB w/BS-1 GL				TYPE:PersonalFirearm	HANDS:2
AK-47 w/GP-25 GL					TYPE:PersonalFirearm	HANDS:2
AK-47 w/Maadi GL					TYPE:PersonalFirearm	HANDS:2
AK-47 w/RGB-1 GL					TYPE:PersonalFirearm	HANDS:2
AKS-47 w/GP-25 GL					TYPE:PersonalFirearm	HANDS:2
AKS-47 w/Maadi GL					TYPE:PersonalFirearm	HANDS:2
AKMS-47 w/GP-25 GL				TYPE:PersonalFirearm	HANDS:2
AKMS-47 w/Maadi GL				TYPE:PersonalFirearm	HANDS:2
AK-74 w/GP-25 GL					TYPE:PersonalFirearm	HANDS:2
AK-74 w/Maadi GL					TYPE:PersonalFirearm	HANDS:2
AK-74 w/RGB-1 GL					TYPE:PersonalFirearm	HANDS:2
AKS-74 w/GP-25 GL					TYPE:PersonalFirearm	HANDS:2
AKS-74 w/Maadi GL					TYPE:PersonalFirearm	HANDS:2
AKS-74U w/GP-25 GL				TYPE:PersonalFirearm	HANDS:2
AKS-74U w/Maadi GL				TYPE:PersonalFirearm	HANDS:2
AK-74 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
AK-74 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
AK-74 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
AKS-74 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
AKS-74 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
AKS-74 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
AKS-74U w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
AKS-74U w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
AKS-74U w/M-203 GL				TYPE:PersonalFirearm	HANDS:2
AKM-47 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AKM-47 w/HK AG36 GL				TYPE:PersonalFirearm	HANDS:2
AKM-47 w/ISTEC ISL 275 GL			TYPE:PersonalFirearm	HANDS:2
AKM-47 w/M-203 GL					TYPE:PersonalFirearm	HANDS:2
AKM-47 w/Pallad GL				TYPE:PersonalFirearm	HANDS:2
AK-101 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AK-101 w/Romarm AG-40 M80 GL			TYPE:PersonalFirearm	HANDS:2
AK-102 w/GP-30 GL					TYPE:PersonalFirearm	HANDS:2
AK-102 w/Romarm AG-40 M80 GL			TYPE:PersonalFirearm	HANDS:2
