# CVS $Revision: 14380 $ $Author: amaitland $ -- Thu Apr  7 17:44:03 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03
# Original Entry by: Stefan Radermacher

###Block: Core Deities
# Deity Name	Product Identity?	Domains												Desciption of Deity/Title					Deity Weapon				Alignment	Pantheon					Source Page
# elro - Commenting out as these duplicate with content in PFCR (which this set depends on)
#Abadar		NAMEISPI:YES	DOMAINS:Earth,Law,Nobility,Protection,Travel|PREALIGN:LG,LN,NG,TN			DESC:God of cities, wealth, merchants, law		DEITYWEAP:Crossbow (Light)		ALIGN:LN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.218
#Asmodeus		NAMEISPI:YES	DOMAINS:Evil,Fire,Law,Magic,Trickery|PREALIGN:LN,LE,NE				DESC:God of tyranny, slavery, pride, contracts		DEITYWEAP:Mace (Heavy)|Mace (Light)	ALIGN:LE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.218
#Calistria		NAMEISPI:YES	DOMAINS:Chaos,Charm,Knowledge,Luck,Trickery|PREALIGN:CG,TN,CN,CE			DESC:Goddess of trickery, lust, revenge			DEITYWEAP:Whip				ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.219
#Cayden Cailean	NAMEISPI:YES	DOMAINS:Chaos,Charm,Good,Strength,Travel|PREALIGN:NG,CG,CN				DESC:God of freedom, wine, bravery				DEITYWEAP:Rapier				ALIGN:CG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.219
#Desna			NAMEISPI:YES	DOMAINS:Chaos,Good,Liberation,Luck,Travel|PREALIGN:NG,CG,CN				DESC:Goddess of dreams, stars, travelers, luck		DEITYWEAP:Starknife			ALIGN:CG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.220
#Erastil		NAMEISPI:YES	DOMAINS:Animal,Community,Good,Law,Plant|PREALIGN:LG,LN,NG				DESC:God of farming, hunting, trade, family		DEITYWEAP:Longbow				ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.220
#Gorum			NAMEISPI:YES	DOMAINS:Chaos,Destruction,Glory,Strength,War|PREALIGN:CG,TN,CN,CE			DESC:God of strength, battle, weapons			DEITYWEAP:Greatsword			ALIGN:CN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.221
#Gozreh		NAMEISPI:YES	DOMAINS:Air,Animal,Plant,Water,Weather|PREALIGN:LN,NG,TN,NE,CN			DESC:God of nature, weather, the sea			DEITYWEAP:Trident				ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.221
#Iomedae		NAMEISPI:YES	DOMAINS:Glory,Good,Law,Sun,War|PREALIGN:LG,LN,NG					DESC:Goddess of valor, rulership, justice, honor	DEITYWEAP:Longsword			ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.222
#Irori			NAMEISPI:YES	DOMAINS:Healing,Knowledge,Law,Rune,Strength|PREALIGN:LG,LN,TN,NG			DESC:God of history, knowledge, self-perfection		DEITYWEAP:Unarmed Strike		ALIGN:LN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.222
#Lamashtu		NAMEISPI:YES	DOMAINS:Chaos,Evil,Madness,Strength,Trickery|PREALIGN:NE,CN,CE			DESC:Goddess of madness, monsters, nightmares		DEITYWEAP:Falchion			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.223
#Nethys		NAMEISPI:YES	DOMAINS:Destruction,Knowledge,Magic,Protection,Rune|PREALIGN:LN,NG,TN,NE,CN	DESC:God of magic							DEITYWEAP:Quarterstaff			ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.223
#Norgorber		NAMEISPI:YES	DOMAINS:Charm,Death,Evil,Knowledge,Trickery|PREALIGN:TN,LE,NE,CE			DESC:God of greed, secrets, poison, murder		DEITYWEAP:Sword (Short)			ALIGN:NE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.224
#Pharasma		NAMEISPI:YES	DOMAINS:Death,Healing,Knowledge,Repose,Water|PREALIGN:LN,NG,TN,NE,CN		DESC:Goddess of fate, death, prophecy, birth		DEITYWEAP:Dagger				ALIGN:TN	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.224
#Rovagug		NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,War,Weather|PREALIGN:NE,CN,CE			DESC:God of wrath, disaster, destruction			DEITYWEAP:Greataxe			ALIGN:CE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.225
#Sarenrae		NAMEISPI:YES	DOMAINS:Fire,Glory,Good,Healing,Sun|PREALIGN:LG,NG,CG,TN				DESC:Goddess of the sun, redemption, honesty, healing	DEITYWEAP:Scimitar			ALIGN:NG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.225
#Shelyn		NAMEISPI:YES	DOMAINS:Air,Charm,Good,Luck,Protection|PREALIGN:LG,NG,CG,TN				DESC:Goddess of beauty, art, love, music			DEITYWEAP:Glaive				ALIGN:NG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.226
#Torag			NAMEISPI:YES	DOMAINS:Artifice,Earth,Good,Law,Protection|PREALIGN:LG,LN,NG			DESC:God of the forge, protection, strategy		DEITYWEAP:Warhammer			ALIGN:LG	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.226
#Urgathoa		NAMEISPI:YES	DOMAINS:Death,Evil,Magic,Strength,War|PREALIGN:TN,LE,NE,CE				DESC:Goddess of gluttony, disease, undeath		DEITYWEAP:Scythe				ALIGN:NE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.227
#Zon-Kuthon		NAMEISPI:YES	DOMAINS:Darkness,Death,Destruction,Evil,Law|PREALIGN:LN,LE,NE			DESC:God of envy, pain, darkness, loss			DEITYWEAP:Chain (Spiked)		ALIGN:LE	PANTHEON:Pathfinder Chronicles	SOURCEPAGE:p.227

###Block: Other Deities
# Deity Name	Product Identity?	Domains											Desciption of Deity/Title																																	Deity Weapon			Alignment	Pantheon					Source Page
Angazhan		NAMEISPI:YES	DOMAINS:Animal,Chaos,Evil,Plant|PREALIGN:NE,CN,CE		DESC:Demon lord of apes, jungles, tyrants			DEITYWEAP:Spear			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.231
Baphomet		NAMEISPI:YES	DOMAINS:Animal,Chaos,Evil,Strength|PREALIGN:NE,CN,CE		DESC:Demon lord of beasts, labyrinths, minotaurs	DEITYWEAP:Glaive			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.231
Cyth-V'sug		NAMEISPI:YES	DOMAINS:Chaos,Earth,Evil,Plant|PREALIGN:NE,CN,CE		DESC:Demon lord of disease, fungus, parasites		DEITYWEAP:Scimitar		ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Dagon			NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,Water|PREALIGN:NE,CN,CE	DESC:Demon lord of deformities, sea monsters, the sea	DEITYWEAP:Trident			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Deskari		NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,War|PREALIGN:NE,CN,CE		DESC:Demon lord of chasms, infestation, locusts		DEITYWEAP:Scythe			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Gogunta		NAMEISPI:YES	DOMAINS:Chaos,Death,Evil,Water|PREALIGN:NE,CN,CE		DESC:Demon lord of amphibians, boggards, swamps		DEITYWEAP:Whip			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Kostchtchie		NAMEISPI:YES	DOMAINS:Chaos,Evil,Strength,War|PREALIGN:NE,CN,CE		DESC:Demon lord of cold, giants, revenge			DEITYWEAP:Warhammer		ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Nocticula		NAMEISPI:YES	DOMAINS:Chaos,Charm,Evil,Darkness|PREALIGN:NE,CN,CE		DESC:Demon lord of assassins, darkness, lust		DEITYWEAP:Crossbow (Hand)	ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Orcus			NAMEISPI:YES	DOMAINS:Chaos,Death,Evil,Magic|PREALIGN:NE,CN,CE		DESC:Demon lord of necromancy, undead, wrath		DEITYWEAP:Mace (Heavy)		ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Pazuzu		NAMEISPI:YES	DOMAINS:Air,Chaos,Evil,Trickery|PREALIGN:NE,CN,CE		DESC:Demon lord of sky, temptation, winged creatures	DEITYWEAP:Longsword		ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Shax			NAMEISPI:YES	DOMAINS:Chaos,Destruction,Evil,Trickery|PREALIGN:NE,CN,CE	DESC:Demon lord of envy, lies, murder			DEITYWEAP:Dagger			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Socothbenoth	NAMEISPI:YES	DOMAINS:Charm,Chaos,Evil,Travel|PREALIGN:NE,CN,CE		DESC:Demon lord of perversion, pride, taboos		DEITYWEAP:Quarterstaff		ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232
Zura			NAMEISPI:YES	DOMAINS:Chaos,Death,Evil,Madness|PREALIGN:NE,CN,CE		DESC:Demon lord of blood, cannibalism, vampires		DEITYWEAP:Rapier			ALIGN:CE	PANTHEON:Demon Lords	SOURCEPAGE:p.232

###Block: Eldest
# Deity Name	Product Identity?	Domains										Desciption of Deity/Title						Deity Weapon		Alignment	Pantheon		Source Page
Count Ranalc	NAMEISPI:YES	DOMAINS:Chaos,Darkness,Nobility,Travel|PREALIGN:CG,TN,CN,CE		DESC:Eldest lord of betrayal, exiles, shadows			DEITYWEAP:Rapier		ALIGN:CN	PANTHEON:Eldest	SOURCEPAGE:p.233
The Green Mother	NAMEISPI:YES	DOMAINS:Charm,Evil,Earth,Plant|PREALIGN:TN,LE,NE,CE			DESC:Eldest lord of carnivorous plants, intrigue, seduction	DEITYWEAP:Sickle		ALIGN:NE	PANTHEON:Eldest	SOURCEPAGE:p.233
Imbrex		NAMEISPI:YES	DOMAINS:Community,Earth,Law,Strength|PREALIGN:LG,LN,NG,TN		DESC:Eldest lord of endings, statues, twins			DEITYWEAP:Flail (Dire)	ALIGN:LN	PANTHEON:Eldest	SOURCEPAGE:p.233
The Lantern King	NAMEISPI:YES	DOMAINS:Charm,Chaos,Madness,Trickery|PREALIGN:CG,TN,CN,CE		DESC:Eldest lord of laughter, mischief, transformation	DEITYWEAP:Dagger		ALIGN:CN	PANTHEON:Eldest	SOURCEPAGE:p.233
The Lost Prince	NAMEISPI:YES	DOMAINS:Knowledge,Madness,Nobility,Repose|PREALIGN:LN,NG,TN,NE,CN	DESC:Eldest lord of forgotten things, sadness, solitude	DEITYWEAP:Quarterstaff	ALIGN:TN	PANTHEON:Eldest	SOURCEPAGE:p.233
Maghd			NAMEISPI:YES	DOMAINS:Knowledge,Law,Luck,Rune|PREALIGN:LG,LN,NG,TN			DESC:Eldest lord of complexity, fate, triplets			DEITYWEAP:Scythe		ALIGN:LN	PANTHEON:Eldest	SOURCEPAGE:p.233
Ng			NAMEISPI:YES	DOMAINS:Knowledge,Magic,Travel,Weather|PREALIGN:LN,NG,TN,NE,CN	DESC:Eldest lord of the season, secrets, wanderers		DEITYWEAP:Gauntlet	ALIGN:TN	PANTHEON:Eldest	SOURCEPAGE:p.233
Ragadahn		NAMEISPI:YES	DOMAINS:Chaos,Evil,Scalykind,Water|PREALIGN:NE,CN,CE			DESC:Eldest lord of linnorms, oceans, spirals			DEITYWEAP:Whip		ALIGN:CE	PANTHEON:Eldest	SOURCEPAGE:p.233
Shyka			NAMEISPI:YES	DOMAINS:Death,Destruction,Madness,Magic|PREALIGN:LN,NG,TN,NE,CN	DESC:Eldest lord of entropy, reincarnation, time		DEITYWEAP:Mace (Light)	ALIGN:TN	PANTHEON:Eldest	SOURCEPAGE:p.233

###Block: Elemental Lords
# Deity Name	Product Identity?	Domains									Desciption of Deity/Title	Deity Weapon		Alignment	Pantheon				Source Page
Ayrzul		NAMEISPI:YES	DOMAINS:Destruction,Earth,Strength|PREALIGN:TN,LE,NE,CE	DESC:Elemental lord of earth	DEITYWEAP:Morningstar	ALIGN:NE	PANTHEON:Elemental Lords	SOURCEPAGE:p.233
Hshurha		NAMEISPI:YES	DOMAINS:Air,Destruction,Weather|PREALIGN:TN,LE,NE,CE		DESC:Elemental lord of air	DEITYWEAP:Longbow		ALIGN:NE	PANTHEON:Elemental Lords	SOURCEPAGE:p.233
Kelizandri		NAMEISPI:YES	DOMAINS:Destruction,Travel,Water|PREALIGN:TN,LE,NE,CE		DESC:Elemental lord of water	DEITYWEAP:Trident		ALIGN:NE	PANTHEON:Elemental Lords	SOURCEPAGE:p.233
Ymeri			NAMEISPI:YES	DOMAINS:Destruction,Fire,War|PREALIGN:TN,LE,NE,CE		DESC:Elemental lord of fire	DEITYWEAP:Longsword	ALIGN:NE	PANTHEON:Elemental Lords	SOURCEPAGE:p.233

###Block: Empyreal Lords
# Deity Name	Product Identity?	Domains									Desciption of Deity/Title						Deity Weapon			Alignment	Pantheon			Source Page
Andoletta		NAMEISPI:YES	DOMAINS:Good,Knowledge,Law,Protection|PREALIGN:LG,LN,NG	DESC:Empyreal lord of consolation, respect, security		DEITYWEAP:Quarterstaff		ALIGN:LG	PANTHEON:Empyreal Lords	SOURCEPAGE:p.233
Arshea		NAMEISPI:YES	DOMAINS:Charm,Good,Liberation,Strength|PREALIGN:LG,NG,CG,TN	DESC:Empyreal lord of freedom, physical beauty, sexuality	DEITYWEAP:Flail			ALIGN:NG	PANTHEON:Empyreal Lords	SOURCEPAGE:p.234
Korada		NAMEISPI:YES	DOMAINS:Good,Magic,Healing,Protection|PREALIGN:LG,NG,CG,TN	DESC:Empyreal lord of foresight, forgiveness, peace		DEITYWEAP:Unarmed Strike	ALIGN:NG	PANTHEON:Empyreal Lords	SOURCEPAGE:p.234
Ragathiel		NAMEISPI:YES	DOMAINS:Destruction,Good,Law,Nobility|PREALIGN:LG,LN,NG	DESC:Empyreal lord of chivalry, duty, vengeance			DEITYWEAP:Sword (Bastard)	ALIGN:LG	PANTHEON:Empyreal Lords	SOURCEPAGE:p.234
Sinashakti		NAMEISPI:YES	DOMAINS:Chaos,Good,Luck,Travel|PREALIGN:NG,CG,CN		DESC:Empyreal lord of journeys, joy, messengers			DEITYWEAP:Shortbow		ALIGN:CG	PANTHEON:Empyreal Lords	SOURCEPAGE:p.234
Valani		NAMEISPI:YES	DOMAINS:Chaos,Earth,Good,Weather|PREALIGN:NG,CG,CN		DESC:Empyreal lord of change, growth, primality			DEITYWEAP:Club			ALIGN:CG	PANTHEON:Empyreal Lords	SOURCEPAGE:p.234

###Block: Horsemen
# Deity Name	Product Identity?	Domains									Desciption of Deity/Title	Deity Weapon			Alignment	Pantheon		Source Page
Apollyon		NAMEISPI:YES	DOMAINS:Air,Darkness,Destruction,Evil|PREALIGN:TN,LE,NE,CE	DESC:Horsemen of Pestilence	DEITYWEAP:Scythe			ALIGN:NE	PANTHEON:Horsemen	SOURCEPAGE:p.234
