# CVS $Revision: $ $Author: $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Remarkable Races: Compendium of Unusual PC Races, Pathway to Adventure Edition	SOURCESHORT:RR	SOURCEWEB:http://www.alluriapublishing.net/compendium-p.htm	SOURCEDATE:2009-01
# Original Entry by Andrew Maitland

# Abolisher
# Ability Name			Unique Key							Category of Ability		Type													Description																																																																																																																																																																																			Source Page
Weapon and Armor Proficiency	KEY:Archeovitus ~ Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:Class Features.Archeovitus Class Feature.SpecialQuality			DESC:Archeoviti are proficient with all simple weapons and light armor (though they wear armor gems instead of actual armor).																																																																																																																																																																SOURCEPAGE:p.76
Bardic Knowledge			KEY:Archeovitus ~ Bardic Knowledge			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Archeovitus Class Feature.SpecialQuality	DESC:This ability is identical to the bard class feature of the same name, and levels in this class stack with levels in any other class that grants a similar ability.																																																																																																																																																									SOURCEPAGE:p.76
Detect Magic			KEY:Archeovitus ~ Detect Magic			CATEGORY:Special Ability	TYPE:SpellLike.Class Features.Archeovitus Class Feature.SpecialQuality		DESC:The archeovitus can always detect magical auras as if under the effects of a detect magic spell as if cast by a wizard of his class level.																																																																																																																																																													SOURCEPAGE:p.76
Wisdom of Ages			KEY:Archeovitus ~ Wisdom of Ages			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Archeovitus Class Feature.SpecialQuality	DESC:An archeovitus adds half his class level (minimum 1) to all Spellcraft and Use Magical Device checks. In addition, he may make Spellcraft and Use Magical Device checks untrained.																																																																																																																																																						SOURCEPAGE:p.76
Ruins Walker			KEY:Archeovitus ~ Ruins Walker			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Archeovitus Class Feature.SpecialQuality	DESC:Starting at 2nd level, an archeovitus develops an uncanny knack for navigating through ancient ruins and following antiquated maps. The archeovitus may ignore difficult terrain penalties if that terrain is due to ruins, rubble, or other artificial debris. In addition, an archeovitus gains a +5 bonus to his Survival checks to avoid getting lost in ruins or dungeons.																																																																																																																						SOURCEPAGE:p.76
Stonecunning			KEY:Archeovitus ~ Stonecunning			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Archeovitus Class Feature.SpecialQuality	DESC:Also beginning at 2nd level , the archeovitus gains the stonecunning ability. This functions exactly like the dwarf racial trait of the same name, except that the check modifiers are competence bonuses rather than racial bonuses.																																																																																																																																													SOURCEPAGE:p.76
Eyes of the Ancients		KEY:Archeovitus ~ Eyes of the Ancients		CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Archeovitus Class Feature.SpecialQuality	DESC:At 3rd level, the archeovitus gains the ability to perceive invisible creatures and objects as if they were visible.																																																																																																																																																																SOURCEPAGE:p.76
Evasion				KEY:Archeovitus ~ Evasion				CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Archeovitus Class Feature.SpecialQuality	DESC:Starting at 4th level, if an archeovitus is subjected to an attack that normally allows a Reflex save for half damage, he takes no damage if he makes a successful saving throw. If he already has evasion, he gains improved evasion instead, allowing him to take only half the damage if the saving throw fails.																																																																																																																																SOURCEPAGE:p.76
Mists of Time			KEY:Archeovitus ~ Mists of Time			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Archeovitus Class Feature.SpecialQuality	DESC:At 5th level, the archeovitus's breath of steam racial trait has the additional effects of a solid fog spell. The duration and area of effect of the breath of steam trait do not change. The archeovitus is immune to the solid fog effect that he generates with this ability.																																																																																																																																						SOURCEPAGE:p.76
Analyze Dweomer			KEY:Archeovitus ~ Analyze Dweomer			CATEGORY:Special Ability	TYPE:SpellLike.Class Features.Archeovitus Class Feature.SpecialQuality		DESC:Beginning at 6th level, an archeovitus can use analyze dweomer once per day as a caster of his class level.																																																																																																																																																																		SOURCEPAGE:p.76
Find the Path			KEY:Archeovitus ~ Find the Path			CATEGORY:Special Ability	TYPE:SpellLike.Class Features.Archeovitus Class Feature.SpecialQuality		DESC:Starting at 7th level, an archeovitus can use find the path once per day as a caster of his class level. He can target only himself with this ability. He may use this ability twice per day at 9th level.																																																																																																																																																		SOURCEPAGE:p.76
Legend Lore				KEY:Archeovitus ~ Legend Lore				CATEGORY:Special Ability	TYPE:SpellLike.Class Features.Archeovitus Class Feature.SpecialQuality		DESC:Beginning at 8th level, an archeovitus can use legend lore once per day as a caster of his class level. At 10th level, this ability has a maximum casting time of one hour, regardless of how much information is known initially.																																																																																																																																														SOURCEPAGE:p.76

#CLASS:Battletwin			SOURCEPAGE:p.78
Weapon and Armor Proficiency	KEY:Battletwin ~ Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:Class Features.Battletwin Class Feature.SpecialQuality				DESC:Battletwins are proficient with all two-handed simple and martial weapons. They do not gain any proficiency in armor.																																																																																																																																																																SOURCEPAGE:p.78
Twintellect				KEY:Battletwin ~ Twintellect				CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Battletwin Class Feature.SpecialQuality	DESC:A battletwin may add her Intelligence bonus (if any) to her first attack roll each round if she is wielding a two-handed weapon with which she has Weapon Focus. At 5th level, she may, as a swift action, forgo this bonus to instead add her Intelligence bonus to her Armor Class as a deflection bonus for one round.																																																																																																																															SOURCEPAGE:p.78
Reach of Two			KEY:Battletwin ~ Reach of Two				CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Battletwin Class Feature.SpecialQuality	DESC:At 2nd level, while wielding a two-handed weapon in which she has Weapon Focus, the battletwin may treat her reach as being 5 ft. longer than her standard during her turn. However, this reach only applies during her turn.																																																																																																																																															SOURCEPAGE:p.78
Defense of Two			KEY:Battletwin ~ Defense of Two			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Battletwin Class Feature.SpecialQuality	DESC:At 3rd level, the battletwin gains a +1 bonus to her Combat Maneuver Defense when wielding a two-handed weapon that she a Weapon Focus. This bonus increases to +2 at 6th level, and +3 at 9th level.																																																																																																																																																			SOURCEPAGE:p.78
Strength of Two			KEY:Battletwin ~ Strength of Two			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Battletwin Class Feature.SpecialQuality	DESC:At 4th level, a battletwin may wield any two-handed weapon in which she has Weapon Focus as if she was one size category larger. The weapon must still be held in two hands (the battletwin may not use this ability to wield a two-handed weapon of her size in one hand).																																																																																																																																							SOURCEPAGE:p.78
Double Jeopardy			KEY:Battletwin ~ Double Jeopardy			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Battletwin Class Feature.SpecialQuality	DESC:At 7th level, once per round, a battletwin wielding a two-handed weapon in which she has Weapon Focus may roll twice while making a roll to hit for an attack of opportunity, and take the best result.																																																																																																																																																		SOURCEPAGE:p.78
Superior Cleave			KEY:Battletwin ~ Superior Cleave			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Battletwin Class Feature.SpecialQuality	DESC:At 8th level, the battletwin gains the ability to take a 5-foot step before making a Cleave or Great Cleave attack.																																																																																																																																																																SOURCEPAGE:p.78
Doublethink				KEY:Battletwin ~ Doublethink				CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Battletwin Class Feature.SpecialQuality	DESC:At 10th level, once per hour, while wielding a two-handed weapon in which she has Weapon Focus, a battletwin may roll to hit twice for the same attack and take the best roll.																																																																																																																																																							SOURCEPAGE:p.78

#CLASS:Deathseeker			SOURCEPAGE:p.80
Weapon and Armor Proficiency	KEY:Deathseeker ~ Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:Class Features.Deathseeker Class Feature.SpecialQuality			DESC:Deathseekers are proficient with all simple and martial weapons, and all armor and shields.																																																																																																																																																																				SOURCEPAGE:p.80
Raging Malice			KEY:Deathseeker ~ Raging Malice			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Deathseeker Class Feature.SpecialQuality	DESC:At 1st level, when in the same square as a foe with Challenge Rating equal to or greater than his level, a deathseeker may activate raging malice. While this ability is in effect, he gains a +2 bonus to hit and damage rolls, 3 temporary hit points per level of the deathseeker class, a +2 resistance bonus to all saves, and a +5 dodge bonus to AC. He may activate this ability once per day at first level, and one more time per day every odd level thereafter (3rd, 5th, 7th , and 9th level). If the deathseeker attempts to activate the ability in a square that does not meet the prerequisite for this power, the attempt fails, but does not count towards the limit per day. If at the end of his turn he is no longer in the same square as the foe that he activated this ability with, the effect ends, the temporary hit points vanish, and the deathseeker is sickened for the same number of rounds that the raging malice was in effect. Reactivating Raging Malice temporarily staves off this sickness, but the duration of the sickness remaining is added on when the effect ends.	SOURCEPAGE:p.80
See Evil Fast			KEY:Deathseeker ~ See Evil Fast			CATEGORY:Special Ability	TYPE:Supernatural.Class Features.Deathseeker Class Feature.SpecialQuality	DESC:At 1st level, when activating his racial detect evil spell-like ability, he may immediately benefit from three rounds of observation in just one round. Furthermore, he is not subject to being stunned from detecting overwhelming evil.																																																																																																																																													SOURCEPAGE:p.80
Reckless Spite			KEY:Deathseeker ~ Reckless Spite			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Deathseeker Class Feature.SpecialQuality	DESC:At 2nd level, when making a charge attack you gain a +2 dodge bonus to Armor Class. If the deathseeker has the Lunge feat, he also gains a +2 dodge bonus to Armor Class when extending his reach.																																																																																																																																																			SOURCEPAGE:p.80
Fear Nothing			KEY:Deathseeker ~ Fear Nothing			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Deathseeker Class Feature.SpecialQuality	DESC:Also at 2nd level, the deathseeker learns how to ignore the effects of fear. If panicked or frightened, the deathseeker is instead shaken. A deathseeker cannot be shaken otherwise.																																																																																																																																																						SOURCEPAGE:p.80
Damage Reduction			KEY:Deathseeker ~ Damage Reduction			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Deathseeker Class Feature.SpecialQuality	DESC:Starting at 4th level, the deathseeker can ignore some of the damage being dealt to him. Subtract 1 point from the damage the deathseeker takes each time he takes damage. This damage reduction increases by 2 points every even level thereafter (6th, 8th, and 10th).																																																																																																																																								SOURCEPAGE:p.80
Bloody Toxin			KEY:Deathseeker ~ Bloody Toxin			CATEGORY:Special Ability	TYPE:Class Features.Deathseeker Class Feature.SpecialQuality			DESC:A 5th level, the deathseeker learns to use his own toxic blood to his advantage. When at half of your maximum hit point value, you deal toxic damage in addition to any other melee combat damage that you deal. Victims make a Fortitude save with the DC equal to 10 + your character level or become affected; frequency 1/round for 10 rounds; effect 1d3 Str damage; cure 2 consecutive saves.																																																																																																																			SOURCEPAGE:p.81
Rage Refocus			KEY:Deathseeker ~ Rage Refocus			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Deathseeker Class Feature.SpecialQuality	DESC:At 8th level, the deathseeker may continue to benefit from Raging Malice if he ends his turn in different enemy's square than the enemy that he activated his power with. The new enemy must still have a Challenge Rating equal to or greater than his level, or the effect ends normally.																																																																																																																																				SOURCEPAGE:p.81
Last Resort				KEY:Deathseeker ~ Last Resort				CATEGORY:Special Ability	TYPE:Supernatural.Class Features.Deathseeker Class Feature.SpecialQuality	DESC:At 10th level, when the deathseeker witnesses an event that will undoubtly plunge an otherwise neutral or good aligned world towards evil, the deathseeker may activate this ability. If the Gamemaster agrees that there is no other way to prevent this catastrophe, the immediate 3 square mile radius, including the deathseeker and all beings and objects in this area, is transported to an inescapable demiplane where they remain for no less than 1,000 years. Nothing is immune to this effect, not even artifacts. As this is a potentially campaign-ending power, the Gamemaster may adjudicate when this power may be used, or if it can be used at all. The Gamemaster may optionally increase or decrease the area of effect as needed. The Gamemaster may provide some means of escape for any good or neutral aligned non-kval who become trapped on the resulting demiplane at his discretion.																																	SOURCEPAGE:p.81

#CLASS:Demolisher			SOURCEPAGE:p.82
Weapon and Armor Proficiency	KEY:Demolisher ~ Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:Class Features.Demolisher Class Feature.SpecialQuality				DESC:Demolishers are proficient with the club, crossbow (hand, light, or heavy), dagger (any type), dart, mace, morningstar, quarterstaff, rapier, sap, shortbow (normal and composite), short sword, and any weapon with boggle as part of the name. Demolishers are proficient with light armor but not with shields.																																																																																																																																	SOURCEPAGE:p.82
Boggle Bomb				KEY:Demolisher ~ Boggle Bomb				CATEGORY:Special Ability	TYPE:Class Features.Demolisher Class Feature.SpecialQuality				DESC:At first level, by succeeding in a Craft (alchemy) check DC 20, a demolisher can combine 5 gp worth of common materials to create a boggle bomb- an incendiary missile. With the right materials, a successful check, and about fifteen uninterrupted minutes a demolisher makes a weapon that can be thrown with a range of 10 feet and does 2d4 fire damage (critical x3) on a successful hit. The weapon is expended upon throwing (even if it misses). A demolisher is automatically proficient with boggle bombs. If thrown by someone without the demolisher prestige class, the boggle bomb either has no effect and is expended (50%%) or explodes in the wielder's hands for 2d4 fire damage (50%%).																																																																	SOURCEPAGE:p.82
Improved Sunder			KEY:Demolisher ~ Improved Sunder			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Demolisher Class Feature.SpecialQuality	DESC:At 1st level the demolisher gains the benefits of the Improved Sunder feat, even if he does not qualify.																																																																																																																																																																		SOURCEPAGE:p.83
Evasion				KEY:Demolisher ~ Evasion				CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Demolisher Class Feature.SpecialQuality	DESC:At 2nd level, a demolisher gains evasion. If exposed to any effect that normally allows him to attempt a Reflex saving throw for half damage, he takes no damage with a successful saving throw. The evasion ability can only be used if the demolisher is wearing light armor or no armor.																																																																																																																																				SOURCEPAGE:p.83
Break and bend			KEY:Demolisher ~ Break and bend			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Demolisher Class Feature.SpecialQuality	DESC:At 2rd level, whenever a demolisher scores a critical hit against an opponent that is wielding a non-magical melee weapon, that opponent's weapon obtains the Broken condition (see Appendix 2 of the Pathfinder Roleplaying Game). The weapon can be repaired through any means that would allow an item to recover one hit point. If the opponent is wielding more than one weapon, the demolisher may choose which one to affect.																																																																																																														SOURCEPAGE:p.83
Rogue Talent			KEY:Demolisher ~ Rogue Talent				CATEGORY:Special Ability	TYPE:Class Features.Demolisher Class Feature.SpecialQuality				DESC:At 3rd level, and every three levels thereafter, a demolisher gains a special ability that allows him to confound his foes. This functions as the rogue talent class feature. A demolisher cannot select an individual talent more than once. If a demolisher has the advanced talents rogue class feature, she can chose from the advanced talents list instead.																																																																																																																									SOURCEPAGE:p.83
Harness destructive force	KEY:Demolisher ~ Harness destructive force	CATEGORY:Special Ability	TYPE:SpellLike.Class Features.Demolisher Class Feature.SpecialQuality		DESC:At 3thlevel, and every other level thereafter, the demolisher gains access to the spell in parenthesis as a spell-like ability, once per day. The caster level for this effect equals the demolisher's class level. The DC for this effect is equal to 15 + the demolisher's Intelligence modifier. This spell-like ability is otherwise identical to the spell.																																																																																																																									SOURCEPAGE:p.83
Scratch and dent			KEY:Demolisher ~ Scratch and dent			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Demolisher Class Feature.SpecialQuality	DESC:At 4th level, when a demolisher hits an enemy who is wearing armor or a construct with natural armor, that enemy takes a -2 penalty to AC until the end of the demolisher's next turn. If that enemy is a construct, it also takes a -2 penalty to Fortitude saving throws until the end of demolisher's next turn. These penalties are not cumulative.																																																																																																																										SOURCEPAGE:p.83
Mangle mail				KEY:Demolisher ~ Mangle mail				CATEGORY:Special Ability	TYPE:Supernatural.Class Features.Demolisher Class Feature.SpecialQuality	DESC:At 8th level, once per day, with a simple touch, you eradicate the defenses of a single opponent. The demolisher must succeed at a melee touch attack against one target to negate any bonus to that target's AC due to armor for one round per demolisher class level. If the target is a construct, the touch also negates natural armor and causes the construct to lose all energy resistance for the duration of the effect.																																																																																																														SOURCEPAGE:p.83
Greater Boggle Bomb		KEY:Demolisher ~ Greater Boggle Bomb		CATEGORY:Special Ability	TYPE:Class Features.Demolisher Class Feature.SpecialQuality				DESC:At 10th level, the demolisher can construct greater boggle bombs, which do 2d6 electricity damage on a successful hit, cost 200 gp in materials, are DC 30 to create, and can be reused. They are otherwise identical to normal boggle bombs.																																																																																																																																												SOURCEPAGE:p.83
Improved Evasion			KEY:Demolisher ~ Improved Evasion			CATEGORY:Special Ability	TYPE:Extraordinary.Class Features.Demolisher Class Feature.SpecialQuality	DESC:At 10th level, a demolisher takes no damage at all on successful saving throws against attacks that allow a Reflex saving throw for half damage. In addition, he takes only half damage even if he fails his saving throw.																																																																																																																																															SOURCEPAGE:p.83

#CLASS:Entrepreneur		SOURCEPAGE:p.84
Weapon and Armor Proficiency	KEY:Entrepreneur ~ Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality						DESC:Entrepreneurs are proficient with all simple and martial weapons. They are proficient with light armor.																																																																																																																																																																		SOURCEPAGE:p.84
Automatic Appraisal		KEY:Entrepreneur ~ Automatic Appraisal		CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Extraordinary			DESC:Entrepreneurs are automatically considered to have rolled a natural 20 for all Appraise skill checks. Furthermore, they can appraise an item as a swift action and can determine the most valuable item in a hoard as standard action.																																																																																																																																													SOURCEPAGE:p.84
Knowledge is Power		KEY:Entrepreneur ~ Knowledge is Power		CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Extraordinary			DESC:Entrepreneurs have an uncanny knack at remembering tidbits of information. This extraordinary memory improves as they level in this class. They gain a +2 aptitude bonus to all knowledge checks. This bonus increases to +4 at level 4, +6 at level 7, and +8 at level 10.																																																																																																																																							SOURCEPAGE:p.84
Blindsight				KEY:Entrepreneur ~ Blindsight				CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Extraordinary			DESC:At 2nd level, the entrepreneur's third eye has become so acute that he gains the blindsight ability out to 20 feet. At 8th level, this ability extends to 40 feet. This ability relies on electromagnetic radiation (radio waves) to perceive objects, and is therefore is not affected by sound or scent-based effects. Lightning and electricity effects that occur within the range of this vision, however, temporarily negate this blindsight for 3d6 rounds.																																																																																																									SOURCEPAGE:p.84
Curestrike				KEY:Entrepreneur ~ Curestrike				CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Supernatural				DESC:Also at 2nd level, whenever an entrepreneur hits with a bludgeoning weapon, he deals damage normally yet leaves no visible wounds. In addition, the same amount of damage dealt appears to heal on the target, without actually allowing the target to recover any hit points. This effect only works on living creatures with a discernable biology; creatures such as constructs and undead are immune.																																																																																																																		SOURCEPAGE:p.85
Silver Tongue			KEY:Entrepreneur ~ Silver Tongue			CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Extraordinary			DESC:At 3rd level, the entrepreneur gains a +2 competency bonus to Diplomacy and Bluff skill checks. At 6th level, increase the bonus to +4 and at 9th level, increase to +6.																																																																																																																																																								SOURCEPAGE:p.85
Trustworthy Aura			KEY:Entrepreneur ~ Trustworthy Aura			CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Supernatural				DESC:At 3rd level, the entrepreneur exudes an aura of trustworthiness. Creatures in squares immediately adjacent to the entrepreneur, at his discretion, may incur a penalty to Sense Motive and Perception checks equal to his Charisma modifier or Wisdom modifier (whichever is higher). At 6th level, increase the range to 10 feet and at 9th level, increase to 20 feet. The entrepreneur actively chooses what creatures are affected and when. He cannot affect a creature retroactively.																																																																																																				SOURCEPAGE:p.85
Darkvision				KEY:Entrepreneur ~ Darkvision				CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Supernatural				DESC:At 4th level, the entrepreneur gains darkvision out to 60 feet. If the entrepreneur already has darkvision, this range does not stack.																																																																																																																																																													SOURCEPAGE:p.85
X-ray Vision			KEY:Entrepreneur ~ X-ray Vision			CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Supernatural				DESC:At 5th level, the entrepreneur's third eye has taken on supernatural properties. Once per day, as a full-round action, he can see what is immediately beyond any barrier up to 3 feet thick. Extraordinary and supernatural vision such as darkvision and blindsight does not extend through this ability; if the area that is being viewed is too dark, then nothing can be seen except darkness. If the barrier is too thick (greater than 3 feet thick), the entrepreneur sees only darkness. This ability does not have any fine tuning, so using it to see through clothes or into containers is generally useless unless at least one foot of empty space exists between the opposite edge of the barrier and the next object. Similarly, barriers made of more than one material are treated as one barrier. For example, if the entrepreneur is standing in front of a metal slab bolted to stone wall with three trolls pressed up against the other side, using X-ray vision shows the room beyond, completely bypassing the metal/stone/troll barrier.									SOURCEPAGE:p.85
Treasure Sense			KEY:Entrepreneur ~ Treasure Sense			CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.Supernatural				DESC:At 7th level, the entrepreneur can sense treasure hoards worth at least 1,000 gp within a range of 200 feet per entrepreneur level. While the entrepreneur does not know the nature or composition of the treasure that he is detecting, he does know the general direction and distance that the treasure is located from him. All treasure within 50 feet of itself can be collectively counted as one treasure hoard. This ability always detects the treasure hoard with the greatest market value. This sense is much like a compass needle; it points directly at the treasure in a straight line, without regard to how to get to the treasure or the safest path. Approximate distance can be estimated with a margin of error of plus or minus 50 feet.																																																									SOURCEPAGE:p.85
True Seeing				KEY:Entrepreneur ~ True Seeing			CATEGORY:Special Ability	TYPE:Entrepreneur Class Feature.SpecialQuality.SpellLike				DESC:At 10th level, the entrepreneur can cast true seeing as a spell-like ability up to three times per day. The CL for this ability is equal to the entrepreneur's character level. The effect can only be granted to the entrepreneur.																																																																																																																																														SOURCEPAGE:p.85

#CLASS:Golden Muse			SOURCEPAGE:p.86
Weapon and Armor Proficiency	KEY:Golden Muse ~ Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:Golden Muse Class Feature.SpecialQuality						DESC:Golden muses are proficient with all simple weapons. They gain no proficiency with armor, but will likely have some defensive proficiency from previous classes.																																																																																																																																																									SOURCEPAGE:p.86
Spells per Day			KEY:Golden Muse ~ Spells per Day			CATEGORY:Special Ability	TYPE:Golden Muse Class Feature.SpecialQuality						DESC:When a new golden muse level is obtained, a golden muse gains new spells per day as if she had also gained a level in a divine spellcasting class she belonged to before adding the prestige class. She does not, however, gain any other benefit a character of that class would have gained. This means that she adds the level of golden muse to the level of whatever other divine spellcasting class the character has, then determines spells per day, spells known, and caster level accordingly. If a character had more than one divine spellcasting class before becoming a golden muse, she must decide to which class she adds the new level for purposes of determining spells per day.																																																																			SOURCEPAGE:p.87
Golden Light			KEY:Golden Muse ~ Golden Light			CATEGORY:Special Ability	TYPE:Golden Muse Class Feature.SpecialQuality.SpellLike				DESC:At 1st level, the golden muse radiates the effects of a consecrate spell at all times in a 5-foot radius from herself. Other than duration and area of effect, the effects of this ability are identical to a consecrate spell with a CL equal to the golden muse's character level. This effect does not persist outside of the range of the golden muse, and ends immediately when the muse leaves the area. At 4th, 7th, and 10th level the radius of this effect extends an additional 5 feet, reaching a 20-foot radius at 10th level.																																																																																												SOURCEPAGE:p.87
Touch of Gold			KEY:Golden Muse ~ Touch of Gold			CATEGORY:Special Ability	TYPE:Golden Muse Class Feature.SpecialQuality.Supernatural				DESC:At 2nd level, when a golden muse channels positive energy to heal an ally, the ally gains one additional use of channel positive energy for that day, provided that he has that ability. This effect is not cumulative; the ally can only gain one additional use per day regardless of how many times the golden muse channels positive energy to heal him.																																																																																																																										SOURCEPAGE:p.87
Golden Strike			KEY:Golden Muse ~ Golden Strike			CATEGORY:Special Ability	TYPE:Golden Muse Class Feature.SpecialQuality.Supernatural				DESC:At 3rd level, as a swift action, the golden muse chooses one target within the area of her golden light effect to be the target of golden strike. If this target is evil, the golden muse and all allies within the golden light effect add a bonus equal to the level of the golden muse class to all damage rolls made against the target of the golden strike. Allies must be within the golden light effect to gain this bonus, but may move in and out of the area, gaining and losing the bonus respectively. The additional damage from golden strike automatically bypasses any DR the target might possess. If the golden muse targets a creature that is not evil, the golden strike is wasted with no effect. The golden strike effect remains until the target is dead or the next time the golden muse rests and regains her uses of this ability. The target cannot escape golden strike by moving out of the area of the golden light effect. The golden muse gains an additional use of this ability at 6th and 9th level.													SOURCEPAGE:p.87
