# CVS $Revision$ $Author$ -- Sun Oct 12 14:05:16 2008 -- reformated by prettylst.pl v1.38 (build 7302)
#SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd

# Master Categories
# Ability Category			Visible	Editable or Static?	Change Pool?	Fractional values?	Category of Object
ABILITYCATEGORY:Talent			VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Talent
ABILITYCATEGORY:Special Ability	VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Special Ability
ABILITYCATEGORY:Starting Occupation	VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Starting Occupation
ABILITYCATEGORY:Wealth			VISIBLE:NO	EDITABLE:NO			EDITPOOL:NO		FRACTIONALPOOL:NO		CATEGORY:Wealth

###Block: Background Abilities
# Ability Category		Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object	Plural description for UI	Display Location
ABILITYCATEGORY:Charismatic Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Charismatic	PLURAL:Charismatic Feats	DISPLAYLOCATION:Feats

###Block: Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI				Display Location
# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI				Display Location
ABILITYCATEGORY:Academic Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Academic_Skills			PLURAL:Academic Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Adventurer Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Adventurer_Skills			PLURAL:Adventurer Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Athlete Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Athlete_Skills			PLURAL:Athlete Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Blue Collar Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Blue_Collar_Skills			PLURAL:Blue Collar Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Celebrity Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Celebrity_Skills			PLURAL:Celebrity Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Creative Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Creative_Skills			PLURAL:Creative Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Criminal Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Criminal_Skills			PLURAL:Criminal Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Dilettante Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Dilettante_Skills			PLURAL:Dilettante Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Doctor Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Doctor_Skills			PLURAL:Doctor Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Emergency Services Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Emergency_Services_Skills	PLURAL:Emergency Services Occupation Skills	DISPLAYLOCATION:Background
ABILITYCATEGORY:Entrepreneur Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Entrepreneur_Skills		PLURAL:Entrepreneur Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Investigative Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Investigative_Skills		PLURAL:Investigative Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Law Enforcement Occupation Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Law_Enforcement_Skills		PLURAL:Law Enforcement Occupation Skills		DISPLAYLOCATION:Background
ABILITYCATEGORY:Military Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Military_Skills			PLURAL:Military Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Religious Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Religious_Skills			PLURAL:Religious Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Rural Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Rural_Skills				PLURAL:Rural Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Student Occupation Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Student_Skills			PLURAL:Student Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:Technician Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Technician_Skills			PLURAL:Technician Occupation Skills			DISPLAYLOCATION:Background
ABILITYCATEGORY:White Collar Occupation Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:White_Collar_Skills		PLURAL:White Collar Occupation Skills		DISPLAYLOCATION:Background

###Block: Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI				Display Location
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:Adventurer Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Adventurer		PLURAL:Adventurer Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Athlete Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Athlete		PLURAL:Athlete Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Criminal Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Criminal		PLURAL:Criminal Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Investigative Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Investigative	PLURAL:Investigative Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Law Enforcement Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Law_Enforcement	PLURAL:Law Enforcement Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Military Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Military		PLURAL:Military Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Rural Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Rural			PLURAL:Rural Feats		DISPLAYLOCATION:Feats

###Block: Advanced Class Feat
# Ability Category				Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:Soldier Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Soldier		PLURAL:Soldier Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Martial Artist Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:MartialArtist	PLURAL:Martial Artist Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Gunslinger Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Gunslinger		PLURAL:Gunslinger Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Infiltrator Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Infiltrator		PLURAL:Infiltrator Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Daredevil Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Daredevil		PLURAL:Daredevil Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Bodyguard Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Bodyguard		PLURAL:Bodyguard Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Field Scientist Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:FieldScientist	PLURAL:Field Scientist Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Techie Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Techie			PLURAL:Techie Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Field Medic Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:FieldMedic		PLURAL:Field Medic Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Investigator Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Investigator		PLURAL:Investigator Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Personality Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Personality		PLURAL:Personality Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Negotiator Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Negotiator		PLURAL:Negotiator Feats		DISPLAYLOCATION:Feats

###Block: Advanced Class Abilities
# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:Techie Mastercraft	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:TechieMastercraft	PLURAL:Techie Mastercraft	DISPLAYLOCATION:Class Abilities

###Block: Single Ability Class Features
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Weapon Focus				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:WeaponFocus				PLURAL:Weapon Focus				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Greater Weapon Focus		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GreaterWeaponFocus			PLURAL:Greater Weapon Focus			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Weapon Specialization		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:WeaponSpecialization		PLURAL:Weapon Specialization			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Greater Weapon Specialization	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:GreaterWeaponSpecialization	PLURAL:Greater Weapon Specialization	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Improved Critical			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ImprovedCritical			PLURAL:Improved Critical			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Spell Mastery				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SpellMastery				PLURAL:Spell Mastery				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Builder					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Builder				PLURAL:Builder					DISPLAYLOCATION:Feats
ABILITYCATEGORY:Savant					VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			ABILITYLIST:Savant			PLURAL:Savant					DISPLAYLOCATION:Class Abilities

# Core Class Talent Pools
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Strong Talent				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:StrongTalent				PLURAL:Strong Talents				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Fast Talent				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:FastTalent				PLURAL:Fast Talents				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Tough Talent				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:ToughTalent				PLURAL:Tough Talents				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Smart Talent				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:SmartTalent				PLURAL:Smart Talents				DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Dedicated Talent			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:DedicatedTalent			PLURAL:Dedicated Talents			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Charismatic Talent			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Talent			TYPE:CharismaticTalent			PLURAL:Charismatic Talents			DISPLAYLOCATION:Class Abilities

# Creature Type Proficiency Bonus Feat Pools
# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object				Plural description for UI			Display Location
ABILITYCATEGORY:Aberration Proficiency		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:AberrationProficiency		PLURAL:Aberration Proficiencies		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Fey Proficiency			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:FeyProficiency			PLURAL:Fey Proficiencies			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Giant Proficiency			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:GiantProficiency			PLURAL:Giant Proficiencies			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Humanoid Proficiency		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:HumanoidProficiency		PLURAL:Humanoid Proficiencies			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Monstrous Humanoid Proficiency	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:MonstrousHumanoidProficiency	PLURAL:Monstrous Humanoid Proficiencies	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Outsider Proficiency		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:OutsiderProficiency		PLURAL:Outsider Proficiencies			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Undead Proficiency			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:UndeadProficiency			PLURAL:Undead Proficiencies			DISPLAYLOCATION:Feats

#
## EOF
#
