# CVS $Revision: $ $Author: $ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)

# Ability Category					Visible		Editable?		Change Pool?	Category of Object		Type of Object			Display Location
ABILITYCATEGORY:Oracle Selection 1			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:OracleLAPL1			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Oracle Selection 2			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:OracleLAPL2			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Oracle Selection 3			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:OracleLAPL3			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Oracle Selection 4			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:OracleLAPL4			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Oracle Selection 5			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:OracleLAPL5			DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Puppetmaster Selection 1		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuppetmasterLAPL1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puppetmaster Selection 2		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuppetmasterLAPL2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puppetmaster Selection 3		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuppetmasterLAPL3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puppetmaster Selection 4		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuppetmasterLAPL4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puppetmaster Selection 5		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuppetmasterLAPL5		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Puzzlemaster Selection 1		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuzzlemasterLAPL1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puzzlemaster Selection 2		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuzzlemasterLAPL2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puzzlemaster Selection 3		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuzzlemasterLAPL3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puzzlemaster Selection 4		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuzzlemasterLAPL4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Puzzlemaster Selection 5		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:PuzzlemasterLAPL5		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Traveler Selection 1		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TravelerLAPL1		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Traveler Selection 2		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TravelerLAPL2		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Traveler Selection 3		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TravelerLAPL3		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Traveler Selection 4		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TravelerLAPL4		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Traveler Selection 5		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TravelerLAPL5		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:IncSpellPowerSchool			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:IncSpellPowerSchool	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:NatureSongSpell			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:NatureSongSpell		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:TurnPlantsAnimals			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:NO		CATEGORY:Special Ability	TYPE:TurnPlantsAnimals		DISPLAYLOCATION:Class Abilities
