# CVS $Revision$ $Author$ -- Fri May  7 14:09:27 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Eclipse - The Codex Persona	SOURCESHORT:Eclipse	SOURCEWEB:http://www.lulu.com/content/435647
Make CSKILL ~ Knowledge (Arcana)					CATEGORY:Internal		CSKILL:Knowledge (Arcana)
Make CSKILL ~ Knowledge (Architecture and Engineering)	CATEGORY:Internal		CSKILL:Knowledge (Architecture and Engineering)
Make CSKILL ~ Knowledge (Dungeoneering)				CATEGORY:Internal		CSKILL:Knowledge (Dungeoneering)
Make CSKILL ~ Knowledge (Geography)					CATEGORY:Internal		CSKILL:Knowledge (Geography)
Make CSKILL ~ Knowledge (History)					CATEGORY:Internal		CSKILL:Knowledge (History)
Make CSKILL ~ Knowledge (Local)					CATEGORY:Internal		CSKILL:Knowledge (Local)
Make CSKILL ~ Knowledge (Nature)					CATEGORY:Internal		CSKILL:Knowledge (Nature)
Make CSKILL ~ Knowledge (Nobility and Royalty)			CATEGORY:Internal		CSKILL:Knowledge (Nobility and Royalty)
Make CSKILL ~ Knowledge (Religion)					CATEGORY:Internal		CSKILL:Knowledge (Religion)
Make CSKILL ~ Knowledge (The Planes)				CATEGORY:Internal		CSKILL:Knowledge (The Planes)
Make CSKILL ~ Listen							CATEGORY:Internal		CSKILL:Listen
Make CSKILL ~ Move Silently						CATEGORY:Internal		CSKILL:Move Silently
Make CSKILL ~ Open Lock							CATEGORY:Internal		CSKILL:Open Lock
Make CSKILL ~ Perform (Act)						CATEGORY:Internal		CSKILL:Perform (Act)
Make CSKILL ~ Perform (Comedy)					CATEGORY:Internal		CSKILL:Perform (Comedy)
Make CSKILL ~ Perform (Dance)						CATEGORY:Internal		CSKILL:Perform (Dance)
Make CSKILL ~ Perform (Keyboard Instruments)			CATEGORY:Internal		CSKILL:Perform (Keyboard Instruments)
Make CSKILL ~ Perform (Oratory)					CATEGORY:Internal		CSKILL:Perform (Oratory)
Make CSKILL ~ Perform (Percussion Instruments)			CATEGORY:Internal		CSKILL:Perform (Percussion Instruments)
Make CSKILL ~ Perform (Sing)						CATEGORY:Internal		CSKILL:Perform (Sing)
Make CSKILL ~ Perform (String Instruments)			CATEGORY:Internal		CSKILL:Perform (String Instruments)
Make CSKILL ~ Perform (Wind Instruments)				CATEGORY:Internal		CSKILL:Perform (Wind Instruments)
Make CSKILL ~ Profession (Hunter)					CATEGORY:Internal		CSKILL:Profession (Hunter)
Make CSKILL ~ Profession (Miner)					CATEGORY:Internal		CSKILL:Profession (Miner)
Make CSKILL ~ Profession (Siege Engineer)				CATEGORY:Internal		CSKILL:Profession (Siege Engineer)
Make CSKILL ~ Ride							CATEGORY:Internal		CSKILL:Ride
Make CSKILL ~ Search							CATEGORY:Internal		CSKILL:Search
Make CSKILL ~ Sense Motive						CATEGORY:Internal		CSKILL:Sense Motive
Make CSKILL ~ Sleight of Hand						CATEGORY:Internal		CSKILL:Sleight of Hand
Make CSKILL ~ Speak Language						CATEGORY:Internal		CSKILL:Speak Language
Make CSKILL ~ Spellcraft						CATEGORY:Internal		CSKILL:Spellcraft
Make CSKILL ~ Spot							CATEGORY:Internal		CSKILL:Spot
Make CSKILL ~ Survival							CATEGORY:Internal		CSKILL:Survival
Make CSKILL ~ Swim							CATEGORY:Internal		CSKILL:Swim
Make CSKILL ~ Tumble							CATEGORY:Internal		CSKILL:Tumble
Make CSKILL ~ Use Magic Device					CATEGORY:Internal		CSKILL:Use Magic Device
Make CSKILL ~ Use Rope							CATEGORY:Internal		CSKILL:Use Rope

