# CVS $Revision$ $Author$ -- Sat Oct 21 03:25:07 2006 -- reformated by prettylst.pl v1.35 (build 565)
SOURCELONG:The Psychic's Handbook	SOURCESHORT:psychicshandbook	SOURCEWEB:http://www.greenronin.com

# General Psychic skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Telekinetic Shield	KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychokinesis,Wild Talent				SOURCEPAGE:p.40	DESC:You can create a psychic barrier that protects you from attacks. Strain: 2.

# Psychometabolism skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Adaptation			KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.24	DESC:You can adapt your body to survive in hostile environments. Strain: 1/check
Drain Ability		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.27	DESC:You can reduce one of a taget's ability scores. Strain: see chart.
Body Control		KEYSTAT:WIS	USEUNTRAINED:YES	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.24	DESC:You can take mental control over your body. Strain: DC/5
Drain Power			KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.27	DESC:You can reduce a target's psychic skill ranks. Strain: see chart.
Drain Vitality		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.27	DESC:You can drain the energy of others to enhance your own. Strain: 2.
Enhance Ability		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.29	DESC:You can improve your Strength or Dexterity for a short time. Strain: 3.
Life Drain			KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.30	DESC:You can drain the life force of others to strengthen your own. Strain: 6.
Life Extension		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.30	DESC:You can extend your natural lfiespan and ignore the physical effects of aging. Strain: 4.
Psychic Healing		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychometabolism,Wild Talent			SOURCEPAGE:p.33	DESC:You can psychically heal yourself and others. Strain: see chart.

# Psychoportation skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Apport			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychoportation,Wild Talent			SOURCEPAGE:p.24	DESC:You can teleport objects or creatures to other locations. Strain: 1+modifiers.
Blink Teleport				USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychoportation,Wild Talent			SOURCEPAGE:p.24	DESC:You can teleport quickly to avoid attacks. Strain: 3.
Dimensional Phase				USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychoportation,Wild Talent			SOURCEPAGE:p.26	DESC:You can shift your body out of phase with the Material Plane. Strain: 5.
Dimensional Shift		KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Dimensional Shift,Wild Talent			SOURCEPAGE:p.26	DESC:You can psychically transport from one dimension to another. Strain: 10.
Teleport			KEYSTAT:INT	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Psychoportation,Wild Talent			SOURCEPAGE:p.41	DESC:You can move from one place to another instantly. Strain: 1+modifiers

# Telepathy skills
# Skill Name		Key Stat	Untrained?		Exclusive?		Type					Required Feat							Source Page		Description
Domination			KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.26	DESC:You can mentally controll another creature's action. Strain: 6.
Drain Emotion		KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.27	DESC:You can drain intense emotions, calming those around you. Strain: 3.
Dreamwalk			KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.27	DESC:You can enter other creature's dreams. Strain: 2.
Empathy			KEYSTAT:WIS	USEUNTRAINED:YES	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.29	DESC:You can sense the emotional states of other creatures. Strain: 1.
Empathic Projection	KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.29	DESC:You can impose emotional states on others. Strain: 3.
Illusion			KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.30	DESC:You can fool the senses of other creatures, creating illusions. Strain: DC/5.
Mental Contact		KEYSTAT:CHA	USEUNTRAINED:YES	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.31	DESC:You can make telepathic contact with another mind. Strain: 2/1.
Mind Reading		KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.31	DESC:You can read information from another creature's mind. Strain: 4.
Mindswitch			KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.32	DESC:You can exchange minds with another creature. Strain: 12.
Psychic Blast		KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.33	DESC:You can psychically assault another creature's mind. Strain: 4
Psychic Sense		KEYSTAT:WIS	USEUNTRAINED:YES	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.34	DESC:You can sense the use and effects of psychic abilities. Strain: 0/1.
Psychic Static		KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.35	DESC:You can create interference with other psychic abilities. Strain: 4.
Psychic Surgery		KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.35	DESC:You can remove other psychic influences or to alter memories and behavior. Strain: see table.
Sense Minds			KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.38	DESC:You can determine the presence and location of other minds. Strain: 1.
Sleep				KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.39	DESC:You can psychically put other creatures to sleep. Strain: 4.
Suggestion			KEYSTAT:CHA	USEUNTRAINED:NO	EXCLUSIVE:YES	TYPE:Psychic			PREFEAT:1,Telepathy,Wild Talent				SOURCEPAGE:p.39	DESC:You can implant suggestions into the minds of others. Strain: 4

# The sourcebook lists a Knowledge skill as class skill but it doesn't list which one
# so this was added (and included in class descriptions) to make up for it
Knowledge (Psionics)	KEYSTAT:INT	USEUNTRAINED:NO				TYPE:Intelligence.Knowledge
