#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00

###Block: Master Values
# Class of the Master		Type			Define				Modify VAR
FOLLOWER:PhantomMasterLVL=1	TYPE:Phantom	DEFINE:PhantomMasterLevel|0	BONUS:VAR|PhantomMasterLevel|mastervar("PhantomMasterLVL")

###Block: Ability Progression
# Class of the Master		Type			Ability
# Class of the Master		Type			Hit Dice	Ability
FOLLOWER:GhostRiderLVL=1	TYPE:Ghost Mount			ABILITY:Special Ability|AUTOMATIC|Phantom Companion ~ Darkvision
FOLLOWER:GhostRiderLVL=1	TYPE:Ghost Mount			ABILITY:Special Ability|AUTOMATIC|Phantom Companion ~ Link
FOLLOWER:GhostRiderLVL=4	TYPE:Ghost Mount			ABILITY:Special Ability|AUTOMATIC|Phantom Companion ~ Magic Attacks
FOLLOWER:GhostRiderLVL=5	TYPE:Ghost Mount			ABILITY:Special Ability|AUTOMATIC|Phantom Companion ~ Ability Score Increase
FOLLOWER:GhostRiderLVL=6	TYPE:Ghost Mount			ABILITY:Special Ability|AUTOMATIC|Phantom Companion ~ Devotion
FOLLOWER:GhostRiderLVL=1	TYPE:Ghost Mount			ABILITY:Special Ability|AUTOMATIC|Phantom Companion ~ Progression


FOLLOWER:GhostRiderLVL=2	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=3	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=5	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=6	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=7	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=9	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=10	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=11	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=13	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=14	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=15	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=17	TYPE:Ghost Mount	HD:1
FOLLOWER:GhostRiderLVL=19	TYPE:Ghost Mount	HD:1
