SOURCELONG:Path of Iron	SOURCESHORT:PoI	SOURCEWEB:https://www.opengamingstore.com/collections/premier-partners/products/path-of-iron	SOURCEDATE:2015-01
# Original Entry by: Sean Butler (Tamdrik)

# Ability Name	Category of Ability	Define			Ability							Modify VAR
Vanguard		CATEGORY:Class
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Cantrips|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardCantrips
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_Imbue|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardImbue
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_IntuitiveConstruction|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardIntuitiveConstruction
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_VanguardArcana|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardVanguardArcana
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_VanguardTactics|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardVanguardTactics
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeats|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardBonusFeats
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_RapidReconstruction|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardRapidReconstruction
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_PerfectResonance|1|TYPE=Boolean|PREABILITY:1,CATEGORY=Archetype,TYPE.VanguardPerfectResonance


CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeat3|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeat6|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeat8|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeat9|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeat12|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeat15|0
CATEGORY=Class|Vanguard.MOD		DEFINE:Vanguard_CF_BonusFeat18|0

CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeat3|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeat3=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeat6|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeat6=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeat8|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeat8=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeat9|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeat9=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeat12|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeat12=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeat15|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeat15=True
CATEGORY=Class|Vanguard.MOD																																								BONUS:VAR|Vanguard_CF_BonusFeat18|1|TYPE=Boolean|PREFACT:1,ABILITIES,Vanguard_CF_BonusFeat18=True
