# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Modern System Reference Document	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd

###Block: Special Abilities
# Feat Name		Type			Visible	Special Ability																								Define																				Combat bonus										Stat bonus										Modify VAR
Ability Surge	TYPE:Special	VISIBLE:NO	SA:Ability Surge ~ %/day for % rounds (STR +%, Defense -% when Surged)|AbilitySurgeTimes|AbilitySurgeRounds|AbilitySurgeStrBonus|AbilitySurgeDefensePenalty	DEFINE:AbilitySurgeTimes|0	DEFINE:AbilitySurgeRounds|0	DEFINE:AbilitySurgeStrBonus|0	DEFINE:AbilitySurgeDefensePenalty|0	BONUS:COMBAT|AC|-AbilitySurgeDefensePenalty|TYPE=Temporary|PREAPPLY:PC	BONUS:STAT|STR|AbilitySurgeStrBonus|TYPE=Temporary|PREAPPLY:PC	BONUS:VAR|AbilitySurgeRounds|0	BONUS:VAR|AbilitySurgeDefensePenalty|2	BONUS:VAR|AbilitySurgeStrBonus|4*AbilitySurgeDefensePenalty
Swift Strike	TYPE:Special	VISIBLE:NO	SA:Swift Strike +%d%|SwiftStrike|SwiftStrikeDie																			DEFINE:SwiftStrikeDie|6	DEFINE:SwiftStrike|0
Trap Sense		TYPE:Special	VISIBLE:NO	SA:Trap Sense (Ex) +%|TrapSense																					DEFINE:TrapSense|0
Xenotype (Ooze)				TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Earth and Life Sciences)=9	SA:Xenotype (Ooze) +%|XenotypeOoze						DEFINE:XenotypeOoze|XenotypeBase
Xenotype Bonus (Ooze)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Ooze)																															STACK:YES	MULT:YES	CHOOSE:XenotypeOoze			BONUS:VAR|LIST|2
Xenotype (Outsider)			TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Theology and Philosophy)=9	SA:Xenotype (Outsider) +%|XenotypeOutsider				DEFINE:XenotypeOutsider|XenotypeBase
Xenotype Bonus (Outsider)		TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Outsider)																															STACK:YES	MULT:YES	CHOOSE:XenotypeOutsider			BONUS:VAR|LIST|2
Xenotype (Plant)				TYPE:Xenotype		VISIBLE:NO																	SA:Xenotype (Plant) +%|XenotypePlant					DEFINE:XenotypePlant|XenotypeBase
Xenotype Bonus (Plant)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Plant)																															STACK:YES	MULT:YES	CHOOSE:XenotypePlant			BONUS:VAR|LIST|2
Xenotype (Undead)				TYPE:Xenotype		VISIBLE:NO								PRESKILL:1,Knowledge (Theology and Philosophy)=9	SA:Xenotype (Undead) +%|XenotypeUndead					DEFINE:XenotypeUndead|XenotypeBase
Xenotype Bonus (Undead)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Undead)																															STACK:YES	MULT:YES	CHOOSE:XenotypeUndead			BONUS:VAR|LIST|2
Xenotype (Vermin)				TYPE:Xenotype		VISIBLE:NO																	SA:Xenotype (Verimin) +%|XenotypeVermin					DEFINE:XenotypeVermin|XenotypeBase
Xenotype Bonus (Vermin)			TYPE:XenotypeBonus	VISIBLE:NO	PREFEAT:1,Xenotype (Vermin)																															STACK:YES	MULT:YES	CHOOSE:XenotypeVermin			BONUS:VAR|LIST|2

#
# End
#
