# CVS $Revision: 10335 $ $Author: amaitland $ -- Sun Sep  7 15:03:36 2008 -- reformated by prettylst.pl v1.38 (build 7233)
SOURCELONG:Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://dragonwing.net/Faeries.htm
#Original Entry: darkon_turas; clean up by Andrew Maitland

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
# Ability Name		Category of Ability		Type							Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
Clear Skies			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		DESC:Capable spellcasting (electricity)	DESC:Crude spellcasting (acid)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Brilliant Sky		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		DESC:+1 to Will saving throws	DESC:-1 to Fortitude saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Emerging Rays		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		DESC:+1 to Attack rolls 3x/day	DESC:-1 to Damage rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Resplendent Beams		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		DESC:+1 to AC 3x/day	DESC:-1 to AC 3x/day								STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Rising Sun		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		DESC:+1 to Capable spellcasting (fore)	DESC:-1 to Crude spellcasting (cold)			STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Twilight		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDawn		PRETEMPLATE:1,Aspect of the Dawn		DESC:+1 to Reflex saving throws	DESC:-1 to Fortitude saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Dusk
The Fleeting Rays		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		DESC:+1 to Damage rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Gloom			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		DESC:+1 to Fortitude saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Luminous Clouds	CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		DESC:+1 to AC 3x/day	DESC:-1 to AC 3x/day								STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Retreating Luster		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		DESC:+1 to Reflex saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Setting Sun		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDusk		PRETEMPLATE:1,Aspect of the Dusk		DESC:Capable spellcasting (cold)	DESC:Crude spellcasting (fire)					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Earth
The Caverns			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		DESC:Practiced spell	DESC:Amateur spell									STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Fertile Soil		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		DESC:+1 to Fortitude saving throws	DESC:-1 to Reflex saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Mud				CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		DESC:Effective Spellcasting (cold)	DESC:Ineffective Spellcasting (fire)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Ooze				CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		DESC:+1 to Attack rolls 3x/day	DESC:-1 to Damage rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Stone				CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheEarth	PRETEMPLATE:1,Aspect of the Earth		DESC:Capable spellcasting (acid)	DESC:Crude spellcasting (electricity)			STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Fire
Ash				CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		DESC:Practiced spell (fire)	DESC:Amateur spell (cold)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Blaze			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		DESC:+1 to Damage rolls 3x/day	DESC:-1 to AC 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Firestorm		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		DESC:+1 to Attack rolls 3x/day	DESC:-1 to AC 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Flashfire		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		DESC:Capable spellcasting (fire)	DESC:Crude spellcasting (cold)					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Sparking Embers		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheFire		PRETEMPLATE:1,Aspect of the Fire		DESC:Spell resistant (fire)	DESC:Spell vulnerable (cold)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Lights
Brilliant Reflections	CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		DESC:Spell Resistant (chaos)	DESC:Spell vulnerable (law)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Radiance			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		DESC:+1 to Will saving throws	DESC:-1 to Fortitude saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Scintillating Light	CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		DESC:+1 to Reflex saving throws	DESC:-1 to Fortitude saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Scintillating Pools	CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		DESC:+1 to Reflex saving throws	DESC:-1 to Fortitude saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
Sun Beams			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheLights	PRETEMPLATE:1,Aspect of the Lights		DESC:Capable spellcasting (fire)	DESC:Crude spellcasting (cold)					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Plant
The Ferns			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		DESC:+1 to Will saving throws	DESC:-1 to Reflex saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Flowers			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		DESC:Capable spellcasting (fire)	DESC:Crude spellcasting (cold)					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Grasses			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		DESC:+1 to Damage rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Mosses			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		DESC:+1 to Fortitude saving throws	DESC:-1 to AC 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Trees			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePlant	PRETEMPLATE:1,Aspect of the Plant		DESC:+1 to AC 3x/day	DESC:-1 to Damage rolls 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Predator
The Arachnid		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	DESC:Practiced spell	DESC:Amateur spell									STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Canine			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	DESC:+1 to Damage rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Feline			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	DESC:+1 to Reflex saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Raptor			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	DESC:+1 to Fortitude saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41
The Serpent			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePredator	PRETEMPLATE:1,Aspect of the Predator	DESC:+1 to Attack rolls 3x/day	DESC:-1 to Damage rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.41

#Aspect of the Prey
The Bovine			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		DESC:+1 to Fortitude saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Fish			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		DESC:+1 to AC 3x/day	DESC:-1 to Damage rolls 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Pheasant		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		DESC:+1 to Reflex saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Seal			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		DESC:+1 to AC 3x/day	DESC:-1 to Attack rolls 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Stag			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfThePrey		PRETEMPLATE:1,Aspect of the Prey		DESC:+1 to Damage rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Spring
Fertility			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		DESC:+1 to AC 3x/day	DESC:-1 to Attack rolls 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Blooming Splendor		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		DESC:Capable spellcasting (transmutation)	DESC:Crude spellcasting (conjuration)		STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Sown Earth			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		DESC:Spell resistant (acid)	DESC:Spell vulnerable (sonic)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Vernal Showers		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		DESC:Spell resistant (cold)	DESC:Spell vulnerable (fire)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Spring's Triumph		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSpring	PRETEMPLATE:1,Aspect of the Spring		DESC:+1 to Fortitude saving throws	DESC:-1 to Reflex saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Summer
Blazing Sun			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		DESC:Capable spellcasting (light)	DESC:Crude spellcasting (darkness)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Drought			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		DESC:Spell resistant (acid)	DESC:Spell vulnerable (electricity)					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Fiery Equinox		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		DESC:Spell resistant (fire)	DESC:Spell vulnerable (water)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Mirage			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		DESC:+1 to Reflex saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Summer's Fury		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheSummer	PRETEMPLATE:1,Aspect of the Summer		DESC:+1 to Attack rolls 3x/day	DESC:-1 to AC 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Water
The Lake			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		DESC:Capable spellcasting (cold)	DESC:Crude spellcasting (fire)					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Ocean			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		DESC:Spell resistant (acid)	DESC:Spell vulnerable (sonic)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The River			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		DESC:+1 to Attack rolls 3x/day	DESC:-1 to Damage rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Springs			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		DESC:Spell resistant (cold)	DESC:Spell vulnerable (fire)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Watery Depths		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWater	PRETEMPLATE:1,Aspect of the Water		DESC:Capable spellcasting (darkness)	DESC:Crude spellcasting (light)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42

#Aspect of the Winter
The Howling Winds		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		DESC:+1 to Attack rolls 3x/day	DESC:-1 to AC 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Ice			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		DESC:+1 to Will saving throws	DESC:-1 to Fortitude saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
The Snowdrifts		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		DESC:Spell resistant (electricity)	DESC:Spell vulnerable (sonic)					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Stormy Skies		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		DESC:Capable spellcasting (darkness)	DESC:Crude spellcasting (light)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42
Winter's Grip		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheWinter	PRETEMPLATE:1,Aspect of the Winter		DESC:Spell resistant (cold)	DESC:Spell vulnerable (fire)						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.42


###Block: Template Aspect Bonuses -----------------
+2 Resistance to Electricity	KEY:Plus Two Resistance to Electricity		CATEGORY:Special Ability	TYPE:SpecialQuality
+2 Resistance to Fire		KEY:Plus Two Resistance to Fire			CATEGORY:Special Ability	TYPE:SpecialQuality
+2 Resistance to Cold		KEY:Plus Two Resistance to Cold			CATEGORY:Special Ability	TYPE:SpecialQuality
Hold Breath												CATEGORY:Special Ability	TYPE:SpecialQuality
