# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Relics and Rituals	SOURCESHORT:RelicRitual	SOURCEWEB:http://www.swordsorcery.com	SOURCEDATE:2001-01
#Price correction & alphabetical organizing: Paul Grosse

# Equipment Name					Product Identity?	Type								Cost		Weight	Source Page
Scroll (Blackflame)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.53
Scroll (Blazing Shield)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.53-54
Scroll (Bleeding Disease)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:12.5	WT:0.01	SOURCEPAGE:p.54
Scroll (Bloodstorm)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.54
Scroll (Bottomless Pit)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.54-55
Scroll (Brothers in Arms)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:1125	WT:0.01	SOURCEPAGE:p.55
Scroll (Buoyancy Net)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.55
Scroll (Call Aquatic Animal I)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.55-56
Scroll (Call Aquatic Animal II)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.56
Scroll (Call Aquatic Humanoid I)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.56
Scroll (Call Aquatic Humanoid II)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.56-57
Scroll (Call Aquatic Monster)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.57
Scroll (Chameleon Skin)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.57-58
Scroll (Chardun's Torments)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.58
Scroll (Chill/Warmth)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.58
Scroll (Circle of Sounds)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.58
Scroll (Clean)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.58-59
Scroll (Cloak of Righteousness)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:700	WT:0.01	SOURCEPAGE:p.59
Scroll (Cold Snap)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.59
Scroll (Commanding Presence)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.59
Scroll (Condemned)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.59-60
Scroll (Control Light)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.60
Scroll (Convert)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:3825	WT:0.01	SOURCEPAGE:p.60-61
Scroll (Curse of Terror)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:375	WT:0.01	SOURCEPAGE:p.61
Scroll (Curtain of Darkness)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.61
Scroll (Daggers of Vaul)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:2275	WT:0.01	SOURCEPAGE:p.61-62
Scroll (Dar'Tan's Shadow Bolt)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.62
Scroll (Dark Flames)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.62
Scroll (Dark Water)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1125	WT:0.01	SOURCEPAGE:p.62-63
Scroll (Darkstaff)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.63-64
Scroll (Dead Man's Eyes)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.64-65
Scroll (Death Blade)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.65
Scroll (Declaration of Death)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.65
Scroll (Denev's Exile from Nature)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.65-66
Scroll (Denev's Fury)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:3825	WT:0.01	SOURCEPAGE:p.66
Scroll (Detect Gold)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.66
Scroll (Dirge of Woe)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:525	WT:0.01	SOURCEPAGE:p.66-67
Scroll (Disappear)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.67
Scroll (Distort Shadow)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:12.5	WT:0.01	SOURCEPAGE:p.67
Scroll (Divine Raiment)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.67
Scroll (Divine Wisdom)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.67-68
Scroll (Dolomar's Limited Liquification)	NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.68
Scroll (Dolomar's Force Wave)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.68
Scroll (Dolomar's Mapping)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.69
Scroll (Doomwail)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1125	WT:0.01	SOURCEPAGE:p.69
Scroll (Dowsing)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.69
Scroll (Dragon's Breath)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.69-70
Scroll (Enkili's Luck)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.71
Scroll (Enkili's Lightning Storm)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1650	WT:0.01	SOURCEPAGE:p.71
Scroll (Enkili's Prank)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.71-72
Scroll (Enumerate)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:12.5	WT:0.01	SOURCEPAGE:p.72
Scroll (Ephod of Melee)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:50	WT:0.01	SOURCEPAGE:p.72
Scroll (Ethereal Bolt)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.72
Scroll (Ever Scent)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.72-73
Scroll (Flame Bolt)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.73
Scroll (Flame/Frost Weapon)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.73
Scroll (Flash)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.73-74
Scroll (Freezing Curse)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:2275	WT:0.01	SOURCEPAGE:p.74
Scroll (Frog Tongue)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.74-75
Scroll (Ganest's Farstrike)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.75
Scroll (Gas Cloud)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.75
Scroll (Gaze of Truth)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:50	WT:0.01	SOURCEPAGE:p.75-76
Scroll (Ghostdweomer)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.76
Scroll (Gloom)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.76
Scroll (Glue)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.76-77
Scroll (Gluttony)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.77
Scroll (Great Knock)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.77-78
Scroll (Greater Circle of Seeing)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.78
Scroll (Greater Familiar)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.78-79
Scroll (Greater Healing Circle)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:2275	WT:0.01	SOURCEPAGE:p.79
Scroll (Grim Feast)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.79
Scroll (Grove of Serenity)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:3000	WT:0.01	SOURCEPAGE:p.80
Scroll (Gutroot)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:1125	WT:0.01	SOURCEPAGE:p.80
Scroll (Hand of Justice)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.80-81
Scroll (Heart of Valor)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.81
Scroll (Hedrada's Balance)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.81
Scroll (Holy Beacon)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:50	WT:0.01	SOURCEPAGE:p.81-82
Scroll (Holy Beacon's Answer)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.82-83
Scroll (Holy Channel)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.83-84
Scroll (Hunter's Stalk)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.84
Scroll (Ilajam Fire)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:2275	WT:0.01	SOURCEPAGE:p.84-85
Scroll (Imbue Shadow)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:1125	WT:0.01	SOURCEPAGE:p.85
Scroll (Incapacitate)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:3825	WT:0.01	SOURCEPAGE:p.85
Scroll (Incite)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:2275	WT:0.01	SOURCEPAGE:p.85-86
Scroll (Inquisition)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1125	WT:0.01	SOURCEPAGE:p.86
Scroll (Intoxicate)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.86-87
Scroll (Invigorate Dead)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.87
Scroll (Iron Storm)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.87
Scroll (Ironheart)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.87-88
Scroll (Leech Field)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.88
Scroll (Life Force Transfer)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.88-89
Scroll (Life Shield)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.84
Scroll (Liliandel's Flurry)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.89
Scroll (Limbs of Endurance)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:200	WT:0.01	SOURCEPAGE:p.89
Scroll (Listening Ringworm)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.89-90
Scroll (Live Wood)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1125	WT:0.01	SOURCEPAGE:p.90
Scroll (Locate Corpse)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.90
Scroll (Madriel's Empathic Resonance)	NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.90-91
Scroll (Manaspear)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.91
Scroll (Meld Object)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1125	WT:0.01	SOURCEPAGE:p.91
Scroll (Mind Over Matter)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:700	WT:0.01	SOURCEPAGE:p.91-92
Scroll (Mind Raid)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:375	WT:0.01	SOURCEPAGE:p.92
Scroll (Minor Circle of Seeing)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.92
Scroll (Minor Shadow Conjuration)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.93
Scroll (Minor Shadow Evocation)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.93
Scroll (Minor Symbol of Divinity)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.93
Scroll (Mirror Safe)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.93-94
Scroll (Mormo's Serpent Hands)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.94
Scroll (Multiplicity)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.94-95
Scroll (Nethergaze)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.95
Scroll (Obscure Shadow)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.95
Scroll (Pass the Years)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1650	WT:0.01	SOURCEPAGE:p.95-96
Scroll (Perfect Recollection)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.96
Scroll (Phantom's Howl)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.96
Scroll (Pillar of Attraction/Repulsion)	NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.96-97
Scroll (Power Word (Thunder))			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:1650	WT:0.01	SOURCEPAGE:p.97-98
Scroll (Pressure Sphere)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:375	WT:0.01	SOURCEPAGE:p.98
Scroll (Prevarication's Bounty)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.98
Scroll (Purifying Flames)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.98-99
Scroll (Quick Sober)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:12.5	WT:0.01	SOURCEPAGE:p.99
Scroll (Rabbit Feet)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.99
Scroll (Rapid Journey)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.99
Scroll (Recall Champion)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:3000	WT:0.01	SOURCEPAGE:p.99-100
Scroll (Remove Resistance)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.100
Scroll (Rend the Sovereign Soul)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:150	WT:0.01	SOURCEPAGE:p.100
Scroll (Renewed Focus)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.101
Scroll (Reshape Shadow)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:25	WT:0.01	SOURCEPAGE:p.101
Scroll (Reverse Illusion)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.101
Scroll (Rie's Dance of Seduction)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.102
Scroll (Rune of Darkness)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.103
Scroll (Rune of Fire)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.103
Scroll (Rune of Poison)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.103
Scroll (Rune of Seeing)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.103-104
Scroll (Rune of Sleep)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.104-105
Scroll (Sacred Journey)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:700	WT:0.01	SOURCEPAGE:p.105
Scroll (Sacred Weapon)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:375	WT:0.01	SOURCEPAGE:p.105
Scroll (Sacrifice Spell)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.105-106
Scroll (Sacrificial Heart)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:1650	WT:0.01	SOURCEPAGE:p.106
Scroll (Salamar's Quiet Contemplation)	NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:25	WT:0.01	SOURCEPAGE:p.106
Scroll (Seal of Hedrada)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:700	WT:0.01	SOURCEPAGE:p.106-107
Scroll (Sethris' Potency)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.107
Scroll (Sethtel's Stick Servant)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:150	WT:0.01	SOURCEPAGE:p.107-108
Scroll (Sever)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:2275	WT:0.01	SOURCEPAGE:p.108
Scroll (Shade Evocation)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:2275	WT:0.01	SOURCEPAGE:p.108
Scroll (Shade's Sight)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane,Divine	COST:25	WT:0.01	SOURCEPAGE:p.108
Scroll (Shadow Form of Lyrand)		NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.108-109
Scroll (Shadow Images)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.109
Scroll (Shadow Shield)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:700	WT:0.01	SOURCEPAGE:p.109
Scroll (Shadow Smash)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1650	WT:0.01	SOURCEPAGE:p.109
Scroll (Shadow Storm)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.109-110
Scroll (Shadow Strike)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:375	WT:0.01	SOURCEPAGE:p.110
Scroll (Shadow Touch)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane.Divine	COST:375	WT:0.01	SOURCEPAGE:p.110-111
Scroll (Shadow Twin)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:3000	WT:0.01	SOURCEPAGE:p.111
Scroll (Shadow Weapon)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.111-112
Scroll (Shatter Soul)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:3825	WT:0.01	SOURCEPAGE:p.112
Scroll (Ship Snare)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:1125	WT:0.01	SOURCEPAGE:p.112
Scroll (Shockwave Strike)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.112-113
Scroll (Shockwave)				NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:12.5	WT:0.01	SOURCEPAGE:p.113
Scroll (Sleep of the Dead)			NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Arcane			COST:150	WT:0.01	SOURCEPAGE:p.113
Scroll (Smite)					NAMEISPI:YES	TYPE:Magic.Scroll.Consumable.Divine			COST:25	WT:0.01	SOURCEPAGE:p.113-114
