# CVS $Revision$ $Author$ -- Fri Apr 29 14:39:24 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Fantasy Craft	SOURCESHORT:FC	SOURCEDATE:2009-07
# Original Entry By: Dragon Dark Lord
# Original Entry Date: 2011-03-01


# Weapon Name	Type
Bow			TYPE:Bow
Pike			TYPE:Edged.MeleeAttack
Throwing Spear	TYPE:Edged.MeleeAttack

#Block: Hurled Weapons
# Thrown
Atlatl		TYPE:HurledForte.Exotic.RangedAttack
Blowgun		TYPE:Hurled.RangedAttack
Bola			TYPE:HurledForte.Exotic.RangedAttack
Boomerang		TYPE:HurledForte.Exotic.RangedAttack
Chakram		TYPE:Hurled.RangedAttack
Dart			TYPE:Hurled.RangedAttack
Harpoon		TYPE:Hurled.RangedAttack
Javelin		TYPE:Hurled.RangedAttack
Lasso			TYPE:HurledForte.Exotic.RangedAttack
Net			TYPE:HurledForte.Exotic.RangedAttack
Rock (Large)	TYPE:Hurled.RangedAttack
Rock (Small)	TYPE:Hurled.RangedAttack
Shuriken		TYPE:HurledForte.Exotic.RangedAttack
Sling			TYPE:Hurled.RangedAttack
Staff Sling		TYPE:Hurled.RangedAttack
Throwing Knife	TYPE:Hurled.RangedAttack
#Grenades
Bomb			TYPE:HurledForte.Exotic.RangedAttack
Concussion Bomb	TYPE:HurledForte.Exotic.RangedAttack
Flash Bomb		TYPE:HurledForte.Exotic.RangedAttack
Greek Fire		TYPE:HurledForte.Exotic.RangedAttack

###Block: Bows - 182
# Weapon Name		Type
Crossbow (Hand)		TYPE:BowForte.Exotic.RangedAttack
Crossbow (Light)		TYPE:Bow.RangedAttack
Crossbow (Heavy)		TYPE:Bow.RangedAttack
Crossbow (Repeating)	TYPE:Bow.RangedAttack
Daikyu			TYPE:BowForte.Exotic.RangedAttack
Foot Bow			TYPE:BowForte.Exotic.RangedAttack
Hand Bow			TYPE:BowForte.Exotic.RangedAttack
Long Bow			TYPE:Bow.RangedAttack
Reflex Bow			TYPE:Bow.RangedAttack
Short Bow			TYPE:Bow.RangedAttack
Pellet Bow			TYPE:Bow.RangedAttack
