# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Relics and Rituals	SOURCESHORT:RelicRitual	SOURCEWEB:http://www.swordsorcery.com	SOURCEDATE:2001-01
#Original entry by: Paul "Yes, that Paul" Grosse

#Potion
# Equipment Name					Product Identity?	Output Name				Type					Cost		Weight	Source Page
Potion (Commanding Presence)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.59
Potion (Curse of Terror)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.61
Potion (Dar'Tan's Shadow Bolt)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.62
Potion (Dark Flames)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.62
Potion (Dead Man's Eyes)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.64-65
Potion (Denev's Exile from Nature)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.65-66
Potion (Detect Gold)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.66
Potion (Distort Shadow)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:25	WT:0		SOURCEPAGE:p.67
Potion (Divine Raiment)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.67
Potion (Divine Wisdom)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.67-68
Potion (Dolomar's Mapping)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.69
Potion (Dragon's Breath)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.69-70
Potion (Enkili's Luck)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.71
Potion (Enkili's Prank)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.71-72
Potion (Enumerate)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:25	WT:0		SOURCEPAGE:p.72
Potion (Ethereal Bolt)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.72
Potion (Ever Scent)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.72-73
Potion (Flame Bolt)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.73
Potion (Flame/Frost Weapon)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.73
Potion (Flash)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.73-74
Potion (Frog Tongue)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.74-75
Potion (Ganest's Farstrike)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.75
Potion (Gas Cloud)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.75
Potion (Gloom)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.76
Potion (Glue)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.76-77
Potion (Great Knock)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.77-78
Potion (Grim Feast)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.79
Potion (Hedrada's Balance)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.81
Potion (Holy Beacon)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:100	WT:0		SOURCEPAGE:p.81-82
Potion (Hunter's Stalk)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.84
Potion (Intoxicate)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.86-87
Potion (Invigorate Dead)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.87
Potion (Iron Storm)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.87
Potion (Life Force Transfer)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.88-89
Potion (Liliandel's Flurry)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.89
Potion (Listening Ringworm)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.89-90
Potion (Locate Corpse)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.90
Potion (Madriel's Empathic Resonance)	NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.90-91
Potion (Manaspear)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.91
Potion (Mind Raid)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.92
Potion (Minor Shadow Conjuration)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.93
Potion (Minor Shadow Evocation)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.93
Potion (Minor Symbol of Divinity)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.93
Potion (Obscure Shadow)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.95
Potion (Perfect Recollection)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.96
Potion (Phantom's Howl)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.96
Potion (Pressure Sphere)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.98
Potion (Prevarication's Bounty)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.98
Potion (Quick Sober)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:25	WT:0		SOURCEPAGE:p.99
Potion (Rend the Sovereign Soul)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.100
Potion (Reshape Shadow)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.101
Potion (Rune of Darkness)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.103
Potion (Rune of Fire)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.103
Potion (Rune of Seeing)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.103-104
Potion (Rune of Sleep)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.104-105
Potion (Sacred Weapon)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.105
Potion (Salamar's Quiet Contemplation)	NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.106
Potion (Sethris' Potency)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.107
Potion (Sethtel's Stick Servant)		NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.107-108
Potion (Shade's Sight)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.108
Potion (Shadow Strike)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.110
Potion (Shadow Touch)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.110-111
Potion (Shockwave Strike)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.112-113
Potion (Shockwave)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:25	WT:0		SOURCEPAGE:p.113
Potion (Smother)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.114
Potion (Sneeze)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:25	WT:0		SOURCEPAGE:p.114
Potion (Song of Heroes)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.115
Potion (Spark)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:25	WT:0		SOURCEPAGE:p.116
Potion (Steal Sleep)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:25	WT:0		SOURCEPAGE:p.116-117
Potion (Sunspear)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.117
Potion (Swift Water)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.117-118
Potion (Tanil's Touch)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.118
Potion (Terole's Translator)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:1050	WT:0		SOURCEPAGE:p.119
Potion (Thorn Throw)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.119-120
Potion (Touch of the Eel)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.121
Potion (Trigger Rune)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:50	WT:0		SOURCEPAGE:p.121
Potion (Unbuckle)					NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.122
Potion (Vangal's Touch)				NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:300	WT:0		SOURCEPAGE:p.122-123
Potion (Vangal's Wounding)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.123-124
Potion (Wall of Hornets)			NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.124
Potion (Yaral's Totemic Transformation)	NAMEISPI:YES	OUTPUTNAME:Potion of [NAME]	TYPE:Magic.Potion.Consumable	COST:750	WT:0		SOURCEPAGE:p.126
