# CVS $Revision$ $Author$ -- Sat Aug 23 17:24:11 2008 -- reformated by prettylst.pl v1.38 (build 7233)
#SOURCELONG:Modern System Reference Document - Basics	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd

# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI			Display Location
ABILITYCATEGORY:Wildlord Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Wildlord			PLURAL:Wildlord Feats			DISPLAYLOCATION:Feats

###Block:Arcana Prestige Feats ------------------------------------------------------------

# Ability Category			Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object	Type of Object		Plural description for UI	Display Location
ABILITYCATEGORY:CraftArtifice Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:CraftArtifice	PLURAL:Craft Artifice Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Artificer Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Artificer		PLURAL:Artificer Feats		DISPLAYLOCATION:Feats



#
## EOF
#
