# CVS $Revision$ $Author$ -- Sat Jan  5 17:52:59 2013 -- reformated by prettylst.pl v1.39 (build 18270)
SOURCELONG:Dragon Empires Primer	SOURCESHORT:DEP	SOURCEWEB:http://paizo.com/products/btpy8pg0?Pathfinder-Player-Companion-Dragon-Empires-Primer	SOURCEDATE:2012-01
# Original Entry by: Swiftbrook, Stefan Radermacher

###Block: Human Ethnicities
# Ability Name				Product Identity?	Category of Ability	Type				Visible		Template						Source Page
Tian-Dan					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Dan)		SOURCEPAGE:p.8
Tian-Dtang					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Dtang)	SOURCEPAGE:p.8
Tian-Hwan					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Hwan)	SOURCEPAGE:p.8
Tian-La					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-La)		SOURCEPAGE:p.8
Tian-Min					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Min)		SOURCEPAGE:p.8
Tian-Shu					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Shu)		SOURCEPAGE:p.8
Tian-Sing					NAMEISPI:YES	CATEGORY:Background	TYPE:HumanEthnicity	VISIBLE:DISPLAY	TEMPLATE:Human Ethnicity (Tian-Sing)	SOURCEPAGE:p.8
# remove Tian collective ethnicity
CATEGORY=Background|Tian.FORGET

###Block: Regional Affinities
# Ability Name		Product Identity?	Category of Ability	Type		Visible		Description							Template								Source Page
Shaguang			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Desert of the Sky Spirits			TEMPLATE:Regional Affinity (Shaguang)			SOURCEPAGE:p.17
Shenmen			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Cursed Land of Spiders and Ghosts		TEMPLATE:Regional Affinity (Shenmen)			SOURCEPAGE:p.17
Shokuro			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Kingdom of Exiled Samurai			TEMPLATE:Regional Affinity (Shokuro)			SOURCEPAGE:p.18
Tianjing			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Beloved of the Heavens				TEMPLATE:Regional Affinity (Tianjing)			SOURCEPAGE:p.18
Valashmai Jungle		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Here There Be Monsters				TEMPLATE:Regional Affinity (Valashmai Jungle)		SOURCEPAGE:p.19
Wall of Heaven		NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Where Earth Meets Sky				TEMPLATE:Regional Affinity (Wall of Heaven)		SOURCEPAGE:p.19
Wanshou			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Post-Apocalyptic Kraken-Ruled Swampland	TEMPLATE:Regional Affinity (Wanshou)			SOURCEPAGE:p.20
Xa Hoi			NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Empire of the Dragon				TEMPLATE:Regional Affinity (Xa Hoi)				SOURCEPAGE:p.20
Xidao				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:War-Weary Aquatic Nation				TEMPLATE:Regional Affinity (Xidao)				SOURCEPAGE:p.21
Zi Ha				NAMEISPI:YES	CATEGORY:Background	TYPE:Region	VISIBLE:DISPLAY	DESC:Sacred Land of Reincarnation			TEMPLATE:Regional Affinity (Zi Ha)				SOURCEPAGE:p.21


###Block: Placeholder objects for no Human Ethnicities or Regional Affinities
# Ability Name	Unique Key				Category of Ability	Type
# None			KEY:None ~ HumanEthnicity	CATEGORY:Background	TYPE:HumanEthnicity
# Unknown		KEY:Unknown ~ HumanEthnicity	CATEGORY:Background	TYPE:HumanEthnicity

#
# End
#
