# CVS $Revision: 1.1 $ $Author: tir-gwaith $ -- Mon Jan 13 22:59:27 2003 -- reformated by prettylst.pl v1.24 (build 249)

AGESET:0|Adulthood
RACENAME:Aaleear		SEX:Male[BASEHT:22|HTDIEROLL:1d4|BASEWT:20|WTDIEROLL:1d3|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:20|HTDIEROLL:1d4|BASEWT:20|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
RACENAME:Illonis		SEX:Male[BASEHT:72|HTDIEROLL:1d6|BASEWT:145|WTDIEROLL:1d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:71|HTDIEROLL:1d6|BASEWT:140|WTDIEROLL:1d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Illonis=> AGE:15:1:4:1:6:2:6
RACENAME:Luminous		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Luminous=> AGE:15:1:4:1:6:2:6
RACENAME:Niomus		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:80|WTDIEROLL:1d3|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:75|WTDIEROLL:1d3|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Niomus=> AGE:39:1:4:1:6:2:6
RACENAME:Ooloi		SEX:Male[BASEHT:59|HTDIEROLL:1d12|BASEWT:80|WTDIEROLL:5d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:62|HTDIEROLL:1d10|BASEWT:80|WTDIEROLL:5d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Ooloi=> AGE:22:1:4:1:6:2:6
RACENAME:Pevishan		SEX:Male[BASEHT:66|HTDIEROLL:2d6|BASEWT:110|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:64|HTDIEROLL:2d4|BASEWT:100|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Pevishan=> AGE:20:1:4:1:6:2:6
RACENAME:Quissian		SEX:Male[BASEHT:72|HTDIEROLL:2d12|BASEWT:250|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:70|HTDIEROLL:2d12|BASEWT:245|WTDIEROLL:1d5|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Quissian=> AGE:16:1:4:1:6:2:6
RACENAME:Rezurbek		SEX:Male[BASEHT:34|HTDIEROLL:2d4|BASEWT:65|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:34|HTDIEROLL:2d4|BASEWT:60|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Rezurbek=> AGE:20:1:4:1:6:2:6
RACENAME:Rhonian		SEX:Male[BASEHT:72|HTDIEROLL:1d12|BASEWT:65|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:72|HTDIEROLL:1d12|BASEWT:60|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Rhonian=> AGE:1:1:4:2:4:2:8
RACENAME:Rhoode		SEX:Male[BASEHT:36|HTDIEROLL:2d6|BASEWT:51|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:34|HTDIEROLL:2d6|BASEWT:48|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Rhoode=> AGE:14:1:4:1:6:2:6
RACENAME:Risen Demon	SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Risen Demon=> AGE:1:1:100:1:200:1:1000
RACENAME:Sendasti		SEX:Male[BASEHT:66|HTDIEROLL:2d6|BASEWT:150|WTDIEROLL:2d3|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:61|HTDIEROLL:2d6|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Sendasti=> AGE:14:1:4:1:6:2:6
RACENAME:Siarran		SEX:Male[BASEHT:64|HTDIEROLL:2d10|BASEWT:128|WTDIEROLL:1d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:60|HTDIEROLL:2d10|BASEWT:108|WTDIEROLL:1d3|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Siarran=> AGE:24:1:4:1:6:2:6
RACENAME:Sktak		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:145|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:110|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Sktak=> AGE:20:1:6:2:6:3:6
RACENAME:Stonegrunt	SEX:Male[BASEHT:76|HTDIEROLL:8d4|BASEWT:600|WTDIEROLL:2d10|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:76|HTDIEROLL:8d4|BASEWT:600|WTDIEROLL:2d10|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Stonegrunt=> AGE:0:1:10:1:20:1:100
RACENAME:Tremen		SEX:Male[BASEHT:70|HTDIEROLL:2d8|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:74|HTDIEROLL:2d8|BASEWT:115|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Tremen=> AGE:25:1:4:1:6:2:6
RACENAME:Uthuk Y'llan	SEX:Male[BASEHT:70|HTDIEROLL:2d8|BASEWT:200|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:65|HTDIEROLL:2d8|BASEWT:165|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Uthuk Y'llan=> AGE:14:1:4:1:6:2:6
RACENAME:Vermen		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Vermen=> AGE:15:1:4:1:6:2:6
