# CVS $Revision$ $Author$ -- Thu Nov  6 15:54:09 2008 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Enchantment	SOURCESHORT:Enchantment	SOURCEWEB:http://mongoosepublishing.com	SOURCEDATE:2003-09
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name		Classes of caster	School			Sub-School		Type		Components		Casting Time	Range			Item		Target Area or Effect											Duration						Save Info					Spell Resistance	Description										Source Page
Enhance Bond		CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M, F	CASTTIME:1 action	RANGE:Unlimited	ITEM:Potion	TARGETAREA:Your Familiar										DURATION:1 hour					SAVEINFO:Will Negates (harmless)	SPELLRES:Yes	DESC:Improves the bond with a familiar.					SOURCEPAGE:p.31
Favour's Focus I		CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +1 favor bonus to spell DC vs target.	SOURCEPAGE:p.31
Favour's Focus II		CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +2 favor bonus to spell DC vs target.	SOURCEPAGE:p.32
Favour's Focus III	CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +3 favor bonus to spell DC vs target.	SOURCEPAGE:p.32
Favour's Focus IV		CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +4 favor bonus to spell DC vs target.	SOURCEPAGE:p.32
Favour's Focus V		CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +5 favor bonus to spell DC vs target.	SOURCEPAGE:p.32
Favour's Focus VI		CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +6 favor bonus to spell DC vs target.	SOURCEPAGE:p.33
Favour's Focus VII	CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +7 favor bonus to spell DC vs target.	SOURCEPAGE:p.33
Favour's Focus VIII	CLASSES:Wizard=8	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +8 favor bonus to spell DC vs target.	SOURCEPAGE:p.34
Favour's Focus IX		CLASSES:Wizard=9	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:Permanent [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Caster receives a +9 favor bonus to spell DC vs target.	SOURCEPAGE:p.34
Fractured Unity		CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:All creatures within 50'									DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Prevents anyone from thinking of others as allies.		SOURCEPAGE:p.34
Friendship			CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes	DESC:Makes the friendship component of a charm spell perm.		SOURCEPAGE:p.35
Greater Daze		CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Person											DURATION:1 round					SAVEINFO:Will Negates			SPELLRES:Yes	DESC:As Daze without the hit dice or level limit.			SOURCEPAGE:p.35
Hatred's Puppet		CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Target flies into a merderous rage.					SOURCEPAGE:p.35
Kenning the Heart		CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Creature											DURATION:Instantaneous				SAVEINFO:Will Negates [special]	SPELLRES:Yes	DESC:20 ft. burst or none.							SOURCEPAGE:p.36
Kenning the Mind		CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Creature											DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates [special]	SPELLRES:Yes	DESC:20 ft. burst or none.							SOURCEPAGE:p.36
Kenning the Soul		CLASSES:Wizard=9	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Creature											DURATION:Instantaneous				SAVEINFO:Special				SPELLRES:Special	DESC:20 ft. burst or none.							SOURCEPAGE:p.36
Lingering Daze		CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One humanoid of large size or smaller						DURATION:(CASTERLEVEL*10) minutes [D]	SAVEINFO:Will Partial			SPELLRES:Yes	DESC:As Daze without the hit dice or level limit.			SOURCEPAGE:p.37
Moment's Pause		CLASSES:Wizard=1	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, F	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One humanoid of medium size or smaller						DURATION:1 round					SAVEINFO:Will Negates			SPELLRES:Yes	DESC:As Hold Person.								SOURCEPAGE:p.37
Piercing Gaze		CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes	DESC:Inflicts 5d4 points of normal or subdual damage.			SOURCEPAGE:p.38
Rapturous Touch		CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	DESC:1 point of wisdom damage per touch.					SOURCEPAGE:p.38
Seductive Smile		CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Personal			TARGETAREA:You												DURATION:Instantaneous				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Target has a -1/-2 to attacks, damage and saves.			SOURCEPAGE:p.38
Shattered Will		CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One living creature of large size or smaller					DURATION:Permanent [D]				SAVEINFO:Will Partial			SPELLRES:Yes	DESC:Target cannot resist the caster's enchantment spells.		SOURCEPAGE:p.39
Thrall's Understanding	CLASSES:Wizard=2	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, F	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Varies [D]				SAVEINFO:None				SPELLRES:Yes	DESC:Allows caster to communicate with charmed creature.		SOURCEPAGE:p.39
Torment of Loss		CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Permanent [D]				SAVEINFO:None				SPELLRES:Yes	DESC:Creature dies or is shaken when charm spell ends.		SOURCEPAGE:p.40
Undying Loyalty		CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Instantaneous [D]			SAVEINFO:Will Negates			SPELLRES:Yes	DESC:If target becomes undead, it is subjest to his spells.		SOURCEPAGE:p.40
Wall of Distraction	CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Wall of light whose area is up to (CASTERLEVEL*5) ft. square			DURATION:Instantaneous				SAVEINFO:Will Partial			SPELLRES:Yes	DESC:-2 morale penalty to attacks, damage, skills, &amp; saves.		SOURCEPAGE:p.41
Wave of Hesitation	CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Cone												DURATION:Instantaneous				SAVEINFO:Will Partial			SPELLRES:Yes	DESC:Targets are stunned for 1d4 rounds &lbracket;or as Daze&rbracket;.			SOURCEPAGE:p.41
