# CVS $Revision$ $Author$ -- Wed Feb 15 13:58:48 2012 -- reformated by prettylst.pl v1.39 (build 15052)
# ORIGINAL ENTRY: Andrew Maitland (LegacyKing)
# ORIGINAL ENTRY DATE: 2011-01-01


# Ability Name							Category of Ability	Class Skill
Make CSKILL ~ Knowledge (Popular Culture)			CATEGORY:Internal		CSKILL:Knowledge (Popular Culture)
Make CSKILL ~ Knowledge (Streetwise)			CATEGORY:Internal		CSKILL:Knowledge (Streetwise)
Make CSKILL ~ Knowledge (Tactics)				CATEGORY:Internal		CSKILL:Knowledge (Tactics)
Make CSKILL ~ Knowledge (Technology)			CATEGORY:Internal		CSKILL:Knowledge (Technology)
Make CSKILL ~ Knowledge (Theology and Philosophy)	CATEGORY:Internal		CSKILL:Knowledge (Theology and Philosophy)
Make CSKILL ~ Listen						CATEGORY:Internal		CSKILL:Listen
Make CSKILL ~ Move Silently					CATEGORY:Internal		CSKILL:Move Silently
Make CSKILL ~ Navigate						CATEGORY:Internal		CSKILL:Navigate
Make CSKILL ~ Perform (Act)					CATEGORY:Internal		CSKILL:Perform (Act)
Make CSKILL ~ Perform (Dance)					CATEGORY:Internal		CSKILL:Perform (Dance)
Make CSKILL ~ Perform (Keyboards)				CATEGORY:Internal		CSKILL:Perform (Keyboards)
Make CSKILL ~ Perform (Percussion Instruments)		CATEGORY:Internal		CSKILL:Perform (Percussion Instruments)
Make CSKILL ~ Perform (Sing)					CATEGORY:Internal		CSKILL:Perform (Sing)
Make CSKILL ~ Perform (Stand-Up)				CATEGORY:Internal		CSKILL:Perform (Stand-Up)
Make CSKILL ~ Perform (Stringed Instruments)		CATEGORY:Internal		CSKILL:Perform (Stringed Instruments)
Make CSKILL ~ Perform (Wind Instruments)			CATEGORY:Internal		CSKILL:Perform (Wind Instruments)
Make CSKILL ~ Pilot						CATEGORY:Internal		CSKILL:Pilot
Make CSKILL ~ Profession					CATEGORY:Internal		CSKILL:Profession
Make CSKILL ~ Read/Write Language				CATEGORY:Internal		CSKILL:Read/Write Language
Make CSKILL ~ Repair						CATEGORY:Internal		CSKILL:Repair
Make CSKILL ~ Research						CATEGORY:Internal		CSKILL:Research
Make CSKILL ~ Ride						CATEGORY:Internal		CSKILL:Ride
Make CSKILL ~ Search						CATEGORY:Internal		CSKILL:Search
Make CSKILL ~ Sense Motive					CATEGORY:Internal		CSKILL:Sense Motive
Make CSKILL ~ Sleight of Hand					CATEGORY:Internal		CSKILL:Sleight of Hand
Make CSKILL ~ Speak Language					CATEGORY:Internal		CSKILL:Speak Language
Make CSKILL ~ Spot						CATEGORY:Internal		CSKILL:Spot
Make CSKILL ~ Survival						CATEGORY:Internal		CSKILL:Survival
Make CSKILL ~ Swim						CATEGORY:Internal		CSKILL:Swim
Make CSKILL ~ Treat Injury					CATEGORY:Internal		CSKILL:Treat Injury
Make CSKILL ~ Tumble						CATEGORY:Internal		CSKILL:Tumble
