# CVS $Revision$ $Author$ -- Wed Jan 28 22:41:02 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Pathfinder RPG (Beta Playtest Edition)	SOURCESHORT:PFRPGB	SOURCEWEB:http://paizo.com/store/downloads/pathfinderRPG/v5748btpy84o0	SOURCEDATE:2008-08
# Original Entry by: Stefan Radermacher

###Block: Barbarian abilities
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Swift Foot.MOD	DESC:.CLEAR		DESC:You gain an enhancement bonus to your speed for 1 round equal to 10 feet per 2 rage points spent. Your speed cannot be increased by more than 30 feet in this way. (Cost: 2, 4, or 6 rage points/round)

###Block: Bard abilities
# Ability Name						Clear Description	Description
CATEGORY=Special Ability|Cantrips ~ Bard.MOD	DESC:.CLEAR		DESC:Bards knows a number of cantrips. They can cast these spells at will as a spell-like ability.

###Block: Bardic Performance
# Ability Name						Clear Description	Description
CATEGORY=Special Ability|Inspire Greatness.MOD	DESC:.CLEAR		DESC:A bard can use music or poetics to inspire greatness in himself or a single willing ally within 30 fee
CATEGORY=Special Ability|Inspire Heroics.MOD	DESC:.CLEAR		DESC:A bard can use music or poetics to inspire tremendous heroism in himself or a single willing ally within 30 fee

###Block: Cleric Abilities
# Ability Name						Clear Description	Description
CATEGORY=Special Ability|Orisons ~ Cleric.MOD	DESC:.CLEAR		DESC:Clerics can prepare a number of orisons, or 0-level spells, each day. They can cast these spells at will as a spell-like ability. Orisons cannot be channeled through spontaneous spellcasting

###Block: Cleric Channel Energy
# Ability Name							Clear Description	Description
CATEGORY=Special Ability|Channel Positive Energy.MOD	DESC:.CLEAR		DESC:You can unleash a wave of positive energy in a 30-foot burst %1 times per day. All undead in this radius take %2d%3 points of positive energy damage and must flee from you (as if frightened) for 1d4+%4 rounds. Undead in this radius are allowed a DC %5 Will save that negates the frightened condition and results in half damage.  Undead who take damage greater than their hit points crumble to dust and are destroyed by the power of your deity. Living creatures within the area are healed a like amount by this wave of positive energy. You can choose whether or not to include yourself in this effect.|ChannelEnergyTimes|ChannelEnergyDice|ChannelEnergyDieSize|ChannelPositiveEnergyDurationPlus|ChannelEnergyDC
CATEGORY=Special Ability|Channel Negative Energy.MOD	DESC:.CLEAR		DESC:You can unleash a wave of negative energy in a 30-foot burst %1 times per day. All living creatures in this radius take %2d%3 points of negative energy damage. Living creatures in this radius are allowed a DC %4 Will save that results in half damage. You can choose whether or not to include yourself in this effect. Undead creatures within the area are healed a like amount by this wave of negative energy. Undead who are within the area of this effect must make a DC %4 Will save or fall under your command. You can command any number of undead up to %5 total Hit Dice. You can relinquish control of undead to gain control of new undead. Commanding undead is a standard action that requires line of effect. Intelligent undead receive a new saving throw each day to break free of from your command.|ChannelEnergyTimes|ChannelEnergyDice|ChannelEnergyDieSize|ChannelEnergyDC|ChannelNegativeEnergyHitDice


###Block: Cleric Domain Powers
# Air Domain
# Ability Name									Clear Description	Description
CATEGORY=Special Ability|Lightning Arc.MOD				DESC:.CLEAR		DESC:As a standard action you can unleash an arc of electricity targeting any foe within 30 feet as a ranged touch attack. The lightning arc deals 1d6+%1 points of electricity damage.|DomainAirLVL/2
CATEGORY=Special Ability|Walk on Air.MOD					DESC:.CLEAR		DESC:You can walk on air as if it were solid for %1 rounds per day. These rounds do not need to be consecutive. This ability otherwise functions as Air Walk.|DomainAirLVL
# Animal Domain
CATEGORY=Special Ability|Summon Companion.MOD				DESC:.CLEAR		DESC:As a standard action, you can summon one animal to aid you as per Summon Nature's Ally %1. The creature remains until you dismiss it, and you can never have more than one such creature in your service at one time. Once the creature dies or is dismissed, you must wait 1 hour before summoning another.|min(DomainAnimalLVL+2)/4,5)
CATEGORY=Special Ability|Animal Form.MOD					DESC:.CLEAR		DESC:You can assume the form of any animal you can summon using your Summon Companion ability for %1 rounds. These rounds do not need to be consecutive. This ability otherwise functions as Beast Shape III.|DomainAnimalLVL
# Artifice Domain
CATEGORY=Special Ability|Artificer's Touch.MOD				DESC:.CLEAR		DESC:You can repair objects at will with a touch, as per Mending. In addition, you can damage objects and constructs as a melee touch attack. This attack does not provoke an attack of opportunity. Objects and constructs take 1d6+%1 points of damage. Objects damaged in this way gain the broken condition.|DomainArtificeLVL/2
CATEGORY=Special Ability|Creation.MOD					DESC:.CLEAR		DESC:You can create nonmagical objects %1 times per day. The volume of created items cannot exceed %1 cubic foot. Objects created out of vegetable matter, such as wood, last for %1 minutes. Objects created out of precious materials (such as gold, silver, adamantine, or diamond) last 1 round. All other objects last %1 rounds. Created objects cannot be used as material components.|DomainArtificeLVL
# Chaos Domain
CATEGORY=Special Ability|Touch of Chaos.MOD				DESC:.CLEAR		DESC:You may imbue a target with chaos as a melee touch attack. For the next 3 rounds, any time the target rolls a d20, he must roll twice and take the less favorable result. This effect fades after 3 rounds or when the target fails an attack roll, save, skill, or ability check. Once a target has been affected by the Touch of Chaos, he is immune to its effects for 1 day.
CATEGORY=Special Ability|Chaos Blade.MOD					DESC:.CLEAR		DESC:You can cause one melee weapon you possess to gain the anarchic weapon property for %1 rounds.|DomainChaosLVL
# Charm Domain
CATEGORY=Special Ability|Dazing Touch.MOD					DESC:.CLEAR		DESC:You can cause a living creature to become dazed as a melee touch attack. This ability has no effect on creatures of a higher level than you or with more HD. Once a creature has been affected by Dazing Touch, it is immune to its effects for 1 day.
CATEGORY=Special Ability|Charming Touch.MOD				DESC:.CLEAR		DESC:You can use Charm Monster as a melee touch attack. You can only have one creature charmed in this way at a time. The total duration of this effect is %1 round per day. These rounds do not need to be consecutive. Each attempt to use this ability consumes 1 round of its duration, whether or not the creature succeeds at its save to resist the effect.|DomainCharmLVL
# Community Domain
CATEGORY=Special Ability|Calming Touch.MOD				DESC:.CLEAR		DESC:You can touch a creature as a standard action to heal the target of 1d6+1 points of nonlethal damage. This touch also removes the fatigued, shaken, and sickened conditions (but has no effect on more severe conditions).|DomainCommunityLVL
CATEGORY=Special Ability|Aura of Prayer.MOD				DESC:.CLEAR		DESC:You can emit a 40-ft.-radius aura of prayer for a %1 rounds per day. You and all of your allies in the area gain a +1 luck bonus on attack rolls, weapon damage rolls, saves, and skill checks, while each of your foes takes a -1 penalty on such rolls. These rounds do not need to be consecutive.|DomainCommunityLVL
# Darkness Domain
CATEGORY=Special Ability|Touch of Darkness.MOD				DESC:.CLEAR		DESC:As a melee touch attack, you can cause a creature's vision to become fraught with shadows and darkness, causing them to take a -2 penalty on attack rolls and saves against fear effects. This effect persists for %1 rounds. Touching a creature affected by this ability causes the duration to reset but does not stack. This touch also automatically extinguishes non-magical light sources such as torches and lanterns.|DomainDarknessLVL
CATEGORY=Special Ability|Aura of Shadows.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. aura of shadow for %1 rounds per day. You and all of your allies in the area gain 20%% concealment while inside this aura. These rounds do not need to be consecutive.|DomainDarknessLVL
# Death Domain
CATEGORY=Special Ability|Bleeding Touch.MOD				DESC:.CLEAR		DESC:As a melee touch attack, you can cause a living creature to take 1d6 points of damage per round. This effect persists for %1 rounds or until stopped with a DC 15 Heal check or any spell or effect that heals damage. Touching a creature affected by this ability causes the duration to reset but does not stack. This is a bleed effect.|DomainDeathLVL
CATEGORY=Special Ability|Call Undead.MOD					DESC:.CLEAR		DESC:You can summon undead to aid you. With this ability you can summon a number of skeletons and zombies whose total Hit Dice do not exceed %1. These undead do not count against the total number of undead you can control and remain until destroyed. You cannot use this ability again until 1 hour after the last undead created by this ability is destroyed.|DomainDeathLVL
# Destruction Domain
CATEGORY=Special Ability|Destructive Smite.MOD				DESC:.CLEAR		DESC:As a full-round action, you can make a single melee attack against an opponent with a +%1 bonus on damage. If the attack hits, all critical threats against the target are automatically confirmed for 1 round, including this attack.|max(DomainDestructionLVL/2,1)
CATEGORY=Special Ability|Aura of Destruction.MOD			DESC:.CLEAR		DESC:You can emit a 30-ft. aura of destruction for a %1 rounds. All attacks made against targets inside this aura (including you) gain a +%2 bonus to damage and all critical threats are automatically confirmed. These rounds do not need to be consecutive.|DomainDestructionLVL|max(DomainDestructionLVL/2,1)
# Earth Domain
CATEGORY=Special Ability|Acid Dart ~ Earth Domain.MOD			DESC:.CLEAR		DESC:As a standard action, you can unleash an acid dart targeting any foe within 30 feet as a ranged touch attack. The acid dart deals 1d6+%1 points of acid damage.|DomainEarthLVL
CATEGORY=Special Ability|Body of Stone.MOD				DESC:.CLEAR		DESC:Your skin can take on the appearance of stone for a %1 rounds per day. While affected in this way, you gain DR 5/adamantine. These rounds do not need to be consecutive.|DomainEarthLVL
# Evil Domain
CATEGORY=Special Ability|Touch of Evil.MOD				DESC:.CLEAR		DESC:You can cause a creature to become sickened as a melee touch attack. While sickened, the target is treated as good-aligned for the purposes of spells with the evil descriptor. This effect persists for 1 round against evil and neutral creatures. Against good creatures, this effect persists for 3 rounds. Once a creature has been affected by touch of evil, it is immune to its effects for 1 day.
CATEGORY=Special Ability|Scythe of Evil.MOD				DESC:.CLEAR		DESC:You can cause one melee weapon you possess to gain the evil weapon property for %1 rounds per day. These rounds do not need to be consecutive. If the weapon leaves your possession, it loses this ability.|DomainEvilLVL
# Fire Domain
CATEGORY=Special Ability|Fire Bolt.MOD					DESC:.CLEAR		DESC:As a standard action, you can unleash a fire bolt targeting any foe within 30 feet as a ranged touch attack. The fire bolt deals 1d6+%1.|DomainFireLVL
CATEGORY=Special Ability|Crown of Flames.MOD				DESC:.CLEAR		DESC:A crown of flames can appear on your brow for %1 rounds. While the Crown of Flames is in effect, any adjacent foe striking you with a melee weapon takes 1d6+%1 points of fire damage.|DomainFireLVL
# Glory Domain
CATEGORY=Special Ability|Touch of Glory.MOD				DESC:.CLEAR		DESC:You can touch a creature as a standard action, giving it a +%1 bonus to a single Charisma-based skill check or ability check. This bonus lasts 3 rounds or until it is used. Once a creature has benefited from Touch of Glory, it gains no further benefit from this ability for 1 hour.|DomainGloryLVL
CATEGORY=Special Ability|Divine Presence.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. aura of presence for %1 rounds. Any creature attempting to strike or otherwise directly attack you or your allies in this area must make a DC %2 Will save. If the save fails, the opponent cannot follow through with the attack and the action is lost. These rounds do not need to be consecutive. If you or any of your allies attack an opponent, or leave the area, the effect ends for that individual.|DomainGloryLVL|10+(DomainGloryLVL/2)+CHA
# Good Domain
CATEGORY=Special Ability|Touch of Good.MOD				DESC:.CLEAR		DESC:You can touch a creature as a standard action giving it a +%1 bonus to a single attack roll, skill check, ability check, or saving throw. This bonus lasts 3 rounds or until it is used. Once a creature has benefited from Touch of Good, it can gain no further benefit from this ability for 1 day.|DomainGoodLVL
CATEGORY=Special Ability|Holy Lance.MOD					DESC:.CLEAR		DESC:You can cause one melee weapon you possess to gain the holy weapon property for %1 rounds. These rounds do not need to be consecutive. If the weapon leaves your possession, it loses this ability.|DomainGoodLVL
# Healing Domain
CATEGORY=Special Ability|Rebuke Death.MOD					DESC:.CLEAR		DESC:You can touch a creature as a standard action, healing it of 1d4+%1 points of damage. You can only use this ability on a creature that is below 0 hit points. If you touch an undead creature with this effect, it is shaken for %1 rounds.|DomainHealingLVL|DomainHealingLVL/2
CATEGORY=Special Ability|Healer's Blessing.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. aura of healing for %1 rounds per day. You and your allies within this aura gain Fast Healing equal to %2 as long as they remain in range. This Fast Healing only applies to damage caused after the aura began. These rounds do not need to be consecutive.|DomainHealingLVL|DomainHealingLVL/4
# Knowledge Domain
CATEGORY=Special Ability|Lore Keeper.MOD					DESC:.CLEAR		DESC:Add all Knowledge skills to your list of class skills. You can touch a creature to learn about its abilities and weaknesses as a melee touch attack. If successful, you gain information as if you had made the appropriate Knowledge skill check with a result equal to %1.|10+DomainKnowledgeLVL+INT
CATEGORY=Special Ability|Remove Viewing.MOD				DESC:.CLEAR		DESC:You can hear and see at a distance for %1 rounds per day. These rounds do not need to be consecutive. This ability works like a combination of both Clairvoyance and Clairaudience.|DomainKnowledgeLVL
# Law Domain
CATEGORY=Special Ability|Touch of Law.MOD					DESC:.CLEAR		DESC:As a standard action, you can touch a creature, giving it the ability to treat one d20 roll as if its natural result was an 11. This ability lasts 3 rounds or until it is used. This ability can be used after the die is rolled to change the result. Once a creature has benefited from Touch of Law, it can gain no further benefit from this ability for 1 day.
CATEGORY=Special Ability|Staff of Order.MOD				DESC:.CLEAR		DESC:You can cause one melee weapon you possess to gain the axiomatic weapon property for %1 rounds. These rounds do not need to be consecutive. If the weapon leaves your possession, it loses this ability.|DomainLawLVL
# Liberation Domain
CATEGORY=Special Ability|Inspiring Word.MOD				DESC:.CLEAR		DESC:As a standard action, you can speak an inspiring word to a creature within 30 ft. For the next round, the target adds a +%1 bonus to its attack rolls, skill checks, ability checks, and saving throws. Once a target has been affected by Inspiring Word, he can gain no further benefit from it for 1 day.|CHA
CATEGORY=Special Ability|Freedom's Call.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. aura of freedom for %1 rounds per day. Allies within this aura are not affected by the confused, grappled, frightened, panicked, paralyzed, pinned, or shaken conditions. This aura only suppresses these effects and they return once a creature leaves the aura or when the aura ends, if applicable. These rounds do not need to be consecutive.|DomainLiberationLVL
# Luck Domain
CATEGORY=Special Ability|Bit of Luck.MOD					DESC:.CLEAR		DESC:As a standard action, you can touch a creature, giving it a bit of luck. For the next 3 rounds, any time the target rolls a d20, he can roll twice and take the better result. The target must decide to use this ability before rolling the dice. This effect fades after 3 rounds or when the reroll is used. Once a target has been affected by Bit of Luck, he can gain no further benefit from it for 1 day.
CATEGORY=Special Ability|Lucky Aura.MOD					DESC:.CLEAR		DESC:You can emit a 30-ft. aura of luck for %1 rounds per day. Allies within this aura automatically succeed on stabilization checks, checks made to overcome concealment, and gain a +2 luck bonus on all d20 rolls. If an attack roll or saving throw made by an ally in the aura results in a natural 1, it is not automatically considered a failure. These rounds do not need to be consecutive.|DomainLuckLVL
# Madness Domain
CATEGORY=Special Ability|Vision of Madness.MOD				DESC:.CLEAR		DESC:You can give a creature a vision of madness as a melee touch attack. Choose one of the following: attack rolls, saving throws, or skill checks. The target receives a +%1 bonus to the chosen rolls and a -%1 penalty to the other two types of rolls. This effect fades after 3 rounds. Once a target has been affected by Vision of Madness, it has no effect on him for 1 day.|DomainMadnessLVL
CATEGORY=Special Ability|Aura of Madness.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. aura of madness for %1 rounds per day. Enemies within this aura are affected by Confusion unless they make a Will save when they enter the area (or when the aura is created). The Confusion effect ends immediately when the creature leaves the area or the aura expires. These rounds do not need to be consecutive.|DomainMadnessLVL
# Magic Domain
CATEGORY=Special Ability|Hand of the Acolyte.MOD			DESC:.CLEAR		DESC:As a standard action, you can summon a ghostly hand to do your bidding. This functions like Mage Hand with the following changes. When summoned, the hand can draw a weapon (including a magic weapon) on your person as a free action, so long as you are proficient in it. The hand can be directed to make a single attack against a foe within 30 feet, using your base attack bonus, plus +%1 on both attack and damage rolls. The hand does not threaten foes and does not make attacks of opportunity. You must concentrate on the hand each round or it winks out, returning any item held to you before it disappears.|WIS
CATEGORY=Special Ability|Dispelling Touch.MOD				DESC:.CLEAR		DESC:You can use a targeted Dispel Magic as a melee touch attack. If you hit, roll to dispel the spells affecting the target normally. You can use this ability %1 times per day.|DomainMagicLVL/2
# Nobility Domain
CATEGORY=Special Ability|Noble Blessing.MOD				DESC:.CLEAR		DESC:You can touch a creature as a standard action, giving it a noble blessing. The target gains a +2 morale bonus on attack rolls, skill checks, ability checks, and saving throws. This effect lasts for %1 rounds. Once a target has been affected by Noble Blessing, he can gain no further benefit from it for 1 day.|DomainNobilityLVL
CATEGORY=Special Ability|Divine Right.MOD					DESC:.CLEAR		DESC:You can issue %1 commands per day. This functions as Greater Command, except that it only affects one creature within 30 ft. A creature cannot be affected by your Divine Right ability more than once per day.|DomainNobilityLVL
# Plant Domain
CATEGORY=Special Ability|Wooden Fist.MOD					DESC:.CLEAR		DESC:Your unarmed strikes do not provoke attacks of opportunity and gain a +%1 bonus on damage rolls.|DomainPlantLVL/2
CATEGORY=Special Ability|Bramble Armor.MOD				DESC:.CLEAR		DESC:A host of wooden thorns bursts from your skin for %1 rounds per day. While Bramble Armor is in effect, any foe striking you with an unarmed strike or a melee weapon without reach takes 1d6+%2 points of damage. These rounds do not need to be consecutive.|DomainPlantLVL|DomainPlantLVL/2
# Protection Domain
CATEGORY=Special Ability|Resistant Touch.MOD				DESC:.CLEAR		DESC:You gain a +%1 resistance bonus on saving throws. As a standard action, you can touch an ally and grant them your resistance bonus for 1 minute. When you use this ability, you lose your resistance bonus granted by this ability for 1 minute.|DomainProtectionBonus
CATEGORY=Special Ability|Aura of Protection.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. aura of protection for %1 rounds per day. You and your allies within this aura gain a +%2 resistance bonus on all saving throws and a +%2 deflection bonus to AC. These bonuses increase by +1 for every 4 caster levels you possess beyond 8th level. These rounds do not need to be consecutive.|DomainProtectionLVL|1+((DomainProtectionLVL-8)/4)
# Repose Domain
CATEGORY=Special Ability|Gentle Rest.MOD					DESC:.CLEAR		DESC:You can cause a living creature to fall asleep for 1 round as a melee touch attack. This ability has no effect on creatures of a higher level than you or with more HD. Undead creatures touched by you are slowed for %1 rounds. Once a creature has been affected by Gentle Rest, it is immune to its effects for 1 day.|CHA
CATEGORY=Special Ability|Ward Against Death.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. ward against death for %1 rounds per day. Living creatures in this area are immune to death effects, energy drain, and effects that cause negative levels. This ward does not remove negative levels that a creature has already gained, but the negative levels have no effect while the creature is inside the warded area. These rounds do not need to be consecutive.|DomainReposeLVL
# Rune Domain
CATEGORY=Special Ability|Minor Rune.MOD					DESC:.CLEAR		DESC:As a standard action, you can create a minor rune in any adjacent square. Any creature entering this square takes 1d6+%1 points of damage. This rune deals either acid, cold, electricity, or fire damage, decided when you create the rune. The rune is invisible and lasts %2 rounds or until discharged. You cannot create a rune in a square occupied by another creature.|DomainRuneLVL/2|DomainRuneLVL
CATEGORY=Special Ability|Major Rune.MOD					DESC:.CLEAR		DESC:You can create a major rune in any adjacent square as a standard action. Any creature entering this square takes %1d6 points of damage. This rune deals acid, cold, electricity, or fire damage, decided when you create the rune. The rune is invisible and lasts %1 rounds or until discharged. You can create %1 major runes per day. You can also place these runes on doorways, chests, or other objects that can be opened and closed, causing them to trigger when a creature opens the object. You cannot create a rune in a square occupied by another creature or on one of their possessions.|DomainRuneLVL
# Strength Domain
CATEGORY=Special Ability|Strength Surge ~ Strength Domain.MOD	DESC:.CLEAR		DESC:As a standard action, you can touch a creature, giving it great strength. For the next 3 rounds, the target may add an +%1 enhancement bonus on one melee attack roll or Strength check. The target must decide to use this ability before rolling the dice. This effect fades after 3 rounds or when the reroll is used. Once a target has been affected by Strength Surge, he can gain no further benefit from it for 1 day.|max(DomainStrengthLVL/2,1)
CATEGORY=Special Ability|Might of the Gods.MOD				DESC:.CLEAR		DESC:You can add a +%1 enhancement bonus to your Strength score for %1 rounds per day. This bonus only applies on Strength checks and Strength-based skill checks. These rounds do not need to be consecutive.|DomainStrengthLVL
# Sun Domain
CATEGORY=Special Ability|Sun's Touch.MOD					DESC:.CLEAR		DESC:You can smite an undead creature as a melee touch attack, dealing 1d8+%1 points of positive energy damage. This touch has no effect on living creatures.|DomainSunLVL/2
CATEGORY=Special Ability|Nimbus of Light.MOD				DESC:.CLEAR		DESC:You can emit a 30-ft. nimbus of light for %1 rounds per day. Undead within this radius take 1d8+%1 points of positive energy damage. Spells and spell-like abilities with the darkness descriptor are automatically dispelled if brought inside this nimbus. These rounds do not need to be consecutive. This nimbus has no effect on living creatures.|DomainSunLVL
# Travel Domain
CATEGORY=Special Ability|Dimensional Hop.MOD				DESC:.CLEAR		DESC:You can teleport up to %1 feet per day as a swift action. This teleportation must be used in 5-foot increments and such movement does not provoke attacks of opportunity. You can bring other willing creatures with you, but you must expend an equal amount of distance for each creature brought with you.|DomainTravelLVL*10
CATEGORY=Special Ability|Flight.MOD						DESC:.CLEAR		DESC:You can fly at your base speed for %1 rounds per day. These rounds do not need to be consecutive. Your maneuverability while flying in this manner is perfect, granting you a +8 racial bonus on Fly skill checks.|DomainTravelLVL
# Trickery Domain
CATEGORY=Special Ability|Copy Cat.MOD					DESC:.CLEAR		DESC:You can create an illusory double of yourself as a move action. This double functions as a single Mirror Image and lasts for %1 rounds (unless dispelled or destroyed). You can have no more than one Copy Cat at a time. This ability does not stack with Mirror Image.|DomainTrickeryLVL
CATEGORY=Special Ability|Master's Illusion.MOD				DESC:.CLEAR		DESC:You can create an illusion that hides the appearance of yourself and any number of allies within 30 feet for %1 rounds. This ability otherwise functions like the spell Veil. The rounds do not need to be consecutive.|DomainTrickeryLVL
# War Domain
CATEGORY=Special Ability|Battle Smite.MOD					DESC:.CLEAR		DESC:You can touch your deity's favored weapon and give it the ability to deal a battle smite. For the next 3 rounds, anyone wielding the weapon may add a +%1 enhancement bonus on one damage roll. The target must decide to use this ability before rolling to attack. This effect fades after 3 rounds or when the Battle Smite is used. Once a wielder has used a Battle Smite, he can gain no further benef it from it for 1 day.|DomainWarLVL/2
CATEGORY=Special Ability|Weapon Master.MOD				DESC:.CLEAR		DESC:You gain the use of one combat feat for %1 rounds per day. These rounds do not need to be consecutive and you can change the feat chosen each time you use this ability. You must meet the prerequisites to use these feats.|DomainWarLVL
# Water Domain
CATEGORY=Special Ability|Icicle.MOD						DESC:.CLEAR		DESC:As a standard action, you can fire an icicle from your finger, targeting any foe within 30 feet as a ranged touch attack. The icicle deals 1d6+%1 points of cold damage.|DomainWaterLVL
CATEGORY=Special Ability|Mantle of Ice.MOD				DESC:.CLEAR		DESC:A mantle of ice appears on your shoulders for %1 rounds per day. While the mantle of ice is in effect, any adjacent foe striking you with a melee weapon takes 1d6+%1 points of cold damage.|DomainWaterLVL
# Weather Domain
CATEGORY=Special Ability|Storm Burst.MOD					DESC:.CLEAR		DESC:As a standard action, you can create a storm burst targeting any foe within 30 feet as a ranged touch attack. The storm burst deals 1d6+1 points of nonlethal damage. In addition, the target is buffeted by winds and rain, causing it to take a -2 penalty on attack rolls for 1 round.|DomainWeatherLVL/2
CATEGORY=Special Ability|Lightning Lord.MOD				DESC:.CLEAR		DESC:You can call down %1 bolts of lightning per day. You can call down as many bolts as you want with a single standard action, but no creature can be the target of more than one bolt and no two targets can be more than 30 feet apart. This ability otherwise functions as Call Lightning.|DomainWeatherLVL

###Block: Druid abilities
ABILITY:Special Ability|Orisons ~ Druid.MOD						DESC:.CLEAR	DESC:Druids can prepare a number of orisons, or 0-level spells, each day. They can cast these spells at will as a spell-like ability. Orisons cannot be channeled through spontaneous spellcasting.
ABILITY:Special Ability|Spontaneous casting - Summon Nature's Ally spells.MOD	DESC:.CLEAR	DESC:Channel stored Druid spell energy into Summon Nature's Ally spell of equal or lower level.

###Block: Fighter Abilities
# Ability Name						Clear Description	Description
CATEGORY=Special Ability|Bravery.MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus to Will saves against fear effects.|Bravery
CATEGORY=Special Ability|Armor Training.MOD	DESC:.CLEAR		DESC:You gain added protection form the armor you are wearing. When wearing armor, you gain an additional +%1 armor bonus to your armor class, and you reduce the armor check penalty by %1 and increase the maximum dexterity bonus of your armor by +%1|ArmorTraining

###Block: Monk abilities
# Ability Name						Clear Description	Description
CATEGORY=Special Ability|Monk AC.MOD		DESC:.CLEAR		DESC:When unarmered and unencumbered, you add your Wisdom bonus (+%1) to your AC. In addition, you gain a +%2 bonus to AC. These bonuses apply even agains touch attacks or when you are flat-footed. You lose these bonuses when you are immobilized, when you wear any armor, when you carry a shield, or when you carry a medium or heavy load.|WIS|MonkAC
CATEGORY=Special Ability|Monk Movement.MOD	DESC:.CLEAR		DESC:You gain an enhancement bonus of +%1 feet to your speed. You lose this bonus you are immobilized, when you wear any armor, when you carry a shield, or when you carry a medium or heavy load.|MonkMoveBonus

###Block: Ranger abilities
# Ability Name				Clear Description	Description
CATEGORY=Special Ability|Track.MOD	DESC:.CLEAR		DESC:You gain +%1 to Survival checks made to follow or identify tracks.|TracKBonus

###Block: Favored Enemies ------------------------------------------------------------------------------------------------------
# Ability Name									Clear Description	Description
CATEGORY=Special Ability|Favored Enemy (Aberration).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against aberrations. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredAberration
CATEGORY=Special Ability|Favored Enemy (Animal).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against animals. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredAnima
CATEGORY=Special Ability|Favored Enemy (Construct).MOD		DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against constructs. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredConstruct
CATEGORY=Special Ability|Favored Enemy (Dragon).MOD			DESC:.CLEAR		DESC:You gain a +%1 bonus on Bluff, Perception, Sense Motive, and Survival checks when using these skills against dragons. Likewise, you get a +%1 bonus on weapon attack and damage rolls against such creatures.|FavoredDragon
