# CVS $Revision: $ $Author: $ -- Fri Oct 20 19:33:19 2017 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Seekers of Secrets - A Guide to the Pathfinder Society	SOURCESHORT:SOS	SOURCEWEB:http://paizo.com/products/btpy8az2?Pathfinder-Chronicles-Seekers-of-Secrets-A-Guide-to-the-Pathfinder-Society	SOURCEDATE:2009-10
# Original Entry by: Paul Shipley

# Ioun Stone equipmods
# Modifier Name						Unique Key								Naming Option	Type					Visible		Type granted		Prohibited Type					Bonus to skill					Special Property																																													Choose									Auto Weapon Prof
|Ioun Knowledge Bonus					KEY:IOUN_KNOWLEDGE_BONUS					NAMEOPT:NONAME	TYPE:Ioun Knowledge Bonus	VISIBLE:QUALIFY												BONUS:SKILL|%CHOICE|5|TYPE=Competence	SPROP:Grants +5 competence bonus in %CHOICE																																								CHOOSE:SKILL|TYPE=Knowledge|TITLE=Enhanced Knowledge Skill
Resonant Power: Clear Spindle				KEY:IOUN_RESONANT_POWER_CLEAR_SPINDLE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Protection from possession and mental control (as protection from evil).
Resonant Power: Crimson Sphere			KEY:IOUN_RESONANT_POWER_CRIMSON_SPHERE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 competence bonus on single Knowledge skill (chosen by the stone's creator).
Resonant Power: Dark Blue Rhomboid			KEY:IOUN_RESONANT_POWER_DARK_BLUE_RHOMBOID		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: The wearer no longer suffer penalties on Perception checks for being distracted or asleep; during sleep the wearer may remain open-eyed and fully aware of his environment, though he is still helpless against undetected threats until he actually wakes up.
Resonant Power: Deep Red Sphere			KEY:IOUN_RESONANT_POWER_DEEP_RED_SPHERE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Improved Unarmed Strike.
Resonant Power: Dull Gray Stone			KEY:IOUN_RESONANT_POWER_DULL_GRAY_STONE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Read magic 1/day day for 10 minutes.
Resonant Power: Dusty Rose Prism			KEY:IOUN_RESONANT_POWER_DUSTY_ROSE_PRISM			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +2 insight bonus on CMB and to CMD.
Resonant Power: Emerald Ellipsoid			KEY:IOUN_RESONANT_POWER_EMERALD_ELLIPSOID			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: 5 additional temporary hit points.
Resonant Power: Gamboge Nodule			KEY:IOUN_RESONANT_POWER_GAMBOGE_NODULE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +2 resistance bonus on saving throws against disease.
Resonant Power: Gold Nodule				KEY:IOUN_RESONANT_POWER_GOLD_NODULE				NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 bonus on saves against language-dependent effects.
Resonant Power: Incandescent Blue Sphere		KEY:IOUN_RESONANT_POWER_INCANDESCENT_BLUE_SPHERE	NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Blind-Fight.
Resonant Power: Iridescent Spindle			KEY:IOUN_RESONANT_POWER_IRIDESCENT_SPINDLE		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Endure elements, as the spell, as well as protection against exposure to vacuum and underwater pressure.
Resonant Power: Lavender And Green Ellipsoid	KEY:IOUN_RESONANT_POWER_LAVENDER_AND_GREEN_ELLIPSOID	NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: If the bearer is holding the wayfinder, he may use the stone's absorption ability as an immediate action instead of a readied action.
Resonant Power: Magenta Prism				KEY:IOUN_RESONANT_POWER_MAGENTA_PRISM			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 bonus on one saving throw not modified by the ability score the stone is currently attuned to (chosen at the same time as the ability score).
Resonant Power: Mossy Disk				KEY:IOUN_RESONANT_POWER_MOSSY_DISK				NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 competence bonus on Appraise checks.
Resonant Power: Mulberry Pentacle			KEY:IOUN_RESONANT_POWER_MULBERRY_PENTACLE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +2 competence bonus on Sense Motive checks.
Resonant Power: Nacreous Gray Sphere		KEY:IOUN_RESONANT_POWER_NACREOUS_GRAY_SPHERE		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Miss chance against incorporeal creatures decreases to 25%.
Resonant Power: Onyx Rhomboid				KEY:IOUN_RESONANT_POWER_ONYX_RHOMBOID			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Virtue at will (self only).
Resonant Power: Opalescent White Pyramid		KEY:IOUN_RESONANT_POWER_OPALESCENT_WHITE_PYRAMID	NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Weapon Focus with the stone's keyed weapon.
Resonant Power: Orange Prism				KEY:IOUN_RESONANT_POWER_ORANGE_PRISM			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Every time the bearer casts a spell, roll 1d4-2 and add this (and the +1 caster level granted by the normal power of the ioun stone) to his caster level. If this modified caster level is too low to cast the spell, the spell fails and is lost.
Resonant Power: Pale Blue Rhomboid			KEY:IOUN_RESONANT_POWER_PALE_BLUE_RHOMBOID		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 bonus on Fortitude saves.
Resonant Power: Pale Green Prism			KEY:IOUN_RESONANT_POWER_PALE_GREEN_PRISM			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Twice per day as a free action the bearer may remove the fatigued condition from himself as a free action (or reduce the exhausted condition to fatigued).
Resonant Power: Pale Lavender Ellipsoid		KEY:IOUN_RESONANT_POWER_PALE_LAVENDER_ELLIPSOID		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: If the bearer is holding the wayfinder, he may use the stone's absorption ability as an immediate action instead of a readied action.
Resonant Power: Pale Orange Rhomboid		KEY:IOUN_RESONANT_POWER_PALE_ORANGE_RHOMBOID		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: A soul held within the stone can remain there indefinitely as long as the wayfinder remains on the soul's original body. If the wayfinder is removed from the body, the ioun stone's resonant power is suppressed until the wayfinder is replaced.
Resonant Power: Pale Ruby Trillian			KEY:IOUN_RESONANT_POWER_PALE_RUBY_TRILLIAN		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Increase by 10 feet the distance the bearer may fall safely (stacks with other effects that increase this distance, such as making Acrobatics checks or falling into water).
Resonant Power: Pearly White Spindle		KEY:IOUN_RESONANT_POWER_PEARLY_WHITE_SPINDLE		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 sacred bonus on saves against attacks that rely on negative energy.
Resonant Power: Pink And Green Sphere		KEY:IOUN_RESONANT_POWER_PINK_AND_GREEN_SPHERE		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 bonus on Will saves.
Resonant Power: Pink Rhomboid				KEY:IOUN_RESONANT_POWER_PINK_RHOMBOID			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 bonus on Reflex saves.
Resonant Power: Scarlet And Blue Sphere		KEY:IOUN_RESONANT_POWER_SCARLET_AND_BLUE_SPHERE		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 bonus on Will saves.
Resonant Power: Scarlet And Green Cabochon	KEY:IOUN_RESONANT_POWER_SCARLET_AND_GREEN_CABOCHON	NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +5 bonus on Constitution checks made to stabilize.
Resonant Power: Silver Spindle			KEY:IOUN_RESONANT_POWER_SILVER_SPINDLE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: All spell-like abilities granted by race are treated as 1 caster level higher.
Resonant Power: Tourmaline Sphere			KEY:IOUN_RESONANT_POWER_TOURMALINE_SPHERE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +1 bonus on Constitution checks to stabilize when dying.
Resonant Power: Turquoise Sphere			KEY:IOUN_RESONANT_POWER_TURQUOISE_SPHERE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +2 competence bonus on Handle Animal checks.
Resonant Power: Vermilion Rhomboid			KEY:IOUN_RESONANT_POWER_VERMILION_RHOMBOID		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Breathe water for up to 10 minutes per day, useable in 1-minute increments.
Resonant Power: Vibrant Purple Prism		KEY:IOUN_RESONANT_POWER_VIBRANT_PURPLE_PRISM		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: The bearer may use a standard action to expend one stored spell level in the stone, refreshing a cast 1st-level spell as if using a pearl of power.
