# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
#SOURCELONG:Ultimate Magic	SOURCESHORT:UM	SOURCEWEB:http://paizo.com/pathfinderRPG/v5748btpy8g7s	SOURCEDATE:2011-05
# CVS $Revision: 21421 $ $Author: evilmynex $ -- Wed Sep 18 14:31:37 2013 -- reformated by prettylst.pl v1.50 (build 21406)

# ORIGINAL ENTRY: Stefan Radermacher, Eric Smith (Maredudd), and Douglas Limmer
# ORIGINAL ENTRY DATE: Unknown

###Block: Words of Power base category
# Ability Category			Visible	Editable?		Change Pool?	Fractional values?	Category of Object
ABILITYCATEGORY:Words of Power	VISIBLE:NO	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power

###Block: Words of Power categories
#Block: Alchemist Words
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object	Type of Object			Plural description for UI		Display Location
ABILITYCATEGORY:0-Level Oracle Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle0.MetaLevel0		PLURAL:0-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle1.MetaLevel1		PLURAL:1st-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle2.MetaLevel2		PLURAL:2nd-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle3.MetaLevel3		PLURAL:3rd-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle4.MetaLevel4		PLURAL:4th-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle5.MetaLevel5		PLURAL:5th-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle6.MetaLevel6		PLURAL:6th-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:7th-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle7.MetaLevel7		PLURAL:7th-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:8th-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle8.MetaLevel8		PLURAL:8th-Level Oracle Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:9th-Level Oracle Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Oracle9.MetaLevel9		PLURAL:9th-Level Oracle Words		DISPLAYLOCATION:Class Abilities

#Block: Paladin Words
ABILITYCATEGORY:1st-Level Paladin Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Paladin1.MetaLevel1	PLURAL:1st-Level Paladin Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Paladin Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Paladin2.MetaLevel2	PLURAL:2nd-Level Paladin Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Paladin Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Paladin3.MetaLevel3	PLURAL:3rd-Level Paladin Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Paladin Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Paladin4.MetaLevel4	PLURAL:4th-Level Paladin Words	DISPLAYLOCATION:Class Abilities

#Block: Ranger Words
ABILITYCATEGORY:1st-Level Ranger Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Ranger1.MetaLevel1		PLURAL:1st-Level Ranger Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Ranger Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Ranger2.MetaLevel2		PLURAL:2nd-Level Ranger Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Ranger Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Ranger3.MetaLevel3		PLURAL:3rd-Level Ranger Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Ranger Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Ranger4.MetaLevel4		PLURAL:4th-Level Ranger Words		DISPLAYLOCATION:Class Abilities

#Block: Sorcerer Words
ABILITYCATEGORY:0-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer0.MetaLevel0	PLURAL:0-Level Sorcerer Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer1.MetaLevel1	PLURAL:1st-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer2.MetaLevel2	PLURAL:2nd-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer3.MetaLevel3	PLURAL:3rd-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer4.MetaLevel4	PLURAL:4th-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer5.MetaLevel5	PLURAL:5th-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer6.MetaLevel6	PLURAL:6th-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:7th-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer7.MetaLevel7	PLURAL:7th-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:8th-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer8.MetaLevel8	PLURAL:8th-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:9th-Level Sorcerer Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Sorcerer9.MetaLevel9	PLURAL:9th-Level Sorcerer Words	DISPLAYLOCATION:Class Abilities

#Block: Summoner Words
ABILITYCATEGORY:0-Level Summoner Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Summoner0.MetaLevel0	PLURAL:0-Level Summoner Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Summoner Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Summoner1.MetaLevel1	PLURAL:1st-Level Summoner Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Summoner Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Summoner2.MetaLevel2	PLURAL:2nd-Level Summoner Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Summoner Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Summoner3.MetaLevel3	PLURAL:3rd-Level Summoner Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Summoner Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Summoner4.MetaLevel4	PLURAL:4th-Level Summoner Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Summoner Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Summoner5.MetaLevel5	PLURAL:5th-Level Summoner Words	DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Summoner Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Summoner6.MetaLevel6	PLURAL:6th-Level Summoner Words	DISPLAYLOCATION:Class Abilities

#Block: Witch Words
ABILITYCATEGORY:0-Level Witch Word		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch0.MetaLevel0		PLURAL:0-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:1st-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch1.MetaLevel1		PLURAL:1st-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:2nd-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch2.MetaLevel2		PLURAL:2nd-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:3rd-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch3.MetaLevel3		PLURAL:3rd-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:4th-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch4.MetaLevel4		PLURAL:4th-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:5th-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch5.MetaLevel5		PLURAL:5th-Level Witch Words		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:6th-Level Witch Word	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Words of Power	TYPE:Witch6.MetaLevel6		PLURAL:6th-Level Witch Words		DISPLAYLOCATION:Class Abilities
